[0.00-6.24] 今天我們原副春季的投資論壇將開始
[6.24-9.76] 今天很高興邀請到廣語科技的郭世華協理
[9.76-13.76] 我們現在就很快將時間交給協理這邊
[13.76-14.40] 謝謝
[14.40-15.92] 謝謝大家
[15.92-18.88] 也謝謝原副政卷的邀請
[18.88-21.84] 今天蠻有榮幸來參加這次演奏會
[21.84-23.92] 而且今天有點害怕
[23.92-25.52] 這裡太多人抱著
[25.52-28.16] 跟我們以往的感覺不太一樣
[28.16-30.72] 跟我們最近的股價交響應該有很大的關係
[30.72-33.20] 不過先說一下
[33.20-33.84] 大概也是這樣
[33.84-35.52] 因為原則上2024年
[35.52-37.44] 因為李董來以後
[37.44-39.68] 李董2023年選上大任我們董事長以後
[39.68-43.76] 然後也漸漸在跟公司整個組織架構
[43.76-45.28] 負責在做一些調整
[45.28-47.28] 2024年當然也陌上一些原因
[47.28-49.20] 導致縮小股市
[49.20-50.56] 股市衰退的阻塞比較大
[50.56-52.40] 我們大概做一些說明
[52.40-53.84] 但是對於2025年來講
[53.84-55.92] 我們自己也蠻期待的
[55.92-58.08] 接下來都會跟大家做一個報告
[58.08-61.60] 今天可能先不好意思說
[61.60-64.80] 因為我們的董事會是定在3月11號
[64.80-66.40] 所以你上3月11號
[66.40-68.96] 我們才會有2024年度的報表出來
[68.96-70.00] 所以今天的話
[70.00-71.28] 財務數字這一塊
[71.28-73.44] 可能就是會先用Q3的數字
[73.44-76.00] 我希望大家Q3的數字
[76.00-77.28] 大家應該都已經曉得了
[77.28-78.80] 但是先帶過一下
[78.80-80.48] 重點主要可能還是在看
[80.48-82.96] 就是說我們的銀索概況的一個說明
[82.96-88.00] 今天主要當我們分布的
[88.08-90.16] 大概是一個重點事項
[90.16-91.52] 跟大家做一個說明
[91.52-93.20] 第一個就先說明一下
[93.20-95.60] 就是去年2024年整個銀索的概況
[95.60-97.04] 接下來就是說
[97.04-97.84] 第二項就是說
[97.84-99.60] 我們對於今年2025年
[99.60-102.56] 整個銀索的大致的分布
[102.56-106.48] 跟我們對於未來成長的一個主要動力來源
[106.48-108.56] 跟大家做個說明
[108.56-109.68] 第三部分就是
[109.68-110.80] 如剛才所言
[110.80-112.16] 可能先採用的數字的部分
[112.16-113.68] 就是先放在主線
[113.68-114.80] 請大家參考
[114.80-115.92] 第四的話就是
[115.92-117.92] 當年因為公司最近在ESG上升
[118.08-120.08] 上面有做的相關的事項
[120.08-122.24] 那也跟大家做一個報告
[122.24-124.24] 那最後就是在Q&A的部分
[124.24-126.00] 再請各位投資先進
[126.00-127.04] 如果有任何問題
[127.04-127.92] 我們就可以提出來
[127.92-129.04] 再向主持人發問
[129.04-130.56] 謝謝
[130.56-131.12] 好
[131.12-135.04] 那我們先來先看Q4
[135.04-139.28] 那Q4其實
[139.28-141.36] 我們主要也是在電子體驗
[141.36-143.36] 那所以其實我們一年度的cycle
[143.36-146.24] 原則上Q1大概都碰上能力春節
[146.24-148.08] 原則上大概都是谷底的一個情況
[148.08-150.64] 隨著Q2隨著Q3的拉貨
[150.64-151.92] 開始往上攀升
[151.92-154.48] 到Q3算是一個旺季的一個頂點
[154.48-157.84] 所以原則上Q4照理說都是會比Q3來的低一點
[157.84-159.60] 其實去年度也是這樣的預期
[159.60-162.16] 所以原則上可以看就是說
[162.16-164.08] Q4的話
[164.08-166.24] 它的整體的合理合理說
[166.24-168.56] 都是Q3稍微來的小點
[168.56-171.36] 但是比較有出我們原來
[171.36-173.68] 預想的E1
[173.68-176.24] 就是說我們在車用的這個部分
[176.24-178.08] 可能在去年
[178.08-179.36] 11 12月的時候
[179.36-181.36] 客戶這邊的拉貨的動能有稍微
[181.36-183.20] 比我們預期的照樣好一點
[183.20-185.76] 那另外就是說在通訊的產品
[185.76-187.04] 特別在東南亞這邊
[187.04-188.64] 也有比我們預期來的好一點
[188.64-190.24] 所以其實有些人注意
[190.24-192.48] 所以原則上衰退幅度
[192.48-194.08] 大概就是不到5%
[194.08-196.48] 比我們原來預期的這個小了一點
[196.48-201.12] 算是一個比較好的一個表現
[201.12-202.40] OK
[202.40-204.96] 那這個大概就是Q字的一個狀況
[204.96-206.24] 就是說
[206.24-207.92] 次衰退
[207.92-209.20] 但是比我們原來預期的合度
[209.20-209.84] 小了一點
[209.84-211.76] 所以大概這是Q字的狀況
[211.76-213.52] 那接下來我可能就說明一下
[213.52-216.88] 就是說去年24年度的一個概況
[216.88-219.04] 就是說其實我們的主要的
[219.04-220.08] 重要主要產品
[220.08-222.64] 但大部分其實是在消費性的產品
[222.64-224.56] 那消費性的產品的客戶
[224.56-227.12] 因為去年它的這個
[227.12-229.04] 新的產品交換的這個期間
[229.04-230.96] 導致它舊產品就不出貨
[230.96-232.24] 新產品又還沒推出
[232.24-233.52] 所以其實這一塊
[233.52-236.40] 這一塊對我們的營收的衰退的
[236.40-237.76] 這個導致的原因是
[237.92-239.92] 因為這個原因影響比較大
[239.92-240.48] 那第二個就是說
[240.48-241.76] 其實我們本來也在預期
[241.76-244.32] 就是說我們在大陸車用客戶的這一邊
[244.32-246.56] 因為其實它的出口非常的慘化
[246.56-248.16] 我們本來預期
[248.16-251.04] 應該也會跟著它有比較大幅度的成長
[251.04-253.92] 但是就是說後來其實特別是在第二季第三季
[253.92-255.84] 我們其實在發現
[255.84-259.68] 其實大陸在它的國內
[259.68-260.96] 它的這個
[260.96-263.20] 特別是在車用的離配件
[263.20-264.16] 民主線供應商
[264.16-266.40] 競爭內權的情況相當的嚴重
[266.40-267.36] 殺價殺的方式
[267.92-269.20] 殺價殺的非常嚴重
[269.20-271.76] 那客戶這邊要求降價的壓力也很大
[271.76-274.00] 所以其實我們到了下半年
[274.00-275.60] 我就採取比較保守的一個態度
[275.60-279.44] 那這樣說其實大概到第四季的時候
[279.44-282.00] 客戶出口這邊也因為
[282.00-283.28] 地緣政策因素
[283.28-285.20] 其實出貨也有受到一些的影響
[285.20-287.12] 所以其實導致這個
[287.12-289.68] 車用產品的出貨
[289.68-292.24] 本來我們預期應該是要有
[292.24-293.52] 可能要有雙位數的成長
[293.52-294.80] 但是實際上
[294.80-296.08] 看起來其實
[296.08-297.36] 變成是有雙位數的一個數字
[297.92-300.48] 所以其實這兩位數的
[300.48-301.76] 是有一個雙位數的
[301.76-303.04] 叫做雙位數的雙位數
[303.04-305.60] 所以其實針對消費性跟車用產品
[305.60-306.88] 這兩個雙位數
[306.88-310.72] 導致我們二四年度的合幣營收
[310.72-312.00] 叫二三年度
[312.00-314.56] 大概也是兩位數的一個雙位數
[314.56-315.84] 這是主要的原因
[315.84-318.40] 那不過可是在
[318.40-320.96] 在醫療在工碰這方面
[320.96-323.52] 因為人們的
[323.52-326.08] 醫療美國的客戶他有新產品的出貨
[326.08-327.36] 那加上工碰這邊其實我們在
[327.92-330.48] 所以其實針對這兩項產品
[330.48-331.76] 相較二三年來講
[331.76-334.32] 他其實是貢獻了這一個
[334.32-335.60] 雙位數的一個成長
[335.60-338.16] 但是說原則上因為他的占比
[338.16-339.44] 相對來比較低
[339.44-340.72] 對整體合幣營收的貢獻
[340.72-342.00] 當然相對比較小
[342.00-345.84] 那最後的話就是在通訊這一塊
[345.84-348.40] 通訊的話原則上也是在
[348.40-350.96] 馬來西亞這邊的客戶
[350.96-354.80] 原則上他的拉露的動能也是持續
[354.80-356.08] 然後也維持得不錯
[356.08-357.88] 所以也呈現成長的一個情況
[357.92-360.48] 那不過就是我們之前說的就是說
[360.48-365.60] 其實光奢用跟消費性企業大概占了幣收占了新成以上
[365.60-367.52] 所以如果說這一個人快拉動的話
[367.52-370.72] 雲山對於整個的運收要強要成長
[370.72-372.00] 但是就會比較稀薄
[372.00-374.56] 這就是大概是二十四年以上
[374.56-377.64] 二十年整個營收衰退的總主要原因
[377.64-382.50] 那現在這個時候就是大概是二十年的一個概況
[382.50-384.04] 那接下來可能就是說
[384.04-385.32] 針對二五年來看
[385.32-387.62] 我們先說說其實
[387.92-393.56] 我們今年預期就是說整個訂單回復加上新訂單的貢獻之下
[393.56-397.64] 我們目標是希望能夠回到大概2023年
[397.64-402.26] 整個公司營收應該大概是有250億以上的這個規模
[402.26-404.56] 往這個方向去設定目標
[404.56-406.60] 希望今年能夠達到這個目標
[406.60-408.92] 那接下來可能就跟各位報告一下
[408.92-414.28] 就是說我們預計什麼樣的一個成長動能來去顧這個營收
[414.28-416.34] 那當然主要就是說我想的
[416.34-417.88] 經理們大概都有看到就是說
[417.92-422.28] 我們因為新接到這個網路產品相關的這個訂單
[422.28-424.84] 那的確說從1月份起是已經
[424.84-426.12] 去年12月開網
[426.12-427.90] 然後今年1月已經開始出貨了
[427.90-431.24] 那當時就出期從Q1可能是小必亮市場
[431.24-434.30] 小必亮的量產開始陸陸續續的交貨
[434.30-436.86] 然後預期是下半年
[436.86-438.40] 加上如果有新產品
[438.40-439.42] 因為現在在那邊放假
[439.42-441.22] 那如果有新產品加入的話
[441.22-443.52] 預期下半年對比之後的貢獻當然就會更大
[443.52-447.88] 這個當然是一個主要的一個因素之一啦
[447.92-449.72] 那第二個就是說
[449.72-453.56] 前面有提到夏威夷新產品的客戶因為他的新舊產品
[453.56-455.08] 機種交換的原因
[455.08-458.68] 那他的新機其實也從去年12月起到今年
[458.68-460.20] 已經開始出去
[460.20-462.26] 開始出去要出貨開始帶
[462.26-464.04] 全世界開始帶布貨了
[464.04-468.92] 所以其實我們這邊的營收當然也隨著他開始整個被淡定起來
[468.92-469.94] 那我想
[469.94-472.50] 前面這個兩個原因就是
[472.50-477.10] 我們認為今年有機會可以回到像2023年的
[477.92-479.20] 2011年
[479.20-481.00] 這個規模的這個營收
[481.00-483.80] 邁進了一個最重要的兩個因素之一
[483.80-486.36] 兩個因素應該主要是這樣子
[486.36-487.90] 那
[487.90-489.70] 我想之前的
[489.70-491.48] 法術委我們大概有提到就是說
[491.48-495.58] 如果說根據針對這個網路相關的產品的話
[495.58-497.64] 因為我們主要是做level 10主要
[497.64-501.22] 那原則上我想之前我們都上個在法術委說過
[501.22-504.04] 這一塊的毛利率相對不是那麼高
[504.04-506.08] 所以我們今天其實因為其實這兩點
[506.08-507.88] 因為我們focus主要是在
[507.88-510.70] 在零組件的這個產品的比重上面
[510.70-514.54] 其實毛利率相對以往有比較大的一個改善的空間
[514.54-516.58] 我們希望能夠持續維持
[516.58-519.14] 這樣一個比較好的毛利率標線
[519.14-522.72] 所以我們今年還是持續會提升高毛利產品的比重
[522.72-525.54] 就是說特別像是那個公控
[525.54-530.16] 還有醫療特別是醫療因為醫療都是Telemedic科技化的產品
[530.16-532.46] 它的毛利率貢獻度相對比較高
[532.46-536.30] 那公控的話我想也是大概現在大家都知道就是說
[536.30-537.58] 我們在這個
[537.58-540.40] 工業用的機器的拖鏈線的這一塊
[540.40-545.00] 因為它的這個毛利率也是相對我們其他的產品來比較好
[545.00-549.62] 所以特別針對這兩塊我們會努力的去提升它的這個影響比重
[549.62-552.42] 希望能夠抵銷掉
[552.42-554.74] 就是說因為我們做的網路產品
[554.74-556.26] level 10產品以後
[556.26-558.32] 毛利率可能會受到輕視的影響
[558.32-561.64] 所以我們希望二五年我們的毛利率還是設定
[561.64-567.54] 大概就是說我們可以維持在以往的大概平均12%到13%這樣的一個區間
[567.58-568.34] 好
[568.34-573.22] 那所以今天會有很多人沒過頭來講
[573.22-576.80] 所以原則上我們相信就是說在公控通訊
[576.80-579.36] 那消費性訂單都回復的情況下
[579.36-581.66] 雖然就是說在車用
[581.66-583.70] 我們還是持比較保守的
[583.70-587.04] 這個態度因為看起來這兩年
[587.04-589.08] 我們看車用市場
[589.08-591.64] 競爭還是會相當的這個激烈
[591.64-597.02] 那我們也不會非常積極的去充斥這塊的市場因為
[597.58-598.86] 我們也會有一個
[598.86-600.14] 這個產生
[600.14-603.46] 所以我們會持比較保守的形態大概維持
[603.46-607.82] 它的這個在目前大概是平均
[607.82-609.10] 左右的這樣一個
[609.10-612.94] 比重所以維持它的一個大概的
[612.94-613.96] 規模
[613.96-617.04] 那醫療的話雖然是實體但是因為
[617.04-620.88] 我們整體說成長預計是醫療的
[620.88-623.44] 消費經驗數會成長但是
[623.44-627.02] 就是之前因為醫療都是客製化產品它的單
[627.02-627.54] 價值
[627.54-629.34] 相對其實
[629.34-632.14] 它單價相對應該相對來講說來得高
[632.14-635.22] 但因為客製化的話它的數量就相對非常的少
[635.22-637.78] 所以佔整個營收的比例
[637.78-641.10] 我們預期就是希望還是維持大概在一個%左右
[641.10-643.92] 就是類似我們這個過往
[643.92-645.72] 去年的這個水準
