[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-32.00] 我总是守护你的安全
[32.00-34.68] 不让危险远雷池半步
[34.68-39.20] 我是光 我是影 我是你无形的眼
[39.20-42.84] 和雅智慧伴你看见更精彩的世界
[42.84-48.84] 本身研发工程师出身
[48.84-52.42] 对专业的执着 对品质的坚持
[52.42-54.46] 对创新的热忱
[54.46-55.96] 由于二十多年来
[55.96-58.66] 都一直专注在光学影像领域
[58.66-59.78] 所以让我看到
[59.78-62.60] 在未来市场的一个重要性
[62.60-64.92] 激起了心中的一个
[64.92-66.68] 沉寂已久的创业梦想
[66.68-70.04] 一步一步往世界级的公司迈进
[70.04-74.40] 和雅智慧的技术核心
[74.40-76.08] 包含AI的影像识别
[76.08-78.56] 影像品质的检测软体
[78.56-81.30] 精密光学的对位系统
[81.30-83.18] 智慧制造的系统整合
[83.18-87.50] 和雅智慧科技专注在光学 影像 AI
[87.50-89.52] 三个核心领域的技术研发
[89.52-89.76] 和雅智慧科技专注在光学 影像 AI
[89.76-92.02] 并透过三个核心技术的整合
[92.02-94.38] 提供客户各种光学检测
[94.38-95.76] 影像品质软体
[95.76-97.78] 以及AI演算法等方案
[97.78-100.74] 和雅智慧我们在光学 影像 AI
[100.74-102.26] 这三个技术的布局
[102.26-104.06] 我们投入大量的研发资源
[104.06-106.28] 在这个三大技术领域当中
[106.28-108.14] 我们的公司的产品形态
[108.14-110.32] 多于软体演算法为核心
[110.32-112.24] 但是我们会因应不同的市场
[112.24-113.70] 跟不同的应用的差异
[113.70-114.98] 需要整合其他的硬体
[114.98-116.90] 我们锁定的市场大概有三类
[116.90-118.94] 第一类是在车用市场
[118.94-120.52] 未来的车用市场
[120.52-122.46] 虽然它总量的增长不会太大
[122.46-123.70] 但是每年的总量
[123.70-125.60] 大概会在九千万辆上下
[125.60-127.72] 其中又因为新能源车
[127.72-129.54] 跟自动驾驶技术的提升
[129.54-131.98] 这个会对车用的各种光学模组
[131.98-133.46] 提供一个很好的成长动能
[133.46-137.94] 比如说前视 后视 环景 车内
[137.94-140.12] 甚至整合到智慧头灯的
[140.12-141.16] 3D感测系统
[141.16-143.94] 跟自动辅助驾驶的热成像模组等等
[143.94-146.10] 这些模组的生产测试
[146.10-148.68] 都需要采用我们的影像检测系统
[148.68-150.24] 以及光学主动式的
[150.24-151.62] 精密对纬系统等等
[151.62-153.36] 第二个市场是在半导体
[153.36-155.60] 因为在半导体的晶圆制程中
[155.60-158.28] 有很多需要对瑕疵进行检测
[158.28-160.58] 我们的AOI的瑕疵检测系统
[160.58-163.02] 除了传统的视觉检测以外
[163.02-164.58] 也融入我们自行开发的
[164.58-165.58] AI研发方法
[165.58-167.58] 一方面可以降低过杀率
[167.58-169.68] 另外一方面也可以把瑕疵做分类
[169.68-172.08] 在收集的批量的检测结果之后
[172.08-173.88] 经过我们的AI数据分析
[173.88-175.68] 可以提供客户制程优化
[175.68-176.78] 来改善良率
[176.78-178.24] 第三个就是
[178.68-179.98] 全球化的趋势
[179.98-182.22] 以及人口老化的动能不足
[182.22-184.34] 那未来对协作机器人
[184.34-186.74] 无人化工厂的需求将迅速增长
[186.74-187.78] 那这样的需求
[187.78-189.54] 也会需要各种2D 3D
[189.54-190.84] 影像的视觉
[190.84-193.16] 以及以AI进行生产
[193.16-194.68] 大数据分析的整合
[194.68-197.42] 和雅智慧股份有限公司
[197.42-199.08] 成立于2015年
[199.08-201.32] 从创业初期的艰辛
[201.32-203.22] 成长为近百人的企业
[203.22-205.26] 每一段里程碑
[205.26-207.64] 都是让我们骄傲的印记
[208.68-231.60] 和雅智慧深知
[231.60-234.00] 要在竞争激烈的市场中胜出
[234.00-236.48] 必须以研发作为核心动力
[236.48-238.66] 同时关注人才的养成
[238.68-241.44] 以确保技术创新的永续性
[241.44-243.58] 而营运团队在业务
[243.58-245.64] 管理与财务等领域
[245.64-246.54] 分工合作
[246.54-249.10] 形成了一套高效的运作体系
[249.10-251.02] 让公司在各个面向
[251.02-252.72] 都能稳步前行
[252.72-255.20] 近年推出的AI
[255.20-257.26] 光学 影像等方案
[257.26-258.14] 皆有斩获
[258.14-260.66] 反映在营收贡献上
[260.66-262.50] 创造连续4年的获利
[262.50-264.00] 并持续成长
[264.00-267.54] 我对待员工
[267.54-268.60] 如同对待
[268.68-269.48] 家人一般
[269.48-271.96] 在这一块推行的弹性工时
[271.96-273.98] 像员工的家庭日
[273.98-275.30] 部门的这个聚餐
[275.30-277.12] 然后甚至于员工旅游
[277.12-279.62] 后面的员工的认股
[279.62-281.64] 分红这些等等的措施
[281.64-283.46] 同仍有一个归属感
[283.46-286.58] 专业领域上精益求精
[286.58-288.76] 社会公益也薄弱人后
[288.76-291.46] 我们积极参与各项公益活动
[291.46-293.02] 善尽企业
