[0.00-1.68] 各位线上的投资先进
[1.68-2.80] 以及现场的投资先进
[2.80-3.58] 大家午安
[3.58-6.10] 欢迎大家参加联强国际
[6.10-9.76] 3月14号线上与实体法人说明会
[9.76-11.74] 首先先跟大家介绍
[11.74-13.72] 联强国际的经营团队
[13.72-17.04] 与会的长官有杜舒泉副总裁
[17.04-18.66] 与陈一如总监
[18.66-21.18] 今日的会议将由联强国际
[21.18-22.26] 进行公司简报
[22.26-24.22] 会后即进行Q&A
[24.22-25.74] 那我们现在就把时间
[25.74-27.42] 交给公司的经营团队
[27.42-28.18] 请谢谢
[28.18-31.46] 谢谢大家好
[31.46-34.50] 那我就开始我们今天
[34.50-39.76] 联强国际2024年年度的法说会
[39.76-43.20] 那首先的话
[43.20-45.66] 我想整个在2024年的话
[45.66-46.62] 整个就说
[46.62-49.84] 整个联强这个Consolid
[49.84-51.48] 合并的部分的话
[51.48-54.46] 是4260亿台币
[54.46-56.52] 那等于年对年的话
[56.52-58.00] 大概是超过8%的
[58.00-58.16] 一个成本
[58.18-59.02] 成长
[59.02-63.82] 那4260亿也是创下
[63.82-67.94] 其实历年来的一个新高这样子
[67.94-69.06] 那今年的话
[69.06-70.80] 就以去年24年的话
[70.80-71.82] 其实我们看到的话
[71.82-73.64] 其实四个季度的话
[73.64-77.02] 其实都是在差不多一千亿
[77.02-79.34] 一千亿以上这样子
[79.34-80.42] 那这个整个的话
[80.42-81.46] 就是整个历年
[81.46-86.10] 我们从2001年到目前为止
[86.10-87.06] 那整个的话
[87.06-88.00] 其实我们看到的话
[88.00-90.40] 其实就是逐年的一个成长
[90.40-95.44] 那整个从2001年到2024年的话
[95.44-96.88] 整个compound growth的话
[96.88-98.88] 大概是差不多9%
[98.88-101.40] 9%的一个状况
[101.40-102.80] 那再回头
[102.80-104.60] 我们看整个24年的一个
[104.60-105.76] 就是说
[105.76-108.84] 各类别产品的一个的一个业绩
[108.84-110.28] 那整个24年的话
[110.28-113.16] 我想整个8%的一个成长
[113.16-114.76] 那主要的成长的话
[114.76-117.84] 就是来自于就是enterprise的一个成长
[117.84-123.60] 那所以清净品和绿灯品
[123.60-125.92] 如果跟恒复量对比的话
[125.92-128.02] 的话就是价格 都10%
[128.02-129.62] 如果跟恒复量对比的话
[129.62-130.94] 特别是 lamb bolts
[130.94-138.32] 那
[138.32-140.32] 如果说科技我想说的
[140.32-142.04] 至于软件的话
[142.04-143.58] 如果说链接的话
[143.58-144.80] 你可以以它来说
[144.80-146.38] 一模一样
[146.38-147.68] 就不得了啊
[147.68-152.28] 另外消费性商品
[152.28-155.24] device and consumer 这边大概29%
[155.24-158.44] 手机的部分大概是5%
