[0.00-4.76] 各位现场以及线上的投资先进
[4.76-5.56] 大家午安
[5.56-9.48] 欢迎大家参加联强国际5月9号
[9.48-11.84] 线上与实体法人说明会
[11.84-15.36] 首先先跟大家介绍联强国际的经营团队
[15.36-18.68] 与会的长官有杜书权副总裁
[18.68-20.88] 以及陈怡如总监
[20.88-25.00] 今日的会议将由联强国际进行公司简报
[25.00-27.18] 会后即进行Q&A
[27.18-30.26] 那我们现在就把时间交给公司经营团队
[30.26-30.68] 谢谢
[30.68-33.10] 谢谢
[33.10-38.84] 同时也欢迎跟谢谢各位的参加
[38.84-44.34] 2025年联强国际第一季的一个法人说明会
[44.34-50.02] 那我就开始做今天的一个报告
[50.02-54.38] 那首先的话我想还是我们就直接看一下
[54.38-56.68] 这个第一季的一个
[56.68-58.86] 的绩效
[58.86-61.26] 那从营收的角度的话
[61.26-64.72] 第一季的话其实是衰退的
[64.72-68.04] 是衰退的相对于就说去年同期的话
[68.04-70.82] 大概衰退了12个percent
[70.82-76.08] 但是基本上的话其实虽然是衰退了12个percent
[76.08-78.94] 那其实在第一年来的话
[78.94-81.12] 其实基本上还是第三高
[81.12-82.68] 还是第三高这样
[82.68-84.68] 那我们来看就是说
[84.68-86.60] 同时我想
[86.68-91.68] 也先看一下就是说4月份的一个业绩
[91.68-93.68] 那4月份的业绩
[93.68-96.08] 我想昨天刚公告
[96.08-103.08] 那整个4月份的话大概是就是说这个2个percent的一个一个y的一个成长
[103.08-110.18] 那各类别的产品的话其实也都回到一个成长的一个轨迹
[110.18-113.88] 那除了就是说在消费性市场
[113.88-116.66] consumer的market里头
[116.68-121.68] 大概还是微乎有大概2-3个percent的一个的一个衰退
[121.68-123.68] 那同时的话我想
[123.68-127.68] 其实整个在第四季的话
[127.68-131.68] 在4月份的话实际上的话就说311亿的话
[131.68-135.68] 其实也是历年来的一个次高
[135.68-142.68] 那在这个商用市场的部分
[142.68-146.68] Technology solution这边的话就是大概
[146.68-148.68] 是成长5个percent
[148.68-154.68] 然后它也是等于是历年4月份的一个一个新高
[154.68-157.68] 那半导体的话也回到一个正的成长
[157.68-159.68] 大概小幅成长2个percent
[159.68-165.68] 但是它也是等于在4月份的一个历年的一个新高
[165.68-168.68] 那手机的话则有比较大幅的成长
[168.68-170.68] 大概24个percent
[170.68-172.68] 那我们刚讲到consumer这边的话
[172.68-174.68] 还是微幅的一个下滑
[174.68-176.68] 大概是超过23个percent这样子
[176.68-178.68] 那从区域的角度的话
[178.68-180.68] 大概就是除了香港
[180.68-183.68] 香港还是维持一个衰退
[183.68-185.68] 那大陆大概持平
[185.68-189.68] 那其他地区大概都有
[189.68-191.68] 大概high single
[191.68-194.68] 大概都8-9个percent的一个成长
[194.68-196.68] 那尤其在台湾的部分的话
[196.68-198.68] 其实在4月份的话
[198.68-200.68] 就是说不管是在商用
[200.68-203.68] 或是手机的部分都有一个大幅的成长
[203.68-206.68] 所以total的台湾部分的话
[206.68-209.68] 在去年在4月份的话
[209.68-211.68] 大概有超过20个percent的一个成长
[211.68-215.68] 所以我想整个累积前4个月的话
[215.68-222.68] 那整个业绩就来到了1225亿
[222.68-225.68] 那年对年的一个比较来看的话
[225.68-230.68] 大概整个就是说整个还是有超过9个percent的一个衰退
[230.68-235.68] 好那我们回头我们来细看一下就是说整个在第一季的一个
[236.68-237.68] 一些数字
[237.68-241.68] 那整个整个第一季的话
[241.68-245.68] 相对年对年当然是衰退了12个percent
[245.68-248.68] 那也就是大概差不多124亿
[248.68-252.68] 但是回头的话我们看到就在资讯通路这边的话
[252.68-258.68] 其实商用市场还是维持一个非常稳健的一个成长
[258.68-260.68] 大概9个percent的一个成长
[260.68-263.68] 那其实年对年大概多了23亿
[263.68-266.68] 那消费性市场的话
[266.68-269.68] 还是比较弱一点
[269.68-270.68] 比较weak一点
[270.68-274.68] 那大概就是小幅的衰退大概3个percent
[274.68-276.68] 所以这部分的话其实从金额来看的话
[276.68-278.68] 大概差了大概是9亿
[278.68-286.68] 那手机的部分一样就是说也是稍微比较weak一点
[286.68-290.68] 大概是2个percent的一个衰退
[290.68-292.68] 那等于是差了大概超过1亿
[292.68-296.68] 所以从这边来看的话就是说其实整个overall
[296.68-299.68] 在IT distribution
[299.68-304.68] IT distribution这边的话其实实际上大概是有差不多2个percent的一个成长
[304.68-309.68] 2个percent的成长那也就是大概有差不多成长13亿
[309.68-312.68] 所以overall的话我想整个在第一季的话
[312.68-316.68] 主要的话就是在半导体事业部这边
[316.68-319.68] 因为衰退了27个percent差了135亿
[319.68-323.68] 所以说即使在IT通路这边是有小幅的成长
[323.68-326.68] 但是整个整体的话大概还是很少的
[326.68-329.68] 也是有差不多12个percent的一个衰退
[329.68-334.68] 那整个半导体这边的一个衰退主要的话我想就是在去年
[334.68-340.68] 在去年的话我想同期的话因为就是说各种因素大家积极的在拉货
[340.68-347.68] 所以说当时整个就是说半导体事业部在去年第一季也是创下了一个历史新高
[347.68-351.68] 大概是来到将近500亿494亿
[351.68-355.68] 那今年的话其实就
