[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-59.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[60.00-65.36] 加斯达科技股份有限公司2024年第四季法人说明会
[65.36-84.48] 本次会议会由加斯达董事长陈其红Peter
[84.48-86.62] 总经理黄汉洲Joe
[86.62-89.82] 及财务长洪秋金Jessime主讲
[90.00-93.70] 另有邀请加斯达哥事业群总经理与会
[93.70-94.90] 分别为
[94.90-99.86] 资讯科技事业群总经理薛道龙Daniel薛
[99.86-105.12] 商业及工业用事业群总经理林玉清玉清玲
[105.12-109.62] 医疗事业群总经理杨洪培Harry杨
[109.62-114.96] 智能方案事业群总经理曾文新Joshua曾
[114.96-119.90] 网路通讯事业群总经理黄文芳April Huang
[120.00-122.98] 与网络人员陈薛董事长与网络人员陈薛董事长
[122.98-126.98] 与网络人员陈薛董事长与网络人员陈薛董事长
[126.98-134.98] 与网络人员陈薛董事长与网络人员陈薛董事长
[134.98-137.98] 今日会议时间预计一个小时
[137.98-139.42] 议程如下
[139.42-146.30] 首先会先由财务长Jessime来说明2024年第四季财务结果及业务摘要
[146.30-152.38] 再由董事长Peter总经理Joe说明公司的营运概况及未来展望
[152.38-157.48] 接着会由各事业群总经理简短分享事业群业务摘要
[157.48-161.12] 之后我们将进行Q&A
[161.12-165.28] 您可以利用网络下方提问区输入您的提问
[165.28-174.06] 我们将整理所有投资先进的提问后汇总回复
[174.06-176.28] 在开始报告之前在此前
[176.30-179.48] 提醒各位先进留意免责声明
[179.48-183.22] 报告中任何前瞻性的预测是有其风险的
[183.22-188.54] 并请各位花一些时间阅读投影片第四页的免责声明
[188.54-189.42] 谢谢各位
[195.02-198.48] 接下来我们把时间交给财务长Jessime
[198.48-203.24] 请他来说明2024年第四季财务结果及业务摘要
[206.30-208.30] 是否有任何的预测
[208.30-210.30] 请大家可以在此处订阅
[210.30-212.30] 各位投资先进大家午安
[212.30-215.30] 我是嘉士达集团财务长红秋金Jessime
[215.30-218.92] 那现在先由我来跟各位做简报
[218.92-221.70] 有关于嘉士达呢已经成立了40年
[221.70-229.34] 最主要是focus在资讯产业医疗事业智能解决方案及网络通讯事业四大事业群
[229.34-235.22] 那在全球都是有布局的在制造基地最主要是在台湾中国越南
[235.22-238.72] 在销售服务据点是全球有200多个据点
[238.72-241.72] 主要的研发据点在台湾跟中国
[241.72-244.72] 全球的员工人数有26000人
[244.72-247.72] 我们除了在事业的布局上面
[247.72-252.72] 在近年来我们也追求这个ESG的一个成效以及最佳企业雇主奖
[252.72-255.72] 所以我们看到2024年继2023年之后
[255.72-258.72] 我们还是连续获得很多的奖项
