[0.00-2.40] 各位貴賓還有線上的朋友們
[2.40-4.40] 大家午安 大家好
[4.40-6.00] 接下來要進行的場次是
[6.00-9.40] 所羅門股份有限公司的業績展望會
[9.40-11.00] 同樣的前面的20分鐘
[11.00-13.60] 我們會請公司先來進行財務
[13.60-15.40] 還有業務的一個簡報
[15.40-17.40] 而緊接著來的10分鐘是
[17.40-20.20] 意見Q&A 交流的時間
[20.20-22.20] 那麼在我們正式開始之前
[22.20-24.00] 我們就先來介紹一下
[24.00-25.60] 今天與會的貴賓
[25.60-27.20] 稍後唱頻道的時候
[27.20-28.90] 請站起來跟我們線上的朋友
[28.90-30.70] 還有在線上的朋友們
[30.70-32.50] 揮揮手打聲招呼囉
[32.50-33.90] 那我們就先來介紹的是
[33.90-36.70] 所羅門的陳振隆董事長
[40.80-43.30] 所羅門的房世昌財務長
[46.10-48.30] 今天非常感謝兩位的到來
[48.30-49.30] 那麼緊接著
[49.30-51.80] 我們就要邀請到財務長上台
[51.80-53.50] 來為我們做簡報了
[53.50-54.50] 歡迎財務長
[58.90-75.10] 主持人各位媒體先進
[75.10-76.50] 還有各位投資人
[76.50-78.10] 大家下午好
[78.10-80.50] 我是所羅門財務長兼發言人
[80.50-81.50] 洪世昌
[81.50-83.50] 今天會分兩個部分
[83.50-85.50] 有關財務面的部分由我來報告
[85.50-87.10] 優惠面的部分
[87.10-88.70] 我會請我們董事長陳董事長來講
[88.90-90.50] 做說明
[90.50-92.20] 我們看下一頁
[92.20-95.00] 我們看一下今年第一季的一個
[95.00-96.70] 整體的一個業績表現
[96.70-98.50] 在營收的部分
[98.50-100.80] 總共是在12.12億
[100.80-102.40] 那這部分的話
[102.40-105.00] 跟去年第一季同期來比較的話
[105.00-107.90] 是有成長了大概有4%
[107.90-111.10] 增加了大概有4.3億的一個營業額
[111.10-113.40] 那主要是在自動化產品
[113.40-116.40] 還有這個機類產品的部分的
[116.40-118.70] 增加的影響
[118.90-120.90] 我們看下一頁
[120.90-123.40] 那整個在百BU的Blaid Down的部分
[123.40-124.40] 我們可以看到
[124.40-126.90] 在自動化產品的部分的話
[126.90-129.90] 在第一季的部分其實已經到
[129.90-134.40] 從22.41提升到25.05
[134.40-137.40] 大概有增加了2.64%的一個占比
[137.40-140.90] 這個在自動化產品的部分
[140.90-142.90] 那我們看下一頁
[142.90-145.90] 接下來我們看整個合併的一個
[145.90-146.90] 損益的部分
[146.90-147.90] 剛才提到整個
[148.90-151.90] 營收的部分是在12.16億
[151.90-153.90] 跟去年第一季同期比的話
[153.90-155.90] 是成長了大概54%
[155.90-157.90] 那在毛利額的部分
[157.90-159.90] 是2.4億
[159.90-163.90] 那這毛利額部分是有19.23
[163.90-165.90] 跟去年第一季大概有略微下降
[165.90-166.90] 大概2.8
[166.90-167.90] 那這部分的話
[167.90-169.90] 在整個因為業績的一個
[169.90-172.90] 產品組合的一個不一樣的部分
[172.90-174.90] 所以有一些小小的一個差異
[174.90-176.90] 那我們看一下整個在
[176.90-178.90] 營業費用的部分是
[178.90-179.90] 2.16億
[179.90-181.90] 那這部分的話比去年大概
[181.90-183.90] 同期大概增加1800萬
[183.90-185.90] 那這部分主要是在我們的
[185.90-187.90] 研發費用的一個增加
[187.90-189.90] 還有我們推銷費用的一個增加
[189.90-193.90] 那本業的部分我們獲利是1800萬
[193.90-196.90] 那跟去年虧損的2300萬來比較的話
[196.90-201.90] 大概增加了4100萬的一個本業的獲利
[201.90-203.90] 那我們接下來看一下
[203.90-205.90] 在業外
[205.90-207.90] 業外收支的部分
[207.90-209.90] 我們這邊的話主要影響是在
[209.90-212.90] 我們看一下我們在那個其他
[212.90-216.90] 這個主要在這個其他的
[216.90-218.90] 業外收支的部分我們這邊
[218.90-220.90] 是有虧損了3100萬
[220.90-222.90] 那主要是我們公司持有
[222.90-224.90] 投資的一些股票
[224.90-226.90] 在3月的時候
[226.90-228.90] 我們在這個月份的
[228.90-230.90] 這個月份的這個股票
[230.90-232.90] 我們在這個月份的這個股票
[232.90-234.90] 我們在這個月份的這個股票
[234.90-236.90] 我們在這個月份的這個股票
[236.90-238.90] 在3月的時候
[238.90-240.90] 股票整個市場不好
[240.90-242.90] 這邊我們大概虧損了大概
[242.90-246.90] 損失了大概有7400萬的一個影響
[246.90-248.90] 所以本在稅前
[248.90-251.90] 稅後的一個經濟是1310萬
[251.90-254.90] 那EPS在0.07元
[254.90-257.90] 這在整個合併的一個損益的部分
[257.90-260.90] 那接下來我們看下一頁
[260.90-262.90] 在資產物在表的部分我們看一下
[262.90-266.90] 從資產在117千100萬
[266.90-269.90] 那較去年大概增加了大概1.3億左右
[269.90-271.90] 那主要是在運收帳款的部分
[271.90-273.90] 大概有增加2.4億
[273.90-275.90] 跟存貨這邊減少1億
[275.90-277.90] 那這裡就呼應我們剛才看到
[277.90-280.90] 第一季的整體的一個業績是有成長的
[280.90-283.90] 那總負債的部分是39億9千萬
[283.90-285.90] 那較去年大概增加了3億
[285.90-288.90] 那其中在應付帳款的部分增加6千萬
[288.90-291.90] 那在另外一部分是應付股利的部分
[291.90-294.90] 因為我們今年要分發股利大概是1塊錢
[294.90-296.90] 那我們今年要分發股利大概是1塊錢
[296.90-298.90] 那在另外一部分是應付股利
[298.90-300.90] 大概有1.7億的一個應付股利的一個負債
[300.90-303.90] 整個負債比大概是40%
[303.90-306.90] 那股東權益的部分是60億8千萬
[306.90-309.90] 那較去年大概減少1.7億
[309.90-311.90] 那這邊就是剛才提到的
[311.90-313.90] 那個應付股利的部分有1.7億
[313.90-317.90] 那每股淨值的部分是35.4元
[317.90-319.90] 那我們看一下下一頁
[319.90-324.90] 好 這是我們歷年來的EBS跟股利的一個發放
[324.90-326.90] 那我們看一下去年整體的
[326.90-328.90] 我們的EBS是0.84元
[328.90-331.90] 那我們預計發放的股利是1塊錢
[331.90-334.90] 那接下來針對業務面的部分
[334.90-337.90] 我們請董事長上這邊來做說明
[343.90-346.90] 各位投資界的朋友 大家午安
[346.90-350.90] 我想針對我們展望
[350.90-354.90] 大家比較關心的應該都是在我們的AI的
[354.90-356.90] 還有機器人相關的業務
[356.90-359.90] 今天也比較針對這部分來做說明
[359.90-362.90] 那首先我先講一下
[362.90-366.90] 整個在我們這個AI機器人的部分
[366.90-368.90] 不包括我們代理的這部分
[368.90-372.90] 我們現在大概全球已經有超過500家的客戶
[372.90-375.90] 這500家的客戶大概也有差不多三分之一
[375.90-380.90] 是已經有重構 就是是repeat customer
[380.90-384.90] 那這個跨的行業也蠻多的
[384.90-386.90] 我這邊分兩頁來做說明
[386.90-391.90] 第一頁是針對我們的3D機器人視覺這一部分
[391.90-394.90] 那這一部分可以看到
[394.90-398.90] 從半導體的設備 半導體的這個Fab
[398.90-400.90] 晶圓廠 Logistics各行各業
[400.90-402.90] 這行業非常的多
[402.90-406.90] 那在應用也有非常多不同的應用
[406.90-410.90] 從3D的亂對取料 拆舵
[410.90-412.90] 到有些像鞋子的打磨
[412.90-413.90] 這個 這些都是我們在做的行業的部分
[414.90-417.90] 汽車的塗膠噴膠等等
[417.90-421.90] 各式各樣的會用到機器人3D視覺的應用都有
[421.90-425.90] 而且他這個客戶也是分佈在全球
[425.90-428.90] 例如說在半導體設備這邊
[428.90-431.90] 我們就有美系跟歐系的半導體設備
[431.90-433.90] 作為我們的算是大客戶
[433.90-435.90] 這下一頁
[435.90-439.90] 那另外一塊是跟機器人比較不相關的
[439.90-441.90] 例如說像檢測
[441.90-443.90] 檢測這邊其實是我們
[443.90-446.90] 更大眾的一個生意來源
[446.90-449.90] 那這包括瑕疵的檢測
[449.90-451.90] Counting的技術
[451.90-453.90] OC 手碼等等
[453.90-454.90] 很多的不同的應用
[454.90-457.90] 包括像我們把AI跟AR
[457.90-459.90] 眼鏡又結合在一起的一些
[459.90-462.90] SOP的Validation等等
[462.90-464.90] 那這邊應用的行業會更多的
[464.90-466.90] 因為各行各業都需要檢測
[466.90-468.90] 那這邊從
[468.90-470.90] 例如說像這個
[470.90-472.90] 像一些精品業像Chanel
[473.90-474.90] 到半導體
[474.90-475.90] 到農產品
[475.90-477.90] 各行各業都有
[477.90-479.90] 所以這部分也是
[479.90-481.90] 大家現在比較關注我們都是在ROBA這邊
[481.90-483.90] 其實在非ROBA這邊
[483.90-487.90] 這塊對我們來講其實也是很重要
[487.90-489.90] 下一頁
[489.90-491.90] 因為時間不多
[491.90-493.90] 所以我就直接跳到說
[493.90-496.90] 在短期之內我們在AI這邊
[496.90-498.90] 我們會有兩個策略的主軸
[498.90-499.90] 第一個
[499.90-501.90] 我們過往因為只
[501.90-502.90] 單賣軟體
[502.90-504.90] 所以那個
[504.90-506.90] 單價都搞不了到太多了
[506.90-508.90] 那現在我們開始會
[508.90-510.90] 提供這個FOR Solution
[510.90-512.90] 那其實最近我們有跟
[512.90-514.90] 那個
[514.90-516.90] 回答跟NVIDIA跟音業達
[516.90-518.90] 共同有公布一個Solution
[518.90-520.90] 那這個三家公司都有發
[520.90-522.90] 發布這個新聞稿
[522.90-524.90] 那我們放一下這個影片
[524.90-526.90] 這是其中之一個Solution
[526.90-528.90] 這就是用在SERVER
[528.90-530.90] AI SERVER的瑕疵檢查上面
[530.90-532.90] 那這其實把ROBA呢跟
[532.90-534.90] 瑕疵檢測搭配一起在應用
[534.90-536.90] 有用到FOR Solution的這個
[536.90-538.90] Motion Planning入境控制
[538.90-540.90] 加上鎖我們自己的AI瑕疵的檢測
[540.90-542.90] 整合在一起
[542.90-544.90] 那這個會有什麼樣的差別呢
[544.90-546.90] 過去可能一套瑕疵檢測軟體
[546.90-548.90] 我們可能只會賣到一兩萬美金
[548.90-550.90] 那透過這樣的Solution
[550.90-552.90] 比如說我們除了賣給音業達以外
[552.90-554.90] 我們賣給美國的做
[554.90-556.90] 引擎牙套的公司
[556.90-558.90] 也是用這樣的方式去做
[558.90-560.90] 多面的檢測
[560.90-562.90] 就可以到十萬甚至更高的美金
[562.90-564.90] 一套
[564.90-566.90] 所以我們希望說透過提供這樣的Solution
[566.90-568.90] 更多的這樣的Solution能夠提高我們的
[568.90-570.90] 平均售價
[570.90-572.90] 這是
[572.90-574.90] 當然不只單單只有這樣的Solution
[574.90-576.90] 我們會有很多這樣的Solution推出來
[576.90-578.90] 再回到剛剛那邊
[578.90-580.90] 那第二個
[580.90-582.90] 這個是中長期
[582.90-584.90] 但現在已經在做了
[584.90-586.90] 就是Jensen呢
[586.90-588.90] 這次在很
[588.90-590.90] 其實也不只就這次了
[590.90-592.90] GTC到這次的Computex
[592.90-594.90] 都有不斷的在提供
[594.90-596.90] 提倡這個物理代理人
[596.90-598.90] Physical Agent
[598.90-600.90] 這個概念
[600.90-602.90] 那Physical Agent這個概念其實
[602.90-604.90] 從來看這是一定是未來
[604.90-606.90] 所以我們其實已經在做
[606.90-608.90] 那這為什麼說我們已經在做
[608.90-610.90] 我用待會
[610.90-612.90] 以下幾張的這個slide
[612.90-614.90] 來跟大家說明一下
[614.90-616.90] 下一張
[616.90-618.90] 其實一個
[618.90-620.90] 要變為一個物理代理
[620.90-622.90] Physical Agent
[622.90-624.90] 這個Agent跟我們現在所講的這個
[624.90-626.90] 像我們長期在做的這個
[626.90-628.90] 代理這是不一樣的
[628.90-630.90] 這個代理商跟代理人這個定義差別很大
[630.90-632.90] 代理人呢
[632.90-634.90] 在AI的裡面定義是
[634.90-636.90] 你需要透過AI
[636.90-638.90] 讓他自主的去
[638.90-640.90] 幫助下指令的人完成工作
[640.90-642.90] 那從
[642.90-644.90] ROBA的這個角度來看
[644.90-646.90] 這個代理人他最起碼要
[646.90-648.90] 具備幾個Element幾個要素
[648.90-650.90] 那第一個他的
[650.90-652.90] 要一個很聰明的視覺
[652.90-654.90] 因為有一個
[654.90-656.90] 不錯的視覺
[656.90-658.90] 他才能夠快速去學習各式新的物件
[658.90-660.90] 那
[660.90-662.90] 我想我們已經在
[662.90-664.90] 很多的客戶端
[664.90-666.90] 都已經證明說我們的
[666.90-668.90] AI在做視覺辨識的時候
[668.90-670.90] 所需要的學習的張數是
[670.90-672.90] 遠比同行所需要的
[672.90-674.90] 要少非常多
