[0.00-3.24] 先由財務處的士傑來為我們做簡報
[3.24-5.50] 那投資人如果對於
[5.50-8.00] 會後有什麼要進行QA的部分
[8.00-9.70] 我們就是結束錄影
[9.70-12.10] 讓整個簡報流程
[12.10-14.20] 完整做一個結束ending之後
[14.20-15.70] 我們再做QA
[15.70-17.70] 好 那謝謝 歡迎士傑
[19.70-21.00] 大家好
[21.00-24.60] 我是藍天電腦財務處的Jane
[24.60-26.70] 那今天主要由我為各位說明
[26.70-28.20] 就是我們
[28.20-30.20] 去年的第四季還有全
[30.20-33.20] 2024年整年度的整個營業成果
[33.20-34.20] 那今天主要的簡單就是
[34.20-36.70] 我會分成八個部分來做說明
[36.70-38.20] 那就是包括了
[38.20-39.20] 從我們公司簡介
[39.20-41.20] 還有我們三個主要事業體能介紹
[41.20-42.90] 那最後是集團三個不動產
[42.90-43.70] 還有我們的投資案
[43.70-46.20] 台北雙金跟大成以及未來採貨品
[47.70-50.20] 好 那我們先看一下公司簡介的部分
[50.20-50.90] 藍天電腦的話
[50.90-52.70] 我們是在1983年成立
[52.70-54.70] 然後在1997年上市
[54.70-57.50] 那目前的股本的話是63.23億元
[57.50-58.20] 那扣除付出的部分
[58.20-60.20] 就是我們在1993年成立的股產股
[60.20-62.20] 有通在外的股數是5.85億股
[64.20-66.20] 那集團我們成立到目前為止
[66.20-67.20] 已經超過40年
[67.20-71.20] 那目前的淨值的話是445億元
[71.20-74.20] 那除了筆電的事業之外
[74.20-76.20] 我們旗下板老會商場在中國的話
[76.20-78.20] 目前也是IT商場的第一大股牌
[78.20-80.20] 那目前集團的商用不動產的話
[80.20-82.20] 累計有56萬筆
[82.20-84.20] 那整體的不動產市值的話
[84.20-87.20] 目前是大概1325億元
[88.20-91.20] 那這邊簡單跟各位介紹一下
[91.20-93.20] 就是我們主要的事業群
[93.20-94.20] 那我們可以看到前面有兩個
[94.20-96.20] 我們百分之百持有的NB事業群
[96.20-97.20] 跟白老會事業群
[97.20-98.20] 那這邊的話是
[98.20-100.20] 筆電事業群是我們的
[100.20-103.20] 本業也是我們最主要的營收來源
[103.20-105.20] 那白老會事業群主要的話是
[105.20-107.20] 經營IT的複合式商場
[107.20-109.20] 那接下來還有我們轉投資的群百工廠
[109.20-111.20] 台北中興跟大成
[111.20-113.20] 那群百工廠的話主要是經營百貨商場
[113.20-116.20] 那在武漢跟成都這兩個地方都有據點
[116.20-118.20] 那另外在成都店的樓上喔
[118.20-120.20] 我們也有跟軍人酒店做合作
[120.20-122.20] 那台北中興跟大成公司呢
[122.20-125.20] 這兩個主要是負責我們台北西區門戶計畫的投資案
[125.20-127.20] 那分別是持股百分之50
[127.20-129.20] 跟持股百分之24.5
[129.20-132.20] 好那我們來看一下我們第四季的營運成果
[132.20-140.20] 2024年第四季我們單季的合併營收是73.41億元
[140.20-142.20] 那季成長是百分之3
[142.20-144.20] 年成長是百分之9
[144.20-148.20] 那這也是我們近12季的合併營收的新高
[148.20-152.20] 營業毛利的話是14.38億元
[152.20-153.20] 季成長百分之5
[153.20-155.20] 年成長百分之10
[155.20-157.20] 營業利益6.36億元
[157.20-158.20] 那季增百分之19
[158.20-160.20] 年增百分之48
[160.20-164.20] 那第四季的稅後淨利的話是4.78億元
[164.20-168.20] 那這邊我們可以看到季增的話是百分之671
[168.20-170.20] 那年增的話是百分之130
[170.20-174.20] 單季的稅後每股營運是0.82億元
[174.20-176.20] 那我們整個年度來看的話
[176.20-180.20] 我們營收是265.83億元
[180.20-182.20] 那相較去年通期的
[182.20-185.20] 去年成長的百分之9
[185.20-189.20] 那這個營收也是我們上次以來的歷史次高
[189.20-193.20] 那我們接下來看到我們營業毛利的話是52.73億元
[193.20-195.20] 那年增是百分之8
[195.20-197.20] 營業利益是21.83億元
[197.20-199.20] 年增百分之26
[199.20-201.20] 那業外支出的話這邊有3.6億元
[201.20-204.20] 那這個組成的話後面我們會再做一個說明
[204.20-205.20] 那全年的說明呢
[206.20-208.20] 稅後淨利的話17.68億元
[208.20-210.20] 那年增是百分之67
[210.20-212.20] 淨利率來到了百分之7
[212.20-215.20] 那相較去年的話是成長了3個百分點
[215.20-220.20] 稅後每股營運是3.02億元
[220.20-226.20] 那接下來這個圓餅圖的話是主要我們各部分別的營業收入的佔比
[226.20-227.20] 我們可以先看一下
[227.20-230.20] 就是這是我們去年第四季的時候
[230.20-232.20] 這藍色的部分是我們筆電的營收的狀況
[232.20-236.20] 那時候筆電的營收佔比的話是百分之88億元
[236.20-238.20] 那到今年下半年的時候
[238.20-240.20] 所以這筆電營收的成長
[240.20-243.20] 那我們的佔比的話已經來到了百分之89
[243.20-245.20] 那我們看一下下面細部的部分
[245.20-251.20] 去年第四季的時候我們單季的筆電營收是65.33億元
[251.20-252.20] 那季增是百分之3
[252.20-254.20] 年增是百分之9
[254.20-260.20] 百分之8的部分的話主要是來自於ID商場的經營的收入
[260.20-262.20] 那我們可以看到其實它這個是相對比較遲溫的
[262.20-264.20] 第四季的話是8.08億元
[264.20-265.20] 季增是百分之5
[265.20-266.20] 年增是百分之6
[266.20-269.20] 那合併來看的話是73.41億元
[269.20-274.20] 那這是我們全年營收的圓餅圖
[274.20-276.20] 我們來看一下一樣就是
[276.20-278.20] 筆電營收的增加
[278.20-280.20] 也在佔比的話還是在全年度來看的話
[280.20-283.20] 還是增加從百分之87變成百分之88
[283.20-288.20] 那筆電全年的營收是234.88億元
[288.20-291.20] 那年增長也達到了百分之10
[291.20-294.20] 那這個我們已經筆電營收的話
[294.20-295.20] 我們已經連兩年
[295.20-297.20] 連兩年而已
[297.20-299.20] 雙分數的成長
[299.20-303.20] 那今年的話234.88億元也是我們明年營收的歷史新高
[303.20-305.20] 那我們可以看到接下來百分之會收入的部分
[305.20-307.20] 百分之會收入就是
[307.20-309.20] 這個租金收入就是相對比較穩定
[309.20-311.20] 那我們可以看到其實
[311.20-315.20] 每年的話都大概會落在新台幣30億元左右
[315.20-319.20] 那合併的話我們就是265.83億元
[322.20-324.20] 接下來來到我們的營業經濟的部分
[325.20-327.20] 那這邊上面的這個長條圖呢
[327.20-329.20] 這個藍色的部分一樣也是筆電試驗群
[329.20-331.20] 那我們可以看到這個是
[331.20-334.20] 在整個佔比的部分的話
[334.20-337.20] 我們可以看到就是今年的下半年的時候
[337.20-341.20] 整個筆電的OP就是相對的佔比會逐漸的提升
[341.20-343.20] 那我們看一下以全年來看的話
[343.20-345.20] 以今年來看的話
[345.20-347.20] 第一季的話就是相對比較適合
[347.20-349.20] 那接下來我們可以看到從第二季第三季第四季
[349.20-351.20] 都是呈現主季的成長
[351.20-353.20] 也都突破了3億元
[353.20-355.20] 那反而會的部分的話就是相對比較適合
[355.20-357.20] 那第三季的部分呢
[357.20-360.20] 這個第三季的部分也稍微比較低一點
[360.20-362.20] 主要還是因為第三季的時候
[362.20-364.20] 因為其實就是四農暑假
[364.20-368.20] 那再加上當時當地的政府有推出一些促進消費的政策
[368.20-371.20] 那我們就配合著這個特別的期間
[371.20-373.20] 讓我們也多增加了我們的行銷費用
[373.20-377.20] 所以在這個部分的話第三季的話會稍微有一點落差
[377.20-379.20] 但是其實以全年度來看的話
[379.20-382.20] 其實白人會的部分的話OP來講都是相對的平穩的
[385.20-395.20] 全年的話比例的OP來到11.72億元
[395.20-397.20] 那年增的話是30%
[397.20-399.20] 白人會的話是10.89億元
[399.20-401.20] 那年增的話是23%
[401.20-403.20] 全年的21.83億元
