[0.00-11.00] 各位投資媒體先進女士先生,大家午安
[11.00-16.00] 今天是114年3月18日星期二
[16.00-19.00] 現在是下午2點30分
[19.00-24.00] 昆雲公司召開113年度第四季的營運簡報法說會
[24.00-26.00] 我是財快處副總高安明
[26.00-30.00] 今天由我來在這邊為各位簡報
[30.00-38.00] 這是今天我們主要的簡報的內容
[38.00-43.00] 在第四季,113年第四季
[43.00-46.00] 在季節性來講的話,開始步入了淡季
[46.00-50.00] 所以相對的一些數據跟第三季比的話
[50.00-52.00] 稍微有點,略微下滑
[52.00-56.00] 但是如果我們跟2023年
[56.00-59.00] 跟112年第四季的同期來比的話
[59.00-62.00] 仍然可以看到一個不錯的表現
[62.00-64.00] 首先在營收的部分
[64.00-69.00] 去年113年第四季的合併營收是2.27億
[69.00-74.00] 跟2023年的同期第四季來比較的話
[74.00-77.00] 增長了15.1%
[77.00-81.00] 另外在營業利益的部分
[81.00-84.00] 有達到966萬,接近1000萬的水準
[84.00-86.00] 這邊主要的
[86.00-90.00] 是本業獲利的一個表現
[90.00-95.00] 跟去年的,跟112年第四季來比的話
[95.00-101.00] 因為112年的第四季是呈現一個營運損失的情況
[101.00-107.00] 所以較2023的同期成長了191%
[107.00-110.00] 這邊主要的一個原因就是
[110.00-113.00] 營收雖然成長了15.1%
[113.00-114.00] 但是毛利率,第四季的毛利率
[114.00-115.00] 仍然維持在接近1%
[116.00-119.00] 所以是接近4成左右的一個高檔水準
[119.00-122.00] 那另外在營業費用這邊控管的不錯
[122.00-124.00] 控管得宜
[124.00-128.00] 所以說整個營業利益是大幅的一個成長的情況
[128.00-131.00] 那另外在業外的部分
[131.00-134.00] 因為有一些穩定的業外收益
[134.00-136.00] 主要是利息收入
[136.00-140.00] 還有一些轉投資收益的一些業外收益的貢獻
[140.00-143.00] 所以第四季的稅後淨利
[143.00-144.00] 歸屬母公司的金額獲利
[144.00-147.00] 達到2000萬以上的水準
[147.00-152.00] 跟112年,2023年的第四季來比的話
[152.00-156.00] 轉虧為盈同時也大幅成長了509%
[156.00-160.00] 那如果我們看去年第四季的三運來看的話
[160.00-163.00] 毛利率是39.2%
[163.00-166.00] 那在營業利益的部分是達到4.3%
[166.00-171.00] 稅後淨利率達到9.2%
[171.00-173.00] 那另外在單季的EPS是0.0%
[174.00-178.00] 全年度的EPS
[178.00-180.00] 2024年EPS是0.64%
[180.00-185.00] 那接下來我們用綜合損益表這邊來做一個說明
[185.00-189.00] 那在毛利率的部分
[189.00-192.00] 這邊可以看到毛利率是39.2%
[192.00-197.00] 那跟前一年度2023年第四季來比的話
[197.00-199.00] 增長了5個百分點左右
[199.00-201.00] 那在費用的部分剛剛有提到
[201.00-204.00] 費用只是略微增加了100萬台幣
[204.00-207.00] 所以整個營業利益接近1000萬的水準
[207.00-213.00] 跟2023年第四季比的話是一個大幅改善的一個情況
[213.00-217.00] 那另外在稅前的部分2500萬呢
[217.00-220.00] 跟同期來比的話呢
[220.00-223.00] 是成長了10倍
[223.00-226.00] 那在稅後這邊也成長了5倍之多
[226.00-230.00] 那所以這邊呢我們列出來在QOQ的部分
[230.00-232.00] 第三季大概是略微下滑了
[232.00-233.00] 但是在年度的部分可以看到呢
[234.00-239.00] 是營收的獲利毛利的成長是30
[239.00-242.00] 毛利的年增率32.8%
[242.00-245.00] 勝於營收的年增率
[245.00-249.00] 另外在營業利益稅前和稅後這邊
[249.00-251.00] 都是有一個協助的一個成長
[251.00-254.00] 那以去年全年2024的表現來看
[254.00-256.00] 營收是9.79億
[256.00-259.00] 那年增跟2023比的話
[259.00-261.00] 年增了27%
[261.00-264.00] 那在營業毛利的部分3.9%
[264.00-266.00] 那在2024的部分3.9億呢
[266.00-269.00] 毛利率有達到4成以上的水準
[269.00-272.00] 那毛利額的成長也成長了35.7
[272.00-275.00] 那費用是小幅增加12.8
[275.00-277.00] 所以本業的營業利益呢
