[0.00-2.28] 女士先生,大家午安
[2.28-8.08] 今天是114年5月16日星期五
[8.08-11.00] 现在是下午2点30分
[11.58-16.86] 昆银公司召开114年度第一季法人说明会
[16.86-19.10] 我是财会处副总高安明
[19.10-21.94] 由我在这边为各位做简报
[21.94-27.32] 这是今天简报的内容
[30.00-32.68] 第一季的营业重点
[32.68-34.96] 今年第一季,2025年第一季
[34.96-38.18] 昆银公司的合并营收是2.34亿
[38.18-41.76] 如果跟去年同期第一季来比的话
[41.76-44.68] 为福成长了4.8%
[45.32-48.46] 第一季的营业利益是750万
[48.46-52.82] 较去年的同期衰退了4成左右
[52.82-57.16] 这个主要是因为费用比较高的一个原因
[57.16-59.98] 在第一季的税后进展
[60.00-62.30] 昆银公司的预算是
[62.30-64.30] 费用比较高的一个原因
[64.30-70.18] 就是因为昆银公司的营业利益归属母公司的获利金额是1600万
[70.18-74.18] 跟去年的同期比较减少了54%
[74.18-77.22] 这边当然除了营业利益减少之外
[77.22-82.22] 业外的收支跟去年的同期比也有略微的下降
[82.22-86.22] 等一下在后面的综合损益表会跟各位做说明
[86.22-89.72] 但是如果我们看第一季的三率的变化
[89.72-94.46] 营业利益的部分是3.2个百分点
[94.46-98.28] 税后净利率是6.8个百分点
[98.28-102.18] 另外在第一季的所得税费用是比较高的
[102.18-106.14] 因为有针对去年度的未分配盈余
[106.14-112.32] 提列了5%的营所税大约是150万
[112.32-116.68] 所以让今年第一季的有效税率大约是32.8
[116.68-119.60] 首先就是
[119.72-122.72] 今年第一季的综合损益表
[122.72-129.72] 营收的部分跟去年的同期比是成长4.8个百分点
[129.72-133.72] 在毛利率的部分38.8
[133.72-138.72] 跟去年第一季的38.2来比的话毛利率是有略微提升的
[138.72-142.72] 所以整个毛利额是增长了6.6个百分点
[142.72-147.72] 在费用的部分因为第一季的销售费用和管理费用是比较高的
[147.72-149.72] 所以第一季的营业费用是比较高的
[149.72-151.72] 所以最后的营业费用是8400万
[151.72-155.72] 跟去年同期来比的话增加了14.2个百分点
[155.72-157.72] 所以导致营业利益是衰退的
[157.72-161.72] 在业外的部分第一季的业外收支是1600万
[161.72-166.72] 跟去年的同期来比的话是减少了大约是5成
[166.72-173.72] 所以第一季的税前金额是过利2400万
[173.72-177.72] 扣除了所得税费用大约是700多万之后
[177.72-179.72] 所以营业费用的收入的利益是1600万
