[0.00-5.76] 各位白人朋友午安
[5.76-9.18] 歡迎參加維新科技2025年白人聲明會
[9.18-11.72] 本次會議由董事長徐翔先生
[11.72-13.72] 總經理黃金起先生
[13.72-17.60] 以及執行部總經理郭旭光先生共同主持
[17.60-21.64] 會開始先就公司語音幹掌及財務中央進行簡報
[21.64-23.94] 講告結束後我們會開講提問
[23.94-25.94] 那現在開始今天的會議
[30.00-39.00] 各位白人朋友 各位媒體朋友 大家晚安
[39.00-42.00] 我是維新總經理黃金起
[42.00-48.00] 今天的白人聲明會又要來做一些因應的狀況報告
[48.00-56.00] 首先跟各位報告一下
[56.00-60.00] 這五年來的音壽力惡跟脫離音壽狀況
[60.00-68.00] 2024年整個公司的音壽大概1978億
[68.00-75.00] 大概這五年來影視疫情期間2021年的高峰
[75.00-79.00] 這回的一次高峰
[79.00-83.00] 年齡成長大概來到80%
[83.00-89.00] 這跟公司預估設定的這個線是明一點點小區
[90.00-94.00] 那音樂貿易大概241億
[94.00-96.00] 大概242億左右
[96.00-101.00] 跟這幾年來大概也減次以後
[101.00-105.00] 疫情高這一期間2020年和2011年
[105.00-107.00] 大概253高
[107.00-111.00] 年齡成長大概5.9千
[111.00-115.00] 清理這邊就比較不理想了
[115.00-117.00] 大概70億左右
[117.00-119.00] 這是明了
[119.00-121.00] 現在這個比較差的部分
[121.00-123.00] 這比較受注意
[123.00-128.00] 一些新產品的退水有進入
[128.00-132.00] 舊產品的這邊在年底的數下
[132.00-134.00] 產生一個大量的波動
[134.00-139.00] 年齡成長率大概-25%
[139.00-142.00] 這已經相對這十年來比較進入
[142.00-144.00] 相對是比較不好的一個
[144.00-146.00] 清理這邊大概67%
[146.00-147.00] 大概左右
[147.00-148.00] 也是這五年來
[148.00-153.00] 年齡成長率大概-25%
[153.00-162.00] 整個公司的產品類大概分三類
[162.00-166.00] 一類就是我們的主價商品
[166.00-167.00] Campola的
[167.00-168.00] 就是顯卡
[168.00-169.00] Maspo
[169.00-170.00] 平溫的
[170.00-173.00] 那2024年
[173.00-176.00] 這部分還是我們公司營收的主力
[176.00-177.00] 大概40%-45%
[178.00-179.00] 那系統類呢
[179.00-181.00] 就包括Maspo的
[181.00-182.00] 就每天的部分
[182.00-184.00] 桌機還有Monitor
[184.00-186.00] 這缺乏到40%-45%
[186.00-188.00] 這較寡美
[188.00-190.00] 有一點點小的成長
[190.00-193.00] 那其他的部分呢
[193.00-195.00] 包括充電裝等等
[195.00-198.00] 大概占公司的系統線
[198.00-200.00] 這相對在公司的業業
[200.00-202.00] 並不是一個主力
[202.00-207.00] 那如果以各個區域的
[207.00-209.00] 比重來看
[209.00-210.00] 去年呢
[210.00-211.00] 美國大概38%
[211.00-212.00] 今年大概26%
[212.00-213.00] 每週第七年
[213.00-214.00] 去年相對表現
[214.00-215.00] 相對是不理想的
[215.00-216.00] 那英聯這邊呢
[216.00-217.00] 算是我們的傳統主力
[217.00-218.00] 尤其在石油的部分
[218.00-219.00] 那去年在動物的部分
[219.00-220.00] 也展出相當不錯
[220.00-221.00] 那APEC這邊呢
[221.00-222.00] 有一個很重要的部分
[222.00-223.00] 就是我們在
[223.00-224.00] 我們在這個部分
[224.00-225.00] 我們在這個部分
[225.00-226.00] 我們在這個部分
[226.00-227.00] 我們在這個部分
[227.00-228.00] 我們在這個部分
[228.00-229.00] 我們在這個部分
[229.00-230.00] 我們在這個部分
[230.00-231.00] 我們在這個部分
[231.00-232.00] 我們在這個部分
[232.00-233.00] 我們在這個部分
[233.00-234.00] 我們在這個部分
[234.00-235.00] 我們在這個部分
[235.00-236.00] 我們在這個部分
[236.00-237.00] 我們在這個部分
[237.00-238.00] 我們在這個部分
[238.00-239.00] 我們在這個部分
[239.00-240.00] 我們在這個部分
[240.00-241.00] 我們在這個部分
[241.00-242.00] 我們在這部分
[242.00-243.00] 我們在這邊
[243.00-244.00] 我們在這邊
[244.00-245.00] 這邊呢
[245.00-246.00] 除了中國以外
[246.00-247.00] 因為中國
[247.00-248.00] 它是全世界
[248.00-249.00] 最大的一個
[249.00-250.00] 屁股的一個消耗力的地方
[250.00-251.00] 他們在這邊
[251.00-252.00] 相對比較重
[252.00-253.00] 那除了這個地方以外
[253.00-254.00] 其他地方
