[0.00-7.68] 各位投資先進大家午安
[7.68-11.00] 歡迎參加今日台光電子的線上法人座談會
[11.00-17.68] 那我們今天邀請到發言人莊育清資深經理這邊來跟各位稍微update一下公司的目前情況
[17.68-20.24] 稍後再進行Q&A的部分
[20.24-23.24] 首先有請莊經理這邊為我們開始
[23.24-33.76] 謝謝各位投資先進撥容參加由富邦證券舉辦的台光電子第一季財報公布後的線上法書會
[33.76-36.56] 我是台光電子發言人莊育清
[36.56-40.00] 與會的還有我們的同事王凱宏 Ken
[40.00-44.56] 首先我會針對第一季的財報結果做重點式的說明
[44.56-46.36] 等一下會有簡報
[46.36-49.72] 再來是對於第二季的展望提供我們的看法
[49.72-53.00] 基於規定本公司為公告裁測
[53.00-56.24] 所以無法提供財務預測的數字
[56.24-59.88] 只會針對產品線的展望足以做說明
[59.88-63.28] 最後進行投資人問答的環節
[63.28-67.28] 由於我們跟客戶都有簽NDA保密協議
[67.28-71.00] 因此不論是單一客戶的未來產品設計架構
[71.00-75.24] 出貨時程或出貨量的預估皆無法評論
[75.24-76.56] 請您見諒
[76.56-80.88] 現在我就針對第一季的營運成果開始說明
[83.00-93.28] 首先是免責聲明的部分
[93.28-96.20] 因為包括但不限於市場的需求
[96.20-97.32] 價格波動
[97.32-98.36] 競爭態勢
[98.36-99.56] 供應鏈變動
[99.56-101.32] 全球經濟局勢
[101.32-102.12] 匯率波動
[102.12-105.72] 跟其他本公司無控制力的風險等各種因素
[105.72-107.24] 實際的營運
[107.24-108.32] 財務狀況
[108.32-109.88] 跟企業發展的情形
[109.88-111.92] 可能會與本公司於預測中
[111.92-112.84] 明示或默示
[112.84-114.12] 敘述有差異
[114.12-118.40] 本簡報的內容若有對未來的前瞻性預估
[118.40-121.48] 僅反映本公司於發布當時的看法
[121.48-125.52] 本公司並無義務於日後情況變更時
[125.52-127.84] 更新前瞻預估
[127.84-131.92] 這是今天的一個會議議程
[131.92-136.80] 第一部分是第一季的營運成果
[136.80-141.20] 接下來是我們領先同業持續擴大
[141.20-142.80] 我們會提到我們的產業地位
[142.84-145.72] 以及我們跟競爭對手的差距
[145.72-146.88] 持續在擴大
[146.88-152.80] 第三個部分是我們成長的優勢是在於哪裡
[152.80-154.04] 第一個是技術
[154.04-157.16] 第二個部分是會到規模跟生產據點部分
[157.16-160.76] 最後會是我們問答的一個時段
[160.76-164.08] 首先就第一季的
[164.08-166.32] 審議表跟大家做說明
[166.32-172.32] 第一季的營業收入約當新台幣217億元
[172.84-177.16] 與第四季的186億來相比
[177.16-180.12] QOQ成長將近17個%
[180.12-183.04] 跟去年同期的129億相比
[183.04-185.76] YY成長了68個%
[185.76-193.00] 營業毛利在第一季是約當65.9億元
[193.00-195.60] 跟第四季來比
[195.60-198.72] QOQ成長將近25個%
[198.72-202.08] YY將近成長了76個%
[202.84-206.96] 第一季的毛利率是30.4個%
[206.96-211.28] 跟第四季相比成長了1.9個%
[211.28-213.20] 跟去年同比來比
[213.20-215.36] 是成長1.4個%
[215.36-218.08] 主要的原因在於我們產品組合
[218.08-219.32] 不斷的優化
[219.32-222.76] 我們高毛利率的產品的占比持續的增加
[222.76-224.28] 使得我們的毛利率
[224.28-228.92] 持續的在往改善的方向走
[228.92-231.64] 等一下後面會有一個詳細的說明
[232.84-236.24] 第一季的營業利益是45.4億
[236.24-239.36] 跟第四季的35億相比
[239.36-243.08] QOQ成長將近29個%
[243.08-246.04] 跟去年同期相比25.4億
[246.04-249.16] YY成長79個%
[249.16-255.12] 稅前淨利的部分約當46.7億
[255.12-258.16] 跟第四季的33.7億相比
[258.16-261.00] QOQ成長了將近39個%
[261.00-262.68] 跟第四季的35.7億相比QOQ成長了將近39個%
