[0.00-2.00] 各位投資者
[2.00-5.00] 歡迎參加有投資的公司
[5.00-7.00] 公司2024年
[7.00-8.00] 是
[8.00-10.00] 是
[10.00-11.00] 是
[11.00-12.00] 是
[12.00-13.00] 是
[13.00-14.00] 是
[14.00-15.00] 是
[15.00-16.00] 是
[16.00-17.00] 是
[17.00-18.00] 是
[18.00-19.00] 是
[19.00-20.00] 是
[20.00-21.00] 是
[21.00-22.00] 是
[22.00-23.00] 是
[23.00-24.00] 是
[24.00-25.00] 是
[25.00-26.00] 是
[26.00-27.00] 是
[27.00-28.00] 是
[28.00-29.00] 是
[29.00-30.00] 是
[30.00-31.00] 是
[31.00-32.00] 是
[32.00-33.00] 是
[33.00-34.00] 是
[34.00-35.00] 是
[35.00-36.00] 是
[36.00-37.00] 是
[37.00-38.00] 是
[38.00-39.00] 你
[39.00-40.00] 也是
[40.00-41.00] 你是
[41.00-42.02] 被
[42.02-43.00] 被
[43.00-44.00] 被
[44.00-45.00] 人
[45.00-46.00] 來
[46.00-47.00] 見
[47.00-48.00] 真的
[48.00-49.00] 真的
[49.00-50.00] 真的
[50.00-51.00] 真的
[51.00-54.00] 真的
[54.00-54.66] 也是
[54.66-56.00] 是
[56.00-58.60] 是
[58.60-58.80] 是
[58.80-59.00] hvis
[59.00-63.32] 报告中任何前瞻性预测都是有其风险的
[63.32-67.56] 便请各位花一点时间阅读此页的免责声明
[67.56-68.44] 谢谢各位
[68.44-76.74] 接下来我们进入今日的简报内容
[76.74-82.50] 由财务长Millie说明2024年第四季财务结果与业务摘要
[82.50-89.86] 各位投资先进大家好
[89.86-92.06] 我是财务长黄立敏
[92.06-97.52] 以下由我来说明有通资讯2024年财务结果及业务摘要
[97.52-102.72] 2024年第四季的合并营收我们做到了29.85亿元
[102.72-104.94] 那季增是18%
[104.94-107.38] 那年增是37%
[107.38-111.82] 在营业毛利的部分是8.65亿元
[111.82-114.12] 毛利率是29%
[114.12-116.82] 那毛利的这个季增1.7
[116.82-118.58] 年增是2.5亿元
[118.58-122.60] 在税后净利的部分是2.37亿元
[122.60-126.80] 归属于母公司业主是1.8亿元
[126.80-129.82] 基本的每股盈余是1.57元
[132.08-136.44] 2024年的全年的营收来到了95.84亿元
[136.44-138.92] 毛利率是27.9%
[138.92-141.80] 在营业净利的部分是6.5亿元
[141.82-143.82] 本期净利是4.9亿元
[143.82-146.82] 那归属于母公司业主是3.97亿元
[146.82-148.82] EPS是3.46元
[148.82-153.82] 累计营收较2023年同期增加了4.4%
[153.82-156.82] 主要是整个市场的需求回温
[156.82-160.82] 那在主要增加的一个部分的应用的部分是在军工产品
[160.82-163.82] 还有一个infotainment的产品的部分
[163.82-167.82] 那另外的部分是我们在2024年的第四季
[167.82-169.82] 是移进的这个部分
[169.82-170.82] 所以才有一个预期的部分
[170.82-171.82] 那我们现在来看看这个部分的情况
[171.82-175.82] 在营收这个跟获利的部分都有增长所影响
[175.82-178.82] 那在单季毛利的毛利率的部分
[178.82-181.82] 我们目前就维持在正成长的部分
[181.82-188.82] 在营业率的部分也会因为这个营收跟毛利的增长而有所提升了
[189.82-194.82] 接下来我们看一下在我们各项类别在营收的部分
[194.82-196.82] 在应用类别的部分
[196.82-198.82] 在我们迁入式板卡的部分
[198.82-200.82] 目前在2024年是38.8%
[200.82-205.82] 那在2023年的部分是减少了大概7%
[205.82-208.82] 那在资安产品的部分占比是24%
[208.82-210.82] 增加大概3%
[210.82-216.82] 在工业自动化这个部分的产品目前占比是38%
[216.82-218.82] 所以增加了也是4%
[218.82-224.82] 那在整个产品的这个区域别来看的话
[224.82-229.82] 在整个亚太地区的部分是在56%
[229.82-231.82] 那就是说在这个改变的一个区域里面
[231.82-233.82] 在这个改变的一个区域里面
[233.82-235.82] 那在这个改变的一个区域里面
[235.82-237.82] 在这个改变的一个区域里面
[237.82-239.82] 那么这个的分布是在去年的同期里面
[239.82-241.82] 在这个改变的一个区域里面
[241.82-243.82] 减少了大概是1%
[243.82-245.82] 那在欧洲地区的产品的话
[245.82-249.82] 目前的分布是这个产品部分销售有21%
[249.82-251.82] 那在去年同期是减少了大概2%
[251.82-253.82] 但在美洲地区的部分是增加了3%
[253.82-256.82] 所以目前是占比来到了23%
[256.82-257.82] 那如果以产品别再来区分的话
[257.82-262.50] 不然叫去年的占比是减少了3%为25%
[262.50-266.64] 那Computer Inbox的部分是减少了4%
[266.64-268.64] 占比是为11%
[268.64-271.54] 那Computer with Panel是增加1%
[271.54-273.28] 占比为2%
[273.28-277.48] 那跟去年的部分是增加了1%左右
[277.48-280.06] 那在AI Security 治安这个部分的产品
[280.06-281.36] 是增加了1%
[281.36-283.24] 所以占比是24%
[283.24-286.92] 那OT的这个Service的产品是增加了5%
[286.92-288.50] 占比就为38%
[288.50-291.04] 那整个第四季的整个整体的营运
[291.04-294.14] 因为有并购移进工业这家公司
[294.14-297.52] 那整个自动化的产品呈现了这个YOY的成长
[297.52-299.70] 那另外在网安产品的部分
[299.70-303.06] 也因为美国地区的这个客户订单增加
[303.06-304.92] 那也有所成长
[304.92-312.64] 接下来我们说明一下整个合并资产负代表的状况
[312.64-316.80] 在现金跟约当现金的部分是25.1%
[316.80-316.90] 25.1%
[316.90-316.92] 25.1%是在约当现金的部分是25.1%
[316.92-317.92] 25.1%是在约当现金的部分是25.1%
[317.92-318.70] 25.1%是在约当现金的部分是25.1%
[318.70-322.16] 那应收账款及票据的话是23.9亿元
[322.16-324.46] 存货的话是20.8亿元
[324.46-328.70] 不动产及厂房的设备是22.9亿元
[328.70-331.82] 那总资产是123.4亿元
[331.82-333.96] 在流动负债的话4.2亿元
[333.96-335.76] 非流动负债2.3亿元
[335.76-338.46] 权益总计58.4亿元
[338.46-342.06] 那每股净值是30.67元
[342.06-343.40] 那整个2024年
[343.40-345.26] 我们在整个2024年的部分
[345.26-346.90] 就积极的在去化一个库
[346.90-351.12] 那所以库存跟上一季目前是相当的一个数字
[351.12-352.86] 也比上一季再减少了一点
[352.86-356.24] 但在这个叫去年同期增加的部分
[356.24-358.16] 主要是因为在第四季这个部分
[358.16-359.64] 并购了移进进来
[359.64-361.64] 所以相较于去年同期的部分
[361.64-363.56] 看起来是增加的
[363.56-368.70] 那再来是针对整个公司的这个财务指标来做说明
[368.70-370.80] 在应收账款的周短天数
[370.80-372.16] 这个部分是84天
[372.16-374.52] 那跟上一季是相当的
[374.52-376.40] 那存货周短天数125天
[376.40-376.88] 那这个部分是84天
[376.88-376.90] 那跟上一季是相当的
[376.90-380.40] 应付账款的周短天数是69天
[380.40-383.10] 那应付账款的周短天数是140天
[383.10-385.34] 那权益报酬率9.1%
[385.34-389.24] 流动比率是170%
[389.24-391.90] 那金融负债比是27%
[391.90-394.98] 那以上是整个财务账况的一个说明
[394.98-398.16] 谢谢
[398.16-400.74] 接下来我们将时间交给总经理Claire
[400.74-405.56] 请Claire跟我们分享公司营运概况与展望
[405.56-406.88] 各位投资先进
[406.88-407.96] 大家好 我是Claire
[407.96-410.92] 我们在我们看到营运展望
[410.92-416.02] 2024年我们有通聚焦在既有的产业的连结
[416.02-418.52] 有许多相关应用的一些场景
[418.52-420.80] 包括自助机台 智慧医疗
[420.80-423.40] 农机自动化跟一些移动机器人等等
[423.40-426.74] 那这些都是我们过去在长期更运的一些领域
[426.74-429.62] 那我们本来就具备一些客户基础
[429.62-431.14] 跟这个系统整合的经验
[431.14-432.84] 这是我们在过去
[432.84-435.04] 这个有通的核心实力所在
[435.04-436.86] 那展望2025年
[436.86-440.36] 是一个非常不一样的AI的一个发展的元年
[440.36-443.04] 那我们在今年所看到的状况会是
[443.04-448.84] 有通会持续在加速渗透到更多高价值跟关键的任务应用上
[448.84-452.34] 包括自动能源 交通及时决策
[452.34-457.18] 公共安全跟AI临床系统以及手术辅助等场景
[457.18-458.84] 那在这些场景上面呢
[458.84-461.68] 有几个重点是包括系统的稳定性
[461.68-466.86] 还有它可维运的可运性以及边缘推论效能的
[466.86-470.58] 相关的一些运算能够达到更高的一个标准
[470.58-474.54] 那过去有通在这个40年以上的工业用的
[474.54-477.86] Embedded系统开发的经验上
[477.86-481.70] 我们结合了集团的全球的一个资源
[481.70-483.50] 以及我们应用的一些时机
[483.50-485.62] 那在这几个2025年
[485.62-487.08] 我们看到这几个应用上面
[487.08-489.14] 我们会更全面性的一个展开
[489.14-490.92] 那我想在这个
[490.92-494.26] 我们今年看到非常多的这些应用的同时呢
[494.26-496.72] 我们其实观察到其实在AGE AI
[496.72-498.26] AGE AI市场的客户
[498.26-502.60] 他其实在跟以往的这个Embedded市场是完全
[502.60-505.42] 应该说它的相貌会更加的多元
[505.42-507.72] 有些是来自于传统的IPC领域
[507.72-510.54] 那他们对于AI技术的这些应用其实
[510.54-512.60] 说真的现在还在一个摸索
[512.60-514.90] 一个等待一个阶段观察的阶段
[514.90-516.68] 那有些的应用的客户呢
[516.68-519.24] 则是他们是具备有演算法的专业
[519.24-522.32] 但是他们对硬体的平台系统整合相关
[522.32-523.86] 是比较陌生的
[523.86-526.68] 所以在这样的一个不同的需求
[526.68-530.26] 有从如何去结合我们的这个集团资源
[530.26-532.32] 以及我们在地的一些服务
[532.32-535.12] 还有结合制造跟物流等等的布局
[535.12-538.20] 让我们的各个区域性的伙伴
[538.20-541.28] 能够在AI的这一波的浪潮上掌握到
[541.28-543.32] 有机会的商机
[543.32-545.12] 所以呢在这个过程里面
[545.12-547.68] 不仅是高效的这个技术资源
[547.68-549.20] 还有我们方案的提供
[549.20-551.76] 那我们会更密切的跟在地伙伴
[551.76-553.82] 跟客户来共同研发跟验证
[553.82-556.38] 找到最适合应用场景的这个
[556.38-556.64] AGE AI的项目
[556.68-562.32] 以及AI解决方案
[562.32-564.88] 对比于这个的不同
[564.88-568.46] 我们来看一下我们在这个产品线的
[568.46-572.30] 应用
[572.30-573.06] 好
[573.06-576.14] 随着这整个深圳市AI技术的快速演进
[576.14-578.44] 今年我们可以看到有非常多的突破
[578.44-579.98] 所以在整个AI的运用
[579.98-583.56] 我们从原本之前2024年之前看到比较多在
[583.56-584.84] 云端的这些延伸
[584.84-586.38] 到目前看到许多
[586.38-587.66] 实际的应用场景呢
[587.92-588.42] 整个
[588.68-590.98] 边缘运算的市场需求在扩速
[591.24-592.26] 急速的扩大
[592.52-596.62] 包括我们刚才所提到的制造交通能源跟医疗等等
[596.62-599.18] 还有城市基础的设施
[599.18-603.02] 那及时推论低延迟运算跟资料安全上
[603.02-605.84] 对于整个AGE AI的要求是越来越高
[606.10-607.88] 所以我们针对这样的一个趋势
[607.88-609.68] 我们提供了一套从中端的
[609.94-613.00] 节点到伺服器的整套完整的
[613.26-615.06] AGE AI算力平台
[615.56-616.08] 呃
[616.38-617.66] 也提供
[617.92-619.20] 各种的这个format
[619.46-623.04] 包括SOM模组包括主机板还有box PC
[623.04-624.32] 甚至到轻型的
[624.58-626.10] AGE AI server
[626.36-629.94] 采用模组化可扩充低能耗的一个设计呢
[629.94-631.22] 让我们不同的
[631.48-634.82] 产业跟伙伴能够有不同的选择
[635.32-638.90] 那市面上我们在过去可以常听到用Tops
[639.16-641.22] 来作为一个效能的比较指标
[641.46-644.80] 那事实上其实这个只能够代表这个硬体在
[645.06-646.34] 潜在算力的一个参数
[646.64-647.40] 其实
[647.92-648.68] 在真正应用
[648.94-652.78] 实际应用的这个AI系统的运算的效率跟部署成效上
[653.04-654.32] 其实无法完全的做代表
[654.58-656.10] 那我们看到的是
[656.36-659.44] 真正能够影响到这个AGE AI的这个成效的呢
[659.70-661.74] 至少要在这三个方面有一些突破
[662.26-665.06] 第一个当然是我们在硬体平台的稳定性
[665.32-668.40] 还有呢在这个弹性配置AI模型
[668.66-669.94] 跟软体整合
[670.18-675.06] 以及推论优化场域部署跟整个违运条件的整体掌握
[675.30-676.34] 这几个方面能够
[676.64-677.14] 一起
[677.40-678.18] 调配
[678.42-679.20] 配合上来
[679.46-681.76] 才能够有机会的掌握这一步的商机
[682.52-684.06] 那有通在这过去
[684.32-687.14] 这几年包括集团的这个布局
[687.38-690.20] 我们具备有强大的这个敏捷的应变能力
[690.72-693.78] 包括刚才所提到从模组化的架构设计
[694.04-694.56] 弹性的
[694.82-697.62] 产品提供以及供应链的策略
[697.88-699.42] 能够快速的响应
[699.68-702.24] 在地化的技术支援跟在地服务
[702.50-703.52] 那这个部分
[703.78-705.82] 甚至到比较像是顾问式的服务
[706.08-707.36] 来协助我们的客户
[707.62-708.38] 因应这样的
[708.64-709.14] 应用需求
[709.66-711.96] 同时呢缩短我们的这个开发周期
[712.22-712.74] 也让
[712.98-714.26] 客户在导入的风险上
[714.52-715.54] 能够进一步的降低
[715.80-717.86] 所以我在这边做一个总结就是
[718.10-719.14] 其实在产品
[719.38-720.42] 的提供上
[720.66-723.48] 我相信现在市面上会看到非常多的
[723.74-726.56] Tops的这个从低端到最高端的这些
[726.82-727.58] 提供
[727.84-728.34] 但是
[728.60-730.90] 我们认为在今年的这一波AI的商机
[731.16-735.00] 其实是整个的商业模式的整合才是能不能够进一步
[735.26-735.78] 把这个商机
[736.08-738.12] 变现的一个关键
[738.64-742.98] 以上是我们对这次的这个跟各位投资先进的一个总结跟报告
[743.24-743.76] 谢谢
[747.86-751.18] 接下来由总经理Claire主持回复Q&A
[751.44-756.56] 各位先进可以在网页右下方的提问区输入您的提问
[756.82-759.62] 我们将整理提问后汇总回复
[766.08-767.22] 谢谢
[768.66-768.92] 谢谢
[769.14-769.36] bisschen
[769.54-770.18] frontier
[771.20-772.34] k
[773.24-773.72] h
[773.92-774.72] h
[775.64-777.08] k
[781.64-782.00] 一
[782.24-784.84] NI
[786.32-786.98] i
[789.08-789.32] i
[789.54-790.86] i
[791.14-793.58] i
[793.62-794.52] i
[795.22-795.52] an
[795.82-825.80] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[825.82-855.80] 明镜与点点栏目
[855.82-885.80] 明镜与点点栏目
[885.82-915.80] 明镜与点点栏目
[915.82-945.80] 明镜与点点栏目
[945.82-975.80] 明镜与点点栏目
[975.82-1005.80] 明镜与点点栏目
[1005.82-1035.80] 明镜与点点栏目
[1035.82-1065.80] 明镜与点点栏目
[1065.82-1095.80] 明镜与点点栏目
[1095.82-1104.60] 五条
[1104.60-1107.74] 一条
[1107.74-1108.86] 呢
[1108.86-1111.70] reads
[1111.70-1112.94] rée
[1112.94-1115.86] ́
[1115.86-1117.90] 你就
[1117.90-1119.72] 遇到
[1119.72-1121.80] H
[1121.80-1125.52] マー�ough
[1125.52-1125.70] Pete
[1125.70-1127.50] 未來的一些比較輕型化
[1127.74-1129.80] 彈性配置低功耗等等
[1130.06-1133.64] 這些都是看到比較多一些需求
[1133.90-1135.94] 所以我們自己有時候也會繼續的強化
[1136.20-1138.24] 我們在去年就看到這樣的一個趨勢
[1138.50-1140.30] 我們在許多系統產品的
[1140.54-1143.36] 規劃上包括這個剛剛所提到的輕型化
[1143.62-1145.42] 彈性配置低功耗等等
[1145.66-1148.74] 我們在各個領域中都有一些新的產品推出
[1149.26-1151.56] 尤其上半年我們看到目前包括
[1151.82-1154.62] 原來的主力包括automation自動化這一塊
[1154.62-1156.16] 還有一些醫療的
[1156.42-1157.18] 系統產品
[1157.44-1162.04] 甚至我們在一些特殊應用場景的一些edge server的產品線推出
[1162.30-1164.10] 那這都是我們上半年的亮點
[1164.34-1170.50] 那也希望就是大家關注我們在接下來電腦展也會有進一步的整個產品線的
[1170.74-1171.26] 推出
[1184.62-1186.92] 再再新的創新 notre product
[1187.70-1188.46] 好的
[1188.72-1190.26] 他現在已經展示在
[1190.50-1191.74] 電腦線上面
[1193.32-1193.58] 第一個
[1193.84-1194.60] 我們ence
[1195.12-1195.86] 我們主要!
[1195.88-1196.40] writing
[1197.68-1198.10] 計劃
[1198.12-1199.06] ort
[1200.26-1200.76] 表演
