[0.00-3.22] 友达光电2025年第一季法人说明会
[3.22-4.98] 在会议开始
[4.98-7.40] 您的电话会处在静音状态
[7.40-9.62] 当管理团队发言过后
[9.62-11.68] 我们会进行Q&A时间
[11.68-14.14] 接下来我们将时间交给
[14.14-15.76] 友达光电投资人关系
[15.76-17.28] Jerry Hsu解说
[17.28-20.14] 各位投资先进
[20.14-21.82] 媒体朋友们大家午安
[21.82-24.66] 我是友达光电投资人关系Jerry
[24.66-27.10] 欢迎各位参加友达光电
[27.10-29.90] 2025年第一季的线上法人说明会
[29.90-32.76] 今天我们一共有四位主讲人
[32.76-35.88] 分别是董事长暨集团策略长
[35.88-37.16] 彭双浪Paul
[37.16-40.48] 执行长暨总经理柯富仁Frank
[40.48-43.72] 显示策略事业群资深副总经理
[43.72-44.78] 陈建斌James
[44.78-47.28] 以及财务长张博宜David
[47.28-49.82] 今天法说会的流程如下
[49.82-52.30] 首先财务长将简报
[52.30-54.22] 2025年第一季的财报
[54.22-56.44] 及2025年第二季的展望
[56.44-57.08] 并且将会有
[57.10-59.06] 接下来董事长及执行长
[59.06-61.12] 将代表代表友达光电
[61.12-62.32] 做一个open a remark
[62.32-64.56] 之后我们将进行Q&A
[64.56-67.60] 目前我们已经搜集了一些法人的提问
[67.60-71.34] 各位主讲人将针对目前的提问进行回复
[71.34-73.68] 回复之后如果各位还有疑问
[73.68-75.92] 我们将会开放现场的Q&A
[75.92-78.80] 以上就是今天的会议流程
[78.80-81.98] 接下来在财务长报告之前
[81.98-83.90] 我将在此提醒各位
[83.90-86.36] 报告中任何前瞻性的预测
[87.10-89.56] 并请各位花一些时间
[89.56-91.28] 阅读投影片第二页的
[91.28-92.16] Facebook notice
[92.16-95.06] 接下来我们请财务长为各位报告
[95.06-96.58] OK
[96.58-98.00] 大家好我是David
[98.00-100.68] 接下来就由我来说明友达光电
[100.68-103.46] 2025年第一季的财务数字
[103.46-104.84] 第一季的合并营收
[104.84-106.22] 721亿
[106.22-108.60] 较上一个季度增加5%
[108.60-111.94] 三个支柱的营收都较上一个季度增加
[111.94-113.46] 首先我们来看
[113.46-114.40] 关于Display
[114.40-117.06] 其中TV受惠于重复恢复
[117.10-120.10] 和上路就换新补贴政策的影响
[120.10-122.10] 客户的拉拖动能回升
[122.10-125.40] 另外IT产品受到关税不确定性的影响
[125.40-127.40] 部分客户提早被迫
[127.40-130.40] 使得IT第一季的减少的幅度低于往年
[130.40-133.70] 整体的Display的表现优于预期
[133.70-136.20] Mobility的solution
[136.20-139.30] 受惠于高附加价值产品的需求提升
[139.30-141.40] 以及大陆市场的补贴
[141.40-143.60] 和海外销量增加的带动下
[143.60-145.70] 使得第一季的表现优于预期
[147.10-149.10] Vertical Solution
[149.10-153.10] 因为工商用的面板和智慧场域应用的需求回温
[153.10-156.10] 使整体的营收增加符合预期
[156.10-158.10] 接下来我们看获利的方面
[158.10-161.10] 收费于第一季的营收成长
[161.10-164.10] 产品的组合优化及成本改善的影响
[164.10-168.10] 使第一季的营业毛利率上升至12.2%
[168.10-171.10] 营业费用如上次法书所提
[171.10-173.10] 公司会努力的管控
[173.10-176.10] 本季的实际营业费用率已下降至10.6%
[177.10-179.10] 交易预期来得好
[179.10-180.10] 因此我们可以看到
[180.10-183.10] 营业净利来到11亿元
[183.10-186.10] 第一季的业外利益约33亿
[186.10-188.10] 主要有两个原因
[188.10-189.10] 第一个
[189.10-192.10] 子公司的友达精彩出售后离场获利
[192.10-195.10] 并且任业结束太阳能业务相关的结损以后
[195.10-198.10] 净利益来到18亿元
[198.10-199.10] 第二个原因
[199.10-203.10] 公司年终辞任一席的加斯达的董事
[203.10-206.10] 在EIFRS重新评估后
[206.10-207.10] 会计处理
[207.10-212.10] 按照市价任列一次性的离约12亿元
[212.10-213.10] 最后
[213.10-216.10] 第一季的税后净利为33亿元
[216.10-219.10] EPS为0.43元
[219.10-221.10] 本季的operative profit
[221.10-224.10] 再加上DNA的绝对金额为88亿元
[224.10-228.10] 百分比上升到12.2%
[228.10-229.10] 整体而言
[229.10-233.10] 第一季是友达继上一个季度公司整理获利以后
[233.10-236.10] 本业也进一步的顺利转亏为盈
[236.10-239.10] 接下来我们看资产负债表
[239.10-242.10] 第一季现金674亿元
[242.10-246.10] 长短期借款1222亿元
[246.10-249.10] 基底的净负债净值比34.5%
[249.10-251.10] 跟上个季度相比
[251.10-253.10] 些微增加3.3%
[253.10-258.10] 主要原因是第一季通常是公司支付员工酬劳高峰
[258.10-262.10] 再加上扩散58亿的资金需求
[262.10-265.10] 使得银行借款的增加所致
[265.10-269.10] 不过整体财务体质仍属健康
[269.10-274.10] 另外第一季底库存水位纤维下降
[274.10-276.10] 存货周转天数48天
[276.10-278.10] 属于健康的水准
[278.10-282.10] 接下来看现金流量表
[282.10-286.10] 第一季营业活动带进来的现金流入约17亿
[286.10-289.10] 其中这个季度的折旧跟摊销约77亿
[289.10-293.10] 投资活动现金流出约51亿
[293.10-294.10] 其中KPAC是60亿元
[295.10-299.10] 投资活动现金流入约15亿
[299.10-302.10] 主要为银行借款净增加35亿
[302.10-305.10] 及支付买回扩散户的18亿
[305.10-309.10] 接下来一页是三个主要营收支柱
[309.10-312.10] 占整个公司合并营收的比重
[312.10-313.10] 如一开始所说
[313.10-316.10] 本季的营收是721亿
[316.10-318.10] 较上个季度增加5%
[318.10-323.10] 其中Predical Solution跟Mobility Solution的营收成长幅度较Display为高
[323.10-324.10] 因此我们可以说
[325.10-333.10] 第一季度的Display营收占比较上个季度微幅下降1%来到54%
[333.10-340.10] Predical Solution的营收占比较上个季度微幅增加1%到13%
[340.10-345.10] 而Mobility Solution的营收占比则持平在28%
[345.10-350.10] 接下来向各位说明公司对2025年第二季的业务展望
[350.10-353.10] 首先关于Mobility Solution
[353.10-358.10] 第二季度受到客户专案时成绩上个季度积极较高的影响
[358.10-364.10] 公司预估营收将较上一个季度减少Low Single-Digit Percent
[364.10-367.10] 其次关于Vertical Solution
[367.10-370.10] 第二季度预期整体需求持续回升
[370.10-372.10] 让新专案的放量
[372.10-378.10] 因此公司预估营收将较上一个季度成长Meet to High Single-Digit Percent
[378.10-380.10] 最后关于Display
[380.10-381.10] 第二季度预计受到关税的不确定性
[381.10-382.10] 第二季度预计受到关税的不确定性
[382.10-383.10] 第三季度预计受到关税的不确定性
[383.10-385.10] 及三个季度积极较高的影响
[385.10-389.10] 营收预计将较上一个季度是Slighter than High
[389.10-391.10] 以上是我的说明
[391.10-392.10] 谢谢
