[0.00-3.00] 好,各位先生女士,歡迎收看
[3.00-5.00] 中華電視台的會議
[5.00-7.00] 為公司第一季2025年第一期的
[7.00-9.00] 實驗結果
[9.00-12.00] 在這個會議中,所有人都會在
[12.00-13.00] 聽話模式中
[13.00-15.00] 當會議結束後
[15.00-17.00] 請在問題和回答會議中
[17.00-20.00] 發出發出的方式
[20.00-21.00] 為了您的情報
[21.00-23.00] 這個會議會議
[23.00-25.00] 將在網上播放
[25.00-28.00] Webcast Replay將在
[28.00-29.00] 會議結束後
[29.00-31.00] 一小時內的時間
[31.00-33.00] 請到CHT IR網站
[33.00-38.00] www.cht.com.tw.ir
[38.00-40.00] 在 IR 記錄中
[40.00-42.00] 現在我會把這個會議
[42.00-44.00] 交給安德拉塞先生
[44.00-46.00] 代理會長的主任
[46.00-48.00] 謝謝
[48.00-50.00] 安德拉塞先生,請進行
[50.00-53.00] 謝謝,我是安德拉塞
[53.00-54.00] 歡迎來到
[54.00-55.00] 我們第一季的
[55.00-57.00] 2020年25年
[57.00-58.00] 總統會議會議
[58.00-59.00] 今天我會與
[59.00-61.00] 總統的榮晃琳
[61.00-63.00] 和經濟經濟部長
[63.00-64.00] 歐吉旭
[64.00-66.00] 在今天會議中
[66.00-67.00] 經濟部長會開始
[67.00-68.00] 與其他人的
[68.00-69.00] 經濟成績進行
[69.00-70.00] 並提供我們第一季的
[70.00-72.00] 商業觀看
[72.00-74.00] 並進行討論
[74.00-76.00] 我們在經濟經濟會議中
[76.00-78.00] 的進展和經濟結果
[78.00-79.00] 之後
[79.00-80.00] 我們會進行
[80.00-81.00] 問題和回答的部分
[81.00-83.00] 在會議中
[83.00-84.00] 在第2個會議中
[84.00-85.00] 請看出我們的提出
[85.00-87.00] 和關於前進的聲明
[87.00-88.00] 的提出
[88.00-90.00] 現在,我們不再延遲
[90.00-91.00] 我會把這個會議
[91.00-92.00] 交給總統
[92.00-93.00] 總統琳先生
[93.00-94.00] 請進行
[96.00-97.00] 謝謝安德拉塞先生
[97.00-98.00] 大家好
[98.00-99.00] 歡迎來到
[99.00-100.00] 我們第一季的
[100.00-101.00] 2020年25年
[101.00-102.00] 總統會議會議
[102.00-103.00] 我們很期待
[103.00-104.00] 報告
[104.00-106.00] 業務和經濟部長
[106.00-107.00] 在第一季
[107.00-109.00] 發出了4.3%
[109.00-110.00] 年度上的
[110.00-111.00] 年度上的
[111.00-112.00] 經濟部長
[112.00-113.00] 在第一季
[113.00-114.00] 我們從
[114.00-115.00] 我們的
[115.00-116.00] 實力工作
[116.00-117.00] 和
[117.00-118.00] 在手機
[118.00-119.00] 電話
[119.00-120.00] 電力
[120.00-121.00] 和
[121.00-122.00] ICT商業
[122.00-123.00] 的領域
[123.00-124.00] 雖然
[124.00-125.00] 第一季的
[125.00-126.00] 環境
[126.00-127.00] 的急變
[127.00-128.00] 因應
[128.00-129.00] 全球的
[129.00-130.00] 貸款問題
[130.00-131.00] 從
[131.00-132.00] 我們認為
[132.00-133.00] 沒有
[133.00-134.00] 物業影響
[134.00-135.00] 我們認為
[135.00-136.00] 這
[136.00-137.00] 可能
[137.00-138.00] 還會
[138.00-139.00] 為
[139.00-140.00] 我們進行
[140.00-141.00] 新的行業
[141.00-142.00] 同時
[142.00-143.00] 我們的
[143.00-144.00] 強大的
[144.00-145.00] 經濟
[145.00-146.00] 表現
[146.00-147.00] 將
[147.00-148.00] 讓我們
[148.00-149.00] 繼續
[149.00-150.00] 投資
[150.00-151.00] 新的
[151.00-152.00] 機會
[152.00-153.00] 特別是
[153.00-154.00] 從
[154.00-155.00] 經濟
[155.00-156.00] 客戶
[156.00-157.00] 將
[157.00-158.00] 全球
[158.00-159.00] 發展
[159.00-160.00] 他們的
[160.00-161.00] 生產
[161.00-162.00] 基礎
[162.00-163.00] 我們會繼續
[163.00-164.00] 發展
[164.00-165.00] 我們的
[165.00-166.00] 海 海洋 天
[166.00-167.00] 和天
[167.00-168.00] 的
[168.00-169.00] 最強 tomorrow
[170.00-171.00] 現在
[171.00-172.00] 正在
[173.00-174.00] 包圍
