[0.00-1.50] 現集媒體先進
[1.50-5.68] 非常歡迎丁玲指導明泰科技股份有限公司
[5.68-10.00] 及仲崎科技股份有限公司法人說明會
[10.00-13.48] 首先先介紹兩家公司的長官
[13.48-17.24] 讓我們歡迎明泰及仲崎科技的大家長
[17.24-19.56] 黃文芳董事長
[24.20-26.46] 接著是明泰科技的長官
[26.46-30.16] 歡迎事業本部簡明玲總經理
[33.74-37.40] 歡迎研發本部邱培順總經理
[40.60-43.14] 接下來是陳韶琳財務長
[46.64-49.88] 接著是仲崎科技的長官
[49.88-52.78] 歡迎周陽志總經理
[55.88-56.46] 歡迎
[56.46-58.46] 許玉發財務長
[61.14-64.50] 本次的會議議程有分為三個階段
[64.50-68.64] 第一個階段是明泰及仲崎科技NCG集團
[68.64-70.64] 未來的目標及展望
[70.64-73.38] 第二個階段是明泰公司的簡報
[73.38-76.02] 包含2024年度的財務報告
[76.02-79.74] 及公司產品策略與新市場的開發
[79.74-84.02] 第三個階段是仲崎科技的公司簡報
[84.02-89.86] 包含2024年全年財務成果及產品跟市場的策略
[89.86-92.96] 最後就是Q&A的時間
[92.96-98.16] 現在我們有請明泰及仲崎科技的黃文芳董事長
[98.16-102.70] 為我們說明NCG集團未來的目標及展望
[102.70-103.64] 掌聲鼓勵
[103.64-105.78] 掌聲鼓勵
[105.78-107.84] 掌聲鼓勵
[107.84-108.94] 掌聲鼓勵
[108.94-109.94] 掌聲鼓勵
[109.94-110.94] 掌聲鼓勵
[110.94-112.94] 掌聲鼓勵
[112.94-113.42] 掌聲鼓勵
[113.42-114.02] 掌聲鼓勵
[114.02-116.52] 紫仙靜以及媒體朋友大家好
[116.52-121.26] 約到了很快跟各位見面的時候
[121.26-123.10] 我來跟各位報告一下
[123.10-128.26] 我們過去這一年發生了什麼事情
[128.26-132.08] 跟我們原先計畫相差在哪裡
[132.08-134.58] 以及我們對未來的一個展望
[134.58-143.42] 在談到展望之前
[143.42-143.92] 我們要先講一下
[143.92-143.98] 我們要先講一下
[143.98-147.28] 我們先回顧去年的這個時候
[147.28-149.66] 我們在這裡跟各位提到
[149.66-152.66] 我們2024年要做什麼事情
[152.66-155.92] 而2024年發生了什麼事情
[155.92-158.72] 整體來講
[158.72-161.76] 2024年的景氣回復
[161.76-165.70] 我們在前一年上一次在這裡談的時候
[165.70-172.84] 原先預計2024年的下半年景氣應該可以回來
[172.84-173.88] 但事實上
[173.88-179.38] 證明在2024年客戶的庫存調節的部分
[179.38-181.06] 比想像中很差
[181.06-183.56] 那除了這一點之外
[183.56-184.82] 除了這一點之外
[184.82-188.62] 其他的我們承諾要做的事情
[188.62-190.00] 應該都已經做到
[190.00-192.56] 我在這裡跟各位一一報告
[192.56-195.06] 然後也會跟各位分享
[195.06-197.24] 我現在看到的實況是什麼
[197.24-200.18] 再來再提到2025我們要做什麼
[200.18-201.78] 所以2024呢
[201.78-203.78] 我們當時提到我們要做的一件事
[203.78-209.28] 就是分工縱效追求成長
[209.28-210.78] 那這裡面的追求成長
[210.78-215.40] 其中一部分也是含著這個市場景氣的回復
[215.40-217.62] 當然除了景氣之外
[217.62-219.82] 我們自己要做一些事情
[219.82-221.90] 來增加我們的成長力氣
[221.90-225.60] 這就是我們去年整個經營的主軸
[225.60-227.84] 所以我們在這個主軸下面
[227.84-229.94] 我們做了組織的調整
[229.94-233.78] 整體而言就是讓民派這個中介面
[233.78-238.78] 這個中間隊裡面的組織成員分工更清楚
[238.78-242.28] 所以目前仲崎的工廠
[242.28-246.90] 已經百分之百交給民派的工廠生產
[246.90-247.80] 所以自己
[247.80-250.16] 仲崎自己已經不再生產
[250.16-251.46] 以及仲崎的
[251.46-255.40] 除了保有軟體的研發人員之外
[255.40-259.64] 硬體的研發人員也已經全數整合到
[259.64-261.78] 民派的研發團隊裡頭
[261.78-263.78] 那我們做的這些縱效呢就是希望
[263.78-268.78] 大家能夠分工專職自己所專長的
[268.78-272.78] 減少中間隊裡面的重複投資
[272.78-277.80] 那麼民派呢專業代工開發新市場新客戶
[277.80-279.80] 所以這就是我提到的
[279.80-282.80] 除了等待景氣回復之外
[282.80-285.80] 我們自己要去創造這成長的引擎
[285.80-288.80] 而這裡所提到的新市場新客戶
[288.80-290.80] 就是我們去年年底
[290.80-293.78] 在一些對話中
[293.78-295.78] 在一些對外的訊息上面
[295.78-298.78] 有提到我們即將在
[298.78-300.78] 這個第一季
[300.78-302.78] 季裡
[302.78-304.80] 亮礁的印度市場的這個客人
[304.80-306.80] 所以我們在去年呢
[306.80-308.80] 我們在去年就已經
[308.80-311.80] 在印度這邊
[311.80-315.80] 開發到了一個新的生意
