[0.00-20.30] 各位同志先進大家午安
[20.30-23.00] 那歡迎參加兆豐證券選舉辦理
[23.00-25.12] 利榮電子人法人說明會
[25.12-29.32] 那今天的流程是先由公司這邊簡報
[29.32-31.04] 然後之後再進行QA
[31.04-34.88] 那接下來就把時間交給公司這邊
[34.88-39.30] 那今天為我們主講的就是客注
[39.30-43.90] 然後另外就是市場總監林協理
[43.90-46.62] 那接下來就把時間交給客注這邊
[46.62-47.02] 謝謝
[47.02-50.70] 首先先感謝兆豐的邀約
[50.70-54.46] 然後也歡迎各位投資先進來參加
[54.46-57.10] 利榮第一季的法說會
[57.10-59.24] 那首先我就先針對公司
[59.24-61.04] 簡報跟大家來做說明
[61.04-65.00] 首先看一下這個是我們公司的創辦人
[65.00-67.62] 是吳德權吳董事長老董事長
[67.62-70.18] 那現在已經接給他的兒子吳志明
[70.18-72.20] 他是董事長兼總經理
[72.20-78.00] 那目前我們的資本額是16.4億
[78.00-80.44] 那月產能大概是6.08億克
[80.44-83.86] 那我們的雖然是做鋁石電容
[83.86-88.10] 但是我們整個的方向是在做鋁石電容的解決方案
[89.24-93.10] 我們等於是在做電子電訊網通雲端還有電力電子
[93.10-95.24] 那特別是汽車電子這一塊
[95.24-98.16] 我們在過去幾年來進步非常的快
[98.16-100.82] 那這一塊也是毛利最好的一個市場
[100.82-103.50] 那我們相信未來2025-2026
[103.50-107.40] 我們在這一塊的一個發展基本上也是非常正向的
[107.40-111.04] 那首先看一下我們已經12月
[111.04-113.30] 12月結束了已經是2025年了
[113.30-118.66] 所以我們整個2024年的整個營收來到100點
[119.24-120.64] 104億
[120.84-123.28] 這個數字超過百億
[123.28-125.68] 是非常難得的成績
[125.84-127.44] 那跟2023年相比
[127.44-129.04] 我們其實成長相當多
[129.14-130.80] 那當然因為是合併報表
[130.80-132.90] 所以有利隆的營收
[132.90-134.70] 也有利頓的營收在內
[134.84-136.94] 所以我們這個呂茲電容部分
[136.94-138.38] 就是屬於我們利隆部分
[138.38-140.98] 那大概是佔63%
[141.14-143.20] 那另外呂伯就是利頓的部分
[143.20-144.94] 大概是佔37%
[145.04-147.08] 所以這是合併報表的顯現
[147.08-149.78] 那另外大家很關心的
[149.78-152.38] 我們的產品的應用別
[152.58-154.98] 那從這裡可以很清楚可以看到
[155.08-157.34] 我們汽車電子的部分
[157.48-160.28] 這是2024年上半年的統計
[160.28-161.78] 那等一下可以跟大家再說明
[161.78-164.78] 2024年下半年或者是2020年全年度
[164.88-167.18] 這是2024年上半年的統計
[167.38-170.78] 那汽車電子的部分佔營收的31%
[171.02-174.28] 那工業設備跟綠能佔18%
[174.58-176.94] 那消費型電子產品家電
[176.94-176.98] 因為電子產品加電
[176.98-177.04] 因為電子產品加電
[177.04-177.08] 因為電子產品加電因為電子產品加電
[177.08-178.14] 因為電子產品加電因為它毛利比較低
[178.14-179.58] 其實我們一直要往下壓
[179.58-181.28] 目前來講是11%
[181.52-184.64] 那電訊網通的部分是8%
[184.88-188.68] 那資訊還有雲端的部分是4%
[188.82-191.24] 那另外我們的產品線很廣
[191.38-194.02] 那所以有時候沒有辦法直接賣給客人
[194.02-196.14] 所以我們就必須透過代理商
[196.32-199.02] 那或者是直接賣給EMS廠
[199.12-202.52] 所以代理商跟EMS廠的部分是佔28%
[202.52-204.82] 那這個比較沒有辦法去分類
[204.94-206.68] 它是應用在什麼地方
[206.68-209.58] 那另外我們的總部是在台灣
[209.68-211.12] 那生產據點有
[211.12-215.18] 這個利隆惠州跟利隆蘇州兩個廠
[215.28-220.08] 那利隆電子科技蘇州是我們蘇州的新廠
[220.08-221.48] 那我們舊廠已經關了
[221.48-222.48] 那是在新廠
[222.48-226.84] 那另外為了因應美洲貿易戰的一些原因
[226.84-228.78] 還有客戶的需求要求
[228.78-231.84] 所以我們在泰國的春吾里
[231.84-234.84] 那這個地方建廠
[234.84-236.58] 那目前來講是在
[236.58-236.64] 那目前來講是在春吾里
[236.64-237.60] 那目前來講是在春吾里建廠中
[237.60-242.94] 那預計2025年的下半年有機會建廠完成
[242.94-246.04] 那建廠完成以後就會少量的投產
