[0.48-2.48] 各位會員 各位會員 大家午安
[2.48-5.00] 今天非常榮幸能夠協助國安先生
[5.00-8.16] 來舉行這項法術會
[8.16-10.16] 我們會議就要正式開始
[12.16-13.40] 各位先進好
[13.40-15.40] 我們的說明會即將開始
[15.40-17.88] 說明會會以中文進行
[17.88-20.80] 另外我們也準備了英文版的簡報資料
[20.80-22.80] 供海外投資者參考
[22.80-25.76] 英文簡報可由公開資訊站下載
[25.76-27.76] 說明會開始之前
[27.76-30.96] 請將您的電子用品關閉或調製靜音
[30.96-32.96] 以利會議進行
[32.96-35.96] 各位先生 女士們 先生們
[35.96-39.96] 我們會在中文中的說明會中進行表達
[39.96-43.96] 我們也準備了英文版的資訊站
[43.96-49.76] 您可以在TWS的網站下載英文版
[49.76-53.76] 您歡迎在說明會後問問題
[53.76-57.76] 請關閉電話機或轉換電話機
[57.76-59.76] 到靜音模式
[59.76-61.76] 謝謝您的參考
[61.76-64.76] 國泰建設法人說明會正式開始
[64.76-67.76] 首先為您介紹今天在場的經營團隊
[67.76-71.76] 發言人 林清良之森副總經理
[71.76-73.76] 各位好
[75.76-78.76] 代理發言人 廖力綺副總經理
[82.76-84.76] 今天的說明會將由代理發言人
[84.76-85.76] 廖力綺副總經理
[85.76-87.76] 先為您簡報本會議
[87.76-89.76] 公司營運績效及策略
[89.76-91.76] 再由發言人及代理發言人
[91.76-94.76] 共同回覆相關提問
[94.76-97.76] 首先請代理發言人進行簡報
[97.76-100.76] 感謝大家的時間
[100.76-102.76] 今天天氣不是很好
[102.76-106.76] 像我們的股票市場一樣非常的慘
[106.76-109.76] 還來參加我們的法書會
[109.76-111.76] 非常的謝謝大家
[111.76-114.76] 我們今天簡報主要是要跟大家報告
[114.76-116.76] 財務的資訊還有經營績效和成績
[117.76-119.76] 還有不動產的機器
[119.76-121.76] 去年是國泰建設60週年
[121.76-124.76] 所以我們在去年的機會底下
[124.76-126.76] 推出了8個案子
[126.76-129.76] 包含國泰城鎮 國泰序 美塔公園
[129.76-132.76] River Park 還有Metro Park
[132.76-135.76] 台中的部分也推出國泰養會
[135.76-139.76] 國泰森林會 還有國泰養木等等
[139.76-142.76] 因為產品的規劃符合市場的需求
[142.76-146.76] 所以整個我們113年的整個市場
[147.76-149.76] 我們跟市場狀況
[149.76-150.76] 因為上半年市場狀況不錯
[150.76-153.76] 所以整個我們的銷售成績也相當的好
[153.76-158.76] 那60年來我們一直專注在不動產的開發
[158.76-160.76] 那從2011年開始
[160.76-163.76] 我們也延伸到我們自己的上下游
[163.76-165.76] 除了我們住宅之外
[165.76-168.76] 也延伸到轉投資跟商務開發
[168.76-170.76] 那我們可以看到就是簡報的部分
[170.76-171.76] 從2020年開始
[171.76-174.76] 我們跟日本兵大不動產開發公司
[174.76-176.76] 三井不動產
[176.76-179.76] 就是有合資成立一些開發住宅案
[179.76-181.76] 那另外我們也在2018年
[181.76-184.76] 擔任實施者跟三井不動產有合作
[184.76-185.76] 敦北的飯店
[185.76-190.76] 那這個敦北的飯店預計在2027年後年的第二季開幕
[190.76-193.76] 那我們2022年跟日本三井合作的
[193.76-196.76] 三井鳳山Lalatoe的部分
[196.76-200.76] 這個商場預計在2026年的第四季開幕
[200.76-206.76] 那大家可以看到3月20號南港的Lalatoe開幕盛況空前
[206.76-208.76] 那整個我們高雄目前整個
[208.76-210.76] 整個台灣區等等的
[210.76-214.76] 那個整個的還有兩州金融資產的部分
[214.76-215.76] 所以我們相信
[215.76-218.76] 過去我們2022年到2026年
[218.76-220.76] 第一次的三井Lalatoe的開幕
[220.76-224.76] 應該也會帶動當地的熱潮
[224.76-227.76] 那再來就是我們去年完工的南港昆陽大樓
[227.76-231.76] 目前出租率有將近就是90%左右了
[231.76-235.76] 那我們國建大樓也已經在拆除跟重建了
[236.76-240.76] 那下一頁我們直接進到我們財務資訊方面
[240.76-242.76] 那我們可以看到這個合併財務報表
[242.76-244.76] 合併水利表的部分
[244.76-247.76] 其中含持股100%的國泰建機
[247.76-250.76] 三井工程跟飯店事業等等
[250.76-253.76] 還有持有85%的國泰建管
[253.76-257.76] 跟持股51%的零年管理歸戶
[257.76-262.76] 以及跟三井合資的相關的工廠開發的SPV公司
[262.76-266.76] 那整個2024年的合併營收是238.6%
[266.76-271.76] 其中最主要還是我們母公司自己國泰建設的部分
[271.76-275.76] 那整個母公司的獲利的部分
[275.76-277.76] 淨利的部分是15.8億
[277.76-279.76] EPS是1.36億
[279.76-282.76] 那2024年完工最主要
[282.76-284.76] 就是當然有些法官會認為說
[284.76-289.76] 為什麼完工的營收有238.6億
[289.76-292.76] 但是事實上我們最後繳出來的毛利
[292.76-294.76] 可能還是同步一期
[294.76-295.76] 那最主要就是我們
[296.76-300.76] 我們公司的工地其實有沙盆到當初工料雙漲
[300.76-304.76] 所以你的毛利是比去年的水準還要低的
[304.76-306.76] 那整個營業費用的部分
[306.76-310.76] 剛好我們2024年整個退讓量有放大了一個關係
[310.76-315.76] 所以相對的我們相關的管銷成本也比之前還要高
[315.76-319.76] 那所以整個獲利是稍微比較低
[319.76-322.76] 那整個我們營收中來說
[322.76-324.76] 我們國建還是佔54%
