[0.00-20.24] 各位先進午安
[20.24-22.94] 歡迎各位參加本次的線上會議
[22.94-27.88] 那我們就請國產的長官來為我們進行簡報
[27.88-28.24] 謝謝
[30.00-33.60] 謝謝翁先生
[33.60-39.02] 那歡迎各位投資朋友參加國產今年第二次的法收會
[39.02-41.84] 那我們現在時間有限
[41.84-45.58] 我們趕快先進入第一章
[45.58-48.16] 就是公司的基本簡介
[48.16-52.92] 那這個我想說這個投資朋友應該大家都對我們這個公司應該很熟
[52.92-55.34] 所以這張就先大家就先跳過
[55.34-59.30] 那第二頁這個營業據點就是我們公司主要的
[59.30-61.58] 目前26場的分布
[61.58-67.34] 那這裡主要要跟大家說明的就是我們國產最大的利基就在這裡
[67.34-70.90] 因為有很多個廠可以協同作業還有調度能力
[70.90-77.08] 所以可以配合在客戶短時間的大量同步進行交織
[77.08-80.86] 那過來就是我們第一季的營運績效
[80.86-87.36] 那我們今年的第一季我們看營業收入是53.54億
[87.36-89.28] 跟去年的第四季
[89.30-92.90] 相比56.98億比的話是減少衰退
[92.90-97.70] 那跟去年同期的第一季51.49億是成長4%
[97.70-100.24] 那看毛利的部分
[100.24-103.44] 今年第一季是13.66億
[103.44-108.14] 跟去年第四季是4.76億是衰退7.5%
[108.14-113.54] 那跟去年的第一季是3.37億是成長2.2%
[113.54-116.44] 那過來再來看營業利益的部分
[116.44-119.28] 今年第一季是11.06
[119.30-123.12] 去年12億衰退了7.8%
[123.12-127.64] 那去年的第一季是11.05億
[127.64-130.24] 微幅的成長0.1%
[130.24-135.32] 那稅權淨利的部分是今年第一季11.07億
[135.32-138.12] 那去年是11.33
[138.12-144.94] 那去年第一季11.04成長有超過0.3%
[144.94-149.16] 那稅後淨利的部分是今年第一季8.67億
[149.16-153.34] 跟去年的第四季來比的9.25億是衰退了6.3%
[153.34-158.92] 那跟去年第四季是8.55億比的話是成長了1.4%
[158.92-163.58] 那歸屬於母公司的話是今年第一季是8.37
[163.58-165.78] 那EPS是0.71
