[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-35.64] 我们也很感谢各位法人先进对日胜生活科技的兴趣
[35.64-43.60] 我们今天会对各位报告跟说明我们第一季的营运状况跟展望
[43.60-50.10] 这是我们日胜生活科技集团的愿景
[50.10-55.56] 我们主要的愿景就是成为一个永续率生活集团
[55.56-59.84] 那使命就是多角化经营 然后品牌标杆
[59.84-69.06] 那对各位说明我们在去年第四季到今年第一季的主要的进展
[69.06-74.44] 那我们在今年的三月份我们日顶投控计划宪争
[74.44-77.72] 那我们也扩大了循环经济的布局
[77.72-82.62] 那包括我们的日顶投控现金增资9900张
[82.62-88.32] 那每股发行的价格是以净值来算是96.24元
[88.32-89.82] 所以合计募集的价格是96.24元
[89.84-91.42] 那每股发行的资金是9.52亿
[91.42-93.82] 那由日胜生集团全额认购
[93.82-97.58] 那增资后以每股面额10元来计算的话
[97.58-100.06] 它的资本额就是9.75亿元
[100.06-107.00] 那我们也是会在那个循环经济的部分会再扩大一些我们的布局
[107.00-109.92] 那另外我们在今年的一月份呢
[109.92-111.60] 我们办理了现金增资
[111.60-115.30] 那规划发行的普通股8万张
[115.30-118.80] 那每股的发行价格是新台币10.3亿
[118.80-119.82] 10.3亿
[119.84-120.62] 对不起
[120.62-125.34] 那增资以后在外流通股数就是10.35亿股
[125.34-128.18] 所以各位可以看到我们的第一季的财报
[128.18-134.96] 我们的资本额就是已经在那个流通股数10.3亿股
[134.96-135.66] 这个部分
[135.66-138.46] 那另外我们在建设事业的部分呢
[138.46-140.28] 我们在今年的三月份
[140.28-143.34] 我们的清豪宅注目案已经顺利上缆了
[143.34-147.70] 那我们现在预计是2026年的第四季会正式的落成
[147.70-149.82] 那主要它在那边有一个新的项目
[149.84-154.12] 就是有大巨蛋的商机以及国富经验馆这边
[154.12-158.68] 所以我们的客户的市场反应都非常的良好
[158.68-163.12] 那在2024年去年的第四季底呢
[163.12-167.60] 我们的泰城有两大指标案有重大进展
[167.60-171.90] 第一个就是故宫的行政大楼跟图书馆经渗是落成其用
[171.90-177.50] 那第二个就是我们的淡金安居的社会住宅案已经顺利动图
[177.50-179.80] 那我们预计是2029年完工
[179.84-182.50] 那我们在土地资产活化的部分
[182.50-185.64] 那我们在2024年的第四季呢
[185.64-189.66] 我们有宣布说我们的丽江土地开发要处理
[189.66-194.58] 桃园的土地受予新人寿保险
[194.58-198.80] 股份有限公司那也非常感谢他们对我们的信任跟合作
[198.80-202.48] 那我们的土地面积大概是2.45万平
[202.48-206.28] 那交易总金额大概是新台币53.67亿
[206.28-209.60] 所以我们那个时候估计的税前处分利益大概是
[209.84-210.68] 35亿元
[210.68-214.60] 那这个部分已经在我们第一季已经认列完毕
[214.60-218.68] 那我们在股东权益的部分呢
[218.68-220.06] 我们在今年的三月
[220.06-223.90] 董事会有通过我们的鼓励政策
[223.90-228.26] 那基于文件财务跟股东回馈的原则
[228.26-234.62] 我们计划从资本供给提拨新台币6亿元配发现金鼓励
[234.62-239.54] 那这个部分是以2024年底的流通在外股数计算
[239.84-243.68] 那那个时候流通在外股数是9.5509亿股
[243.68-245.26] 那这个部分呢
[245.26-247.54] 所以每股配发的金额呢
[247.54-249.44] 大概会有稍微做调整
[249.44-253.06] 就是会依据我们现在的在外流通股数
[253.06-255.40] 跟实际配发的时候
[255.40-258.64] 那个除息基准日那个时候的在外流通股数为准
[258.64-261.88] 那我们在永续经营的部分呢
[261.88-263.76] 我们的子公司万达通
[263.76-265.34] 它是主要是管理
[265.34-268.80] 各位比较了解的大概就是台北转运站的部分
[268.80-269.82] 那我们的子公司万达通呢
[269.84-272.88] 万达通它有一个台北转运站的APP
[272.88-275.70] 那它也用智慧旅游去导入偏乡的观光
[275.70-281.92] 包括呢支持2025年纳马夏的赏银跟水蜜桃季的活动
[281.92-283.90] 那另外我们
[283.90-287.28] 大家对我们更有兴趣的会是在
[287.28-289.38] 我们的水资源的布局
[289.38-292.16] 那就是日顶水务跟宝鼎再生水
[292.16-297.68] 那日顶水务它是管理桃园的BOT水资源回收
[297.68-299.68] 那宝鼎再生水
[299.68-302.82] 是管理再生水的BTO计划
[302.82-306.84] 那这个部分我们都依照计划进行
[306.84-309.72] 那在去年第四季的时候已经开始
[309.72-312.34] 就是依时程每天供稳定供水
[312.34-314.80] 1.8万的CMD
[314.80-318.72] 就是Cubometer给南亚塑胶跟中油淘油炼油厂
[318.72-324.50] 那我们在品牌跟公司协力的部分呢
[324.50-327.90] 我们的建设事业有荣获多项的国家级输融
[327.90-329.64] 包括国家建筑金奖跟
[329.68-332.40] 台湾诚信品牌共五项奖项
[332.40-335.92] 那也获得肖副总统的接见对我们的肯定
[335.92-337.24] 那我们也非常的感谢
[337.24-340.54] 那另外呢我们的子公司日翔呢
[340.54-345.16] 它打造全台湾唯一成功的BOT社宅
[345.16-347.82] 就是中俄绣风社宅的BOT示范
[347.82-354.06] 那也获得新北市长侯市长跟云林县长张县长来参访
[354.06-358.50] 那为我们的一个中和的社宅
[358.50-360.74] 做一个青年住宅的示范
[360.74-369.10] 那这是我们日盛生集团的主要的执行的业务跟建案
[369.10-371.20] 那我们主要分了三个事业
[371.20-374.22] 第一个就是左手边的资源循环事业
[374.22-378.78] 那由日顶投控百分之百持有的日顶投控呢
[378.78-381.04] 我们辖下去做整个控管
[381.04-383.96] 那包括顶盛率呢跟日顶水务
[383.96-386.12] 那日顶水务就是刚刚跟各位报告
[386.12-388.48] 主要就是在新加坡的中心
[388.50-391.94] 跟营运桃园污水处理的BOT案
[391.94-395.74] 那顶盛率呢就是在旁协助他的一些代操的部分
[395.74-403.84] 那另外呢由于我们的在桃园的那个公共污水的处理的绩效良好
[403.84-407.66] 那所以我们后也在延续有获得保顶再生水
[407.66-409.24] 就再生水的BTO案
[409.24-412.84] 那保顶再生水我们持有的百分之七十
[412.84-417.10] 那主要就是在管理跟营建桃园再生水的BTO案
[418.50-420.04] 那在建设事业的部分呢
[420.04-424.74] 左手边的日耀跟日翔跟兆耀都是以租赁为主
[424.74-428.84] 包括日翔就是租赁新北市的青年住宅
[428.84-433.64] 那兆耀跟日耀主要就是做饭店的一些租赁业务
[433.64-435.14] 那集顺生活科技呢
[435.14-437.30] 我们以百分之百的持股呢
[437.30-440.00] 这个子公司是我们非常重要子公司
[440.00-443.14] 包括我们所有的都更维老案
[443.14-447.84] 连开案像说日升幸福站或者是三芝的康雅案
[448.50-449.90] 台中的连开
[449.90-454.56] 这些都是在集顺生活下做一个总控的管理
[454.56-457.32] 那泰城发展营造
[457.32-459.98] 它也是我们百分之百持有的
[459.98-465.86] 那现在它除了说支持我们集团的整个建设事业计划之外呢
[465.86-468.28] 它主要还有两个指标案
[468.28-472.22] 就是刚刚跟各位报告的故宫的行政大楼跟出租款工程
[472.22-475.90] 以及安静安居的设宅的新建同胞工程
[476.60-478.34] 那右手边的营运事业呢
[478.34-483.24] 我们主要是以金站投控跟日升生加贺屋
[483.24-485.26] 那加贺屋是百分之百持有
[485.26-488.54] 那这个部分也我们也很感谢大家的支持
[488.54-490.34] 那投控的部分呢
[490.34-495.94] 辖下主要就是金站实业就是以金站时尚广场金站百货
[495.94-497.32] 那这个部分呢
[497.32-500.28] 我们透过集团的持有大概是74%
[500.28-502.12] 73.4%
[502.12-504.30] 那在万达通的部分呢
