[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-34.08] 杨明海运股份有限公司法人说明会
[34.08-38.76] 那首先为各位介绍公司的经营团队
[38.76-48.46] 白坤荣总经理 邱增玉行政长 李明辉业务长 苏玉文财务长
[48.46-57.88] 吴宜达策略长 郑正雄技术长 江家文运筹长 以及刘立文协理
[58.30-59.98] 那接下来就让我们来看看
[59.98-62.18] 我们欢迎李明辉业务长
[62.18-66.18] 就公司的营运及财务状况为我们进行分享
[66.18-66.62] 谢谢
[66.62-72.70] OK 各位投资先进大家午安
[72.70-73.72] 我是李明辉
[73.72-79.14] 这次由我为大家针对2025年第一季说明会简报
[79.14-80.74] 做一个简短的说明
[80.74-81.84] 下页
[81.84-84.22] 第一页这里是免责声明
[84.22-86.96] 那请大家看一下下页
[88.30-89.96] 那今天的简报
[89.96-93.16] 分为四大部分跟过往一样
[93.16-95.68] 第一部分是航运产业的现况
[95.68-99.02] 有一些数据做一个呈现
[99.02-102.04] 第二页是有关公司营运概况
[102.04-108.58] 尤其是2024年整年的营运的表现
[108.58-113.44] 第三季也是我们目前公司的财务有揭露的一些资讯
[113.44-115.92] 然后第四部分是公司未来
[115.92-118.26] 针对2025年市场的一个营运概况的一个表现
[118.26-119.24] 然后第四部分是公司未来针对2025年市场的一个营运概况的一个表现
[119.24-119.96] 然后第四部分是公司未来针对2025年市场的一个营运概况的一个表现
[119.96-121.96] 然后第四部分是公司未来针对2025年市场的一个营运概况的一个叙述
[121.96-123.62] 然后下一页
[123.62-123.80] 然后下一页
[123.80-124.66] 然后下一页
[124.66-127.54] 而这部分是有关一些经济指标
[127.54-131.94] 这部分是有关一些经济指标
[131.94-133.96] 那全球经济OECD所呈现的一个GDP成长来说的话
[133.96-137.96] 那全球经济OECD所呈现的一个GDP成长来说的话
[137.96-140.96] 在2025年现在预测是3.1
[140.96-142.18] 我们看OECD这部分
[142.18-145.84] 但是比2023年稍微衰退一些
[145.84-147.78] 不过大家都知道2025年是一个很不确定的一个趋势
[147.78-149.24] 不过大家都知道2025年是一个很不确定的一个趋势
[149.24-153.04] 一個狀況 所以在這些經濟預測來說的話
[153.04-156.40] 我們都是緊密的觀察看有沒有什麼一些變動
[156.66-157.68] 我們馬上下頁
[159.48-163.58] 主要經濟體成長的預測來說的話 全球3.1
[164.08-166.14] 那美國這邊是2.2
[166.40-169.98] 都從前一次的預測做一個修正
[170.48-172.28] 歐元區也是向下修正
[172.54-175.36] 那中國區大概跟之前是一個持平
[175.60-178.42] 那這部分來說的話也是一樣
[178.42-184.56] 各個研究機構也針對狀況做不斷的一個滾動式的修正
[186.86-192.24] 那OECD的綜合領先指標 COI來說的話
[192.24-196.60] 在短期呈現一個經濟增長的一個趨勢
[196.60-200.44] 不過我們觀察可能是一個短期的現象
[200.44-204.78] 未來的狀況可是還要針對整個關稅政策
[205.04-207.34] 對整體全球經濟有沒有什麼
[207.60-208.38] 其他的
[208.68-209.18] 影響
[209.44-213.80] 那這個指數可能會跟著狀況不斷的呈現的波動
[214.30-214.82] 下頁
[216.36-220.96] 經濟的採購指數其實在這部分在目前來說
[221.22-222.76] 主要經濟區
[223.02-226.60] 感覺都還算是一個正向的一個發展
[227.10-227.62] 下頁
[229.66-235.56] 這個是美國零售商的一個報告的一個預測
[235.82-236.32] 跟海運
[236.58-238.38] 比較息息相關
