[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-33.02] 好 线上的各位投资先进午安
[33.02-38.10] 谢谢大家今天上线参加中国货柜的线上法人说明会
[38.10-50.00] 请问这样听得到声音吗
[50.00-53.40] 各位投资先进午安
[53.40-56.66] 谢谢大家现在线上参加我们中国货柜的法人说明会
[56.66-59.00] 那待会呢线上简报过后呢
[59.00-59.98] 如果说对于公司的货柜的货柜
[59.98-63.94] 公司的业务发展以及市场状况有任何的疑问
[63.94-66.12] 麻烦线上的各位投资先进
[66.12-70.78] 以文字的方式在我们聊天室里面提出你的疑问
[70.78-75.40] 那公司会在QA的时候为您做详细的解答
[75.40-81.14] 那我们试试有请公司先帮我们将简报秀出来
[89.98-99.82] 我们有请公司帮我们将萤幕整个开到全萤幕
[99.82-101.94] 是 这里看得到
[101.94-109.94] 好的 那我们今天中国货柜的2025年第一季的法人说明会
[109.94-113.94] 线上的主讲人分别就是我们业务部的蒋良平
[113.94-117.94] 资深协理以及我们财快部的存储部长
[117.94-118.94] 我们的主讲人分别就是我们业务部的蒋良平
[118.94-119.94] 资深协理以及我们财快部的存储部长
[119.98-120.98] 然后我们的副总经理
[120.98-125.98] 待会将会由这两位长官为我们做详细的简报说明
[125.98-128.98] 请问长官在线上吗
[128.98-130.98] 麦克风没有开喔
[140.98-141.98] 可以听到我声音吗
[141.98-143.98] 是 现在可以了长官
[143.98-144.98] 好 谢谢
[144.98-146.98] 好 那长官那就是
[146.98-149.98] 现在我们就是有请两位再帮
[149.98-152.98] 现在开始帮我们做简报说明好吗
[152.98-155.98] 好的 那我现在开始接手了
[155.98-156.98] 是
[156.98-159.98] 好的 那谢谢线上的各位先进
[159.98-162.98] 那我是中国货柜业务部的协理
[162.98-163.98] 我姓蒋 我叫蒋良平
[163.98-165.98] 那这次法人说明会的部分
[165.98-171.98] 由我先跟各位介绍有关我们公司业务部的一些部分的一些资讯
[171.98-174.98] 那我直接跳到业务部的资讯这边开始
[174.98-177.98] 好 那讲到业务资讯的话
[177.98-183.98] 我们还是先从这个整个台湾地区的整个货柜商港的这个量的走势来开始做探讨
[183.98-186.98] 那我们可以看到2025年的第一季
[186.98-189.98] 我们整个四大国际商场的装卸量
[189.98-192.98] 今年做第一季是336.4万TU
[192.98-196.98] 那相较于去年2024年第一季来讲的话
[196.98-200.98] 337.8万TU来讲的话是下滑了大概0.4
[200.98-202.98] 0.4个百分点
[202.98-204.98] 那四个商场的话来讲的话
[204.98-206.98] 基本上来讲就是吉隆港 台北港 台中港 丹港
[207.98-210.98] 那接下来的话我就跟各位先进
[210.98-214.98] 针对这四个港口一一做个解报
[214.98-216.98] 好 我们先看吉隆港
[216.98-218.98] 那吉隆港的话第一季的话
[218.98-221.98] 我们看到它的作业量是37万TU
[221.98-224.98] 那跟去年同期间来比的话
[224.98-225.98] 37.5万TU来讲的话
[225.98-229.98] 它是下滑了大概少了大概5000TU
[229.98-232.98] 那总共占比是1.4个百分点
[232.98-235.98] 那下滑的原因基本上来讲的话就是
[235.98-236.98] 这样说吧
[236.98-239.98] 第一季的话一般来说都是传统的淡季
[239.98-241.98] 比较淡的季节
[241.98-244.98] 然后很多行商会利用这个传统的淡季
[244.98-247.98] 比如说春假期间做一些税休的动作
[247.98-250.98] 安排一些税休 进屋税休
[250.98-252.98] 然后再加上今年第一季比较不巧的就是说
[252.98-255.98] 我们两岸线的一部分行商因为受到
[255.98-257.98] 这个试航证取得叫完的问题
[257.98-259.98] 所以说可能它在第一季的时候
[259.98-261.98] 它有几个行市没有办法直接来靠我们吉隆
[261.98-263.98] 所以导致这个量
[263.98-266.98] 就要去年同期间来讲的话少了大概5000TU
[266.98-269.98] 那这是下滑的主要原因
[269.98-271.98] 那吉隆港的部分事实上来讲
[271.98-272.98] 它包含的航线的组成
[272.98-274.98] 我跟各位一起介绍一下
[274.98-276.98] 它包含了两岸的航线
[276.98-279.98] 大陆线还有晋阳线跟远洋线
[279.98-283.98] 那两岸线的部分它占比大概占了43%
[283.98-285.98] 晋阳大概占了19%
[285.98-287.98] 那远洋线的部分占了35%
[287.98-289.98] 那吉隆港远洋线的部分的话
[289.98-291.98] 就是我们讲的一个是美系航线
[291.98-294.98] 就是洛杉矶到吉隆的进出口航线
[294.98-296.98] 那另外一个是中南美系的航线
[296.98-298.98] 中南美到吉隆港的一个航线
[298.98-300.98] 这是所谓的远洋线的部分
[300.98-302.98] 所以吉隆港今年来讲的话
[302.98-303.98] 第一季来讲的话
[303.98-305.98] 货量下滑的原因最主要就是刚刚我提到的
[305.98-308.98] 可能有些航商安排这段时间第一季做税休
[308.98-310.98] 那第二个就是部分航商
[310.98-312.98] 他在这个四航针的部分
[312.98-316.98] 他们没有其实在第一季能够取得四航针
[316.98-317.98] 所以他可能就不能靠
[317.98-319.98] 所以导致这个量部分的下滑
[319.98-321.98] 那就是吉隆港
[321.98-323.98] 那再过来我们看台北港
[323.98-324.98] 那台北港的话
[324.98-325.98] 我们第一季的话
[325.98-326.98] 是做了大概是
[326.98-327.98] 35万Q
[327.98-328.98] 那相较于去年呢
[328.98-330.98] 去年做34.4万Q来讲的话
[330.98-331.98] 它是上升了
[331.98-332.98] 它是增加
[332.98-334.98] 增加1.9%
[334.98-336.98] 那台北港的话呢
[336.98-337.98] 跟各位介绍一下
[337.98-339.98] 它主要是三家航商
[339.98-340.98] 我们国内的三家航商
[340.98-342.98] 来共同出资经营的
[342.98-345.98] 那三家航商是长荣、万海跟杨明
[345.98-348.98] 那长荣的占比大概占了50%
[348.98-349.98] 万海大概占了40%
[349.98-351.98] 杨明占了10%
[351.98-352.98] 所以基本上来讲
[352.98-356.98] 台北港是由这三家航商出资来共同经营的
[356.98-358.98] 那去年年初的时候呢
[358.98-363.98] 台北港它有移了两个很大的航线到高雄港去
[363.98-365.98] 那这是因为去年年初的时候
[365.98-366.98] 去年的时候
[366.98-372.98] 长荣在高雄汽轨有新完成新盖的这个码头
[372.98-374.98] 所以它为了它汽轨的量
[374.98-376.98] 它移了很大的两个航线过去
[376.98-377.98] 所以各位可以看到
[377.98-378.98] 2024年第一季的时候
[378.98-381.98] 它去年下滑是下滑21.1%
[381.98-383.98] 那就是因为那时候的量移到台北港去
[383.98-384.98] 但今年比较好一点
[384.98-385.98] 今年的量就回稳了
[385.98-386.98] 所以我们看到
[386.98-389.98] 就是保持在原来的这个状况
[389.98-392.98] 并没有任何航线减少的动作
[392.98-395.98] 相反的台北港它今年又增加了一个新的航线
[395.98-399.98] 新的航线的话是万海跟ONE这两个航商
[399.98-401.98] 所共同联营组成的航线
[401.98-403.98] 到美国现在的航线
[403.98-406.98] 所以它的量相较去年来讲的话有多
[406.98-409.98] 大概多了6000个TAU
[409.98-411.98] 增加了1.9%
[411.98-413.98] 那这是台北港的情况
[414.98-415.98] 好再过来我们看一下
[415.98-418.98] 台中港
[418.98-420.98] 我们介绍完基隆跟台北港之后
[420.98-422.98] 我们往南看台中港
[422.98-424.98] 台中港的话2025年第一季来讲的话
[424.98-426.98] 总共做了37.8万TAU
[426.98-429.98] 那去年是做了40.7万TAU
[429.98-431.98] 那相较于去年来讲的话呢
[431.98-433.98] 大概少了大概1.9万TAU
[433.98-436.98] 那少了大概7.23个百分点
[436.98-438.98] 那为什么会少呢
[438.98-441.98] 基本上来讲我们有个观察到
[441.98-443.98] 就是说近年来我们台中港
[443.98-445.98] 它出口到中国跟印度
[445.98-447.98] 因为香港的货量
[447.98-450.98] 有逐年比例下降的趋势
[450.98-452.98] 比如说我们讲2020年的时候
[452.98-456.98] 它到中国大陆跟香港的量
[456.98-459.98] 大概还要占了43.9%
[459.98-461.98] 那到2024年来讲的话
[461.98-463.98] 变成31.7%
[463.98-465.98] 到2025年第一季来讲的话
[465.98-469.98] 到大陆的量进出口的量只有达到28.3%
[469.98-470.98] 所以我们可以看到
[470.98-472.98] 从2020年到现在来讲的话
[472.98-473.98] 它的那个进出口
[473.98-475.98] 台中港进出口的量
