[0.00-8.20] 各位贵宾早安
[8.20-10.20] 非常欢迎今天所有贵宾
[10.20-12.94] 列临直到元大证券第一季投资论坛
[12.94-15.64] 今日论坛我们特别邀请到
[15.64-18.20] 惠阳海运薛义俊财务长
[18.20-19.50] 来为我们讲解
[19.50-21.60] 让我们热烈掌声欢迎
[28.80-29.44] 大家好
[29.44-31.44] 非常感谢各位波罗来参加
[31.44-34.20] 我们今天的这个短短座谈
[34.20-36.84] 那么我们今天
[36.84-39.00] 我们一样针对省政行业的部分
[39.00-40.44] 会针对公司啊
[40.44-42.62] 产业跟大家做一些介绍
[42.62-44.20] 那在这个过程当中
[44.20-45.64] 如果各位有任何问题
[45.64-47.20] 或是不算清楚的地方的话
[47.20-48.22] 不要客气
[48.22-49.12] 谁都可以发问
[49.12-50.76] 那因为省政行业呢
[50.76-53.22] 和其他业界是会做到有点不同
[53.22-55.28] 所以大家对于这个产业了解度不同
[55.28-57.18] 那各位也不用客气
[57.18-57.52] 这样
[57.52-58.80] 好
[59.44-63.80] ,我这没开
[63.80-64.32] 对不起
[64.32-64.76] 我没有
[64.76-65.44] 我没开
[65.44-67.20] 我等一下
[67.20-67.68] 还有了
[67.68-68.52] 好的
[68.52-70.32] 那我们今天简介主要分三个部分
[70.32-72.72] 第一个介绍我们公司惠阳海运
[72.72-76.92] 那第二个是针对省政行业运的一些状况和特征
[76.92-78.40] 跟各位做一个介绍
[78.40-79.40] 那第三个部分的话
[79.40-81.88] 就是针对我们公司目前营运策略
[81.88-84.60] 会跟大家做一个分享
[84.60-86.00] 那我们常会讲说
[86.00-86.20] 哎
[86.20-87.68] 这个谈到省政行业运
[87.68-89.44] 其实我们卖的货品是非常类似的
[89.44-92.72] 就是在货的这个空间
[92.72-93.08] 所以呢
[93.08-95.72] 只要能够把货物从A点再到B点都是一样
[95.72-96.56] 没有什么差别
[96.56-97.52] 没有什么良率啊
[97.52-98.44] 哪一边比较好
[98.44-99.20] 或者等等
[99.20-102.64] 所以有时候大家会问说那省政行业运大概有什么差别呢
[102.64-107.72] 那我觉得其实省政行业运公司可以和彼此之间做出差别的地方非常多了
[107.72-111.40] 那么不过我觉得我们惠阳海运公司可能是在公司治理
[111.40-112.96] 还有我们的应用策略
[112.96-116.40] 还有我们对盘卷的重视这方面会比较不太一样
[116.40-117.56] 那谈到公司治理呢
[117.56-119.28] 其实公司就是人在做的
[119.28-119.72] 所以呢
[119.72-121.24] 即使船在海上跑
[121.24-123.88] 那载运货物也都是差不多是这些
[123.88-127.32] 但是不同的人就会造成不同的企业文化环境
[127.32-128.48] 那所以我们董事长
[128.48-130.32] 蓝董事长也对这些非常重视
[130.32-133.16] 所以虽然他自己本身是创业者
[133.16-135.48] 那也是目前公司最大的股东
[135.48-138.52] 那么但是他认为在董事会的组成上面
[138.52-140.04] 他是非常重视
[140.04-144.44] 所以我们的在九席董事当中的五席是独立董事
[144.44-146.60] 那么大部分也都是有经济啊
[146.60-148.68] 财快法律各方面的背景
[148.68-148.92] 那我
[148.92-150.76] 目前在性别多元化方面呢
[150.76-152.36] 也已经做到九席当中
[152.36-155.24] 我两席是女性的董事
[155.24-157.44] 刚好都是独立董事
[157.44-160.96] 那么另外除了我们在董事会的成绩之外
[160.96-164.04] 我们对于平常营运团队也非常重视
[164.04-168.96] 因为海运业界是面对国际在做生意的
[168.96-171.36] 所以不管我们船上发生什么事情
[171.36-174.36] 24小时around the globe都有可能
[174.36-177.24] 什么地方都有可能发生某些事故
[177.24-178.88] 然后我们的客户也是变形
[178.88-179.96] 所以我们的客户也非常重要
[179.96-181.00] 我们的客户也非常重要
[181.00-182.04] 我们的客户也非常重要
[182.04-182.60] 我们的客户也非常重要
