[0.00-3.84] 我們非常歡迎惠陽來參加我們的台新論壇
[3.84-7.00] 那我們現在把時間交給惠陽的經理團隊 謝謝
[9.50-12.00] 各位理事先生 各位親戚 大家好
[12.00-13.60] 今天非常感謝各位的時間
[13.60-16.60] 請來參加我們惠陽海運介入這次論壇
[16.60-20.20] 有一個跟同事交流的機會
[20.20-22.40] 我們今天主要的話
[22.40-24.60] 我們會先開始從簡報開始
[24.60-27.60] 然後之後當然希望有更多的時間可以跟各位互動
[27.60-29.60] 那不過如果在簡報途中
[29.60-31.60] 各位有任何不清楚的地方
[31.60-33.60] 或者是想要提問的地方
[33.60-35.60] 都歡迎打到沒有關係
[35.60-37.60] 因為產裝航運基本上是一個
[37.60-40.60] 有一些產業特色的行業
[40.60-42.60] 當然有一些朋友可能是老面孔
[42.60-43.60] 就我們這產業比較清楚
[43.60-46.60] 那如果說不是很清楚的朋友也沒有關係
[46.60-48.60] 就盡量發問沒有關係
[48.60-52.60] 那我們今天的presentation主要會分三個部分
[52.60-54.60] 第一個大概談一下我們公司的狀況
[54.60-56.60] 第二個談一下產業的情形
[56.60-58.60] 第三個就是運營的策略
[58.60-59.60] 那為了我們談
[59.60-61.60] 這個公司的概況呢
[61.60-64.60] 其實產裝航運大家賣的東西都差不多都一樣
[64.60-65.60] 就是船艙的空位
[65.60-66.60] 就是運貨而已
[66.60-68.60] 所以在這起見一下的話
[68.60-69.60] 那是不是大家都一樣
[69.60-71.60] 或者是大家到底哪裡不一樣
[71.60-73.60] 那所以我想我們惠陽海運呢
[73.60-76.60] 在我們認為我們三個地方看就不太一樣
[76.60-78.60] 第一就是我們這個governance
[78.60-79.60] 我們公司的治理模式
[79.60-81.60] 那第二個是我們經營模式
[81.60-85.60] 那第三個是我們這個環境議題的重視
[85.60-87.60] 當然並不代表別人不重視啦
[87.60-89.60] 就是說大家可能重視的方向不太一樣
[89.60-91.60] 那我們也會利用這個機會
[91.60-94.60] 那大家說明一下我們公司的做法是怎麼樣
[94.60-97.60] 那首先在公司治理的部分的話
[97.60-101.60] 我們對於我們雖然董事長還董事長的創辦人
[101.60-105.60] 他目前可以控制的股份大概達到50%左右
[105.60-107.60] 但其實我們目前在董事會
[107.60-110.60] 在九席當中我五席是獨立董事
[110.60-114.60] 那我們也盡量在這個董事會的專長上面
[114.60-117.60] 也會去兼顧到會計財務
[117.60-118.60] 然後經濟還有法律等等的東西
[119.60-121.60] 我們也會去做一些專長的分散
[121.60-124.60] 那目前的話我們在資本分散方面
[124.60-128.60] 有九席當中有兩席是女性的獨立董事
[128.60-133.60] 那在另外的話我們也非常重視我們對於專業團隊的養成
[133.60-137.60] 因為基本上我們的交易對象幾乎都是國外的客戶
[137.60-140.60] 所以對我們來說雖然我們的營運中心
[140.60-142.60] 這個營運中心是放在台灣
[142.60-144.60] 但是我們也在一種跨時區
[144.60-148.60] 然後和不同的文化或語言直接對話的能力
[149.60-151.60] 那尤其有時候我們需要處理的問題
[151.60-153.60] 並不只是客戶的問題
[153.60-155.60] 還有傳播如果發生狀況的話
[155.60-157.60] 比如在非洲或是哪邊的
[157.60-161.60] 經常會有一些需要處理的情形
[161.60-166.60] 所以我們是很重視這種對於不同國家
[166.60-168.60] 不同時區不同語言
[168.60-171.60] 怎麼樣能夠迅速的來處理狀況
[171.60-173.60] 那當然不是靠公司一個人
[173.60-175.60] 我們還有其他的資源網路
[175.60-178.60] 不過我想針對團隊的養成也是我們很重視的
[179.60-181.60] 就是我們從事公司的治理方面
[181.60-185.60] 我們認為雙重公司的財務透明度非常重要
[185.60-189.60] 所以我們目前是每個月都會發自己的營運公告
[189.60-193.60] 包含營業經歷跟稅前經歷
[193.60-198.60] 那另外的話我們也是希望定期會舉辦法說會
[198.60-202.60] 目前的話我們從今年開始應該是每一季都會有法說會
[202.60-203.60] 那除此之外的話
