[0.00-4.00] 好,那時間差不多,我們就先開始
[4.00-6.00] 那各位法人媒體朋友大家好
[6.00-10.00] 歡迎大家來參加我們2024年的營運成果發表
[10.00-12.00] 我是京城銀行iR團隊的曹文元
[12.00-16.00] 那稍等,我會先由我跟各位做個簡單的財務數字的報告
[16.00-19.00] 那後續會再進到我們Q&A的環節
[19.00-22.00] 好,那首先是我們簡報的第一頁
[22.00-26.00] 那這一頁就大概呈現了我們2024年的整體營運概況
[26.00-29.00] 那各項數字的部分我們後面會再提到
[29.00-31.00] 所以就先讓大家做個參考
[34.00-37.00] 好,那這一頁的話是我們整年的主因重點回顧
[37.00-40.00] 那總結來說我們2024年的整體獲利
[40.00-44.00] 是相較於前一個年度還要衰減大概4%
[44.00-47.00] 那這個衰減的部分主要是來自於我們的其他收入
[47.00-48.00] 也就是投資的部分
[48.00-50.00] 但是在本業的部分
[50.00-53.00] 那不管是利息進手或者是手續費收入
[53.00-56.00] 那都是相較於前一個年度還要有所增長
[56.00-58.00] 那再來是放緩業務的部分
[58.00-59.00] 我們在2024年的時候
[59.00-63.00] 我們2024年的放緩總額是新台幣2431億元
[63.00-67.00] 那不管是放緩的總金額或者是受信相關的首收
[67.00-68.00] 那或者是利息進收益
[68.00-71.00] 那也都是有相較去年同期還要成長
[74.00-77.00] 好,再來簡報的下一頁是我們營收結構的部分
[77.00-79.00] 那如同我們前面所提到的
[79.00-82.00] 我們2024年的營收衰退主要是來自於其他收入
[82.00-85.00] 所以大家可以看到在其他收入的部分
[85.00-88.00] 它的占比是相較於前一個年度還要有一個顯著的下降的
[89.00-95.00] 好,再來是營運表現的部分
[95.00-98.00] 那我們不管是在進收益或者是稅嫌營餘
[98.00-101.00] 那都是相較於前一個年度有稍微的衰退
[101.00-104.00] 那這也導致我們的營業費用率是有稍微的提升
[104.00-108.00] 但是在營業費用的部分我們還是有控制在一個合理的水準
[108.00-113.00] 那也因為獲利的衰退
[113.00-117.00] 所以讓我們不管是在ROE或者ROA都有稍微的衰退
[119.00-123.00] 好,再來是我們淨利差跟存放利差的部分
[123.00-126.00] 那其實提升利差是我們一直以來的目標
[126.00-129.00] 那我們可以看到我們在去年的第四季
[129.00-130.00] 不管是在NIM跟SPREM
[130.00-133.00] 我們也都是有維持在一個穩健成長的一個趨勢
[137.00-139.00] 再來是我們存放款結構的部分
[139.00-141.00] 那大家可以看到綠色部分是我們的總存款
[141.00-144.00] 那在存款的部分我們的變動是不大的
[144.00-148.00] 那主要是在放款的部分是相較於前一個年度有一個成長
[149.00-153.00] 那也讓我們的存放比是有提升到81.7%
[156.00-157.00] 再來存款結構的部分
[157.00-158.00] 我們前一天也有提到
[158.00-161.00] 雖然說我們的存款總額是沒有太大的變化
[161.00-163.00] 但是就存款結構的部分
[163.00-165.00] 我們的活存比其實是有提升的
[165.00-168.00] 那這也呼應到我們前面幾次的法說會都有提到的
[168.00-170.00] 就是提升核心存款的一個業務政策
[173.00-176.00] 那放款結構的部分這邊其實沒有太大的一個變動
[176.00-179.00] 我們的放款類別主要還是以台幣來做的
[179.00-180.00] 台幣、汽金為主
[180.00-184.00] 那產品別的部分主要還是集中在中小企業的部分
[188.00-190.00] 好 再來是我們的債券投資
[190.00-193.00] 那大家可以看到上半部是我們的國內債券
[193.00-195.00] 那下半部是我們的海內債券
[195.00-196.00] 那首先是國內債的部分
[196.00-199.00] 我們在部位跟我們的收益率是有稍微的上升
[199.00-201.00] 那Duration是有稍微的縮短
[201.00-205.00] 那海外債的部分其實是沒有太大的一個變化的
[209.00-212.00] 好 那投資類型其實也沒有太大的一個變動
[212.00-215.00] 我們的標的主要還是以投資等級的債券為主
[215.00-217.00] 那發行地區主要是美洲
[217.00-222.00] 那產業別的話主要還是以上面有列到的這些比較防禦類型的產業為主
[226.00-227.00] 再來是手續費收入的部分
[227.00-231.00] 那大家可以看到我們2024年在縮性相關的手續費
[231.00-233.00] 跟財富管理的手續費
[233.00-235.00] 那是有比較顯著的一個成長
[235.00-238.00] 那這兩者的分別大概都成長了大概三成左右
[239.00-244.00] 最後是我們的資本市足性跟支撐品質
[244.00-248.00] 那我們在資本市足率跟TL1的資本比率
[248.00-251.00] 都是維持在相較於同業還要好的一個表現
[251.00-256.00] 那在於放比跟放款覆蓋率也是為習慣優良的表現
[256.00-262.00] 好 那以上是我們針對2024年營運結果的一個簡單的報告
[262.00-264.00] 那後續就交給我們的副總
[264.00-266.00] 讓我們進到去會的環節
[269.00-274.00] 我想前面是簡單的Breeze一下我們去年整個的營運狀況
[274.00-276.00] 接下來我們開放Q&A
[276.00-278.00] 不過在正式各位提問之前
[278.00-284.00] 有一個最近經常各位會問的問題我也先澄清說明一下
[284.00-287.00] 就有關這次那個併購的一些時程
[287.00-290.00] 我想這次我們的併入永貢金
[290.00-295.00] 我自己把它界定有三個重要的Milestone
[295.00-298.00] 第一個Milestone是股東領事會
[298.00-303.00] 那這個股領會在3月3號雙方都已經通過議案
[303.00-308.00] 然後第二個Milestone是叫做股權轉換日
[308.00-311.00] 那這個股權轉換日的前提是
[311.00-315.00] 股領會通過之後在文件起備之後
[315.00-320.00] 就是金管會在文件起備的前提之下它會進行審查
[320.00-322.00] 那如果經過審查通過
[322.00-327.00] 接下來就會進到一個股份轉換的一個日期
[327.00-328.00] 那這個股領會通過之後在文件起備之後它會進行審查
[328.00-332.00] 這個日期我們的期待是在今年的第四季
[332.00-334.00] 如果一切都很順利的話
[334.00-336.00] 那一旦股權轉換之後
[336.00-340.00] 這時候金城銀行這家上市公司就會下市
[340.00-348.00] 那我們就會變成永豐金控100%所持有的單一的一家銀行
[348.00-351.00] 等於是我們會正式納入永豐金控
[351.00-355.00] 但是這個時候金城銀行的這個主體還是會存在
[355.00-357.00] 它只是下市
[357.00-362.00] 然後第三個 milestone 就是正式金城銀行與永豐銀行進行合幣
[362.00-367.00] 那我們的期待也是在股權轉換之後的一年內
[367.00-369.00] 這件事情可以實現
[369.00-371.00] 所以當各位在看到一些
[371.00-376.00] 不管是我們主管的一些說法或者是新聞稿
[376.00-379.00] 有時候提的叫做股權轉換
[379.00-381.00] 有時候提的叫做合幣
[381.00-384.00] 會有這樣時間的唱片
[384.00-386.00] 所以我在這邊首先先特別做一個說明
[387.00-389.00] 然後再跟陳情
[389.00-393.00] 接下來各位有什麼問題可以歡迎提出
[417.00-419.00] 請問他按一下
[419.00-421.00] 沒有問題
[421.00-424.00] 想請教一下那個利差成長的原因
[424.00-429.00] 還有那個二月份打消的貸帳內容會不會提現
[429.00-432.00] 還有股利政策今年的狀況會是什麼樣子
[432.00-433.00] 謝謝
[436.00-437.00] 好 三個問題
[437.00-439.00] 第一個是利差成長
[439.00-443.00] 第二個是二月份的貸帳打消的狀況
[443.00-445.00] 第三個是股利的
[445.00-447.00] 今年的股利的政策
[447.00-449.00] 第三個是股利的政策
[449.00-451.00] 第三個是股利的政策
[451.00-453.00] 好 謝謝提問
[453.00-458.00] 關於去年利差成長的主要原因是我們的販款的增長
[458.00-460.00] 還有我們販款有的
[460.00-466.00] 其實去年我們不斷在調整的是我們的資產品質
[466.00-471.00] 跟我們的壽性物類的這個利差
[471.00-476.00] 其實我們去年就以在跟美利基的朋友大家講說
[477.00-481.00] 金城銀行追求的是利差的成長
[481.00-484.00] 而不是追求它的量的成長
[484.00-491.00] 所以在這個我們去年一貫下來就是以作戰的比較保守穩健的方式在承作
[491.00-498.00] 所以利差成長的主要原因應該是以販款壽性的這個利率的提升
[498.00-502.00] 好 那第二個問題就是二月份打開的這個狀況
[502.00-506.00] 我們有一筆就是9億的這個壽性是
[507.00-511.00] 擔保壽性的部分是它因為預期三個月
[511.00-517.00] 那金城銀行過去就是針對因為我們有比較充實的資本跟獲利狀況
[517.00-520.00] 所以我們只要預期三個月我們就會打開
[520.00-526.00] 不會像一般銀行會就是在協商在做什麼一些動作
[526.00-531.00] 那我們就是在二月底我們就直接把它列入台帳
[531.00-537.00] 那這筆販款是屬於工業廠房跟土地的擔保販款
[537.00-541.00] 那目前估值的部分大概接近13億左右
[541.00-545.00] 那我們的壽性大概是9億5左右
[545.00-550.00] 所以目前評估起來這一筆我們是可以足以回收的
[550.00-553.00] 那第三個問題是鼓勵政策
[553.00-557.00] 我想鼓勵政策這個必須要我們董事會討論過才可以定案
[557.00-561.00] 那目前董事會是還沒有做任何的這樣的討論
[561.00-567.00] 那我想過去金城銀行在鼓勵政策都是比較屬於穩健配銷的
[567.00-570.00] 所以我們就想要用比較穩定的配息的方式
[570.00-575.00] 來給我們的股東有比較穩定的一個配息
[575.00-578.00] 那因為今年情況比較特殊一點
[578.00-584.00] 那今年因為牽涉到要跟永東金控做負權轉換
[584.00-588.00] 所以我們必須比較思考比較多的一些原因
[588.00-596.00] 然後我想我們還是董事會以追求股東的實質最大收益為考量
[597.00-599.00] 好 以上 謝謝
[605.00-606.00] 那你好 問一下
[606.00-610.00] 就是問一下那個鼓勵的部分
[610.00-612.00] 因為之前戴董才講到說
[612.00-616.00] 希望能夠維持50%以上的Payout Ratio
[616.00-621.00] 那今年會還是會延續這個程度嗎
[621.00-626.00] 那像我剛剛講的就是其實我們今年的考量的因素
[626.00-628.00] 會多了因為要加入永東金控
[628.00-635.00] 那其實以整體來看股東的每一個人的狀況不一樣
[635.00-640.00] 其實覺得股東的實質稅率有40%
[640.00-643.00] 那也有12%的各種稅率都不一樣
[643.00-650.00] 甚至會考慮到鼓勵分配2.1億的二代健保的費用
[650.00-654.00] 所以其實整體來看我們會考量說是不是一樣要維持50%
[654.00-656.00] 這個我們會多一點的考慮到
[656.00-658.00] 然後放得一處考量
[658.00-659.00] 謝謝
[659.00-662.00] 那另外問一下那個提出的部分
[662.00-667.00] 這一次二月份它是屬於什麼樣的產業
[667.00-671.00] 是屬於金屬的傳統產業
[671.00-677.00] 那現在帳上還有沒有其他的有可能會再大幅大銷
[677.00-683.00] 這個可能要想這個狀況就是要有時候面臨的時候才會知道
[683.00-685.00] 目前是沒有 謝謝
[686.00-690.00] 那您會不會說我們準備要並不允許把帳上一些比較有可能的
[690.00-696.00] 潛在有可能的壞帳把它提前做一些大銷的動作
[696.00-699.00] 我想京城銀行的資產是非常乾淨的
[699.00-705.00] 所以我們沒有什麼潛在或者是我們隱藏的這種不良的壽性
[705.00-707.00] 我相信絕對沒有這樣的狀況
[707.00-713.00] 那所以除非它就是真的是已經三個月一期沒有來繳利息的環環
[713.00-715.00] 我們才會列入預防之間的狀況
[716.00-718.00] 而且我們會在當業者當待
[718.00-720.00] 這是我們一貫的做工
[720.00-722.00] 謝謝
[724.00-727.00] 這個問題我也稍微補充一下
[727.00-733.00] 因為剛好我們在股東臨時會之後就發生兩件跟台帳有關的事情
[733.00-736.00] 第一個就是有筆比較大的預防
[736.00-740.00] 我們很快的打掉如同剛總經理所說
[740.00-744.00] 然後接下來我們有一筆之前的台帳然後有回收
[744.00-746.00] 那這兩個事件
[746.00-749.00] 真的都跟合併案無關
[749.00-752.00] 只是時候到了我們就很積極
[752.00-754.00] 依照我們過去的partners去處理
[754.00-758.00] 所以它就是一個很中性的事件
[758.00-759.00] 謝謝
[763.00-766.00] 你剛才說有一筆台帳回收是什麼案件
