[0.00-2.24] 各位法人及媒体朋友午安
[2.24-5.46] 欢迎参与台中银行法人说明会
[5.46-7.46] 我是今天主讲人称人国
[7.46-8.96] 在会议的初段
[8.96-10.92] 我们会报告本公司
[10.92-13.84] 2025年第一季的营运状况
[13.84-16.72] 简报过后会进入问答阶段
[16.72-18.22] 各位投资朋友
[18.22-20.44] 可于画面右下角栏位
[20.44-21.64] 输入您的问题
[21.64-24.44] 我们将于整理后同意回复
[24.44-25.72] 会议简报
[25.72-28.42] 以公告于本公司网站首页
[28.42-30.04] 敬请前往下载
[30.04-32.70] 我们现在法说会开始
[32.70-36.10] 首先就台中银行
[36.10-39.24] 2025年第一季营运灾药说明
[39.24-40.96] 获利情形
[40.96-42.46] 2025年第一季
[42.46-45.58] 税后净利21.74亿元
[45.58-47.96] 较2024年第一季
[47.96-50.34] 20.90亿元
[50.34-52.42] 增加0.84亿元
[52.42-54.80] 成长4.02%
[54.80-57.40] 2025年第一季
[57.40-58.26] 每股盈余
[58.26-58.40] 我们将以
[58.40-60.04] 0.39元
[60.04-62.14] 较2024年第一季
[62.14-64.36] 每股盈余追溯调整后
[64.36-65.68] 0.38元
[65.68-67.76] 成长2.63%
[67.76-70.02] 资产品质
[70.02-71.70] 2025年第一季
[71.70-73.48] 预期放缓比率为
[73.48-75.16] 0.28%
[75.16-77.44] 被抵贷账覆盖率为
[77.44-80.14] 424.26%
[80.14-81.70] 资本市足率
[81.70-84.04] 2025年第一季
[84.04-86.62] 自结合并资本市足率为
[86.62-88.16] 13.66%
[88.16-88.38] 资本市足率
[88.40-90.24] 第一类资本比率
[90.24-91.76] 12.32%
[91.76-93.86] 普通股权益比率
[93.86-95.68] 11.17%
[95.68-98.82] 自结个体资本市足率为
[98.82-100.82] 13.87%
[100.82-102.38] 第一类资本比率
[102.38-103.90] 12.56%
[103.90-106.08] 普通股权益比率
[106.08-108.28] 11.38%
[108.28-112.66] 就资产规模及净值
[112.66-114.84] 2025年第一季
[114.84-116.92] 合并资产规模
[116.92-117.54] 一兆
[117.54-117.94] 0.28%
[117.94-120.04] 0.125亿元
[120.04-121.62] 较去年同期
[121.62-124.06] 8911亿元
[124.06-126.82] 增加1214亿元
[126.82-129.76] 成长3.62%
[129.76-132.14] 2025年第一季
[132.14-133.44] 合并净值
[133.44-135.14] 843亿元
[135.14-136.68] 较去年同期
[136.68-138.48] 789亿元
[138.48-140.40] 增加54亿元
[140.40-142.88] 成长6.84%
[142.88-146.28] 就获利表现
[146.28-147.70] 2025年第一季
[147.94-148.94] 最后净利
[148.94-150.94] 21.74亿元
[150.94-153.22] 较2024年第一季
[153.22-154.96] 20.90亿元
[154.96-157.12] 成长4.02%
[157.12-158.76] 成长主因
[158.76-161.84] 净收益50.16亿元
[161.84-163.54] 较去年同期增加
[163.54-165.22] 3.39亿元
[165.22-167.82] 成长7.25%
[167.82-170.44] 其中主要为向下
[170.44-172.32] 利息净收益增加
[172.32-173.72] 2.93亿元
[173.72-176.00] 成长9.99%
[176.00-177.92] 首续位净收益增加
[177.94-180.24] 2.73亿元
[180.24-183.18] 成长23.41%
[183.18-185.42] 该账费用减少
[185.42-186.92] 0.78亿元
[186.92-188.64] 营业费用增加
[188.64-190.10] 2.91亿元
