[0.00-11.92] 高雄銀行2024年第四季法人說明會正式開始
[11.92-15.98] 接下來我們請許總經理為各位來賓致詞
[15.98-16.52] 謝謝
[16.52-24.88] 各位法人 記者 媒體 以及女士先生
[24.88-26.82] 還有我們的貴賓 大家午安
[26.82-35.30] 首先非常歡迎各位來參加本行2024第四季的法人說明會
[35.30-39.24] 那也感謝各位對高雄銀行的持續關注
[39.24-46.80] 那去年因為本行做 去年三月份本行做了一個現金增值50億元
[46.80-51.64] 所以使得本行的各項的業務都有大幅的成長
[51.64-54.94] 那其中本行的這個淨收益
[54.94-56.80] 去年來到43億元
[56.82-61.54] 這次的成長是從前一個年度到前一個年度
[61.54-63.54] 大概是13億8500萬
[63.54-67.54] 這個較前一個年度大概進增加了5億6400萬
[67.54-72.54] 那這個成長的幅度是來到了14.76%
[72.54-77.54] 另外我們的稅前盈餘去年是達到13億1500萬
[77.54-80.54] 較前一個年度也增加了1億1000萬
[80.54-84.54] 那這個成長的幅度是9.61%
[84.54-85.54] 另外我們的稅後的淨利呢
[85.54-86.54] 較前一個年度大概也增加了9600萬
[86.54-90.54] 這個成長的幅度也來到11.1%
[90.54-96.54] 其次呢本行在這個帳列在
[96.54-100.54] 通過其他綜合的損益
[100.54-104.54] 按公允價值衡量的這個權益工具的處分利益
[104.54-107.54] 我們去年也有來到2億4500萬
[107.54-110.54] 這個較前一個年度的1億3900萬
[110.54-113.54] 也進增加了大概1億600萬左右
[113.54-116.54] 這個成長的幅度是來到76.26%
[116.54-120.54] 所以呢去年本行的整個包括淨收益
[120.54-124.54] 稅前淨利跟稅後淨利都來到這個歷史的新高
[124.54-127.54] 待會我會有比較詳細的一個報告
[127.54-131.54] 那現在呢就來看我們詳細的一個數字
[131.54-134.54] 請各位來看到我們的一個簡報的內容
[134.54-140.54] 首先第一頁呈現的是我們去年整個的一個營運的一個績效
[140.54-145.54] 那我們看到我們的稅前淨利呢是來到13億1500萬
[145.54-148.54] 這個較前一年度的12億0500萬
[148.54-150.54] 淨增加1億1
[150.54-153.54] 那這個成長的幅度是9.13%
[153.54-157.54] 那稅後淨利呢我們是來到9.61億
[157.54-161.54] 這個較前一年度呢是淨增加了9600萬
[161.54-163.54] 那這個成長的幅度是11.1
[163.54-169.54] 那特別報告就是說我們看到這個POPLIN的最後一列
[169.54-172.54] 這個我們OCI權益工具的處分損益
[172.54-174.54] 這個也就是透過其他
[175.54-179.54] 這個損益按公允價值衡量的權益工具的處分利益
[179.54-182.54] 這個我們去年是來到2億4500萬
[182.54-185.54] 這個較前一年度的1億3000多萬
[185.54-187.54] 我們是增加了大概1億多
[187.54-189.54] 那這個成長的幅度剛剛我有報告過
[189.54-191.54] 達到76%
[191.54-197.54] 那這個部分呢其實是障列在不一樣的科目
[197.54-199.54] 但是這個2億4500萬呢
[199.54-203.54] 這個是也可以拿來作為發放股息之用
[203.54-205.54] 所以如果把這個
