[0.00-7.44] 高雄銀行2025年第一季法輪說明會正式開始
[7.44-11.00] 接下來請許總經理致詞 謝謝
[11.00-19.32] 各位股東媒體記者小姐先生大家午安
[19.32-24.00] 很高興今天又在這邊跟大家碰面
[24.00-27.96] 來報告高雄銀行第一季的整個營運績效
[27.96-36.48] 在做法說會之前我大概把綜合的績效先跟各位股東做一個報告
[36.48-42.88] 本行今年第一季稅前營運是來到3億5600萬
[42.88-46.68] 跟去年同期來比較的話大概增加了8400萬
[46.68-49.62] 這個成長的幅度是達到三成
[49.62-55.12] 另外我們的稅後淨利是2億6600萬
[55.12-57.94] 跟去年同期來比較大概也增加了
[57.94-62.18] 9500萬那這個成長的幅度更高達5成5
[62.18-65.42] 所以這個績效可以說是非常的亮眼
[65.42-70.42] 另外我們的量的部分有關存放款的這個平均餘額
[70.42-75.62] 我們的存款大概也比去年同期增加了307億
[75.62-79.82] 另外我們的放款也成長了344億
[79.82-85.70] 所以這個是去年第一季現金增至50億元之後
[85.70-87.90] 整個的營運量能
[87.94-92.86] 有明顯的提升才可以使得我們的經營績效有所提升
[92.86-97.34] 那詳細的部分我在稍後的這個個別的簡報裡面
[97.34-99.38] 再做一個詳細的一個說明
[99.38-104.38] 首先來我們看一下一個總的第一季的這個經營績效
[104.38-107.62] 首先是我們看到稅前淨利的部分
[107.62-113.26] 我們是來到3億5600萬跟去年同期的2億7200萬
[113.26-117.10] 竟增加了8400萬這個成長的幅度是達到
[117.94-120.50] 10.88%達到了三成
[120.50-124.06] 另外我們的稅後淨利是來到2億6600萬
[124.06-129.26] 那相較去年同期的1億7100萬成長了9500萬
[129.26-132.38] 那這個成長的幅度是來到5成5
[132.38-137.02] 另外我們每股的這個稅後盈餘是0.15元
[137.02-141.74] 相較去年同期的0.12大概也增加了0.03元
[141.74-144.42] 這個成長的幅度也來到25%
[144.42-145.94] 另外ROA ROE也是跟去年同期的0.12元增加了25%
[145.94-146.46] 另外ROA ROE也是跟去年同期的0.12元增加了0.03元
[146.46-147.06] 另外ROA ROE也是跟去年同期的0.12元增加了0.03元
[147.06-147.76] 另外ROA ROE也是跟去年同期的0.12元增加了0.03元
[147.76-148.14] 另外ROA ROE也是跟去年同期的0.12元增加了0.13元
[148.14-148.64] 另外ROA ROE也是跟去年同期的0.12元增加了0.13元
[148.64-150.08] 大概也都有成長
[150.08-154.80] 接下來我們看一下我們資產負債的一個增長的狀況
[154.80-158.44] 我們可以看到這個曲線圖上面是藍色的曲線圖
[158.44-159.72] 是我們的淨資產
[159.72-161.86] 我們可以看到今年第一季
[161.86-165.24] 我們的資產總額是3580億
[165.24-172.08] 跟去年同期的3237億是淨增加了343億
[172.08-175.92] 這個主要的增加是我們的放款的一個淨增加
[175.92-177.58] 其次我們看到
[177.58-177.74] 其次我們看到
[177.74-180.30] 紅色的曲線是我們的負債的部分
[180.56-184.66] 那負債的部分今年EQ金額是3323億
[185.16-187.98] 跟去年同期的2993億
[188.24-190.28] 進增加了331
[190.54-195.14] 那這個部分主要是我們的一個存款的一個增加
[195.40-200.78] 那如果我們看到這兩個曲線如果跟去年的12月
[201.04-203.60] 來比較也就是跟這個時間點來比較
[204.62-205.64] 不管是資產
[205.90-206.66] 或者是放
[206.66-209.98] 負債的部分也是都有明顯的增加
[210.24-212.80] 我們看到資產大概增加了73億
[213.06-215.36] 那如果負債的部分大概也增加了
[215.62-216.38] 67億
[216.64-220.48] 那這個主要的部分也是放款跟存款的一個增加
[221.26-223.04] 好那接下來我們看下一個頁次
[223.56-226.12] 是我們權益的一個增長情況
[226.38-228.94] 那首先我們看到藍色的這個
[229.70-230.98] 應該是紫色的
[231.24-232.52] 紫色的這個曲線圖
[232.78-235.08] 我們看到我們今年EQ的
[235.84-236.62] 權益是6000
[236.92-239.22] 256億7900萬
[239.48-240.76] 跟去年同期的
[241.02-243.32] 243億3100萬
[243.58-247.16] 大概有進增加了13億4800萬
[247.42-248.70] 這個主要增加的部分
[248.94-249.98] 有幾個因素
[250.22-250.74] 第一呢
[251.00-251.76] 主要是
[252.02-253.82] 我們從去年的
[254.32-255.10] 這個
[255.60-256.62] 第二季開始
[256.88-259.44] 到今年的第一季我們大概最後盡力
[259.70-262.00] 大概賺了10億5600萬
[262.26-263.02] 另外呢
[263.28-266.62] 我們帳列OCI的一個評價利益的部分
[266.92-269.22] 在這個時間點的時候我們的
[269.48-271.78] OCI的帳列評價利益是
[272.04-273.32] 5.14億
[273.58-274.08] 是正數
[274.60-276.14] 但是去年同期
[276.38-278.18] 在這個地方的時候呢
[278.44-281.26] OCI的評價損益是負的3.3億
[281.50-284.84] 所以這個一來一回的差距大概就有8億4500萬
[285.10-285.86] 其次呢
[286.12-293.28] 在這個中間因為我們去年有配發了這個現金鼓勵所以有流出了5.51億的一個現金
[293.54-295.34] 所以大概就是這幾個因素
[295.58-296.62] 使得我們整個
[296.92-299.48] 來看的話我們的權益就比去年同期
[299.74-301.52] 競爭加了13.48億
[302.04-303.58] 好那接下來我們來看
[303.82-306.64] 我們今年EQ的時候我們的股本是
[306.90-309.46] 182億6300萬
[309.72-312.78] 那去年同期這個是剛增值完的
[313.30-315.60] 時候是177.43億
[316.12-318.68] 那這個中間的差距大概是5億
[318.94-320.98] 就是因為我們去年配發了股票
[321.24-322.26] 股利三毛錢所致
[323.28-323.80] 好
[324.06-326.62] 那再來的話我們看到這個是我們的這個
[326.92-328.20] 美股權益的部分
[328.70-330.24] 美股的一個權益
[330.76-336.64] 那我們看到今年EQ這裡是13.83跟相較去年同期的
[336.90-337.92] 13.47
[338.18-340.74] 元呢大概增加了0.36元
[341.00-341.76] 這個部分
[342.02-342.78] 其實就是
[343.04-345.60] 這個權益去除上我們的股數
[345.86-347.66] 這個也是這裡的權益去
[347.90-349.18] 除上我們這個股數
[349.44-350.72] 就可以來到這個
[350.98-355.08] 美股的一個淨值也就是看看多少錢大概13塊多
[355.34-356.10] 那雖然
[356.66-360.50] 雖然我們的股本有增加但是我們的權益的部分的增加的
[360.76-362.80] 幅度是比這個股本增加的
[363.06-363.82] 幅度來得快
[364.08-365.62] 所以呢使得我們的這個
[365.88-369.20] 美股的淨值大概有近增加了0.36元
[369.46-370.74] 如果我們看到
[371.00-371.76] 今年
[372.02-373.56] 第一季跟去年
[373.82-376.12] 4Q的時候比較的話我們可以看得到
[376.88-379.44] 這個每個數字呢也大概都是有成長
[379.70-381.50] 那最主要的原因是因為
[381.74-384.82] 我們今年第一季也就是這一段期間
[385.08-386.10] 我們有賺了
[386.66-389.98] 稍早報告了我們就是今年第一季的稅後盈餘有賺了
[390.24-391.26] 2.66億
[391.52-392.30] 另外呢
[392.80-394.60] 在這個時間點的這個
[394.86-401.00] OCI的評價利益是5.14億但是去年年底的時候這個評價利益是1.57億
[401.26-404.32] 所以呢這個評價利益也有近增加
[404.58-409.44] 所以呢導致說我們這個部分的大概還是就是說比去年這邊有所增長
[410.22-410.72] 這個是
[410.98-412.26] 權益的一個部分
[412.52-414.30] 另外我們看到我們的
[414.56-416.10] 資產的一個結構
[416.36-416.62] 那
[416.92-418.96] 我們顯示的是一個派餅圖
[419.22-424.60] 那首先我們看到其實銀行最大的資產主要還是放款跟投資這兩塊
[424.86-428.94] 那這兩個部分呢在本行來看的話這兩個部分加起來
[429.20-432.28] 大概就佔了我們總資產大概89%
[432.54-433.04] 那
[433.30-439.44] 我特別說明一下我們的放款的部分其實在今年3月底的時候我們的放款金額是
[439.70-441.24] 2276億
[441.50-446.62] 那這邊顯示的是2250億這個主要的部分是因為這個是用金額來
[446.92-447.94] 顯示也就是說
[448.20-451.26] 他是扣除了我們提列的背底呆帳的部分
[451.52-456.64] 那在今年3月的時候我們的背底呆帳的金額是26億1600萬
[456.90-457.42] 所以這個
[457.66-461.50] 2276億扣掉剛剛報告的背底呆帳數字
[461.76-463.82] 大概就是這個2250億
[464.06-466.38] 這個主要是我們的一個資產結構
[466.62-468.68] 那其他的部分請股東參閱
[468.94-470.22] 接下來我們看到
[470.46-474.06] 本行負債跟權益的一個結構的一個
[474.30-475.08] 我們是用
[475.34-476.62] 條圖的方式來來看的
[476.92-477.42] 來顯示
[477.68-482.30] 那首先我們看到紅色的條圖也就是本行的負債面的部分
[482.54-483.06] 那
[483.32-487.42] 各位也可以看到我們最主要的負債呢佔了九成
[487.66-488.94] 其實就是我們的存款
[489.46-494.84] 那其次呢才是我們的一個同業存款啦或者是說我們的一些金融負債
[495.10-497.90] 那當然這個有一部分是本行發的這個
[498.16-499.18] 也就是
[499.44-502.00] 沒有到期日的一個永續債的部分
[502.52-505.84] 那另外還有一些其他的一個部分這個主要就是
[506.92-507.42] 我們的負債
[507.94-511.26] 那另外呢看到右手邊的是我們權益的部分
[511.52-513.82] 那權益的部分的最主要的還是我們的股本
[514.08-514.60] 那
[514.86-518.70] 這個257億裡面的我們股本大概就佔了71%
[518.94-521.00] 這是含了特別股4億在內
[521.26-522.78] 其次呢我們保留盈餘
[523.04-524.84] 保留盈餘裡面有55億
[525.10-528.94] 那保留盈餘裡面最主要的部分還是我們的法定公積
[529.44-532.26] 其次就是我們之前的一個
[532.52-534.06] 特別盈餘公積也是
[534.30-534.82] 就是
[535.08-536.62] 在兩年之前因為
[536.92-537.42] 這個
[537.68-540.24] 平價有損失所以獲利沒有辦法分配
[540.50-542.54] 提列特別盈餘公積的部分
[542.80-545.10] 那因為去年我們在發放鼓勵的時候有
[545.36-547.92] 提撥了大概4.79億出來
[548.18-550.74] 所以呢帳上大概還有這個2.7億
[551.00-551.76] 2.9億
[552.54-555.34] 那另外還有就是今年第一季的這個
[555.86-556.88] 稅後的一個
[557.14-561.24] 盈餘另外還有就是我們今年第一季呢大概帳上
[562.00-563.54] 帳列OCI的這個
[563.80-566.36] 權益工具大概我們也有做了一些
[566.92-568.96] 部分也就是股票的部分有一些處分
[569.22-569.98] 有一些獲利
[570.24-571.52] 那金額是3000萬
[571.78-572.80] 主要是這些
[573.32-574.86] 組成的這個保留盈餘大概
[575.10-576.14] 金額有55億
[577.92-578.94] 接下來我們看下一頁
[579.98-583.30] 接下來我們看到是我們的損益的一個增長狀況那
[583.56-586.12] 這個稍早大概有報告過也就是我們
[586.38-590.72] 今年第一季的時候我們稅前盈餘是3.56億跟去年同期
[591.24-592.52] 大概有增加了這個
[592.78-596.10] 0.8億這個成長的幅度是來到30%
[596.10-601.48] 那稅後的部分呢我們是2.66億跟去年同期1.7億
[601.74-606.86] 那淨增加大概有9500萬那這個成長的幅度更是可觀達到55成
[607.10-608.64] 那美股的這個
[608.90-611.72] 稅後盈餘是0.15元
[612.22-616.06] 那跟去年同期的0.12也是有長足的一個進步
[616.32-617.60] 這個也是
[617.86-624.00] 我們去年有現金增值50億讓我們的存放款都相對的提升動能
[624.26-624.78] 提升
[625.02-626.06] 使得我們的利息
[626.36-628.14] 利息淨收益有大幅的提升
[628.40-630.96] 才有辦法使得這個我們的整個的
[631.98-635.06] 稅後盈餘跟稅前盈餘整個都大幅的拉升
[635.58-636.08] 好
[636.34-637.36] 我們看下一頁
[637.62-641.20] 好那這個是看到我們淨收益的一個重要的一個部分
[641.46-645.56] 那其實本行的淨收益主要是三大塊的一個來源
[645.82-647.60] 最主要的還是利息淨收益
[647.86-651.44] 其次是另外兩個部分手續費淨收益跟
[651.70-652.72] 財務操作
[652.98-653.74] 那事實上
[654.00-655.54] 銀行的淨收益裡面呢
[656.36-658.92] 包括了可能長期股權投資的
[659.18-659.94] 一個部分
[660.20-664.04] 但是因為在第一季的時候長期股權的投資這個部分
[664.30-665.32] 發放的股利
[665.58-668.38] 都會落在第二季到第三季
[668.90-670.18] 所以這個第一季我們
[670.70-671.72] 不會把這個
[671.98-674.02] 這個長期股權投資這個
[674.28-674.78] 再把
[675.30-677.86] 取先把它列出來因為他其實就是0
[678.38-679.66] 好那我們看到
[679.90-682.98] 我們今年第一季的時候我們這個
[683.24-683.74] 呃
[683.74-689.88] 淨收益是來到11億6300萬這個跟去年同期的
[690.14-693.98] 9.78億呢是淨增加了1億8500萬
[694.24-695.26] 另外
[696.80-702.94] 利息淨收益的部分今年第一季是來到8億3300萬跟去年同期的6億
[703.20-704.22] 4000萬呢大概
[704.48-710.62] 也是大幅增加了大概1億9300萬那這個成長的幅度是非常可觀來到
[710.88-711.38] 30%
[711.64-713.70] 那另外手續費淨收益的部分呢
[714.00-715.28] 今年EQ是
[715.54-716.30] 2.4億
[716.56-718.86] 跟去年的2.33億大概
[719.12-719.88] 增加了700萬
[720.40-721.42] 那唯一呢
