[0.00-4.26] 王太宇副总
[4.26-8.56] 为大家说明公司
[8.56-10.80] 113年第四季营运状况
[10.80-13.32] 我们现在把时间交给王副总
[13.32-16.84] 各位午安
[16.84-19.26] 首先谢谢各位来参加
[19.26-20.64] 今天是新光产险
[20.64-22.90] 113年第四季的法案说明会
[22.90-24.70] 也谢谢主办单位
[24.70-25.74] 有公信证券
[25.74-28.16] 在安排这次说明会的辛劳
[28.16-29.86] 接下来我会为各位
[29.86-31.16] 做简要的说明
[31.16-32.68] 在报告结束后
[32.68-34.18] 我也会回答各位的问题
[34.18-38.58] 首先我们还是必须提醒
[38.58-40.02] 这次的说明会内容
[40.02-42.58] 如果牵涉到未来性的说明时
[42.58-44.68] 其中有假设基础的设定
[44.68-45.80] 再次提醒
[45.80-48.52] 不是未来实际营运绩效的保证
[48.52-51.72] 今天法说会将分为
[51.72-53.16] 五大项目的作为报告
[53.16-56.46] 并且说明本公司每季的营运状况
[56.46-59.84] 新光产险成立于
[59.84-61.20] 民国52年
[61.20-64.46] 在民国89年于台湾证券交易所划牌
[64.46-66.64] 股票代号285
[66.64-69.66] 持收之等额为31.59亿
[69.66-72.08] 总市长是吴信宏先生
[72.08-75.72] 员工人数在113年12月31日为止
[75.72-79.04] 有1536人
[79.04-81.52] 整体产险市场在113年
[81.52-85.46] 产品结构主要为车险约债10%
[85.46-88.56] 其次为14.16%的商业搏险
[88.56-91.44] 以及12.41%的责任险
[91.44-97.92] 前三大的险种已经超过76%的市占
[97.92-102.80] 综合率是衡量保险公司经营绩效的重要目标
[102.80-106.10] 由损失率与费用率加总合成
[106.10-109.32] 新光产险在损失率或是费用率的控管
[109.32-112.12] 每年均有精进的管理与进步
[112.12-116.20] 例如113年度的综合率是83.31%
[116.20-118.54] 相较前一年度损失率及费用率的费用率是
[118.56-119.36] 都有下降
[119.36-123.38] 本公司会持续努力精进和保有费用的控管
[123.38-128.18] 近三年最后尽力于每股盈余的表现
[128.18-130.14] 保持持续的稳健进步
[130.14-133.44] 113年EPS是10.47元
[133.44-134.82] 是历史的新高
[134.82-141.36] 公司获利来源主要为保险本业损益及投资损益
[141.36-142.78] 整体而言
[142.78-146.42] 新光产险保险本业获利比重高于投资
[146.42-148.54] 以税前损益角度来说
[148.56-153.94] 在2014年5月5月5日的5月5日的5月5日的5月5日
[153.94-157.90] 新光产险的比重大约落在7比3之间
[157.90-164.12] 新光产险股东权益总金额在111年首度超越150亿元
[164.12-165.94] 并且持续成长
[165.94-170.32] 113年股东权益达192亿3600万元
[170.32-173.52] ROE为18.1%
[173.52-178.36] 继续维持两位数以上的表现
[178.56-183.16] 新光产险主要是以RBC及信用平等指标在评量
[183.16-186.24] 在RBC风险资本市卒率的部分
[186.24-189.44] 目前RBC的法定规定是200%
[189.44-194.18] 新光产险113年底的RBC是456%
[194.18-196.48] 除了符合法定规定外
[196.48-202.62] 目前的资本市卒程度也是属于相当稳健的状况
[202.62-207.24] 另外一个用来评估整体风险的指标是信用平等
[207.24-208.52] 新光产险目前接受的资本市卒率是20%
[208.56-213.16] 中华信凭及ambest两家信凭公司进行平等
[213.16-217.78] 分别在113年11月与114年4月完成信凭
[217.78-224.44] SNP及中华信凭给予的平等与展望结果于112年维持相同时间
[224.44-228.28] 风险结构属于相当强等级
[228.28-236.46] ambest信凭公司在114年4月将新光产险ICR平等由A调升至A-plus
[236.46-238.52] 接下来是新光产险的信凭公司
[238.52-239.80] 投资策略的报告
[239.80-242.98] 公司在资产配置上
[242.98-244.74] 偏向保守稳健的
[244.74-245.94] 附近收益商品
[245.94-247.80] 从连续三个年度
[247.80-250.12] 可以观察到资金配置的状况
[250.12-251.90] 在国外投资的部分
[251.90-253.70] 金额是逐年下降
[253.70-255.34] 国外投资项目
[255.34-257.76] 也包含支付在保人股项
[257.76-260.62] 另外在国内有价分券中
[260.62-263.02] 债券的部分则是逐年提升
[263.02-265.20] 中长期人士以提高
[265.20-267.10] 稳定收益的资产项目
[267.10-268.44] 为投资重点
[268.44-271.58] 目标是增加收益的长期稳定度
[271.58-277.44] 在新光产检近年ESG执行
[277.44-279.18] 成果的说明
[279.18-281.04] 在环境一的部分
[281.04-283.92] 我们定定节能减碳的目标
[283.92-287.82] 并且已经通过ISO14064G5001
[287.82-289.54] 能源管理相关认证
[289.54-292.24] 并且持续研发绿色保单
[292.24-295.14] 以实际的行动执行减碳进行
[295.14-297.34] 在社会S的部分
[297.34-298.42] 我们持续研发绿色保单
[298.42-300.52] 并且持续执行各项供应活动
[300.52-304.14] 像是连续18年举办的捐血活动
[304.14-307.44] 购买庇护工厂的礼品作为三杰赠品
[307.44-309.76] 支持公益团体的营运
[309.76-313.06] 今年3月新光产检也被台北市政府列为
[313.06-316.76] 全国企业团体采购庇护工厂活动中的
[316.76-318.94] GEO企业
[318.94-321.18] 在公司制领机的项目中
[321.18-323.66] 我们严格执行法律遵循
