[0.00-2.82] 各位投資先進
[3.08-5.12] 媒體朋友大家午安
[5.64-10.50] 歡迎各位參加國泰金控2025年第一季的法人說明會
[10.76-12.80] 我是財務長陳彥儒
[13.06-15.86] 今天很高興來為大家做簡報
[17.16-21.24] 首先我們看2025年第一季的營運重點回顧
[21.44-27.08] 國泰世華銀行第一季獲利再創同期新高年成長17%
[27.34-32.96] 存放款動能強健盡利收年成長18%
[33.22-37.32] 財富管理跟信用卡的首收年成長分別是
[37.58-39.62] 46跟14%
[39.88-43.72] 整體淨首收年成長達33%
[44.48-46.28] 在國泰人壽
[46.54-48.84] 持續價值導向累計
[49.56-51.36] 持續價值導向累計
[51.62-52.38] CSM
[52.88-58.00] 美元傳統型商品跟投資型商品銷售動能強進
[58.26-60.82] 帶動FYP倍數增長
[61.84-64.92] 經常性收益率年增17個BP
[65.18-67.22] 避險成本控制得宜
[68.00-71.32] 節制低地底淨值比是8.5%
[71.58-73.12] 資本水準強減
[74.14-78.24] 在國泰產險保費收入年成長12%
[78.40-80.70] 城堡獲利維持穩定
[80.96-83.76] 第一季的獲利也創同期的新高
[85.04-90.68] 那另外在國泰投信的資產管理規模達到2.2兆
[90.94-93.50] 那獲利也再創同期新高
[94.24-98.36] 那在國泰證券方面推動全方位的數位經營
[98.88-102.72] 客戶規模突破了220萬戶
[103.24-107.12] 富委託業務的市占率超過20%維持
[107.38-108.14] 第一
[108.40-112.94] 那第五頁這邊在獲利方面
[112.96-117.16] 今年第一季國泰金控稅後淨利達322億
[117.42-119.46] 那比去年同期減少
[119.72-123.80] 那主要因為去年的投資收益基期比較高
[124.32-128.42] 那今年以來各子公司核心業務動能維持穩健
[128.68-131.74] EPS是每股2.18元
[133.78-137.62] 那下一頁在各子公司的獲利方面
[137.82-144.20] 我們看到銀行產險跟投信第一季的稅後淨利都續創
[144.22-146.02] 歷年的同期新高
[146.52-149.60] 那人壽方面經常性收益提升
[149.86-155.74] 保險本業營運維持穩健我們看到單季的淨利有達到184億
[156.26-160.62] 那金控第一季年化的ROE是14.4%
[160.88-164.46] 各子公司ROE也都達到雙位數
[164.46-166.46] 那下一頁在淨值方面
[166.48-171.98] 節制第一季底金控合幣的淨值是8836億
[172.22-174.02] 那比去年底減少
[174.30-179.42] 主要在這個第一季國內外的股市高檔回落修正
[179.66-182.94] 那金融資產的未實現評價減少
[183.44-187.54] 每股淨值節制第一季底是52.8元
[189.58-192.30] 接下來在海外營運方面
[192.46-196.34] 在東南亞的部分銀行持續的深耕在地
[196.60-198.46] 跟跨境的企業客群
[198.72-201.74] 精進數位平台拓展銷金業務
[202.24-207.82] 那在三月份已經獲得金管會核准設立印度的這個孟買分行
[208.58-211.14] 那在大中華的部分
[211.40-216.94] 國泰世華銀行大陸紫行榮獲當地的幸福職場大獎的肯定
[217.20-218.74] 那是唯一獲得
[218.94-220.74] 這個大獎的台資銀行
[221.00-224.84] 那同時持續維持這個零預放的資產品質
[225.60-228.78] 那另外我們看在陸家嘴國售拓展
[229.04-230.84] 個險跟多元的通路
[231.10-234.66] 第一季的保費收入是超過17億人民幣
[236.94-239.18] 那接下來我們看國泰世華的部分
[239.94-245.32] 在存放款方面2025年第一季底的放款餘額是2.7兆
[245.52-246.80] 年成長15%
[247.32-250.40] 那其中迄今放款年成長11%
[250.90-253.20] 房貸年成長13%
[253.46-256.02] 個人放款年成長28%
[256.28-258.84] 那都有這個double digit的成長
[259.36-260.96] 那截至第一季底
[261.46-263.96] 存款是3.8兆
[264.46-267.28] 那year on year年成長是11%
[268.04-270.88] 活存比是60.2%
[271.38-273.18] 那在國泰世華的部分
[273.18-275.18] 是60.2%
[277.58-280.30] 那下一頁在淨利差方面
[280.56-284.78] 2025年第一季的淨利差是1.55%
[285.18-288.04] 存放利差1.85%
[288.30-293.18] 那分別比去年同期是上升9跟10個bp
[293.42-298.42] 那主要受到存款結構調整跟外幣資金成本下降
[298.86-299.92] 的關係
[300.38-303.66] 那我們看這個下方qoq的部分
[303.66-305.76] 淨利差跟存放利差
[306.52-309.36] 相較上一季是有減少兩個bp
[309.60-313.32] 那主要是因為台幣放款的比重提升
[313.32-317.76] 那美元降息放款反應速度先於存款的關係
[319.76-321.64] 那在資產品質方面
[321.64-325.24] 我們持續秉持穩健嚴謹的放款政策
[325.48-328.80] 第一季的預放比是0.13%
[329.12-332.92] 備呆覆蓋率是1297%
[333.64-335.44] 那在信用成本方面
[335.44-337.72] 第一季毛提存19億
[338.00-340.32] 那呆帳回收是6億
[340.60-345.20] 換算淨提存的credit cost是20個bp
[347.20-351.56] 那我們再進一步來看中小企業跟外幣放款
[351.80-353.76] SME放款持續成長
[353.76-356.92] 第一季底的餘額是3400億
[357.12-358.76] 年成長5%
[358.96-361.84] 佔全行放款近13%
[362.80-365.20] 那外幣放款也是持續成長
[365.20-368.52] 第一季底的餘額是2870億
[369.04-373.84] 那我們相較去年同期年成長是25%
[374.80-377.08] 第一季台幣貶值1.2%
[377.08-379.12] 如果排除匯率的影響
[379.12-381.72] 年成長是21%
[383.20-384.84] 那在海外獲利方面
[384.84-387.12] 第一季海外獲利是28億
[387.40-390.08] 那比去年同期有顯著的成長
[390.08-394.24] 主要是受惠存放款跟投資收益的回升
[396.16-398.72] 下一頁在手續費淨收益方面
[398.92-402.28] 第一季的淨收收達102億
[402.44-404.36] 年成長33%
[404.68-407.00] 那主要在財富管理的收收
[407.00-409.08] 年成長超過四成
[409.56-411.80] 信用卡的國內外消費金額
[411.80-414.28] 也都有良好的成長
[414.48-417.76] 淨收收年增加達14%
[418.84-422.80] 那我們進一步就財管收收分享來看
[423.12-426.76] 第一季財管的淨收收是67億
[426.76-428.84] 年成長46%
[429.16-432.64] 那其中共同基金年成長56%
[432.92-436.12] 保險商品的年成長是64%
[437.28-441.92] 那另外財管客戶數跟AUM持續穩健的增長
[442.32-445.36] 那AUM的年增有達到13%
[446.76-449.36] 那接下來我們看國泰人壽的部分
[450.32-451.84] 在保費收入方面
[451.84-454.76] 2025年第一季的總保費收入
[455.20-457.44] 達1335億
[457.60-459.52] 年成長24%
[459.88-462.48] 那主要受惠投資型商品
[462.92-464.76] 銷量是大幅的成長
[465.04-469.68] 以及高CSM貢獻的這個保險型商品的總保費收入
[469.68-471.12] 年成長6%
[472.92-477.36] 那下一頁在初年度保費收入跟等價保費收入方面
[477.36-480.88] 第一季的FYP達549億
[480.88-483.36] 年增102%
[483.36-489.20] 那主要因為投資型商品跟傳統美元儲蓄型商品的銷量
[489.20-490.56] 大幅的成長
[491.12-494.16] 那FYP1是168億
[494.16-495.96] 年成長是8%
[496.64-500.32] 那在健康跟意外險是小幅的下降
[500.56-507.12] 主要是因為受到這個去年相關法規變更停售效益的影響
[507.12-509.04] 去年的基期比較高
[510.88-513.28] 另外在新契約價值方面
[513.28-515.96] 第一季的VNB是94億
[515.96-517.84] 年成長9%
[518.08-523.40] 那主要因為美元傳統型商品跟投資型商品的銷量大幅的成長
[525.08-527.60] 那下一頁我們看這個
[527.60-531.24] 第一季的負債成本是3.79%
[531.24-533.52] 比上一季微增一個BP
[533.52-538.32] 那主要受到利變型商品宣告利率調升的影響
[539.04-540.64] 那右下這邊我們看到
[540.64-544.76] 省異兩坪的資產報酬率是3.01%
[546.92-549.36] 下一頁在資產配置方面
[549.36-553.92] 國售2025年第一季總投資金額是8兆元
[554.28-559.04] 那各項資產的投資收益率我們看在表的最右邊
[559.48-563.68] 其中國內股的年化收益率是11.7%
[564.00-567.12] 國外股是7.8%
[567.60-571.52] 那含Bond ETF的國內債是5.2%
[571.52-573.72] 國外債是4%
[576.36-578.96] 下一頁在今年第一季
[578.96-582.00] 國售有逢高實現這個股票利得
[582.00-584.64] 那避險成本也控制得宜
[584.64-589.24] 整體的避險後投資收益率是4.01%
[590.56-592.08] 那我們看下一頁
[592.08-596.52] 第一季的這個避險前經常收益率是3.4%
[596.84-600.28] 那比去年同期是提升了17個BP
[600.64-603.88] 那主要在利率高檔持續的佈券
[603.88-607.00] 債券的部位利息收入持續成長
[607.40-610.16] 那同時股利收入
[610.16-612.72] 相較去年同期也有增加
[614.12-616.64] 那另外我們看避險成本
[616.96-620.36] 第一季的這個新台幣是貶值1.2%
[620.36-623.04] 那加上替代避險發揮功效
[623.96-629.68] 我們第一季的這個年化的避險成本是0.8%
[629.96-635.96] 那相較去年同期1.21%是Better了41個BP
[636.56-639.36] 那截至季底的外匯價格
[639.36-643.32] 電動準備金是增加到386億
[645.88-648.28] 那第27頁這邊
[648.92-652.52] 我們看一下過去幾年的股利收入
[653.00-656.08] 那今年這個Trump的關稅戰
[656.08-658.20] 市場的波動還是很大
[658.20-659.52] 所以在操作上
[659.96-662.52] 這個股息還是為市狀況
[662.52-664.36] 以這個Total Return的角度
[664.60-666.92] 跟Capital Gain一起來考量
[666.92-669.48] 來做這個機動的調節
[669.80-671.96] 跟折機的部件部位
[673.12-677.08] 那另外在這個固定收益的投資區域
[677.52-679.96] 我們持續的掌握投資機會
[679.96-683.84] 來多元分散投資區域降低風險
[684.68-688.84] 那目前北美歐洲亞太市場
[688.84-693.76] 分別占國外固定收益投資的52% 17%
[694.00-695.52] 跟18%
[696.36-700.24] 那我們看那個先來佔比最高的北美地區
[700.24-706.12] 我們主要都是美國這個優質企業的這個公司債
[706.12-708.48] 像Google、Apple、Nvidia這種
[708.48-711.12] 最具競爭力企業的公司債
[711.12-713.92] 不是大家最近比較擔心的這個
[713.92-716.80] 美國的那個有雙次制的國債
[716.80-718.44] 所以等於是不是Suffering
[718.44-720.80] 我們主要是Copra的公司債
[721.80-726.96] 那下一頁我們看在第一季底的這個帳面淨值
[726.96-731.36] 國售在季底是達6799億
[731.36-733.28] 比去年底是減少
[733.28-736.08] 那主要第一季川普新政
[736.08-738.72] 國內外的股市高檔修正
[738.72-743.52] 那金融資產的未實現審議比去年同期減少
[743.52-747.84] 第一季的淨值比8.5%資本水準強健
[748.80-751.84] 那下一頁我們看一下銷售通路
[751.84-757.00] 國售業務員的銷售通路占比在第一季是75%
[757.00-760.16] 銀行通路是占23%
[760.16-762.56] 那積蓄率方面
[762.56-769.40] 13個月跟25個月的積蓄率分別是97.7%跟95.5%
[769.40-773.52] 費用率第一季是18.3%
[773.52-777.08] 那比去年同期上升1.1%
[777.12-782.12] 那主要是總費用因為美元傳統型商品跟投資型商品
[782.12-783.80] 銷量大幅成長
[783.80-786.12] 那分子有增加的關係
[786.92-789.72] 那接下來我們看國泰產險
[790.80-795.40] 今年第一季產險的保費收入達99億
[795.40-798.80] 那比去年同期是成長12%
[798.80-803.24] 市占率12.7%居市場第二大
[804.24-807.24] 那在銷售通路方面
[807.24-810.60] 商業險年成長22%
[810.60-812.60] 業績表現良好
[812.60-819.24] 那在第一季有超過一半以上保費收入是由集團通路來銷售
[819.24-825.24] 那我們自由通路的占比也提升到48.4%的水準
[825.24-827.24] 在綜合率方面
[827.24-831.24] 2025年第一季簽單綜合率上升
[831.24-834.24] 那主要是受到這個
[834.24-838.24] 0121一月份加益地震賠款的影響
[838.24-841.24] 簽單損失率比去年同期上升
[841.24-845.24] 但是因為債保安排轉嫁得宜
[845.24-849.24] 在滯留綜合率我們看是89.7%
[849.24-853.24] 相較去年是下降
[853.24-855.24] improve了0.6%
[855.24-857.24] 維持一個良好的水準
[857.24-863.24] 那接下來由這個Able來為我們說明國壽2024年的EV跟AV
[874.24-879.24] 好那各位媒體女士先生各位投資人大家午安
[879.24-882.24] 那接下來由我來介紹我們
[882.24-887.24] 國內人壽2024年的整個imbedded value跟appraisal value
[887.24-892.24] 那首先投資收益率的假設還是維持跟
[892.24-896.24] 過去以來一樣的這個基礎模型的假設
[896.24-901.24] 那主要還是依據CBO美國國會預算局公布的
[901.24-903.24] 10年長期利率
[903.24-906.24] 那今年大概是3.8%
[906.24-909.24] 所以我們基本上維持跟過去以來
[909.24-912.24] 長期的這個收益率
[912.24-914.24] 那一樣維持在3.88%
[914.24-916.24] 那因為這樣的關係
[916.24-920.24] 所以我們2024年整個有效契約的投資報酬率
[920.24-922.24] 在台幣保單的部分
[922.24-927.24] 大概從3.95%一直往上到2014年的4.76%
[927.24-931.24] 那美元保單的部分大概從4.72%
[931.24-934.24] 一直到2014年的5.36%
[934.24-941.24] 那整個整體包含台幣跟美元的equivalent的投報率是4.26%
[941.24-945.24] 那相對於2023年的假設
[945.24-948.24] 由0到2024年是4.25%
[948.24-951.24] 平均大概就增加一個bp
[951.24-953.24] 變化並不是太大
[953.24-956.24] 那貼線率的部分一樣維持9.5%
[956.24-962.24] 那因此我們整個調整後的淨值達7450億
[962.24-965.24] 那較去年同期增加930億
[965.24-971.24] 那待會會分析這整個增加的這個電動分析
[971.24-975.24] 那有效契約的價值不含資本成本是8680億
[975.24-979.24] 較去年同期是增加330億
[979.24-981.24] 成長4個percent
[981.24-985.24] 那剛剛調整後淨值是成長了14個percent
[985.24-988.24] 那另外就資本成本的部分是
[988.24-991.24] 成本是負的3340億
[991.24-996.24] 那較去年同期是有下降了140億的部分
[996.24-998.24] 那這個待會也會報告
[998.24-1001.24] 那因此我們整個有效契約的價值
[1001.24-1004.24] 包含了資本成本之後
[1004.24-1007.24] 達5340億
[1007.24-1010.24] 較去年同期增加460億
[1010.24-1012.24] 那成長率大概9個percent
[1012.24-1015.24] 那整體invented value
[1015.24-1020.24] 達1兆2790億台幣
[1020.24-1025.24] 那較去年同期增加了1390億
[1025.24-1027.24] 成長率是12個percent
[1027.24-1033.24] 那換算成金控美股的價值是87.2元
[1033.24-1036.24] 那未來一年的新契約投報率
[1036.24-1042.24] 大體上台幣帳戶大概從2.63%到2044年的4.59%
[1042.24-1048.24] 那美元保單大概是從5.22%到2044年的5.29%
[1048.24-1055.24] 那預期我們今年一年的新契約價值大概是300億台幣
[1055.24-1060.24] 那整體的appraisal value達1兆5460億
[1060.24-1065.24] 那換算成金控美股是105.4元的價值
[1065.24-1068.24] 那接下來兩頁的部分是有關
[1068.24-1072.24] 我們畫出整個兩年投報率的假設
[1072.24-1076.24] 就我剛剛提的這基本上變動並不太大
[1076.24-1080.24] equivalent的收益率大概只有增加一個bp
[1080.24-1082.24] 所以影響並不是很大
[1082.24-1084.24] 這兩個請大家參考
[1084.24-1088.24] 那下一頁是未來一年新契約的投報率
[1088.24-1091.24] 基本上也沒有太大的變動
[1091.24-1094.24] 那另外就是包含下一頁
[1094.24-1098.24] 有關資本成本的部分
[1098.24-1106.24] 也是依照最新公布的去年年底的RBC的所有公布的部分去計算
[1106.24-1110.24] 那經驗發生率一樣是我們最新的經驗計算
[1110.24-1117.24] 那這整個inventive value的計算假設都有委託PWC來進行TN review
[1117.24-1123.24] 那最後接下來我來報告幾個重要的item的變動分析
[1123.24-1131.24] 首先我們看到就剛剛提到2024年的調整後進值大概是7449億
[1131.24-1137.24] 那相對於2023年底大概有增加930億左右
[1137.24-1141.24] 這中間的變動主要是去年我們的獲利不錯
[1141.24-1148.24] 那這個部分當然貢獻在我們的進值裡面大概有669億
[1148.24-1149.24] 這最後的進利
[1150.24-1155.24] 那另外就是金融商品的未實現包含FBOCI跟overlay的部分
[1155.24-1158.24] 那有振了123億
[1158.24-1164.24] 那其他的影響數大概是134億
[1164.24-1167.24] 那主要有兩個其實主要有三個部分
[1167.24-1171.24] 就第一個最大的是我們外匯價格變動準備金
[1171.24-1175.24] 2024年底大概275億
[1175.24-1180.24] 那較2023年底208億增加了67億
[1180.24-1187.24] 那另外就是國外營運機構的財報換算這個差額數
[1187.24-1189.24] 主要是財幣貶值的關係
[1189.24-1191.24] 所以這個部分有振貢獻33億
[1191.24-1197.24] 那另外就是有關我們退休員工的退休計畫是屬於確定幾複製的
[1197.24-1202.24] 那個部分因為我們的資產股市有增加
[1202.24-1204.24] 所以那個部分大概有24億的貢獻
[1204.24-1210.24] 這個大概是其他影響數的一個比較大的部分的說明
[1210.24-1214.24] 那接下來我們看一下有效契約不含資本成本的變動分析
[1214.24-1217.24] 那這個跟過去大概都一樣
[1217.24-1220.24] 最主要的貢獻就是新契約的貢獻
[1221.24-1227.24] 那新契約在2024年不含資本成本大體上是400億
[1227.24-1232.24] 那如果我們用2024年這個含資本成本
[1232.24-1236.24] 然後是用2023年的假設的話大概是348億
[1236.24-1238.24] 但因為我們在算這個有效契約
[1238.24-1240.24] 在這個變動分析是不含資本成本
[1240.24-1243.24] 那資本成本大概有52億左右
[1243.24-1247.24] 所以這個部分有貢獻了400億的新契約價值
[1247.24-1255.24] 那另外就是我們835億的Rolling的這個預期風險
