[0.00-2.64] 各位投資先進媒體朋友
[2.90-4.10] 大家下午好
[4.10-6.32] 歡迎各位參加國泰金控
[6.32-9.14] 2025年第二季的法人說明會
[9.52-11.40] 我是財務長陳彥儒
[11.64-14.48] 今天很高興來為大家做報告
[15.56-19.88] 首先我們看2025年上半年的營運重點回顧
[20.24-24.24] 國泰世華銀行稅後淨利再創同期新高
[24.48-26.52] 年成長16%
[26.92-30.08] 存放款都成雙位數成長
[30.36-32.96] 淨利收年成長15%
[33.60-36.24] 淨首收年成長28%
[36.56-44.16] 其中財務管理跟信用卡的首收年成長分別是34%跟16%
[44.84-48.84] 在國泰人壽持續價值導向累積CSM
[49.12-53.40] 美元傳統型跟投資型保單銷售動能強勁
[53.64-60.00] 帶動FYP、FYP-1跟VMV都成雙位數的成長
[60.84-64.16] 經常性的收益率年增11個VP
[64.80-68.52] 截至上半年RBC是328%
[68.72-71.12] 淨值比超過8%
[72.12-76.04] 在產險端保費收入年成長11%
[76.28-78.36] 承保獲利穩定成長
[78.64-81.84] 上半年獲利也續創同期新高
[82.72-87.56] 另外在國泰投信的資產管理規模達2.17兆
[87.80-90.28] 獲利也再創同期新高
[91.44-95.12] 國泰證券持續推動全方位的數位經營
[95.12-99.12] 客戶規模已經來到230萬戶
[99.76-105.32] 富委託的業務市占率超過20%維持業界第一
[106.32-111.76] 接下來第五頁這邊我們要highlight國泰基因
[111.76-115.72] 除了在營運面努力締造穩健績效
[115.72-119.40] 同時也持續的擴大我們永續的影響力
[119.40-123.68] 上個月金控跟五家子公司共同舉辦
[123.68-127.72] 國泰永續金融暨氣候變遷的高峰論壇
[127.72-131.24] 這是連續第九年來舉辦
[131.80-136.44] 聚集了國際的氣候專家跟標竿企業領袖
[136.80-140.72] 分享永續的前瞻觀點跟產業實務
[141.20-146.48] 今年規模再度擴大有超過5000人共襄盛舉
[146.76-151.40] 參與的上次工資約占台股市值的80%
[152.88-155.76] 下一頁在獲利方面
[156.12-159.24] 2025年上半年國泰金控稅後
[159.28-164.48] 經歷459億EPS是每股2.89元
[164.96-167.16] 比去年同期減少
[168.20-171.56] 主要受今年上半年川普推動關稅戰
[172.00-175.24] 第二季新台幣強升的影響
[175.72-180.28] 還有在去年國內外的金融市場是個大多頭年
[180.88-183.84] 股票跟PE棒等的capital gain
[183.84-185.88] 基期比較高的關係
