[0.00-2.60] 對法人及媒體朋友大家午安
[2.60-4.80] 非常歡迎您參與兆豐金控
[4.80-7.40] 2065年第一季法人收銘會
[7.40-9.20] 在今天會議的前段
[9.20-11.40] 我們將報告本公司第一季的
[11.40-13.40] 財務及業務概況
[13.40-15.80] 簡報過後就會進入問答
[15.80-16.80] 各位投資朋友
[16.80-18.80] 可於畫面右下角欄位
[18.80-20.20] 疏於您的問題
[20.20-23.00] 我們將於整理之後統一來回覆
[23.00-25.20] 本次法收會的中英文簡報
[25.20-27.40] 可以在您現在的畫面右下方
[27.40-29.20] 來進行下載
[29.20-30.60] 今天的法收會將由
[30.60-33.80] 兆豐金控張傳張總經理主持
[33.80-35.60] 現場除金控同仁以外
[35.60-38.60] 包括金控金函英副總經理
[38.60-40.60] 銀行陳建中副總經理等
[40.60-43.00] 主要經營團隊都在現場
[43.00-44.00] 會議一開始
[44.00-45.40] 請張總經理先就
[45.40-47.80] 2065年第一季的營運狀況
[47.80-49.40] 向大家做報告
[49.40-51.20] 現在有請張總經理
[53.40-56.20] 各位法人及媒體限定朋友
[56.20-57.20] 大家午安
[57.20-58.00] 大家好
[58.00-60.00] 非常感謝各位先進
[60.00-62.60] 波容來參加本公司的
[62.60-64.20] 線上法收會
[64.20-66.20] 個人也非常榮幸
[66.20-67.80] 有這個機會
[67.80-71.40] 以兆豐金控新任總經理的身份
[71.40-74.00] 來向各位簡短報告
[74.00-77.20] 本季營運成果及未來的展望
[77.20-80.00] 2025年全球金融市場
[80.00-82.40] 正面迎多重的挑戰
[82.40-85.20] 其中美國川普總統的
[85.20-86.80] 對等關稅政策
[86.80-88.24] 為金融業帶來
[88.24-91.80] 利弊附陷的雙刃劍效應
[91.80-92.80] 另一方面
[92.80-94.40] 貿易保護主義
[94.40-96.60] 與產業政策調整
[96.60-99.60] 使企業的營運風險大幅上升
[99.60-101.80] 考驗金融機構的
[101.80-104.20] 受信風險管理能力
[104.20-105.40] 另一方面
[105.40-108.00] 企業加速美國投資不及
[108.00-111.20] 所衍生的跨境融資需求
[111.20-115.20] 則創造出新的業務增長動能
[115.20-117.60] 在政策高度不確定
[117.60-121.00] 以金融條件吸緊的環境之下
[121.00-124.20] 金融市場波動性顯著提高
[124.20-127.40] 而這個現象不僅增加了金融機構
[127.40-128.80] 外匯操作
[128.80-131.60] 以資金調度的複雜性
[131.60-133.40] 也併同影響財務管理
[133.40-135.40] 所以難而不穩定性
[135.40-137.00] 也可以激發出
[137.00-139.40] 企業對風險管理避險需求
[139.40-142.60] 供給的雙頭需求
[142.60-144.40] 為創造新產品
[144.40-149.00] 以資訊服務開啟了另外一扇窗戶
[149.00-150.40] 我個人深信
[150.40-154.00] 我們招控集團有這個能力
[154.00-156.40] 可以來引火應對變局
[156.40-158.40] 把握企業國際化戶籍
[158.40-161.40] 以風險管理的新需求
[161.40-163.20] 以及在挑戰中
[163.20-167.00] 來發掘更多潛在的商機
[167.00-170.00] 面對全球政經情勢的動盪
[170.00-171.40] 以挑戰
[171.40-172.80] 招控監控集團
[172.80-175.80] 能展現出所謂的營運韌性
[175.80-176.80] 今年第一季
[176.80-181.40] 稅後淨利能達80.11億元
[181.40-183.20] 截至4月底
[183.20-184.40] 累積稅後淨利
[184.40-186.20] 已突破百億大關
[186.20-189.20] 達101.82億元
[189.20-190.80] 不僅在業界排名第五
[190.80-194.60] 更穩積公股金控龍頭地位
[194.60-198.80] 如果從子公司獲利跟業績績效準備來看
[198.80-200.60] 銀行子公司
[200.60-201.60] 今年第一季
[201.60-204.60] 稅後淨利為72.02億元
[204.60-206.60] 整體換款業務
[206.60-207.60] 連增7%
[207.60-211.60] 利息進縮也連增20%
[211.60-213.60] 所繫匯收入在擴除
[213.60-215.60] 今年高鐵一次性
[215.60-219.60] 所收後成長率達4%
[219.60-222.60] 其中財管所收連增7%
[222.60-224.60] 反映在全球政經環境
[224.60-227.60] 昏老的這個樣態下
[227.60-229.60] 財管業務獲利動能
[229.60-231.60] 仍然穩健成長
[231.60-234.60] 台超收益在股市下滑
[234.60-238.60] 及FXDraw Point收窄的情況下
[238.60-244.60] 兆豐銀行仍繳出37.38億元的成績
[244.60-246.60] 成數然然可貴
[246.60-251.60] 鄭介石公司今年第一季稅後淨利為2.58億元
[251.60-254.60] 其中所收13.05億元
[254.60-257.60] 連增17%
[257.60-262.60] 鄭介石公司受到股市高檔震盪下跌的影響
[262.60-264.60] 整體表現不如去年
[264.60-267.60] 不過為了達成年度後利目標
[267.60-270.60] 鄭介石公司協同銀行子公司
[270.60-272.60] 共同推動復位投業務
[272.60-274.60] 以增益所說
[274.60-277.60] 強化成下位業務的投後管理
[277.60-281.60] 嚴格執行自營部位風險控管機制
[281.60-283.60] 積極開發多元交易策略
[283.60-286.60] 以創造更穩健的收益
[286.60-290.60] 鄭介石公司以稅後淨利5.43億元
[290.60-293.60] 穩積同業領導低位
[293.60-296.60] 其中利息淨收益連增46%
[296.60-304.60] 實際反映鄭介石公司在再票件承銷及交易業務的市場龍頭低位
[304.60-311.60] 鄭介石公司受到近年幾個比較大的商業火險A物損失的影響
[311.60-312.60] 獲利類微下滑
[312.60-316.60] 為稅後淨利能達1.53億元
[316.60-320.60] 然而國內保費收入高達27.36億元
[320.60-323.60] 較去年同期成長9%
[323.60-325.60] 其中核心形種
[325.60-330.60] 例如比平險、航空保險、工程保險及商業火險
[330.60-333.60] 獨比去年穩定成長
[333.60-338.60] AMC投信及創投子公司獲利保資穩健
[338.60-342.60] 其中又以投信子公司表現尤為亮眼
[342.60-345.60] 稅後淨利連增32%
[345.60-352.60] 投信子公司今年發展的重點將著重於積極推出新基金產品
[352.60-356.60] 尤其是多元資產基金
[356.60-361.60] 來響應金管會所推動的亞洲資產管理中心的政策
[361.60-365.60] 並持續擴大現有基金的規模
[365.60-368.60] 以提升整體基金的市占力
[368.60-371.60] 鞏固市場競爭優勢
[371.60-375.60] 接下來請我們同仁就照風驚恐節制
[375.60-380.60] 今年第一季的財務及業務概況進行說明
[380.60-382.60] 謝謝大家
[383.60-385.60] 好 謝謝總經理
[385.60-388.60] 接下來由投資人關係的專案經理林志偉先生
[388.60-391.60] 就業務及財務狀況來向大家做報告
[391.60-394.60] 現在有請林志偉先生
[394.60-397.60] 好 各位媒體法人朋友大家好
[397.60-398.60] 午安
[398.60-403.60] 那我們先看一下今年第一季的整體的一些獲利指標
[403.60-409.60] 我們監控的ROE在第一季年化達8.66%
[409.60-412.60] ROE達0.69%
[412.60-415.60] EPS是0.54元
[415.60-422.60] 那我們也在今年已經透過董事會通過的鼓勵政策
[422.60-426.60] 我們預計發1.60的現金鼓勵
[426.60-432.60] 但是還是要等到6月的股東會通過後才會正式公告
[432.60-438.60] 這也是我們這四年來的現金鼓勵創新高
[438.60-444.60] 也因為很多法人朋友對於股票鼓勵的發放會
[444.60-446.60] 他們比較prefer現金
