[0.00-4.04] 歡迎參加中國信託金融控股股份有限公司
[4.04-7.44] 2025年第一季線上法人說明會
[8.76-10.08] 在會議的初段
[10.08-12.72] 您的電話都會處在靜音狀態
[13.04-15.00] 當主講人發言過後
[15.00-17.48] 我們會安排接受各位的提問
[17.76-20.32] 現在我們把時間交給管理團隊
[20.32-21.08] 請說
[21.08-24.40] 各位媒體先進投資人以及分析師午安
[24.40-27.76] 那很高興大家可以來參加今天
[27.76-31.00] 中信金控2025年第一季的法人說明會
[31.48-35.00] 那我先跟大家報告一下現場除了我之外
[35.48-39.04] 同時出席的有中信金控的財務長徐敏青
[39.04-40.04] 資深副總
[40.40-44.64] 另外有臺灣人壽策略長葉伯鴻資深副總
[44.64-47.68] 還有我身為中信金控的財務長
[47.80-51.28] 還有臺灣人壽策略長葉伯鴻資深副總
[51.64-54.76] 還有我們投資人關係的團隊
[56.16-59.60] 那首先我這邊先就2025年第一季的一個
[59.60-61.20] 表現跟大家做一個報告
[61.52-64.48] 那第一季一樣表現得十分亮眼
[64.48-68.00] 我們整體的中信金控的稅前淨利
[68.28-70.28] 來到了246億
[70.64-72.28] 那稅後是199億
[72.28-75.76] 整體的第一季的EPS是來到1.02元
[76.08-77.68] 好1是17.3%
[78.68-82.56] 那主要這些表現蠻重要的一個因素是從
[82.60-83.32] 銀行來的
[83.76-87.32] 那中國信託的銀行第一季表現十分的穩健
[87.68-90.72] 在稅後淨利是來到了134億
[90.96-94.08] 那跟去年同期比起來有增加11%
[94.40-96.92] 那我們是持續的維持雙位數的成長
[97.28-100.28] 那也是持續的創造歷史的新高
[100.76-104.36] 那整體來看銀行的存放款 機盤的業務
[104.84-106.32] 動能是十分強勁的
[106.72-109.12] 那以放款來看跟去年同期比起來
[109.48-111.96] 放款的量大概成長了14%
[112.44-116.16] 那帶動整體的NII成長有將近19%
[116.72-119.48] 那手續費的收入在財富管理
[120.04-123.24] 受信相關還有信用卡等等的業務的動能
[123.24-125.92] 帶動之下跟去年同期比起來
[125.92-128.48] 整體的手續費有12%的成長
[129.20-131.52] 那另外在銀行海外業務的部分
[131.52-132.72] 表現也十分亮眼
[132.92-136.56] 那第一季稅前獲利就來到了64億
[137.08-141.88] 那海外業務跟去年同期比起來成長有17%
[142.40-145.72] 那以第一季來看整體的海外業務占
[146.28-149.44] 銀行整體的獲利有來到37%
[150.80-154.52] 那第一季表現不錯除了銀行的成績之外
[154.52-156.80] 那另外我們第二個引擎臺灣人壽
[156.80-159.88] 第一季也是表現十分的出色
[160.84-162.80] 最後的淨利是有56億
[163.12-166.00] 那跟去年同期雖然是減少了27億
[166.00-167.64] 那主要27%
[168.04-170.00] 那主要是因為2024年
[170.48-173.80] 臺灣人壽的投資團隊有適時的來處分一些
[174.48-176.08] 第一方的投資的部位
[176.44-179.68] 導致去年的資本利得的基期比較高
[180.12-182.60] 但是整體的保險業務的動能
[183.40-186.48] 還是十分良好的第一季的初年度的保費
[187.00-189.80] 跟前一年比起來我有成長大概22%
[191.76-193.64] 那我這邊再補充說明一下
[193.64-195.88] 就是雖然是第一季的法說
[196.40-198.36] 因為4月2號整體
[199.08-202.84] 美國川普總統他宣布了一些關稅的政策
[202.84-205.04] 對整個市場帶來蠻大的變動
[205.08-206.64] 所以我補充說明了一下
[207.40-208.76] 在今年4月份
[209.20-213.00] 銀行的表現還是持續的很穩健
[213.08-216.24] 單月的獲利是有44.5億元
[216.52-218.28] 大概是維持原來的Momentum
[218.88-221.72] 累積前4個月大概是有100
[222.24-224.80] 稅後大概是有179億左右
[224.96-226.72] 跟去年同期比起來有
[227.28-228.72] 21%的成長
[229.44-233.52] 臺壽只是受到美元大幅的貶值1.2元的影響
[234.00-236.44] 有比較大的一個匯兌的損失
[236.48-239.20] 單月是虧損13.22億
[239.68-243.08] 不過累積前4個月的稅後的獲利
[243.08-244.72] 還是有12.8億元
