[0.00-6.06] 现在时间下午2点半
[6.06-9.52] 欢迎各位投资先进财务媒体朋友
[9.52-12.94] 参加三商加购线上法人说明会
[12.94-17.72] 公司与会长官文称商加购流量秀常务长
[17.72-22.78] 法说会会提及公司营运进化与未来展望
[22.78-24.78] 最后会进行QA
[24.78-28.04] 接下来将时间交给常务长
[28.04-28.44] 谢谢
[28.44-31.36] 各位投资人大家好
[31.36-34.06] 我是三商加购的财务长刘燕秀
[34.06-36.54] 那接下来由我为各位说明
[36.54-38.90] 2025年第一季的一个经营绩效
[38.90-41.78] 还有目前的一些正在进行的一些工作
[41.78-42.96] 及未来的展望
[42.96-46.80] 那大家可以看到的这个免责声明
[46.80-48.16] 就请各位参考一下
[48.16-50.22] 那接下来的报告大公
[50.22-51.86] 大概主要是这三大部分
[51.86-55.00] 那首先会说明一下公司目前的一个现况
[55.00-57.46] 然后还有第一季的一个财务概况
[57.46-58.42] 以及未来的财务概况
[58.44-62.48] 然后还有第二季的一个展望
[62.48-65.82] 首先三商加购是在2021年11月的时候上市
[65.82-68.22] 那到目前为止大概是三年多
[68.22-71.00] 目前石头资本大概是6.75亿元
[71.00-74.20] 那目前已经公告的一个营收到3月底为止
[74.20-75.90] 是34.7亿元
[75.90-78.76] 员工人数约3600人
[78.76-82.70] 那目前三商加购下面大概有四个主要的零售通路
[82.70-85.42] 包含目前有800间的一个美联社
[85.42-87.66] 然后三间的新浦市集
[87.66-88.44] 还有三商药妆
[88.44-90.56] 也就是TOMOZ15家
[90.56-95.24] 那另外还有就是我们从去年收购的一个宠物好市的一个通路
[95.24-98.82] 那这是目前的一个三商加购的一个通路的一个现况
[100.50-104.24] 跟各位说明一下三商加购目前的一个营运重点
[104.24-105.48] 那如同刚刚提到的
[105.48-109.28] 我们在去年的9月收购了一个宠物好市的这样一个通路
[109.28-113.32] 它是以一个猫的一个食品用品为主的一个专门店
[113.32-117.98] 那在第一季开始为公司带来一个合并的一个营收及获利
[117.98-121.52] 后面的投影片会再进一步详细的说明
[121.52-127.10] 那另外三商加购大概在从去年开始进行一些新店型的一个测试
[127.10-131.36] 那尤其是在自有品牌还有自行进口商品的一个占比
[131.36-133.58] 希望可以逐年的一个提升
[133.58-137.86] 那等下也会大概说明一下在这个部分目前的一个状况
