[0.00-5.64] 好的
[5.64-7.60] 那今天很高兴各位客户
[7.60-10.22] 临我们参加原副的春季论坛
[10.22-12.22] 那我们今天的第一场是邀请到
[12.22-14.02] 华丽 林振泉 IR
[14.02-15.96] 以及人生生肖理
[15.96-18.06] 那你会否需要的话
[18.06-19.12] 可以交流 谢谢
[19.12-21.80] 那现在我们快张时间交给Eric这边
[21.80-23.94] 好 谢谢
[23.94-24.52] 谢谢
[24.52-29.44] 今天谢谢各位投资
[29.44-30.48] 先进的利理
[30.48-33.52] 来听我们华丽公司的简报
[33.52-36.54] 那我就不再多耽搁时间
[36.54-39.12] 我们就开始今天的简报介绍
[39.12-42.42] 那首先前几页会是我们
[42.42-45.42] 公司的一些basic profile的
[45.42-47.52] 公司基本资料的介绍
[47.52-50.50] 然后我们的一些主要的产品组合
[50.50-53.56] 那因为今天还是有一些可能
[53.56-57.24] 第一次听我们公司简报的先进
[57.24-58.98] 最后可能产品的部分
[58.98-59.42] 我还是会先进的
[59.42-61.30] 我会再做进一步的说明
[61.30-64.34] 然后接着就会进行到下一个阶段
[64.34-67.50] 就是财务数字方面的一些报告
[67.50-69.66] 那还有股东报酬率等等
[69.66-71.96] 公司的一些重要的指标
[71.96-73.98] 好
[73.98-75.70] 就像我刚跟各位报告的
[75.70-80.74] 我还是先介绍一下我们公司的一些基本资料
[80.74-85.94] 那华丽成立到现在已经第57个年头了
[85.94-88.86] 所以这个在不管是上市业界
[88.86-89.42] 或者是通货业界的一些资料上
[89.42-93.98] 通货商业界都是相当难能可贵的一个老字号的公司
[93.98-99.42] 那很多投资人可能第一个会想到的问题就是说
[99.42-101.26] 到底为什么要有通路商
[101.26-103.98] 为什么要有华丽这样一个通路商的角色
[103.98-106.86] 那我等一下后面会有一个投影片
[106.86-111.46] 会跟各位介绍我们主要的华丽的一些附加价值
[111.46-113.50] 跟所谓的value proposition
[113.50-116.86] 我们的所谓价值提议
[116.86-119.14] 带给供应商跟客户的价值提议
[119.42-121.50] 我们的附加价值服务到底是哪些
[121.50-123.58] 等一下会有进一步的介绍
[123.58-125.98] 那基本上我们公司现在
[125.98-129.82] 股本各位如果有长期追踪的话
[129.82-134.22] 应该知道我们股本在去年有稍微膨胀一点
[134.22-137.94] 大概是膨胀将近不到10%
[137.94-140.70] 那是因为大概在4年前
