[0.00-2.00] 大家好
[2.00-7.00] 歡迎參加聯陽半導體法人說明會
[7.00-12.00] 今天由我法言人林秀哲為大家報告
[15.00-21.00] 聯陽半導體去年營收66億3200多萬元
[21.00-25.00] 比照前年62億7600多萬元
[25.00-28.00] 年增5.67%
[28.00-30.00] 在營業成本方面
[30.00-36.00] 去年29億4300多萬元
[36.00-41.00] 比照前年28億5200多萬元
[41.00-45.00] 增加了3.19%
[47.00-56.00] 最後毛利去年達到36億8900多萬元
[56.00-57.00] 比照前年
[57.00-58.00] 36億8900多萬元
[58.00-61.00] 比照前年34億2400多萬元
[61.00-65.00] 成長了7.7%
[65.00-67.00] 至於毛利率
[67.00-70.00] 去年55.62%
[70.00-73.00] 前年54.52%
[73.00-77.00] 成長了1.1%左右
[80.00-82.00] 營業費用
[82.00-86.00] 去年花了18億5400多萬元
[86.00-87.00] 比照前年
[87.00-90.00] 16億6100多萬元
[90.00-93.00] 成長了11.6%
[93.00-96.00] 這邊我稍微解釋一下
[96.00-101.00] 去年費用增加主要是因為我們
[101.00-105.00] 執行了員工限制型股票的發放
[105.00-110.00] 去年費用約7000萬台幣
[110.00-116.00] 此外我們還有一些獎金酬勞還有薪資的增加
[116.00-119.00] 大概也佔了5000多萬
[119.00-124.00] 另外還有一些RD的光照費用
[124.00-126.00] 大概有3000萬
[126.00-131.00] 然後另外還有因為要配合ESG的一些省電
[131.00-136.00] 這些所以我們做了一些空調修繕方面的事情
[136.00-139.00] 所以大概也有花了2400萬左右
[139.00-144.00] 整個加起來就將近有1億多的費用
[144.00-147.00] 發生
[147.00-155.00] 那最後在我們營業淨利率約27.66%
[155.00-159.00] 比照去年28.08稍微略微下降
[159.00-164.00] 那下降的原因主要就是因為費用增加的關係
[164.00-169.00] 最後本期淨利16億2600多萬元
[169.00-172.00] 比照前年28.08稍微略微下降
[172.00-175.00] 成長了2.45%
[175.00-180.00] 那EPS今年是10.1去年是9.86
[180.00-186.00] 那這一頁主要是要表達我們季每一季的變化
[186.00-190.00] 那去年依舊跟以前傳統一樣
[190.00-193.00] 第一季是低點
[193.00-196.00] 然後第二季是低點
[196.00-199.00] 然後第三季是低點
[199.00-201.00] 然後最後一季是低點
[202.00-204.00] 第三季是高點
[204.00-206.00] 然後第四季下來一點點
[206.00-211.00] 那毛利率第一季特別低
[211.00-218.00] 主要是因為我們有做了庫存減損1700多萬元的關係
[218.00-221.00] 所以第一季毛利率比較差
[221.00-224.00] 那之後就差不多回升一些
[224.00-227.00] 然後也有稍微的回沖
[227.00-229.00] 像第二季有200多萬
[229.00-230.00] 第三季有400多萬
[230.00-232.00] 大概都有一些回沖
[232.00-237.00] 那整體來講去年做了55.62%
[237.00-239.00] 那不過要跟大家解釋一下
[239.00-242.00] 就是跟前年比起來我們的成長
[242.00-247.00] 事實上主要是來自於匯率的關係
[247.00-250.00] 因為前年的匯率差不多在31%左右
[250.00-253.00] 去年到了32%
[253.00-256.00] 所以我們的這個毛利率的成長
[256.00-259.00] 應該主要的這個貢獻是來自於匯率
[262.00-264.00] 那接下來的結論
[264.00-268.00] 總結就是我們去年做了66億新台幣
[268.00-270.00] 然後毛利率55.62%
[270.00-272.00] Net profit差不多16億左右
[272.00-274.00] 所以EPS是10.1
[274.00-278.00] 那Inventory在庫存方面就是9億
[278.00-282.00] 這9億是有點比較比前年年底差不多8億高
[282.00-285.00] 那我們正常水位應該在7億多
[285.00-290.00] 那這個反映出就是客人會
[290.00-296.00] 有時候會把12月的貨往到隔年的1月拿
[296.00-299.00] 所以我們有時候那個年底的庫存會稍微拉高
[299.00-300.00] 是這個原因
[300.00-305.00] 那此外我們董事會於2月已通過
[305.00-315.00] 今年將配發2024年的盈餘每股配發9塊台幣
[318.00-319.00] 謝謝大家
[319.00-320.00] 今天報告到這裡
[320.00-322.00] 謝謝
