[0.00-6.50] 各位貴賓早安
[6.50-8.64] 非常歡迎今天所有貴賓
[8.64-11.34] 蒞臨直到元大政卷第二季投資論壇
[11.34-14.00] 今日論壇我們特別邀請到
[14.00-15.76] 建平林修麗副總經理
[15.76-17.54] 來為我們進行做講解
[17.54-19.52] 讓我們熱烈掌聲歡迎
[19.52-21.92] 謝謝 謝謝大家
[21.92-29.56] 不好意思 因為前一陣子有點感冒
[29.56-32.32] 這種聲音希望大家能夠諒解
[32.32-34.06] 那我盡量
[34.06-36.86] 大概昨天開始才有聲音
[36.86-38.56] 盡量講得很清楚
[38.56-42.70] 你們就包含一下這種破羅賞字
[42.70-44.72] 那我們就直接開始
[44.72-46.52] 那建平我想這裡面
[46.52-50.72] 大概很多都是非常熟悉建平的老命口
[50.72-52.22] 都很了解建平
[52.22-54.26] 建平是做印刷電路盤
[54.26-55.72] 那我們做的是硬盤
[55.72-58.46] 一般印刷電路盤有軟盤 硬盤 彩盤
[58.46-59.56] 我們只做硬盤
[59.56-61.86] 我們沒有做其他的東西
[61.86-66.36] 那我們最主要的生產的產能
[66.36-67.80] 是擺在中國大陸
[67.80-70.70] 大概95%是在中國大陸
[70.70-74.60] 那台灣跟越南都有一點點的產能這樣子
[74.60-76.52] 那首先大家看一下
[76.52-79.22] 全球印刷電路盤
[79.22-82.32] 我強調這一張的意思是說
[82.32-85.86] 大家最近都在談川普川普嘛
[85.86-88.16] PCB賣美國課多少稅
[88.16-89.56] 但是你可以看得出來
[89.56-91.76] 其實包含歐美
[91.76-94.66] 印刷電路盤直接賣美國的很少
[94.66-96.10] 我們通常
[96.10-99.30] 其實印刷電路盤就是一個載體而已
[99.30-100.70] 是一個零組件
[100.70-102.80] 我們會交給打建廠
[102.80-104.80] 打建廠完了給組裝廠
[104.80-109.32] 組裝廠完了又再交到最終的消費者去
[109.32-112.52] 所以關稅這一塊到目前為止
[112.52-114.12] 我們跟客戶之間
[114.12-118.32] 還一直沒有辦法抓到一個很
[118.32-119.56] 因為你不是直接賣了
[119.56-121.06] 你不是直接賣過去嘛
[121.06-125.06] 所以你很難跟客戶之間去敲定這樣子
[125.06-126.86] 那這一張的意思是說
[126.86-129.06] 即使全世界到目前為止
[129.06-134.80] 最主要的產值還是擺在中國或亞洲區域這樣子
[134.80-138.02] 所以中國在印刷電路盤這一塊
[138.02-140.72] 還是佔有很大很大的一塊
[140.72-142.92] 不可忽視的一個區域
[142.92-145.56] 那因為印刷電路盤有幾個特色
[145.56-147.86] 第一個就是高耗能
[147.86-149.56] 然後人工要多
[149.56-151.56] 然後又有汙染
[151.56-153.56] 水電都吃很重
[153.56-157.56] 所以這一塊應該不是歐美日他們要的東西
[157.56-162.56] 那建點大概在2024年
[162.56-165.56] 大概目前排名大概在第八
[165.56-166.56] 排名在第八
[166.56-169.56] 那因為我強調我們純粹是做硬板
[169.56-172.56] 我們沒有去兼其他的載板
[172.56-175.56] 或者是有一些其他的組裝打建
[175.56-179.56] 所以大概純粹的大概就是第八名
[179.56-181.56] 那你看這裡面的話
[181.56-183.56] 大概除了台灣就是中國
[183.56-184.56] 日本一點點
[184.56-187.56] 美國也只有一兩家而已
[187.56-193.56] 主要還是印刷電路盤的主力還是都擺在亞洲地區
[193.56-198.56] 那這裡面大概就看一下我們的整個印刷電路盤
[198.56-199.56] 我們生產的區域
[199.56-201.56] 我們最主要是在中國
[201.56-205.56] 比如說我們在江蘇 吳錫有一個廠
[205.56-208.56] 那湖北有一個廠區
[208.56-210.56] 我們都是以大廠區這樣子
[210.56-215.56] 然後台灣就是目前憑證小小的一個
[215.56-216.56] 然後再在越南
[216.56-219.56] 越南目前我們有兩個廠
[219.56-221.56] 一個是在編合
[221.56-225.56] 就是當時跟日本人買的一個小廠
[225.56-230.56] 然後再來就是另外在附近的州的工業區
[230.56-234.56] 我們目前正在建
[234.56-238.56] 那再來看一下建頂的
[238.56-241.56] 那建頂大概
[241.56-243.56] 我這張強調的是說
[243.56-246.56] 我們已經多少年來
[246.56-248.56] 都是一個股本以上
[248.56-250.56] 賺一個股本以上
[250.56-254.56] 那我們看起來大概在
[254.56-258.56] 今年就算是有關稅的問題
[258.56-260.56] 我們估計還是可以賺
[260.56-262.56] 跟去年比起來
[262.56-263.56] 到目前為止
[263.56-265.56] 我們感覺還是成長的
[265.56-267.56] 感覺還是成長的
[267.56-268.56] 那去年
[268.56-273.56] 我們大概EPS差一點點到16塊
[273.56-278.56] 那股東會也決定的發10.3
[278.56-279.56] 那我一
[279.56-281.56] 我覺得成績都不錯啦
[281.56-283.56] 只有股價不爭氣
[287.56-289.56] 那第一季
[289.56-294.56] 第一季我們大概做了大概170億
[294.56-297.56] 那我們的毛利率達到25
[297.56-302.56] 然後營業盡利率到16
[302.56-305.56] 然後稅前盡利率有到10%
[305.56-307.56] 這個都是三綠三深
[307.56-309.56] 而且都是史上新高
[309.56-311.56] 那第一季也賺了4.48
[311.56-313.56] 4.48
[313.56-317.56] 那第二季到目前為止我們的估計
[317.56-322.56] 我估計應該180億應該是做得到
[322.56-324.56] 就算是台幣升值
[324.56-326.56] 讓我台幣營收稍微低一點
[326.56-329.56] 我們估計應該還是有機會做得到
[329.56-332.56] 那台幣升值對我們有沒有什麼影響
[332.56-333.56] 基本上影響不大
[333.56-334.56] 因為我剛才強調
[334.56-336.56] 我們最主要是在中國生產
[336.56-339.56] 我大概90%收的是美金
[339.56-342.56] 然後大概七成以上花的是人民幣
[342.56-345.56] 也就是說我的成本跟人民幣比較相關
[345.56-347.56] 如果收美金嘛
[347.56-349.56] 然後在中國我換成人民幣
[349.56-351.56] 付水電付薪資
[351.56-353.56] 所以台幣對我的影響
[353.56-355.56] 就只有報表數字的轉換而已
[355.56-357.56] 影響比較不大
[357.56-359.56] 但是到目前為止
[359.56-362.56] 我們估計第二季應該還是很樂觀
[362.56-365.56] 因為人民幣並沒有特別的升值
[365.56-368.56] 那我記得大概在第一季的時候
[368.56-371.56] 我的人民幣是7.28
[371.56-372.56] 7.28
[372.56-375.56] 那去年第四季是7.24
[375.56-379.56] 那人民幣對美金每升的一個percent
[379.56-382.56] 對我的影響大概是0.3毛利的影響
[382.56-385.56] 那台幣對我來講影響就比較大
[385.56-388.56] 另外一個就是折舊
[388.56-391.56] 折舊攤體佔營收的比例
[391.56-393.56] 那以目前來講
[393.56-394.56] 我們的折舊攤體一季
[394.56-396.56] 他們都在11億左右
[396.56-398.56] 那如果以第二季
[398.56-401.56] 以第二季我的營收還比第一季好一點
[401.56-405.56] 那目前的原物料並沒有特別的大變化
[405.56-408.56] 那人民幣現在大概在7.2左右
[408.56-411.56] 理論上我第二季的數字
[411.56-413.56] EPS應該還是可以期待的
[415.56-417.56] 那再來的話就是
[417.56-418.56] 資產負債表
[418.56-420.56] 這一張其實的表達就是說
[420.56-423.56] 劍頂手上現金很多了
[423.56-427.56] 那你看我的現金級約當現金大概300多億
[427.56-431.56] 那扣掉短線的話大概還有250億的淨現金
[431.56-434.56] 那就算是我八月份
[434.56-437.56] 我發50幾億的現金鼓勵來講
[437.56-441.56] 我手上基本上還會有超過200億的現金存在著
[441.56-444.56] 因為我的賺了錢加折就流入嘛
[444.56-447.56] 然後減掉我的資本支出減掉現金
[447.56-449.56] 我每年都是正數的
[449.56-450.56] 那這麼多錢來幹什麼
[450.56-457.56] 基本上我們還是會主要是尋求適當的機會去擴張我的產能
[457.56-462.56] 那目前的淨值大概每股淨值都超過100塊了
[462.56-463.56] 超過100塊了
[463.56-468.56] 那ROA ROE這個基本上也都不錯
[468.56-472.56] 那現金流量這個就是基本上大概
[472.56-474.56] 我們這一張看來就是
[474.56-477.56] 就是我的資本支出
[477.56-480.56] 那因為在中國嘛
[480.56-483.56] 那去年受到地緣政治的影響
[483.56-485.56] 所以不敢隨便再繼續擴張
[485.56-488.56] 那以目前的產能我已經夠了
[488.56-490.56] 就目前的產品我已經夠了
[490.56-495.56] 那大概我從2021年我的資本支出84億
[495.56-496.56] 那一路減少
[496.56-499.56] 那去年是最低大概23億
[499.56-502.56] 那以今年來講估計應該有30億
[502.56-504.56] 那最主要是擺在越南
[504.56-506.56] 擺在越南
[506.56-508.56] 好
[508.56-509.56] 好
[509.56-511.56] 這是簡單的一些
[511.56-512.56] 自視化的
[512.56-513.56] 大家都知道
