[0.00-8.00] 各位长官
[8.00-9.10] 各位与会宣进
[9.10-9.58] 大家好
[9.58-10.40] 大家午安
[10.40-12.86] 那今天很高兴大家来参与
[12.86-16.18] 奇友科技股份有限公司法人说明会
[16.18-17.30] 那我们今天
[17.30-21.06] 我们的主讲的长官是李建邦财务长
[21.06-23.60] 还有陈江仁冯官经理
[23.60-25.96] 那会议会分为两个部分
[25.96-27.94] 一个阶段会由我们
[27.94-29.20] 奇友的
[29.20-31.96] 奇友的长官
[31.96-34.28] 然后为投资先进进行简报
[34.28-37.30] 然后分享公司近期的业务状况
[37.30-38.50] 及经营结果
[38.50-40.52] 那第二部分的话
[40.52-42.26] 则会进行QA问答
[42.26-45.74] 那这个部分我们就先把时间交给长官
[45.74-46.60] 谢谢
[57.94-60.70] 各位大家好
[60.70-63.56] 我是奇友科技财务长
[63.56-68.70] 那很高兴今天统一举办的投资论坛
[68.70-72.18] 那我想我这边先简单对付一下
[72.18-75.06] 我们第一季的实际情况
[75.06-76.38] 然后后面的部分
[76.38-77.82] 我会请我们公关经理
[77.82-79.42] 在针对这个简报的内容
[79.42-81.70] 再做一个详尽的说明
[81.70-84.42] 首先我们在今年第一季的表现
[84.42-86.80] 其实简报上下没有
[86.80-87.94] 我只是很简单的
[87.94-89.22] 先开个场量
[89.22-91.78] 我们第一季其实是亏损
[91.78-93.62] 那整体来看的话
[93.62-97.30] 表现上在本业的一个营收成长上面
[97.30-97.98] 是衰退
[97.98-99.56] 是衰退大概两成
[99.56-101.50] 那主要的原因还是
[101.50-103.72] 整个我们的欧美市场
[103.72-105.92] 目前的需求量并没有
[105.92-109.26] 相对的供给上还有一些动能不足
[109.26-113.36] 那这个导致我们在今年的第一季的部分
[113.36-116.02] 表现不如去年的一个同期状况
[116.20-117.32] 那当然如果
[117.32-117.94] 如果以整个
[117.94-119.42] 上半年来看的话
[119.42-121.26] 我们第二季现在目前
[121.26-126.22] 也还没有完全的把这个部分的那个状态
[126.22-127.66] 能够充分的
[127.66-129.20] 回升回来
[129.20-132.28] 所以第二季只能说跟第一季算是持平
[132.28-134.18] 那不过所以整体看起来
[134.18-137.40] 我们今年的上半年还是相对于这个
[137.40-141.24] 去年来讲是比较处于这个落后的状态
[141.24-142.98] 那另外一个就是说
[142.98-145.58] 因为我们第一季有
[145.58-147.32] 第一季末的时候有
[147.32-147.90] 产生了
[147.94-151.52] 就是说国际市场有发生这个所谓的这个
[151.52-154.08] 那个关税的事件
[154.08-157.66] 那其实对我们的影响其实是也是蛮重大的
[157.66-162.28] 因为我们大概有六七成的市场都来自于美国市场
[162.28-167.66] 那重点是我们的产品也蛮多的都在中国大陆那边
[167.66-170.46] 那好在是说现在有一个就是
[170.46-173.02] 关税的一个豁免期
[173.02-177.94] 那还有加上我们在美国市场的库存相对比较重组的
[177.94-181.02] 那所以在整体影响上面是
[181.02-187.92] 目前第二季是有受到一些冲击也就是在供给方面是有一些影响
[187.92-194.32] 也是要等到明确之后我们才能够去做一些比较合适的一些对策虽然公司目前有一些
[194.32-197.66] 对策是可以去做调整比如说分散
[197.66-201.50] 产地的供应链啊等等之类的这个我们都有在做
[201.50-205.08] 然后另外就是说跟这个所谓的客户来去
[205.08-206.36] 洽谈所谓的
[206.36-207.90] 价格有没有可能转嫁啊
[207.94-211.02] 那如果说价格不能转嫁或者是说
[211.02-215.62] 供应链在转移的过程并不是很顺利的情况下自然而然就对我们公司的
[215.62-217.92] 冲击会稍微比较大一些
[217.92-220.74] 那再来就是说这是我们
[220.74-224.32] 第二季以及第三季未来应该还要再持续观察的
[224.32-230.46] 那另外一个就是说我们的产品的规划其实其有毕竟是以安全监控为主可是这几年
[230.46-232.00] 有在做一些转型啊
[232.00-233.54] 那希望能够
[233.54-237.90] 希望能从硬体方面转型到比较偏整平台软件
[237.94-239.48] 相提AI这个部分
[239.48-243.32] 而且希望能够以远端监控的这个角度
[243.32-244.60] 来去
[244.60-246.64] 做不一样的一种营运模式
[246.64-250.22] 因为以前比较属于像是卖
[250.22-251.26] 卖断产品
[251.26-253.82] 那我们希望是未来能够做一个
[253.82-257.14] 以服务形态的一种模式来去来去增加
[257.14-259.18] 那这个部分其实
[259.18-263.28] 除了产品本身需要做一些调整之外那另外一个就是
[263.28-265.84] 我们也必须要找到相对合适的
[265.84-267.90] 策略供应商策略的合作客户
[267.90-271.48] 那这个部分我们在今年的
[271.48-274.56] 都会有一些后续应该在下半年
[274.56-275.84] 就会有一些
[275.84-277.88] 初期的成果
[277.88-281.98] 那我简单大概简单介绍一下我们这几个方向
[281.98-285.82] 那后续呢我请我们公关部的经理陈经理
[285.82-287.86] 来跟各位做一个
[287.86-296.32] 我们第一季的简报
[297.90-304.30] 好
[304.30-308.14] 各位投资法人午安我是期有科技的公关部
[308.14-310.70] 经理以及代理发言人陈湘仁
[310.70-314.80] 那接下来我一定用一些时间为各位来说明
[314.80-317.62] 我们在2025年第一季的
[317.62-319.40] 营运成果
[319.40-323.24] 那这边免责声明简单叙述就是
[323.24-326.58] 目前提供的资料仅供各位做一般参考
[326.58-327.86] 那期有科技已经进行了
[327.86-329.90] 并可能来确保这个资料的
[329.90-330.94] 准确性
[330.94-336.56] 但是台湾台端倘若以这个资料来进行投资相关活动的话
[336.56-340.14] 还是建议事先来进行完整评估所有可能性
