[0.00-9.28] 各位规定午安
[9.28-11.26] 非常欢迎今天所有规定
[11.26-11.96] 令人指导
[11.96-14.08] 本大政权第一季投资论坛
[14.08-15.26] 今日的论坛
[15.26-16.64] 我们特别邀请到
[16.64-18.74] 新日新卓盛环副总
[18.74-21.48] 以及我们的代理发言人
[21.48-24.50] 带来到我们热烈的掌声欢迎
[24.50-26.38] 那接下来我们把时间
[26.38-27.44] 交给代理发言人
[27.44-27.76] 谢谢
[27.76-31.32] 那各位投资先生下午好
[31.32-32.56] 那首先呢
[32.56-33.56] 跟各位报告
[33.56-35.56] 就是我们公司简介的部分
[35.56-40.02] 那因为我们是下个礼拜
[40.02-41.94] 要做这礼拜四
[41.94-43.98] 才会开董事会
[43.98-46.46] 所以目前我们能够呈报的资讯
[46.46-48.42] 是还是在3Q的部分
[48.42-49.58] 所以这个要先各位
[49.58-51.18] 说一下抱歉
[51.18-53.36] 那基本上来讲的话
[53.36-55.82] 大家可以从我们的3Q的资料
[55.82-57.08] 其实可以发现就是说
[57.08-57.66] 我
[57.66-57.74] 我
[57.74-60.68] ,我们的去年的表现的稳定度
[60.68-62.70] 相较于23年来讲的话
[62.70-64.00] 成长幅度蛮快的
[64.00-65.48] 蛮大的
[65.48-66.42] 那所以呢
[66.42-70.74] 我们直接就是看到在我们的这个
[70.74-71.06] 呃
[71.06-73.06] 传业率的部分来讲的话
[73.06-76.70] 从3Q大家很明显看到我们的提升
[76.70-79.10] 然后另外在现金流量的比例来讲的话
[79.10-80.90] 大家可以看到
[80.90-82.50] 第一年来都蛮高的
[82.50-84.02] 然后在去年来讲的话
[84.02-86.98] 确实是负数的部分
[86.98-87.64] 那这个就是
[87.64-92.50] 这是为什么我们去年有发现征跟那个CB的部分
[92.50-94.70] 这是一个要让大家了解
[94.70-97.18] 因为最早是说大家知道我们在
[97.78-102.20] 去年有新建我们新的越南厂嘛
[102.20-103.10] 在北疆
[103.10-105.44] 那另外呢我们在今年
[105.74-108.18] 会新建我们新的苏州厂
[108.38-111.10] 然后所以这个相对的一些资金需求
[111.10-113.44] 会有一个相对性的需要
[113.44-118.64] 那再来就是毛利的部分来讲的话
[118.64-122.04] 大家可以看到是说如果单就以EPS而言
[122.04-124.72] 我们在3Q的时候呢
[124.72-126.46] EPS也提升到5.63
[126.46-127.80] 相对于去年来
[127.80-129.46] 相对于23年来讲的话
[129.46-130.84] 成长幅度也是蛮大的
[130.84-132.76] 所以呢在这一块
[132.76-135.54] 在礼拜四的董事会
[135.54-138.40] 基本上这些相关资讯应该就会做提报
[138.40-140.98] 那另外呢
[140.98-143.32] 再来就是费用率的部分
[143.32-143.42] 就是我们在这一块
[143.42-145.70] 基本上我们在这几年
[145.70-147.10] 大家可以发现我们费用率
[147.10-148.32] 这是蛮平均的
[148.32-150.88] 那所以预计今年25年
[150.88-151.98] 我们的费用率大概
[151.98-154.92] 也会在落在这样子一个范围
[154.92-157.74] 因为我们不会因为营收的成长
[157.74-159.96] 而那个费用也更的提升
[159.96-161.34] 我们还是需
[161.34-163.42] 会控制在一个一定的比重
[164.14-168.40] 那再来这个是营收的状况
[168.40-169.50] 跟EPS状况
[169.50-172.32] 我们直接看在这个是整年度的
[172.62-173.40] 大家从
[173.40-174.72] 今天可以看到就是说
[174.72-177.02] 我们在24年的表现来讲的话
[177.02-179.94] 其实稳定数是还蛮不错的
[179.94-182.16] 然后只是4Q来讲的话
[182.16-185.52] 是因为整个需求的部分
[185.52-188.02] 像比如说因为在3Q来讲的话
[188.02-190.16] 基本上是我们的传统旺季
[190.16-194.08] 不过3Q因为去年的这个旺季效益不大
[194.08-196.04] 所以呢在4Q来讲的话
[196.04-197.58] 就会稍微小掉一些
[199.40-203.28] 然后这个是我们去年一整年的营收比率
[203.40-204.52] 比重的部分
[204.52-207.58] 大家可以看到在NB的部分来讲的话
[207.58-209.02] 占比是20%
[209.02-212.16] 然后LCD Monitor是13
[212.16-215.02] 那3C Hinge的部分是10
[215.02-218.16] 然后Valve部分是53
[218.16-220.64] 然后在MI的部分是1
[220.64-223.02] 那剩下Odys的部分是3
[223.02-226.02] 那我补充一下就是MI来讲的话
[226.02-228.74] 我们MI的营收论点就是说
[228.74-230.40] 我在骚解完之后
[230.40-231.40] 直接交到我的中端客人中间朋友
[231.40-232.40] 直接交到我的中端客人中间朋友
[232.40-233.40] 直接交到我的中端客人中间朋友
[233.40-235.40] 我现在没有再跟其他人组件组装
[235.40-237.40] 那这是放在MI营收
[237.40-241.40] 那其实我们MI营收最高峰是在19年的时候
[241.40-245.40] 那19年呢当然是就是AirPods第一代的因素
[245.40-250.40] 那不过随着那个AirPods第一代的一个减量来讲的话
[250.40-253.40] 当然在这个MI的营收论率来讲的话
[253.40-255.40] 当然都会逐渐下降
[255.40-258.40] 可是呢这个不代表我MI的需求量变少
[258.40-261.40] 而是呢我MI现在应用在其他的范围
[261.40-263.40] 比如说在NB Hinge的部分
[263.40-266.40] MCB 3C跟Web里面都有
[266.40-269.40] 然后只是分散在各个应用别里面
[269.40-272.40] 所以呢造成就是说
[272.40-275.40] 因为我们在对外的公告分类来讲的话
[275.40-277.40] 是这样的一个分类
[277.40-279.40] 所以可能会大家在看这MI营收会觉得说
[279.40-281.40] 诶怎么感觉变少了
[281.40-284.40] 但其实是应用范围分散在其他产品上面
[284.40-287.40] 所以营收的部分稍微变得比较少一点
[287.40-292.40] 好那因为刚刚这个部分来讲的话是去年一整年嘛
[292.40-295.40] 那所以我先现场补充一下
[295.40-298.40] 我们累积到2月份的营收比重
[298.40-300.40] 那方便各位在接下来的
[300.40-302.40] 接下来的时候呢做一些参考
[302.40-306.40] 好那在NB Hinge的部分呢
[306.40-308.40] 累积到2月份
[308.40-310.40] 占比是23%
[310.40-315.40] 然后LCD Monitor呢是13%
[315.40-320.40] 那3C Hinge的部分是7%
[320.40-325.40] 再来Volvo Hinge的部分是54%
[325.40-329.40] 那MI的部分呢一样维持是1%
[329.40-333.40] 那Odyssey的部分呢是2%
[333.40-336.40] 所以呢就是NB Hinge是23%
[336.40-338.40] 而LCD Monitor是13%
[338.40-340.40] 3C Hinge是7%
[340.40-342.40] Volvo是54%
[342.40-344.40] MI是1%
[344.40-346.40] Odyssey是2%
[346.40-348.40] 这是累积到今年2月份的营收比重
[348.40-350.40] 然后方便各位做一个
[350.40-352.40] 了解
[352.40-354.40] 那接下来我们看到
[354.40-355.40] 这个是基本的一些图表
[355.40-358.40] 所以我们直接来看一下
[358.40-360.40] 我们ESG的部分
[360.40-363.40] 那我们公司在ESG的执行来讲的话
[363.40-364.40] 是非常的彻底
[364.40-366.40] 好我们可以看到就是说
[366.40-368.40] 在定位的部分来讲的话
[368.40-370.40] 我们从2021年
[370.40-372.40] 是我们的基准年
[372.40-374.40] 然后从2021年开始
[374.40-376.40] 到今年来讲的话呢
[376.40-379.40] 我们已经通过了SBTI的目标审核了
[380.40-384.40] 那我们期望能够达到2050年的这个
[384.40-386.40] 净零排放的目标
[386.40-388.40] 那包括就是说呢
[388.40-390.40] 从2021年一直到2024年呢
[390.40-392.40] 我们在ESG体验改善的部分呢
[392.40-396.40] 已经高达了320件
[396.40-398.40] 然后我们颁发的奖金呢
[398.40-400.40] 高达了364万
[400.40-402.40] 这是我们就是在
[402.40-404.40] ESG的部分的执行度
[404.40-407.40] 接着再来就是说
[407.40-408.40] 其他的细项来讲的话
[408.40-410.40] 刚刚有讲就是说
[410.40-414.40] 25年1月份通过这个SBTI的目标审核
[414.40-417.40] 那另外我们在CDB的部分来讲的话呢
[417.40-420.40] 我们是获得这个双B管理等级
[420.40-422.40] 那另外再来就是说呢
[422.40-424.40] 我们在2025年呢
[424.40-427.40] 会导入ISO5010000
[429.40-431.40] 那另外就是说
[431.40-433.40] 我们针对气候变迁啊
[433.40-434.40] 循环经济水资源
[434.40-435.40] 还有自动化生产
[435.40-436.40] 以及呢
[436.40-438.40] 绿建筑的部分呢
[438.40-440.40] 我们累积到目前为止的投入
[440.40-441.40] 的金额呢
[441.40-443.40] 高达了9亿8千万
[443.40-445.40] 那为什么会这么高来讲
[445.40-447.40] 当然在绿建筑的部分呢
[447.40-448.40] 投入的是比较大的
[448.40-451.40] 那因为我们在新建的厂区呢
[451.40-454.40] 我们会采取绿建筑的设计
[454.40-455.40] 那另外呢
[455.40-456.40] 在信尧厂区呢
[456.40-459.40] 会在屋顶建置太阳的
[459.40-460.40] 那同时呢
[460.40-461.40] 在水资源的部分
[461.40-463.40] 因为我们在生产的过程
[463.40-467.40] 我们需要很多水去作用
[467.40-468.40] 所以呢
[468.40-469.40] 在水资源的部分呢
[469.40-472.40] 水的回收率的部分呢
[472.40-473.40] 有高达了50%
[473.40-474.40] 然后另外呢
[474.40-475.40] 在处理效率的部分呢
[475.40-477.40] 高达40%
[477.40-478.40] 那同步呢
[478.40-480.40] 在自动化生产
[480.40-481.40] 大家应该都了解
[481.40-483.40] 就是说我们从
[483.40-485.40] 20年开始
[485.40-486.40] 2021年开始
[486.40-488.40] 我们就紧急投入
[488.40-490.40] 积极在投入在这个所谓的自动化
[490.40-492.40] 由于在去年呢
