[0.00-4.16] 各位投资线 建议大家午安
[4.16-9.04] 欢迎参加敦泰电子股份有限公司线上法人说明会
[9.04-14.12] 那本次代表出席的经营团队为胡政大董事长
[14.12-22.50] 不好意思 好像麦克风没有打开
[22.50-25.58] 好 现在打开了吗
[25.58-27.64] 有的
[27.64-29.20] 可以
[30.00-31.16] 大家好
[31.16-32.02] 谢谢胡董
[32.02-36.16] 大家好 我是敦泰电子 董事长胡政大
[36.16-43.04] 以及张伟杰财务长
[43.04-47.16] 各位投资线 建议及媒体朋友大家好 我是张伟杰
[47.16-51.76] 欢迎大家进行正式的法人说明会
[51.76-59.10] 那今日法税会流程将先针对经营成果报告简报后
[59.10-59.98] 再行QA
[59.98-61.98] 那首先有请张伟杰财务长为我们进行简报
[61.98-65.98] 那首先有请张伟杰财务长为我们进行简报
[65.98-68.98] 好 各位投资线 建议大家好
[68.98-70.98] 那首先是这个免责声明
[70.98-78.98] 然后麻烦各位投资人自行参阅一下
[78.98-81.98] 好 接下来是今天的这个agenda
[81.98-84.82] 那第一个section我们会跟各位投资人报告去年第四季的这个成果以及全年2020年的一个成果
[84.82-88.02] 那第一个section我们会跟各位投资人报告去年第四季的这个成果以及全年2020年的一个成果
[88.02-89.02] 那第一个section我们会跟各位投资人报告去年第四季的这个成果以及全年2020年的一个成果
[89.02-95.02] 那第二部分是未来的一个展望
[95.02-99.02] 这边会由我们董事长胡博赤为各位说明
[99.02-108.02] 那第三部分是公司在过去一个季度推在市场上客户应用段在新产品的领域上面有哪些
[108.02-113.02] 那第四个部分是针对投资権vi的一些朋友有一些QA的一个环节
[113.02-118.02] 那首先我为各位做一下训练
[118.02-119.02] 那首先我为各位做一下训练
[119.02-122.02] 第四季的营业收入的报告
[122.02-128.02] 去年第四季公司的营业收入是新台币41.88亿元
[128.02-133.02] 跟第三季相比QOQ成长了9.8%
[133.02-136.02] 跟2023年的同期相比
[136.02-139.02] 我们YY是成长了15.3%
[139.02-145.02] 去年第四季的营收增长超乎公司在上一季所说的预期
[145.02-148.02] 主要是在AMO类的渗入率提升
[148.02-153.02] 不管在手机、平板、中大尺寸的产品的渗入率都提升
[153.02-157.02] 使得专派的触控IC的出货量持续的创高
[157.02-165.02] 另外其实在TDDI产品的部分也符合公司一开始的预期
[165.02-170.02] 因为随着农历年的到来有些客户有提前备货的情况
[170.02-177.02] 所以去年整个第四季营收是符合公司的超乎公司预期的水准
[177.02-178.02] 谢谢
[178.02-180.02] 好下一页
[180.02-183.02] 由于产品组合影响
[183.02-188.02] 我们第四季的毛利率跟第三季相比有微幅下降
[188.02-191.02] 第四季的毛利率是21.4%
[191.02-194.02] 不过因为我们第四季的营业额大幅提升
[194.02-198.02] 所以使得我的毛利额增加到台币8.96亿元
[198.02-202.02] 营业净利是6900万元
[202.02-204.02] 加上业外收益
[204.02-207.02] 我的税务净利是新台币1.8亿元
[208.02-211.02] 第四季来讲由于新台币贬值的关系
[211.02-216.02] 加上公司的一些利息收入使得我们的第四季的业外收入还不错
[216.02-220.02] 本季盈余是新台币EPS0.86元
[220.02-224.02] 是2024年四个季度最高的一个季度
[228.02-233.02] 在全年来讲随着新产品的推荐期
[233.02-237.02] 就是敦泰有些新产品和一些新project的一些导入
[237.02-243.02] 不管在手机或是非手机像平板或是笔电的应用领域里面
[243.02-245.02] 我们都有些不错的成果
[245.02-250.02] 使得我们2024年全年的出货量比2023年大幅成长了26%
[250.02-253.02] 但是说到LCDIDC
[253.02-258.02] DDI这个手机产品价格其实持续下滑的影响
[258.02-263.02] 所以我的营收较2003年度只有增加7.2%
[263.02-265.02] 至新台币145.4亿元
[267.02-272.02] 不过刚刚提到的就是说
[272.02-274.02] 因为AMOLED的渗入率提升
[274.02-278.02] 也带动敦泰触控IC的出货量大幅成长
[278.02-283.02] 也使得我们2020年全年的毛利率提升到22.4%
[283.02-286.02] 营业毛利额是新台币32.6亿元
[286.02-289.02] 较2023年增加了20.3%
[289.02-293.02] 营业费用因为我们投入一些新产品
[293.02-296.02] 所以使得我们营业费用增加至新台币30.9亿元
[297.02-300.02] 营业经历是新台币1.679亿元
[300.02-303.02] 比2023年增加了36%
[303.02-305.02] 再加上业外收入
[305.02-309.02] 2020年全年税务经历是新台币5.6亿元
[309.02-311.02] EPS是2.7亿元
[311.02-314.02] 比2023年成长了61%
[318.02-324.02] 接下来是我们去年第四季跟第三季的损益表比较
[324.02-326.02] 各位可以看得出来
[326.02-332.02] 营业收入的部分第四季是比第三季增加了9.8%
[332.02-337.02] 其实是超过当初公司在上季法说会预估的一个数字
[337.02-339.02] 在毛利额的部分
[339.02-344.02] 我们第四季度比第三季度成长了5.5%
[344.02-347.02] 主要就是受惠于营业收入的影响
[347.02-351.02] 毛利率由于产品组合的关系有微幅下降0.9%
[351.02-354.02] 第四季来到21.4%
[354.02-359.02] 营业费用第四季维护成长了8.6%
[359.02-362.02] 主要是因为我们投入新产品的一些开发
[362.02-365.02] 有些EDA 和光照的部分有增加一些费用
[365.02-368.02] 第四季的营业经历是6.9百万元
[368.02-372.02] 比第三季减少了大概1900万元
[372.02-375.02] 业外收入第四季是以2300元
[375.02-382.02] 比第三季的8200万元增加了5000万元左右
[382.02-384.02] 最主要是因为其实在去年
[384.02-386.02] 第三季是一个兑换损失
[386.02-388.02] 第四季是兑换利益
[388.02-392.02] 加上几次利息收入在第四季也比第三季有微幅增加
[392.02-395.02] 所以我整个TOQ增加了49.3%
[395.02-399.02] 税前经历第四季是119002
[399.02-403.02] 对比第三季是季成长12.7%
[403.02-407.02] 税后经历18003季成长是9%
[407.02-410.02] 第四季的EPS是0.86元
[410.02-413.02] 比第三季的0.79元成长了0.07元
[414.02-418.02] 我们跟2023年第四季同期相比
[418.02-421.02] 营收年成长了15.3%
[421.02-427.02] 主要是在去年我们TP的出货产品有大幅成长的情况
[427.02-433.02] 毛利率的部分其实我们年成长是18.4%
[433.02-435.02] 我想主要两个原因
[435.02-438.02] 第一个是刚刚上面营收的成长
[438.02-443.02] 再往下一来就是我们毛利率其实也比2023年的第四季成长了0.6%
[444.02-446.02] 我想两个都是一个有利因素
[446.02-453.02] 营业费用来讲我们跟2023年的费用比是年成长4.7%
[453.02-457.02] 我想跟营收的成长比例来讲还是相对比较小的
[457.02-462.02] 营业经历我们大幅成长了90.9%
[462.02-466.02] 主要是我想整个营收毛利率都改善了一个情况
[466.02-473.02] 业外收入来讲去年第四季也比第三年大幅成长了212.9%
[474.02-478.02] 第二个是在2023年的第四季公司是一个汇兑损失
