[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-59.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[60.00-63.94] 我们将总结2024年第四季度的营运情况
[63.94-67.80] 然后提供对营运的看法
[67.80-70.72] 之后我们将进入问答时间
[70.72-73.40] 借此将一一回答大家的提问
[73.40-77.04] 像往常一样 我想提醒大家
[77.04-81.88] 今天的讨论可能包含具有重大风险的潜在性陈述
[81.88-87.10] 以及可能导致实际结果与潜在性陈述中包含的结果
[87.10-89.22] 存在重大差异的不确定性
[90.00-95.42] 请参阅我们简报第二页的Safe Harbor
[95.42-102.04] 首先我们开始2024年第四季度的回顾
[102.04-112.80] 2024年第四季度营收为120亿8700万元
[112.80-116.32] 与上个季度相比减少1%
[116.32-119.98] 与前一年度相比减少14%
[119.98-123.82] 营业毛利来到18亿5700万元
[123.82-126.98] 与上个季度相比减少1%
[126.98-129.98] 与前一年相比减少11%
[129.98-134.06] 当季毛利率来到15.4%
[134.06-137.74] 与前一个季度相比失停
[137.74-141.86] 与前一年度相比增加0.6个百分点
[141.86-146.74] 营业净利来到7亿5500万元
[146.74-149.96] 与上个季度相比减少10%
[149.98-150.98] 与上个季度相比减少21%
[150.98-154.08] 与前一年度相比减少21%
[154.08-158.30] 营业净利率减少至6.3%
[158.30-158.42] 营业净利率减少至6.3%
[158.42-161.92] 主要来自于营业规模的缩小
[161.92-164.72] 以及营业费用的一个整个增加
[164.72-171.62] 业外来讲 去年第四季来到7500万元的业外收入
[171.62-175.86] 主要是利息与汇兑收益的贡献
[175.86-177.86] 最后 本期净利来到6.2亿8700万元
[177.86-178.98] 而上个季度来到少买中有7价收益率
[178.98-179.68] turtle 公司收益率来着六亿2千2百万元
[179.68-180.98] 2100萬元
[181.58-184.68] 與前一季度相比減少5%
[185.18-187.98] 與7年同期相比減少5%
[188.88-189.98] 那最後美股的
[190.98-194.38] 基本盈餘EPS來到2.81塊
[197.38-201.08] 那接著針對去年113年
[201.08-203.88] 整年度的合併綜合損益來做說明
[205.48-208.08] 113年度營業收入來到
[208.08-210.28] 489億6700萬元
[210.88-213.88] 與前一年度相比減少4%
[214.58-218.38] 營業毛利來到74億1600萬元
[219.08-221.58] 與前一季度相比
[222.18-224.78] 增加0.4%
[225.48-229.18] 那營業毛利率來到15.1%
[229.78-232.88] 與前一年度相比增加0.7個百分點
[234.28-237.88] 那營業淨利來到30億3800萬元
[238.58-242.08] 與前一年度相比減少4%
[242.68-245.28] 主要來自於營業費用的一個增加
[246.08-247.08] 那業外部分
[247.98-250.08] 去年113年度
[250.48-252.78] 整個業外來到2億3900萬元
[253.38-257.18] 那主要來自於利息與匯兌收益的整個一個貢獻
[258.08-262.18] 那本期淨利來到24億7900萬元
[263.18-265.38] 與前一年度相比增加4%
[265.98-267.88] 那淨利率來到了5.1個本期
[268.08-273.08] 同時在去年度也是屬於三綠三色類型的狀況
