[0.00-29.98] 請不吝點讚 訂閱 打賞 打賞 打賞
[30.00-38.42] 歡迎大家參與的投資先進 大家午安 我是今日法說會的主持人 寬亮國際QIC執行長Alex李鴻基
[38.42-46.46] 歡迎大家參與由凱基證券主辦的南寶數字2025年第一季線上法人說明會
[46.46-53.64] 首先線上與會的公司代表有南寶數字許明憲執行長 大家好
[53.64-59.18] 接著期業務總處郭聲茂執行總經理
[59.18-59.98] 大家好
[60.00-65.04] 財務管理處林坤靜協力
[65.04-66.04] 大家好
[66.04-75.24] 2025年第一季度財務數字及法說會簡報皆以公告於公司官網及公開資訊觀測站
[75.24-78.16] 恭各位參閱下載 謝謝
[78.16-81.58] 本次的法說會共分為三個部分
[81.58-86.46] 首先將由林協力向大家說明2025年第一季的營運成果
[87.00-89.84] 第二部分會向各位介紹
[89.84-94.00] 南寶在2025年的營運展望及策略佈局
[94.00-97.08] 最後我們將進行Q&A
[97.08-103.60] 首先向我們邀請林坤靜協力向各位來說明2025年第一季的營運成果
[103.60-104.18] 謝謝
[104.18-105.42] 謝謝
[105.42-109.04] 各位線上的投資先進朋友們大家好
[109.04-114.72] 我是南寶數字財務管理總處協理及發言人林坤靜
[114.72-118.52] 接下來由我來跟各位報告
[118.52-119.72] 南寶第一季的營運成果是多少年來的成果?
[119.72-125.60] 南寶第一季的營運成果以及未來營運展望
[125.60-128.10] 請看到第二頁
[128.10-130.38] 這是簡報大綱
[130.38-135.84] 首先會先跟大家分享第一季的經營成果
[135.84-141.34] 接著是南寶未來展望與策略佈局
[141.34-143.60] 請看到第三頁
[143.60-147.96] 首先分享南寶2025年第一季經營成果
[147.96-149.70] 請看到第四頁
[149.72-153.30] 這頁是今年第一季的損益表
[153.30-158.68] 營業收入為新台幣55.54億
[158.68-162.78] 較去年同期增加11%
[162.78-168.40] 第一季毛利率為34.4%
[168.40-173.78] 在產品結構優化的效應逐漸顯現下
[173.78-178.40] 較去年同期提升1.2個百分點
[178.40-179.68] 為利益增加的效應
[179.72-182.48] 居然零碼的利益矩數為1.5個百分點
[182.48-183.44] 在上半年期間
[183.44-185.30] 已達到最高爭取的基準
[185.30-187.14] 第一季營業費用佔營收比重
[187.14-189.44] 較去年同期增加
[189.44-191.76] 主要由於併購允得
[191.76-197.64] 費用攤提及去年營運表現較佳
[197.64-202.50] 任業員工獎金金額較高
[202.50-207.62] 第一季營業利益率為16.4%
[207.62-209.50] 較去年同期上升1.2個百分點
[209.72-210.66] 一个百分点
[210.66-213.62] 创下重启新高
[213.62-216.02] 营业利益
[216.02-217.60] 则较去年成长
[217.60-219.20] 18%
[219.20-222.50] 归属母公司
[222.50-224.38] 净利来到新台币
[224.38-226.18] 7.29亿元
[226.18-228.58] 凝增3%
[228.58-231.18] 每股盈余为
[231.18-233.72] 新台币6.05元
[233.72-236.90] 请看到第五页
[236.90-240.52] 接下来看营收结构
[240.52-243.16] 由于耕耘新产品
[243.16-244.70] 与应用的效应
[244.70-246.02] 逐渐显现
[246.02-248.74] 逐步贡献营收
[248.74-251.50] 接着季营收较
[251.50-253.26] 2024年同期
[253.26-255.60] 增加8%
[255.60-258.72] 占第一季营收比重
[258.72-260.50] 71%
[262.24-264.08] 建材与涂料业务
[264.08-266.10] 在并入云的
[266.10-270.00] 实业营收及持续耕耘下
[270.00-273.80] 第一季相较2024年同期
[273.80-276.44] 也有双位数的成长
[276.44-279.66] 增加16%
[279.66-281.64] 建材与涂料业务
[281.64-284.20] 合计占营收比重
[284.20-286.72] 25%
[286.72-290.16] 请看到第六页
[290.16-292.70] 本页为资产负债表
[292.70-295.46] 提供给各位参考
[295.46-295.96] 南宝
[295.96-299.46] 目前账上是净现金部位
[299.46-302.82] 资产负债表相对健康
[302.82-305.74] 请看到第七页
[305.74-307.28] 接下来跟大家分享
[307.28-310.28] 未来的营运展望与策略布局
[310.28-313.40] 请看到第八页
[313.40-315.10] 对于未来展望
[315.10-317.20] 仍然维持今年营收
[317.20-321.52] 再创新高的目标不变
[321.52-324.26] 由于开发新产品与应用
[324.26-325.76] 持续展现成果
[325.96-330.96] 并购引的实业于今年开始并入营收
[330.96-334.28] 加上前四月营收
[334.28-336.96] 成长达双位数
[336.96-338.96] 10.3%
[338.96-344.86] 我们仍维持营收目标再次挑战新高
[344.86-348.36] 在鞋材方面
[348.36-352.58] 我们持续和运动品牌合作
[352.58-355.84] 共同开发新材质技术
[355.96-358.26] 争取新订单
[358.26-362.36] 目前逐步贡献营收
[362.36-367.48] 此外鞋材以外的特用接着剂
[367.48-371.84] 在持续拓展新的产业应用下
[371.84-375.68] 仍期待今年持续成长
[375.68-379.52] 针对四月初
[379.52-381.82] 美国总统川普
[381.82-385.92] 宣布对多国实施新的对等计划
[385.96-388.78] 关税措施
[388.78-392.10] 依去年营收分布来看
[392.10-394.16] 南宝在台湾
[394.16-395.18] 亚洲
[395.18-397.74] 及澳洲市场的营收
[397.74-401.32] 占比达98%
[401.32-403.12] 主要就近
[403.12-406.18] 供应客户
[406.18-409.76] 几乎未直接出口美国
[409.76-411.82] 相关风险与影响
[411.82-413.36] 对南宝而言
[413.36-415.66] 较为间接
[415.66-418.74] 公司将持续密切关注
[418.74-421.80] 后续的发展
[421.80-426.42] 而创新驱动的next gen成长策略
[426.42-428.98] 也持续发挥
[428.98-433.32] 南宝主动积极与客户携手合作
[433.32-434.86] 投入新产品
[434.86-436.90] 与应用的
[436.90-439.46] 共同研发
[439.46-442.28] 透过这样的主动出击
[442.28-445.36] 不仅加速成长动能
[445.66-448.74] 也为客户创造更高的价值
[448.74-452.32] 同时这也有助于
[452.32-454.62] 我们进一步强化
[454.62-456.16] 长期竞争力
[456.16-458.98] 进而降低外部风险
[458.98-461.02] 所带来的冲击
[461.02-464.60] 最后我们的目标是
[464.60-467.42] 将长期ROE
[467.42-469.72] 提升到20%以上
[469.72-475.62] 今年第一季年化调整的股东权益报酬率ROE
[475.66-478.74] 已经超过20%
[478.74-482.58] 我们将继续提升营业效率
[482.58-484.62] 致力于持续
[484.62-486.42] 结构性改善
[486.42-487.94] 营业利益率
[487.94-490.26] 请看到第9页
[490.26-495.62] 南宝以提升ROE作为核心策略
[495.62-499.46] 南宝的股东权益报酬率ROE
[499.46-501.52] 已连续三年成长
[501.52-505.62] 2024年达到19.4%
[505.66-508.74] 2025年第一季
[508.74-513.34] 年化调整的股东权益报酬率ROE
[513.34-517.18] 也已达到21.2%
[517.18-523.32] 未来会持续往20%以上的长期目标前进
[523.32-526.40] 请看到第10页
[526.40-530.50] 第一季南宝的营业利益率
[530.50-533.82] 较去年同期提升了一个百分点
[533.82-535.62] 我们持续往前进行
[535.62-539.20] 持续强化核心优势
[539.20-542.28] 聚焦包毛利产品
[542.28-547.40] 控制费用率也是近几年南宝努力的重点之一
[547.40-552.00] 目标达成低于15%的长期目标
[552.00-555.84] 诱途也展现南宝的营业利益率
[555.84-558.66] 虽然能会受到原物料等
[558.66-560.96] 外部因素波动
[560.96-564.54] 但观察长期趋势
[564.54-569.66] 已逐渐结构性改善
[569.66-573.76] 请看到第11页
[573.76-576.32] 接下来向各位说明
[576.32-581.18] 各事业群的营运展望与策略布局
[581.18-583.48] 在协财方面
[583.48-585.28] 虽然近期
[585.28-587.84] 美国对等关税政策
[587.84-590.40] 仍存在不确定性
[590.40-592.96] 我们目前的出货状况
[592.96-594.50] 维持正常
[594.54-598.12] 针对后续可能的变化
[598.12-600.18] 公司也持续
[600.18-603.24] 密切关注订单的动态
[603.24-606.06] 与整体市场发展
[606.06-610.16] 以确保能及时调整应对
[610.16-612.98] 维持营运稳健
[612.98-618.10] 此外近期我们积极与品牌伙伴
[618.10-620.40] 共同开发新材质
[620.40-622.18] 与接着技术
[622.18-624.50] 以满足市场需求
[624.54-627.36] 并争取新订单
[627.36-631.46] 这些努力已逐步显现成果
[631.46-635.30] 开始对营收产生贡献
[635.30-638.10] 我们将持续深化
[638.10-640.16] 这类高附加价值
[640.16-641.70] 产品的布局
[641.70-645.02] 强化南宝的竞争优势
[645.02-646.82] 同时
[646.82-648.86] 力求成长表现
[648.86-650.66] 优于产业平均
[650.66-654.24] 持续推动市占率的提升
[654.54-659.66] 在鞋材以外的接着剂产品方面
[659.66-664.02] 半导体与光学用胶持续展现
[664.02-666.32] 强劲成长动能
[666.32-668.36] 预期今年
[668.36-671.94] 能够维持高成长表现
[671.94-677.32] 虽然木工与纺织用胶的终端市场
[677.32-679.62] 相对其他的应用
[679.62-682.44] 在美国的占比较高
[682.44-684.50] 我们也正持续进行
[684.54-686.84] 持续密切观察
[686.84-689.66] 相关变化
[689.66-691.96] 不过整体来看
[691.96-695.54] 各类用胶在终端应用上的比重
[695.54-697.60] 相对分散
[697.60-700.66] 单一应用占比不大
[700.66-701.94] 因此
[701.94-704.26] 我们对今年的表现
[704.26-707.58] 仍正面看待
[707.58-709.38] 今年仍期待
[709.38-712.70] 持续成长
[712.70-714.24] 策略上我们
[714.24-717.82] 持续拓展新市场机会
[717.82-721.40] 提升高毛利产品的比重
[721.40-724.22] 以创新接着解决方案
[724.22-726.78] 积极切入半导体
[726.78-728.32] 电子产业
[728.32-732.92] 木工及纺织用胶等领域
[732.92-735.74] 着重提升产品效能
[735.74-738.56] 开发更多应用
[738.56-741.12] 其中我们特别看好
[741.12-742.92] 半导体接着剂
[742.92-744.20] 及电子领域的效能
[744.24-746.80] 和电子产业的相关应用
[746.80-748.84] 因此
[748.84-751.40] 将加大资源投入
[751.40-753.96] 进一步强化产品技术
[753.96-757.80] 与市场布局
[757.80-761.14] 在涂料与建材业务方面
[761.14-762.92] 以2025年
[762.92-764.98] 第一季来看
[764.98-766.52] 电材的营收
[766.52-770.60] 占整体合并营收的16%
[770.60-773.68] 主要来自澳洲
[773.68-777.00] 目标持续成长
[777.00-778.28] 此外
[778.28-779.56] 策略上
[779.56-783.40] 能目标透过持续并购
[783.40-787.76] 加速建材业务的布局
[787.76-789.30] 涂料方面
[789.30-793.14] 以2025年第一季来看
[793.14-798.00] 营收占整体合并营收的9%
[798.00-799.80] 主要是服务台湾
[799.80-802.86] 与亚洲当地市场
[802.86-803.64] 今年持续成长的目标是
[803.68-808.28] 持续着重在提升获利表现
[808.28-811.88] 请看到第12页
[811.88-815.72] 另外也和各位投资先进报告
[815.72-817.00] 根据证交所
[817.00-820.58] 4月30日公布的第11届
[820.58-824.16] 公司治理评鉴结果
[824.16-825.70] 南宝今年
[825.70-829.54] 首次列为前5%
[829.54-833.64] 这对我们来说是一个重要的里程碑
[833.68-837.00] 同时南宝在市值100亿以上
[837.00-839.82] 非金融电子类企业中
[839.82-843.92] 表现也名列前10%
[843.92-847.00] 展现我们在公司治理上
[847.00-850.84] 持续努力与成果
[850.84-853.40] 请看到第13页
[853.40-856.72] 接续几页为ESG评级资料
[856.72-860.04] 与南宝永续发展的重点摘要
[860.04-862.86] 请各位参考
[862.86-865.16] 那以上是今天的简报
[865.16-866.70] 接下来的Q&A
[866.70-869.00] 欢迎大家提问
[869.00-872.34] 谢谢
[872.34-873.62] 谢谢谢谢Hank
[873.62-876.42] 接下来我们将进行Q&A
[876.42-879.76] 开放我们将开放线上的各位投资先进
[879.76-881.04] 进行提问
[881.04-885.90] 欢迎您点选视窗下方问与答的功能并输入您的问题
[885.90-888.20] 我们将会随时解答
[888.20-892.04] 首先还是按照以往我们将针对在会前收到投资的问题
[892.86-895.16] 来一一回答
[895.16-897.72] 我们所说到的第一个问题是
[897.72-901.30] 想请问美国对等关税
[901.30-907.96] 措施对南宝的影响以及因应措施为何
[907.96-910.02] 好谢谢
[910.02-912.06] 我想
[912.06-914.88] 南宝本身是在各
[914.88-918.72] 主要的国家设工厂就近服务我们的客户
[918.72-922.56] 所以我们是没有直接出口到美国
[922.86-925.16] 目前为止
[925.16-927.98] 我们还没有感受到这种影响
[927.98-929.78] 我想又
[929.78-931.82] 90天的
[931.82-933.36] 三农期所以
[933.36-938.22] 我想到上半段应该还好
[938.22-940.26] 然后这变化
[940.26-941.04] 到
[941.04-946.16] 第三季第四季可能会比较明显那目前我们没有感觉到有什么
[946.16-947.70] 大的变化
[947.70-950.26] 一到四月是成长到
[950.26-952.56] 十多岁嘛
[952.86-957.22] 一到四月成长10.3
[957.22-959.78] 所以目前为止是还好
[959.78-962.58] 然后我想这变化是
[962.58-966.18] 那是黑天的变化是很多的那我们在
[966.18-968.48] 创新在
[968.48-971.04] 永续进行在人才的培养
[971.04-972.06] 那个
[972.06-976.16] 财务的结构都是ok的吧所以
[976.16-977.94] 我想我们是有能力去因应的
[977.94-979.74] 短期的变化
[979.74-982.82] 应该是不会影响我们长期的发展啊刚才的细节
[982.86-984.66] 那个Hank也报告过了
[984.66-987.98] 所以
[987.98-990.02] 整个资讯努力
[990.02-993.62] 上面都是影响大的看下面的变化
[993.62-1000.26] 目前没有感受到这种什么压力了谢谢
[1000.26-1002.06] 好谢谢以利
[1002.06-1003.08] 第二个
[1003.08-1004.88] 投资人的提问是
[1004.88-1011.28] 请问今年的营收展望为何
[1011.28-1012.82] Hank稍微提到了我们
[1012.82-1015.12] 第一季不错比我们一起还好
[1015.12-1017.68] 第二季还观察应该是
[1017.68-1019.48] 也不会很大的变化
[1019.48-1021.78] 所以上半年都应该是
[1021.78-1024.86] 还是相对成长的然后下半年都要看
[1024.86-1029.72] 关税谈判嘛现在中国和美国有一个比较好的结果
[1029.72-1032.02] 后续应该各个国家
[1032.02-1036.12] 也不会差异太大希望这个变化是
[1036.12-1040.22] 大的然后冲击是可以吸收的
[1040.22-1042.78] 然后当然我们今年都变得成长的变化是很大的
[1042.78-1047.14] 我们目前的目标是有包括购变啊一些新产品新开发东西
[1047.14-1051.48] 是可以补一些现况或是间接外销客户外交美国那些部分
[1051.48-1057.12] 我们是维持成长的目标不变了是有一些信心的
[1057.12-1060.18] 好谢谢
[1060.18-1061.46] 谢谢
[1061.46-1063.26] 第三个投资人提问是
[1063.26-1072.48] 美国为终端市场的营收占南宝整体营收的比例大概为何
[1072.48-1075.30] 请财务长说明一下
[1075.30-1077.08] 那这个部分我来
[1077.08-1078.36] 说明
[1078.36-1083.48] 目前我们并没有比较详细的终端应用的数据但是
[1083.48-1086.56] 营收占25%的
[1086.56-1088.86] 建材跟涂料
[1088.86-1092.44] 主要都是就近供应当地的客户
[1092.44-1096.54] 那在接着剂的部分鞋材
[1096.54-1099.62] 的终端的市场在美国
[1099.62-1102.44] 几乎前几大的品牌都是我们的
[1102.48-1103.76] 的客户
[1103.76-1108.36] 大家可能可以参考鞋厂的相关的数据
[1108.36-1112.46] 那另外特用金融技艺里面以木工
[1112.46-1115.54] 纺织相关的终端的应用
[1115.54-1118.86] 输往美国的比重会较高一点点
[1118.86-1122.70] 但各种应用占南宝整体的营收
[1122.70-1126.28] 多在低到中个位数
[1126.28-1128.08] 非常的分散
[1128.08-1129.62] 那综上
[1129.62-1131.66] 综合以上我们认为
[1131.66-1132.44] 我们的区域的
[1132.44-1133.72] 区域分散
[1133.72-1135.52] 产业分散
[1135.52-1138.84] 单一国家的占比不会太大
[1138.84-1142.68] 所以若有相关的一些影响和风险
[1142.68-1144.22] 我们会尽可能
[1144.22-1147.04] 及早与及时的运营
[1147.04-1148.32] 我想
[1148.32-1151.12] 我们是可以承受的
[1151.12-1153.94] 以上说明谢谢
[1153.94-1156.00] 好谢谢Hank
[1156.00-1158.80] 第四个线上投资人提问是
[1158.80-1162.40] 请问台币升值对于南宝是否有影响
[1162.44-1165.26] 那目前公司是如何运营
[1165.26-1168.84] 这个等你请Hank的说明
[1168.84-1170.12] 好
[1170.12-1171.14] 那
[1171.14-1175.76] 南宝有部分的收入是美金计价那一般
[1175.76-1179.34] 会有美金资产的一些进步位
[1179.34-1185.74] 但是我们希望公司在营运上是专注本业的表现不要承担太多的
[1185.74-1187.02] 汇率的波动
[1187.02-1189.58] 带来的不确定的一些风险
[1189.58-1191.36] 大概
[1191.36-1192.40] 南宝在
[1192.44-1193.98] 两年多前
[1193.98-1198.32] 有持续的调整美元的资产和负债
[1198.32-1201.40] 让它更为接近
[1201.40-1206.52] 那利用这样的自然避险的方式降低汇率的风险
[1206.52-1210.88] 近期的汇率的这些波动
[1210.88-1214.20] 目前对公司的影响不大
[1214.20-1218.80] 以上说明谢谢
[1218.80-1220.86] 好谢谢
[1220.86-1222.40] 下一个投资人提问是
[1222.44-1227.30] 南宝第一季的毛利率和营业利率都相当的好
[1227.30-1229.60] 请问主要的原因为何
[1229.60-1236.00] 那另外我们是怎么看待今年的毛利率跟营业利率呢
[1236.00-1236.52] 对
[1236.52-1238.82] Hank 麻烦你回答
[1238.82-1239.60] 那
[1239.60-1243.18] 今年的第一季的营收的表现有达到双位数
[1243.18-1244.46] 那因为
[1244.46-1247.02] 规模经济和效率的提升
[1247.02-1248.56] 还有我们
[1248.56-1251.88] 持续专注在高毛利的产品
[1251.88-1256.24] 那产品结构的优化的效应目前持续在发挥
[1256.24-1259.56] 加上目前的原物料的价格
[1259.56-1261.10] 是较为稳定
[1261.10-1263.40] 所以对我们来讲有正面的影响
[1263.40-1265.70] 所以在毛利率上面
[1265.70-1268.00] 有比较好的表现
[1268.00-1270.82] 那另外在原物料成本
[1270.82-1274.40] 以及对等关税相关可能的影响
[1274.40-1277.22] 目前比较不明朗
[1277.22-1281.84] 但应该不会有太过负面的发展
[1281.88-1284.96] 因为运动鞋的末端售价是
[1284.96-1289.30] 鞋厂出厂价的大概是5到8倍
[1289.30-1291.36] 那也许供应链
[1291.36-1294.16] 也需要吸收
[1294.16-1295.20] 部分
[1295.20-1298.00] 但是运动品牌
[1298.00-1302.36] 更有能力来调整售价来因应
[1302.36-1303.64] 所以我们认为
[1303.64-1305.94] 营业利率
[1305.94-1309.78] 能具有长期提升的潜力
[1309.78-1311.58] 主要是来自于
[1311.58-1314.40] 持续优化产品结构
[1314.40-1316.44] 营运效率的改善
[1316.44-1318.74] 以及高毛利产品比重
[1318.74-1321.30] 稳步上升
[1321.30-1325.66] 那近年来我们积极调整产品布局
[1325.66-1330.78] 导入更多创新且高附加价值的解决方案
[1330.78-1332.58] 那相关的成果
[1332.58-1336.66] 也将在未来持续的展现
[1336.66-1340.00] 以上说明
[1340.00-1341.54] 好谢谢Hank说明
[1341.58-1346.44] 再下来是最后一个会议前线线上投资人的提问
[1346.44-1347.22] 请问
[1347.22-1351.30] 半导体相关应用目前推进的状况为何
[1351.30-1355.40] 那今年的营收成长目标为何
[1355.40-1357.70] 好那我们就请Morrison回答
[1357.70-1359.50] 好谢谢关心
[1359.50-1362.82] 我们持续跟客户合作开发了
[1362.82-1366.66] 目前还是很顺利的在推展
[1366.66-1368.72] 那我们目前的一些产品
[1368.72-1370.76] 比如在UV节年
[1370.76-1371.54] 这个产品的成长是很快的
[1371.54-1374.10] 这个社会影响一些制程的良率
[1374.10-1374.86] 所以
[1374.86-1379.48] 终端客人对这样的产品是相当有兴趣的
[1379.48-1382.80] 但是要走认证还有一些流程认证
[1382.80-1386.14] 那这个产线也需要一点时间去准备
[1386.14-1387.66] 那初期
[1387.66-1390.48] 这个速度不会太快
[1390.48-1392.78] 目前的营收还算很小
[1392.78-1394.84] 在千万等级
[1394.84-1399.70] 今年看起来应该有两倍三倍的一些成长动了
[1399.70-1400.98] 以上说明
[1401.54-1404.62] 好谢谢Morrison
[1404.62-1408.46] 以上是在会前我们所收到的投资人提问
[1408.46-1409.98] 那我再提醒一下
[1409.98-1411.52] 我们线上开始
[1411.52-1414.34] 对于现场的投资人提问开始回答
[1414.34-1415.88] 那也再提醒大家
[1415.88-1417.66] 如果你有任何问题的话
[1417.66-1420.48] 那麻烦您选选视窗下方的
[1420.48-1423.04] 问与答的功能并输入您的问题
[1423.04-1425.10] 我们将会及时的回答
[1425.10-1428.68] 那线上投资人提问的第一题是
[1428.68-1430.72] 想请问允德每年营收与会计的问题是什么?
[1430.72-1431.50] 想请问允德每年营收与会计的问题是什么?
[1431.54-1434.10] 货力规模大概多少?
[1434.10-1436.14] 那允德的毛利率
[1436.14-1438.46] 及营业利益率
[1438.46-1441.02] 与南宝比较大概是情况是如何?
[1441.02-1442.54] 谢谢
[1442.54-1444.08] 请Hank回答
[1444.08-1444.86] 好
[1444.86-1447.16] 那目前允德状况
[1447.16-1449.98] 他大概
[1449.98-1451.50] 以目前的产能
[1451.50-1452.78] 大概一年有
[1452.78-1455.86] 4到5亿的营收的表现了
[1455.86-1456.62] 目前
[1456.62-1459.70] 那未来当然是会想要增加产能
[1459.70-1461.50] 因为现在是full run
[1461.54-1464.10] 那目前的
[1464.10-1468.46] 毛利率的表现大概略低于
[1468.46-1471.02] 南宝整体的毛利率
[1471.02-1473.82] 但是营业利率是高于
[1473.82-1475.62] 南宝整体的
[1475.62-1476.90] 营业利率
[1476.90-1479.20] 因为他的营业费用比较低
[1479.20-1484.06] 以上说明谢谢
[1484.06-1486.38] 谢谢Hank说明
[1486.38-1490.46] 第二个线上投资人提问是想请问目前
[1490.46-1495.84] 协用接着剂占整体营收的比例为何?
[1495.84-1499.94] 占差不多是乘2乘3左右
[1499.94-1502.74] 相对比
[1502.74-1506.34] 是乘2或是乘3
[1506.34-1509.66] 好谢谢一个说明
[1509.66-1511.70] 下一个投资人提问是
[1511.70-1515.04] 涂料整体营收的比例为多少?
[1515.04-1515.80] Hank
[1515.80-1518.36] 刚刚协理好像有提到可以慢慢再提
[1518.36-1520.42] 对对对有不甚了
[1520.46-1524.30] 好
[1524.30-1526.60] 谢谢协理
[1526.60-1529.94] 再下来的投资人提问是有两个
[1529.94-1530.96] 第一个
[1530.96-1536.58] 请问EQ25大连化工股息入账的金额为何?
[1536.58-1541.96] 第二近期台币升值油价及化学品价格疲弱
[1541.96-1549.38] 是否今年后面三季的毛利率仍有上升的空间?
[1549.38-1550.42] 那那这
[1550.42-1551.96] 这个题目来回答
[1551.96-1555.80] 第一季的大连化工的股息跟去年一样
[1555.80-1557.34] 一亿
[1557.34-1558.62] 零四百万
[1558.62-1560.66] 这第一个
[1560.66-1564.50] 那第二个就是台币升值加油价
[1564.50-1567.06] 等等这些影响
[1567.06-1572.94] 后面三季的毛利率是否还有上升的空间?
[1572.94-1575.26] 这个刚刚在
[1575.26-1579.60] 有一些会前的题目我也有说明了
[1579.60-1580.38] 其实
[1580.42-1582.72] 它的条件是它的
[1582.72-1584.00] 原因是很复杂的
[1584.00-1584.78] 那
[1584.78-1588.62] 台币升值基本上是不会影响
[1588.62-1590.66] 目前判断不会影响毛利率
[1590.66-1596.54] 因为是营收跟消费成本同时会有一些变动
[1596.54-1597.58] 那
[1597.58-1601.42] 另外油价的目前的一些趋势
[1601.42-1602.70] 做一些修正
[1602.70-1605.26] 目前看起来对公司
[1605.26-1607.04] 的
[1607.04-1609.34] 毛利率是有一些正面的影响
[1609.34-1610.38] 目前是这样的
[1610.42-1614.78] 大概应该第二季会有一些
[1614.78-1616.06] 一些
[1616.06-1619.64] 稍稍的一些显现
[1619.64-1621.94] 有没有上升的空间当然是有
[1621.94-1623.74] 答案是肯定的
[1623.74-1627.58] 谢谢
[1627.58-1630.14] 好谢谢协议的说明
[1630.14-1636.78] 下一个线上投资人提问是请问南宝在碳纤维材料的发展进度
[1636.78-1640.38] 另外2024年营收约为多少?
[1640.38-1643.46] 2025年碳纤维营收的展望如何?
[1647.80-1650.10] 碳纤维材料去年度可能做
[1652.16-1653.44] 三四千万
[1653.44-1654.46] 最近五千万
[1655.22-1658.04] 然后今年度应该是好几倍的成长
[1658.04-1661.88] 因为去年度都是在打量送量approach过程中
[1662.14-1663.68] 今年度
[1664.18-1666.50] 比较明确但是我们在扩厂
[1667.00-1667.78] 在大外园扩厂
[1668.02-1668.54] 分家两个
[1668.80-1669.56] 分家一个厂
[1669.56-1670.34] 比较大型的厂
[1670.64-1672.68] 在量产时间可能到七月开始
[1673.46-1676.78] 所以下半年度会有一个大的营收会产生
[1677.04-1679.60] 然后如果年度来看的话成长的
[1680.10-1681.14] 好几倍吧
[1683.18-1685.48] 新产品有时候客人比较长
[1686.00-1687.02] 可是单是确认的
[1687.28-1687.78] 客人一下单
[1688.56-1689.06] 有
[1689.32-1690.22] 有汽车的有
[1690.22-1691.62] 有笔电的有手机的
[1691.88-1692.40] 瓦数的
[1692.66-1694.44] 有些汽车布品的都有
[1695.98-1697.52] 今年应该是
[1698.54-1699.30] 多个几倍
[1699.30-1700.34] 几倍的营收
[1700.64-1703.46] 谢谢
[1704.48-1706.02] 好谢谢说明
[1706.78-1709.34] 下一个问题是请问第一季费用
[1710.10-1712.66] 一次性影响金额的是多少
[1712.92-1715.22] 那全年营业费用
[1715.48-1716.26] 应该怎么看
[1716.50-1717.02] 谢谢
[1719.58-1721.12] 那这一题我来回答
[1721.38-1722.90] 第一季的
[1723.68-1726.50] 就是费用一次性的
[1726.74-1730.34] 刚刚在简报里面有稍稍提到说就是
[1730.58-1731.40] 并购与得
[1731.92-1734.22] 有一些其他无形资产的摊体
[1734.74-1736.02] 这个部分大概
[1736.52-1740.36] 一季有大概1000万台币左右
[1740.88-1741.38] 那
[1742.42-1743.70] 另外就是
[1744.20-1746.26] 员工的一些奖金的
[1747.02-1749.58] 提列有比去年度增加
[1750.34-1752.40] 然后这个部分也大概有
[1753.94-1756.24] 两三千万左右
[1757.00-1760.34] 那这是去年的增加比去年增加数
[1760.64-1763.46] 那今年的营业费用怎么看
[1766.52-1770.62] 营收的表现也是关键的代表是分母
[1771.14-1774.98] 营业费用率去年大概是17左右
[1775.48-1776.76] 那我的判断
[1777.28-1780.34] 有可能今年的营收如果
[1780.60-1783.42] 是可以达到内部的目标的话
[1784.18-1787.26] 理论上我的营业费用率应该要下降
[1787.52-1788.54] 才对
[1788.80-1790.00] 以上说明谢谢
[1790.38-1794.48] 好谢谢
[1795.24-1797.80] 下一个投资人提问是请问
[1798.32-1801.90] 汇率敏感度分析大概是怎么样台币甚至1%
[1802.16-1805.22] 对于毛利率的影响大概是多少
[1808.04-1811.88] 因为最近的汇率波动比较剧烈
[1812.14-1814.18] 大家对这个还蛮关心
[1815.98-1817.52] 我觉得汇率的
[1818.54-1820.34] 就是升值的影响
[1820.64-1824.98] 的敏感性的分析我的看法
[1825.50-1827.04] 对毛利率的影响
[1827.80-1828.58] 并不大
[1829.86-1831.14] 反而是对
[1832.16-1835.74] 业外的收就是损益比较大
[1836.00-1837.78] 就是外币评价这一块的
[1838.30-1839.84] 影响是实打实的
[1840.60-1841.38] 为什么
[1841.62-1842.40] 因为
[1843.16-1847.00] 毛利率就是本业的部分营收消耗成本
[1847.26-1848.28] 他是
[1848.54-1849.30] 加权
[1849.56-1850.34] 平均的
[1850.64-1851.14] 概念
[1852.18-1853.20] 但是
[1853.70-1858.06] 外币评价的汇率损益是期末汇率的概念
[1858.58-1860.62] 所以我认为说
[1861.14-1864.46] 台币如果升值1%那
[1865.74-1868.04] 敏感性分析对
[1868.30-1869.84] 我们业外
[1870.10-1870.60] 的
[1870.86-1872.66] 汇率损益的影响是多少
[1873.42-1876.50] 那刚刚我有说明说我们在两年多前
[1877.00-1880.08] 就已经有做一些自然避险
[1880.64-1883.46] 因为我不希望汇率的波动对我们
[1883.70-1884.98] 对南宝的本业
[1885.24-1887.04] 造成比较大的影响
[1887.30-1889.08] 所以我们已经尽量把
[1889.60-1890.10] 自
[1890.88-1892.42] 互选的净资产
