[0.00-3.84] 各位同志先行下午好
[3.84-10.04] 欢迎参加泰顶国际股份有限公司的法人说明会
[10.04-13.74] 接下来由我们今天的主讲人IR莉莉带来今天的内容
[13.74-14.10] 谢谢
[14.10-20.44] 各位好
[20.44-24.04] 欢迎再来参加我们例行新的一个法说会
[24.04-26.84] 我们今天简报也会分三个部分
[26.84-28.90] 先做公司的介绍
[28.90-31.50] 然后是第一季的财报说明
[31.50-34.72] 最后是做ESG景况的一个更新
[34.72-39.00] 风险事项的提醒
[39.00-42.96] 请大家留意我们对未来营运的说明职工参考
[42.96-45.00] 不提供任何的投资建议
[45.00-52.74] 泰顶是在2001年由王树木董事长到泰国来创立的
[52.74-56.82] 所以我们在当地是已经耕耘了超过23年以上
[56.82-58.82] 随着客户的增加
[58.82-60.72] 目前我们是有四座工厂
[60.72-65.80] 都是在曼谷西南方大概一小时车程的农在错福
[65.80-68.38] 交通上是非常便利的
[68.38-73.82] 截至最新的人工人数大概是7600人左右
[73.82-82.08] 泰顶有获得的一些认证除了一般性的像是
[82.08-85.18] 宾馆系统或是环境管理系统的证书之外
[85.18-88.80] 我们也有获得像汽车业品质管理系统的证书之外
[88.82-95.82] 还有像近年来比较ESG很注重的ISO27001
[95.82-97.82] 治安管理的系统认证
[97.82-101.82] 跟14064-1的温室气体盘查的认证
[101.82-106.82] 此外我们也有获得客户颁发的绿色供应箱认证
[106.82-113.82] 那这个就是我们主要厂区的一个空拍图
[113.82-118.82] 这边的话中间的大图就是我们主要的二厂跟三厂的设计图
[118.82-120.82] 那这边的二厂的位置
[120.82-123.82] 那接下来我先从左下角的一厂来介绍
[123.82-128.82] 一厂它的制成能力是可以量产双层到八层的多层版
[128.82-133.82] 目前主要是负责生产消费性相关的电子产品
[133.82-140.82] 那中间这个大图的深蓝色的A2是我们的主要移民中心的二厂
[140.82-145.82] 它的制成能力是可以量产四层到十二层的多层版
[145.82-147.82] 目前主要是负责生产车用相关的电子产品
[148.82-151.82] 还有相比电的产品
[151.82-157.82] 那在大图的左边的粉红色底的A3厂是我们的体检厂
[157.82-163.82] 它的制成能力是可以生产八层到二十层的多层版
[163.82-164.82] 还有HDI
[164.82-170.82] 那基本上新产品是都安排在三厂这边来做一个生产的
[170.82-173.82] 最后是右下角的AX协工厂
[173.82-176.82] 协工厂它是提供单面版的一个产能
[176.82-178.82] 那综合的整体的产品
[178.82-182.82] 在我们的其他的三个厂的多层版跟双层版产能后
[182.82-186.82] 我们身为客户有提供一个暂时的解决方案
[190.82-194.82] 那Tedding也是全球性的一个客户的公司
[194.82-196.82] 那我们的客户是分布在全世界
[196.82-201.82] 可以看到主要的客户除了日本跟韩国的厂商之外
[201.82-205.82] 那我们也有很多像欧洲美国或是EMS的伙伴
[208.82-215.82] 接下来我们跟大家报告第一季财报的介绍
[217.82-220.82] 那第一季的单季损益表在营收的部分
[220.82-224.82] 季度来说是有1.8%的正成长
[224.82-228.82] 那跟去年同期相比是有11.4%的一个正成长
[228.82-232.82] 那关于这个类别的组成后面我会再做一个说明
[232.82-234.82] 接下来请看到劳力的部分
[234.82-237.82] 在第一季单季的劳力率是4.8%
[238.82-242.82] 那跟前一季相比可以看到是有一个明显的一个回升
[242.82-247.82] 这个主要是因为制造费用的一个改善
[247.82-250.82] 然后新品的导入还有箱包费成本下降
[250.82-255.82] 跟员工人数的下降而有降低了成本
[258.82-260.82] 那在营业费用的部分可以看到
[260.82-265.82] 不管是跟前一季或前一去年同期相比都是有下降的
[265.82-268.82] 这个主要就是有做人力调整的部分
[268.82-272.82] 组织调整跟一些扁平化的措施的关系
[272.82-280.82] 那在这边第四季的话可以看到业外部分有比较大一点的损失
[280.82-284.82] 这个是因为就是有先提前做
[284.82-290.82] 对一些闲置的设备做一些减损损失的提炼
[290.82-293.82] 这个后续的话如果有在
[293.82-296.82] 后续如果有转回为盈的话
[296.82-299.82] 这是可以再回冲认裂的
[299.82-303.82] 那总体来说第一季虽然是亏损
[303.82-306.82] 但是其实已经是有在逐步的改善的
[312.82-317.82] 那接下来我们看到季度的营收的产品组合
[317.82-322.82] 第一季占比最高的是深蓝色的家用产品
[322.82-325.82] 那它的占比是45.1%
[325.82-328.82] 主要的组成就是TV电视相关的产品
[328.82-332.82] 那占比第二高的是最上方红色的车用
[332.82-337.82] 车用也是稳定的占比在已经超过20%
[337.82-342.82] 那占比第三的是紫色的PC
[342.82-345.82] PC占比是大概17.7%
[345.82-351.82] 那它主要的组成有硬碟、硬表机、笔电相关的一些电脑产品
[351.82-355.82] 那未来就是伺服器的部分也预计会放在这边
[355.82-357.82] 在PC这个类别里面
[357.82-362.82] 然后最后第四的是浅蓝色的通讯产品
[362.82-365.82] 大概占比是13.8%
[365.82-370.82] 那它的主要组成是像路由器、WiFi
[370.82-374.82] 还有智慧音箱相关的一些网通的产品
[380.82-383.82] 那在第一季的层版的分布上
[383.82-386.82] 我们占比最高的是四层版
[386.82-390.82] 那这主要是对应到家用跟车用的产品
[390.82-392.82] 跟前一季相比的话
[392.82-396.82] 在双层到六层版的占比是有提升
[396.82-400.82] 这个主要是来自家用、车用跟PC的客户的需求
[404.82-407.82] 我们在印刷电路板产业
[407.82-411.82] 算是很早就开始在做永续的公司
[411.82-412.82] 是从2016年
[412.82-416.82] 就开始自愿性的在出版永续的报告书
[416.82-419.82] 那我们在2021年底也有推出一个
[419.82-423.82] 叫Green Project来做个永续发展的主轴
[423.82-427.82] 之后后面会再用影片来跟大家做进度的一个报告
[429.82-432.82] 在S的社会参与的部分
[432.82-435.82] 我们是生根泰国超过22年
[435.82-440.82] 所以有将近九成九成九以上的员工都是泰国人
[440.82-442.82] 泰籍的干部占比也是有超过22%
[442.82-444.82] 超过65%
[444.82-448.82] 那下面这个图是我们今年的一个送干节的活动照片
[448.82-453.82] 可以看我们是非常融入当地泰国的一个社区的
[456.82-458.82] 最后在公司治理的方面
[458.82-462.82] 我们在今年4月的2024公司治理评鉴
[462.82-466.82] 也是第二年的再次进入市值五
[466.82-471.82] 51到100亿的电子类别组中的前5%的这个级距
[472.82-482.82] 那这边的话就是我们Green Project的一个概览
[482.82-485.82] 它主要是分成三个大方向
[485.82-490.82] 主要是再生能源水资源管理跟减能方案
[490.82-494.82] 再生能源是从2021年就开始启动
[494.82-498.82] 并且我们是以太阳能发电系统来作为发展重心
[498.82-500.82] 第一阶段的目标是要达成R110%
[500.82-501.82] 第一阶段的目标是要达成R110%
[501.82-502.82] 第一阶段的目标是要达成R110%
[502.82-504.82] 那以去年来说
[504.82-509.82] 再生能源替代比率是已经有达到大概3到5%了
[509.82-513.82] 那去年的话实际透过太阳能的使用
[513.82-516.82] 是有减碳超过4800吨
[516.82-521.82] 然后目前的太阳能发电系统的累积完工的装置容量
[521.82-524.82] 也有来到大概8.3MW
[524.82-531.82] 这个预计就是每年可以减少超过6000吨碳排放
[531.82-533.82] 那在水质管理的部分
[533.82-538.82] 第一阶段的目标是要达成40%的废水回收率
[538.82-540.82] 那在我们目前的用水量下
[540.82-544.82] 这个废水回收率大概是30到35%
[544.82-547.82] 这一块的系统是还在持续的优化
[550.82-552.82] 最后是节能方案
[552.82-556.82] 它的初步的目标是要达成8%的一个节能
[556.82-560.82] 那目前我们是已经有达到超过10%的节能效果
[560.82-565.82] 这个主要是透过我们提升一些部分设施的能源使用效率
[565.82-571.82] 还有针对远工作一些教育训练宣导的简单措施来达成的
[576.82-581.82] 那接下来是我跟大家分享我们的green project的一个影片
[590.82-605.82] 我们的主要目标是要达成30%的废水回收率
[605.82-607.82] 那么我们现在就来看看我们的图表
[607.82-609.82] 我们的图表是在这里
[609.82-611.82] 我们的图表是在这里
[611.82-613.82] 我们的图表是在这里
[613.82-615.82] 我们的图表是在这里
[615.82-617.82] 我们的图表是在这里
[617.82-619.82] 我们的图表是在这里
[620.82-622.82] 我们的图表是在这里
[622.82-624.82] 我放在这里
[624.82-625.82] 大概选1天
[625.82-628.82] 我们的图表是在这里
[628.82-632.82] wtf
[632.82-634.82] 我们的图表是在这里
[634.82-636.82] 这个是它的画面
[636.82-638.82] 这个是它的画面
[638.82-640.82] орон Emma
[640.82-642.82] 这是 ihre现状
[642.82-644.82] 这是在这里
[644.82-646.82] larda
[646.82-648.82] 这个人如果 NO  ast worlds
[648.82-649.82] 们有事 filter
[649.82-679.80] 響鐘
[679.82-709.80] 響鐘
[709.82-739.80] 響鐘
[739.82-769.80] 響鐘
[769.82-799.80] 響鐘
[799.82-829.80] 響鐘
[829.82-859.80] 響鐘
[859.82-889.80] 響鐘
[889.82-919.80] 響鐘
[919.82-949.80] 響鐘
[949.82-979.80] 響鐘
[979.82-1009.80] 響鐘
[1009.82-1039.80] 響鐘
[1039.82-1069.80] 響鐘
[1069.82-1071.82] 響鐘
