[0.00-1.10] 先敬大家午安
[1.10-2.96] 欢迎各位出席
[2.96-4.64] 元大产业座谈
[4.64-7.50] 创新网通股份有限公司说明会
[7.50-10.38] 今天由创新网通公司
[10.38-12.12] 就公司产业状况
[12.12-14.16] 营运成果及未来展望
[14.16-15.80] 为各位简报说明
[15.80-17.84] 现在为各位介绍
[17.84-19.72] 公司与会的经营团队
[19.72-22.44] 会计主管环夜胜经理
[22.44-24.74] 接下来我们把时间
[24.74-26.26] 交给环夜胜经理
[26.26-28.16] 环夜胜经理请
[28.16-32.38] 首先谢谢元大证券
[32.38-34.62] 也谢谢各位投资先进
[34.62-36.34] 那以下我先
[36.34-38.46] 我会就2024年
[38.46-39.78] 整个网通的情况
[39.78-42.52] 以及25年的一些概要发展
[42.52-43.80] 做简单的说明
[43.80-46.62] 那我们首先
[46.62-48.68] 先看到整个
[48.68-50.20] 营运投资架构的部分
[50.20-52.18] 那在营运投资架构
[52.18-53.58] 在2024年
[53.58-56.02] 其他这边并没有去做一个
[56.02-56.92] 大幅的更动
[56.92-58.08] 那我们主要
[58.08-60.70] 还是以台湾的餐厅网通
[60.70-62.10] 跟夏能餐坤
[62.10-63.70] 这两个据点
[63.70-65.14] 作为台湾境内
[65.14-66.70] 以及中国市场的一个
[66.70-68.60] 品牌经销跟代理
[68.60-70.76] 那在家电制造的部分
[70.76-73.68] 张州厂跟印尼PPSCI
[73.68-74.48] 等两地
[74.48-76.98] 一直是我们的主力的生产基地
[76.98-79.56] 那主要的一个客户客源
[79.56-81.60] 是欧洲国家及美洲国家
[81.60-83.12] 那当然亚洲这边
[83.12-84.88] 包含日本韩国
[84.88-87.24] 以及俄罗斯这边
[87.24-87.70] 我们都还是
[88.08-89.60] 有持续的去拓展
[89.60-93.58] 我们的那个销售通路
[93.58-97.08] 那包含说中东市场
[97.08-99.44] 这边我们也是积极在攻略
[99.44-100.76] 那在餐饮事业的部分
[100.76-103.10] 金光咖啡仍然是集团内部
[103.10-105.16] 一个比较重要的
[105.16-108.28] 所谓咖啡豆原料的一个烘焙厂
[108.28-112.04] 那这个部分目前的主力客户
[112.04-114.66] 放在台湾境内的一些
[114.66-118.08] 包含灿坤以及其他烘焙
[118.08-122.12] 水平厂的一些原料供应
[122.12-123.36] 那武华马集团
[123.36-127.04] 这是作为一个投资者的身份
[127.04-129.98] 那交由武华马的专业团队去做运营
[129.98-131.48] 那其他事业的部分
[131.48-133.80] 目前比较有规模的
[133.80-135.80] 就是我们在日本参与这边
[135.80-138.54] 有一个物业管理公司
[138.54-140.10] 那过去一年
[140.10-142.52] 其实在日本的一个环境
[142.52-145.08] 比较没有那么看好的情况下
[145.08-148.08] 我们日本这边是的投资操作比较保守的
[148.08-153.20] 那今年度看起来是会有一些变化
[153.20-156.02] 我们会持续观察
[156.02-160.06] 那接下来我们看一下2024年
[160.06-162.86] 整体的一个营包重点
[162.86-165.18] 那首先在收入部分
[165.18-169.52] 我们是叫同期有成长15%
[169.52-172.88] 那这主要成长的部分是在欧美国家
[172.88-175.28] 以及亚洲国家都有所占据
[175.28-177.20] 那其中
[177.20-178.00] 比较
[178.08-181.66] 大的部分应该都是在美洲国家
[181.66-183.46] 那在营运成本的部分
[183.46-186.28] 也随着那个收入部分的有
[186.28-188.58] 有绝对金融的成长
[188.58-190.12] 那在这个部分
[190.12-191.40] 各位可以看到毛利
[191.40-194.20] 我们叫同期来的衰退主要是因为
[194.20-195.24] 目前
[195.24-197.28] 在2024年整个原物料
[197.28-199.84] 尤其是大中国金属的部分
[199.84-201.64] 有一个比较大的上涨
[201.64-202.40] 那
[202.40-205.48] 这部分确实影响到我们在
[205.48-207.78] 市场上的一个获利情况
