[0.00-3.76] 邀請到海光店來原大這邊舉辦把說會
[3.76-9.08] 跟大家分享一下公司2024年的營運成果跟未來的狀況
[9.08-15.96] 會議一開始先跟各位介紹一下海光店今天的理會的經理團隊
[15.96-18.76] 首先是吳志明副董事長
[18.76-20.76] 謝謝各位
[20.76-25.76] 以及曾志宏總經理
[25.76-27.76] 大家好
[27.76-30.76] 還有邱研剛財務長
[30.76-36.76] 我們接下來就把時間交給同台
[46.76-48.76] 好,那我們就正式開始
[48.76-51.76] 首先感謝原大政見的邀請
[51.76-56.76] 也感謝各位把人先進
[56.76-57.76] 把人先進的同事們
[57.76-59.76] 先進及各位媒體的參與
[59.76-63.76] 鴻海大概每年會辦實體把說會兩場
[63.76-66.76] 今年是我們的第一場
[77.76-80.76] 首先是免責先援
[80.76-82.76] 那我們就不一念
[84.76-86.76] 首先來跟各位分享一下
[86.76-89.76] 我們在目前的營收分佈跟經營績效
[89.76-93.76] 公司在過去2022年開始的時候
[93.76-95.76] 我們主要是三個營運主軸
[95.76-98.76] 智能感測、車用光源跟新顯示
[98.76-100.76] 那麼新顯示這個市場呢
[100.76-103.76] 基於在中國的有關房地產的一個影響
[103.76-106.76] 所以它的整個包括在產業精神上也比較激烈
[106.76-110.76] 所以說後來我們就比較著重在這個領域上面
[110.76-113.76] 後來我們把相應的資源移到車用光源上
[113.76-114.76] 所以從我們在2023年這個營運策略改變之下
[114.76-117.76] 我們就著重在兩個經營市場
[117.76-119.76] 一個是智能感測
[119.76-121.76] 這裡面包含一些感測類產品
[121.76-123.76] 還包括了傳統的一些3C
[123.76-126.76] 然後安防監控這些類型的東西
[126.76-128.76] 我們都把它在我們公司歸類
[128.76-130.76] 我們把它歸在這個範圍之內
[130.76-135.76] 包括筆電一些電器產品都在這個範圍之內
[135.76-137.76] 車用光源很明顯就是在車子
[137.76-142.76] 包括車內車外氛圍燈這個領域都在這個範圍
[142.76-144.76] 各位可以看到目前的這個環境
[144.76-148.76] 在我們在2023年把這個公司的營運資源做一些調整之後
[148.76-151.76] 我們現在在車用跟智能感測大概是
[151.76-154.76] 大概是在55加40這樣的一個比重
[154.76-157.76] 大概就是基本上整個公司主要營收
[157.76-161.76] 我們不是一個什麼都做的這種工裝行業
