[0.00-4.00] 歡迎參加今日的雙胖科技股份有限公司的周詳會議
[4.00-8.00] 今天我們很開心邀請到了潘明煌總監以及黃詩敏經理
[8.00-10.00] 來跟我們分享金黃禮展望
[10.00-14.00] 現在我們就把時間交給潘總監來總監請
[19.00-21.00] 各位投資親戚 大家午安
[22.00-24.00] 很高興
[24.00-30.00] 又有機會跟你們見面來更新一下我們雙胖的狀況
[30.00-35.00] 也很感謝國票給我們一個這麼好的場所
[41.00-45.00] 從前面的一些產品還有市場狀況的警報開始
[45.00-48.00] 後面有一些財報的數據
[48.00-51.00] 黃經理會跟大家做一些說明
[51.00-54.00] 有些數據比較有異動的
[54.00-56.00] 我會做一些說明
[63.00-65.00] 我們還是跟以前一樣
[65.00-68.00] 就把我們所有的產品應用列在這張上面
[68.00-70.00] 那就是三大產品線
[70.00-72.00] 三大產品線裡面
[74.00-79.00] 左上角的消費性安息是我們最原始的產品線
[79.00-83.00] 這個產品線是幾乎就是在
[84.00-86.00] 玩具這個領域
[86.00-88.00] 那玩具的領域呢
[88.00-93.00] 大概就是因為大部分國家少子化的關係
[93.00-97.00] 所以這個市場要期待它很大的成長也不太容易
[97.00-103.00] 但是呢就是從一些產品的更新
[103.00-109.00] 我們也可以得到一些市場的擴展
[109.00-112.00] 還有一些我們營收的增加
[112.00-113.00] 那這個領域呢我們也有一個很大的成長的領域
[113.00-115.00] 這個消費性安息呢
[115.00-122.00] 我們去年開始我們很努力的把我們產品做一個大幅度更新
[122.00-124.00] 那這個新的產品呢
[124.00-133.00] 我們會把我們的很靈活的一個Fresh的MCU當成一個核心
[133.00-142.00] 然後跟就是說看它需要多大的一個雲容量來做很靈活的一個搭配
[142.00-150.00] 如果說你雲容量要到20秒或到60秒或到180秒等等
[150.00-153.00] 那我們會搭配不同size的一個Memory
[153.00-155.00] 那個Memory就是用Fresh
[155.00-160.00] 就是這樣子對我們下游產業非常方便很好使用
[160.00-168.00] 那預期我們今年這全系列改成這個形態的一個語音IC或是音樂IC
[168.00-170.00] 相信客戶會相當高興的
[170.00-171.00] 會相當高興的
[171.00-172.00] 會相當高興的
[172.00-174.00] 方便的使用
[174.00-177.00] 那應該我們也可以爭取到更多的案子
[177.00-183.00] 尤其在歐美日的一些客戶那邊
[183.00-187.00] 所以對消費性安息這部分呢
[187.00-194.00] 我們今年是看起來是可以脫離過去兩三年
[194.00-197.00] 或是疫情期間
[197.00-201.00] 我們的業績比較沒有什麼表現的狀況
[201.00-206.00] 那右上角這邊是我們的MCU
[206.00-210.00] 那MCU我們中間就是8位元跟32位元
[210.00-212.00] 這個兩大系列
[212.00-215.00] 那一直以來我們的應用幾乎都在8位元的IC
[215.00-217.00] 那8位元的IC裡面呢
[217.00-220.00] 大致上我們把它區分三大類
[220.00-222.00] 一個是一般的泛用型的
[222.00-225.00] 那主力就是在家電小家電
[225.00-229.00] 另外一類就是這個我們講的
[229.00-235.00] 我們叫醫療保健
[235.00-236.00] 個人醫療保健
[236.00-238.00] 那個人醫療保健這一塊
[238.00-242.00] 就是主力在血壓劑血糖劑
[242.00-245.00] 還有耳溫槍耳溫槍等等的
[245.00-249.00] 還有這個血氧機這一類
[249.00-254.00] 那這個呢就從疫情之後到現在
[254.00-257.00] 我們覺得它是算是一個蠻穩定的一個產品線
[257.00-258.00] 它
[259.00-262.00] 年年都有個穩定的成長
[262.00-264.00] 所以這個醫療保健產品呢
[264.00-266.00] 算是一個立即型產品線
[266.00-270.00] 但是它對我們公司的營收來講也是一個很穩定
[270.00-273.00] 很期待成長的一個產品線
[273.00-277.00] 然後再來第三個就是我們這個電腦周邊
[277.00-280.00] 電腦周邊電競應用這一塊
[280.00-287.00] 除了早期的這個很低階的一個Keyboard Mouse的控制IC以外
[287.00-289.00] 那這幾年來
[289.00-291.00] 我們主力都是在經營電競
[291.00-294.00] 電競相關的這個應用
[294.00-297.00] 電競的Keyboard Mouse這一類的
[297.00-301.00] 那這一類呢就從我們過去去年前年
[301.00-304.00] 一路甚至展望到今年
[304.00-306.00] 我們都覺得它也是一樣
[306.00-309.00] 就跟我們的個人醫療保健產品這一塊一樣
[309.00-313.00] 是可以期待它一個比較穩定的一個市場的成長
[313.00-317.00] 所以就是大概我們八位員
[317.00-318.00] 三四位
[318.00-319.00] 三四位
[319.00-321.00] 三四位的部分呢
[321.00-326.00] 我們今年主力是在這個馬達的應用
[326.00-329.00] 風扇散熱馬達的應用這一塊
[329.00-333.00] 然後另外一個是三四位的M4
[333.00-336.00] 那M4我們核心晶片已經好了
[336.00-340.00] 但是現在就是找應用的市場去切入
[340.00-346.00] 那第一個會切入的應該就是在我們的車用的車載部分
[346.00-348.00] 這個晶片還在開發當中
[348.00-350.00] 那如果開發完成了
[350.00-354.00] 我們就是可以切到比如說車子上面
[354.00-357.00] 儀表板上面的一些應用
[357.00-362.00] 那當然如果這個三四位員M4還沒完成
[362.00-364.00] 我們現在的三四位員也好
[364.00-369.00] 或是八位員其實都已經有晶片已經通過車規了
[369.00-373.00] 那通過車規呢我們也正在推
[373.00-376.00] 推到車用的比較簡單一點的
[376.00-377.00] 比如說是雨刷啦
[378.00-384.00] 或是說那個電動門啦等等的這些的控制
[384.00-391.00] 那就是這個是我們說在MCU的產品線
[391.00-395.00] 在想要擺脫我們這個低階的小家電這一塊
[395.00-401.00] 那必須要找到一些新的比較有成長的一些市場
[401.00-403.00] 那就是我們往這個方向去走
[403.00-405.00] OK
[405.00-407.00] 那下面這個多媒體的IC
[408.00-411.00] 我們公司看起來應用是這麼多
[411.00-414.00] 但是這幾年呢我們主力還是在NB
[414.00-416.00] 就是筆電
[416.00-419.00] 筆電的攝影機的控制IC
[419.00-422.00] 我們一般叫ISP這一塊
[422.00-424.00] 然後呢非筆電
[424.00-427.00] 非筆電的話就是應用就有好幾類
[427.00-429.00] 像安防門禁啊
[429.00-432.00] 或是說什麼在大陸市場
[432.00-437.00] 一些像什麼高拍比啊等等那一類的
[438.00-442.00] 這個都算是一個穩定的需求的市場
[442.00-444.00] 那NB呢
[444.00-446.00] NB這一塊
[446.00-452.00] 我們去年是這個幾年來啦
[452.00-461.00] 首度是比前年或是前幾年是衰退的一個局面
[461.00-463.00] 那NB的衰退呢
[463.00-467.00] 也導致我們去年在多媒體IC整個產品線是衰退的
[468.00-472.00] 那幸好就是我們的MCU已經脫離這個
[472.00-474.00] 那時候在輕貨損的局面
[474.00-477.00] 還有消費性那一期去年也表現不錯
[477.00-479.00] 所以整體來講
[479.00-481.00] 這個上面這兩個產品線
[481.00-484.00] 有把下面的這個衰退有
[484.00-486.00] 有彌補一些回來
[486.00-489.00] 整體公司去年
[489.00-491.00] 等一下可以看我們的財務數據可以知道
[491.00-495.00] 去年我們的營收還是有一個小幅的成長
[495.00-497.00] 那除了這個筆電
[497.00-499.00] 這個應用以外
[499.00-501.00] 另外一個比較大的應用就是OID的晶片
[501.00-503.00] 那OID的晶片
[503.00-505.00] 一直以來都是在兒童
[505.00-508.00] 學年期間兒童的一個教育學期
[508.00-511.00] 或是一些兒童護士書
[511.00-513.00] 這組的應用
[513.00-517.00] 那這一類呢也算是一個比較穩定成熟的市場
[517.00-521.00] 那比較新的
[521.00-524.00] 我們可以期待就是在一樣
[524.00-526.00] 在中國大陸市場
[526.00-532.00] 有一些方案商正在幫我們的晶片
[532.00-534.00] 我們最新的晶片是可以手寫的
[534.00-536.00] 就是以前點讀嘛
[536.00-544.00] 就是一本有鋪好我們松漢OID碼的童書
[544.00-546.00] 你知道點到哪個地方就會發聲音
[546.00-550.00] 那現在我們最新一代的晶片是可以手寫
[550.00-555.00] 那手寫的這個它
[556.00-558.00] 一樣是可以判讀到
[558.00-562.00] 那個童影長馬就可以判讀到你寫的軌跡
[562.00-564.00] 它可以做出適當的反應
[564.00-567.00] 或是把你的這個寫的這個數據資訊
[567.00-570.00] 傳到遠端透過Wi-Fi傳出去
[570.00-573.00] 那這個呢也在中國大陸那邊
[573.00-575.00] 現在有一些方案商
[575.00-580.00] 方案商就是應該算是教材設備的供應商
[580.00-582.00] 非常積極在推
[582.00-585.00] 推到各省的那個
[586.00-587.00] 在系統裡面
[587.00-589.00] 大概就是在小學生的
[589.00-592.00] 小學生需要學習寫字嘛
[592.00-594.00] 那
[594.00-598.00] 那今年比較可以期待就是OID這一塊
[598.00-601.00] 在手寫的部分是不是可以有開始
[601.00-604.00] 市場有一些發酵
[604.00-608.00] 那另外一個就是
[608.00-614.00] 就是我們的無線影音的傳輸
[614.00-616.00] 那無線影音傳輸呢是
[616.00-618.00] 大致上就兩類
[618.00-621.00] 一個就是我們倒車監控攝影機
[621.00-624.00] 那倒車監控攝影機我們做了很多年
[624.00-627.00] 市場也是一個算是很立機型
[627.00-632.00] 就是幾乎都是集中在大型的貨車卡車
[632.00-634.00] 在北美的市場為主
[634.00-637.00] 那這個倒車監控攝影機呢
[637.00-639.00] 我們今年有個更新就是
[639.00-643.00] 我們把這個晶片組的提升
[643.00-646.00] 提升到就是說我們整合了
[646.00-648.00] 整合這個RF
[648.00-649.00] 整合了RF
[649.00-651.00] 那這個的好處就是
[651.00-654.00] 整體的模組的成本可以下降
[654.00-659.00] 然後再來就是對產品的穩定度也比較好控制
[659.00-661.00] 這個我們新的一個
[661.00-663.00] 最新的推出的
[663.00-667.00] 這個倒車監控攝影機的一個方案是這樣子
[667.00-670.00] 然後另外一個就是嬰兒監視器
[670.00-673.00] 那Baby Moment這一塊呢
[673.00-676.00] 也是一個算是穩定的市場
[676.00-681.00] 客戶也是就是那幾家
[681.00-684.00] 然後市場當然也很多國家
[684.00-686.00] 尤其是比較發達國家
[686.00-687.00] 這個都面臨的問題
[687.00-688.00] 這個少子化
[688.00-693.00] 所以我們也這一塊也是也不太容易期待它有大的成長
[693.00-695.00] 但是算是個穩定
[695.00-699.00] 然後就是毛利率也是非常好
[699.00-702.00] 幾乎就是我們公司最高的毛利率
[702.00-704.00] 就是在這一塊
[704.00-706.00] 這個以上就是對我們
[706.00-709.00] 公司三大產品性的一個說明
[709.00-713.00] 那這裡呢
