[0.00-3.24] 現在我們5月16號下午2點1分
[3.24-4.68] 我們現在開始
[4.68-8.92] 2025年第一次的建國工程的法人說明會
[8.92-11.48] 我們前面有一個免責聲明
[11.48-13.60] 然後這邊請大家參考一下
[13.60-16.72] 我們今天現場參加的總共有三位
[16.72-19.04] 一個是我是發言人孔思佳
[19.04-21.52] 另外一位是我們的業務處副總經理
[21.52-22.88] 劉希群劉副總
[22.88-26.16] 另外還有是我們季開的副總詹君志
[26.16-28.56] 詹博士
[28.56-31.36] 那我們從現在這邊開始看
[31.36-33.12] 今天的簡報大綱就是
[33.12-36.44] 從公司簡介財務資訊到經營績效
[36.44-39.12] 企業社會責任跟公司治理
[39.12-41.08] 然後以下分這幾個部分
[41.08-42.88] 跟各位先進們說明
[42.88-45.68] 那第一個部分就是在我們公司簡介
[45.68-47.24] 然後這個是我們一直以來
[47.24-49.00] 都是這樣子的一個內容
[49.00-51.00] 然後不一樣的就是我們其實
[51.00-53.96] 在去年底2024年11月呢
[53.96-56.36] 我們那個現金減資完成的
[56.36-58.52] 這個工商登記的變更程序
[58.52-60.92] 所以我們的目前的實生資本額
[60.92-62.68] 是20.16億
[62.68-65.80] 然後去年其實我們的所得的獎項呢
[65.80-70.12] 就是有113年的公安獎特優
[70.12-73.72] 那我們目前的這個董事長是吳昌修先生
[73.72-75.88] 總經理是甘茂聖先生
[75.88-77.52] 發言人是我孔思佳
[77.52-80.28] 另外代理發言人是我們王靖才經理
[80.28-83.08] 那我們今年2025年1到4月呢
[83.08-85.36] 承攬的新案的承攬總額
[85.36-88.36] 是新台幣24億元
[88.52-91.44] 然後這邊可以看一下我們的歷年營收
[91.44-94.64] 前面的五個巴士年度的數字
[94.64-97.44] 大家可以看到我們其實從2020年
[97.44-100.92] 因為我們整個從這個大陸的這個市場撤出之後
[100.92-103.92] 其實我們營收的陸續的一個
[103.92-106.12] 一個在做一些調整
[106.12-107.72] 然後到2024年呢
[107.72-110.80] 我們這整個的營造工程的營收呢
[110.80-112.72] 到了61.21億
[112.72-114.80] 今年第一季的營收
[114.80-117.88] 2025年Q1是14.5億
[118.52-121.52] 在損益的部分
[121.52-124.08] 去年2024年呢
[124.08-126.08] 營收是61.2億
[126.08-128.08] 毛利率12.8%
[128.08-131.08] 營業淨利3.83億
[131.08-133.08] 營業淨利率6.3%
[133.08-135.08] 然後營業外的收支
[135.08-137.08] 淨收支是4.2億
[137.08-140.08] 去年的這個淨利率是11.1%
[140.08-143.08] 那我們去年的EPS是2.9
[143.08-144.08] 2.91
[144.08-148.08] 那我們預計發放現金補利是2.15
[148.52-151.08] 這個部分也要等6月13號
[151.08-153.08] 我們股東常會通過後
[153.08-156.08] 就是會進行一個發放的程序
[156.08-159.08] 那大家看在看Q1的部分
[159.08-163.08] 在第一季我們的營收是14.5億
[163.08-165.08] 毛利2.2億
[165.08-167.08] 毛利率15.3%
[167.08-170.08] 營業淨利1.3億
[170.08-172.08] 淨利率8.9%
[172.08-176.08] 那業外就是brain even的一個狀況
[176.08-178.08] 稅前1.29億
[178.52-181.52] 我們現在的9300萬
[181.52-183.52] 淨利率是6.4%
[183.52-186.52] EPS是4毛6
[186.52-193.52] 請問你們現在有看到畫面嗎
[193.52-195.52] 因為我們這邊有點中斷了
[195.52-207.52] 我們調整一下你們稍等
[208.52-211.52] 我們處理一下
[211.52-213.52] 因為我們有四平台
[213.52-214.52] 我現在看的我們也看得出來
[214.52-215.52] 我們Pixello很靚
[215.52-216.52] 有可能沒有三平台
[216.52-217.52] 但我們沒有覺得
[217.52-218.52] Ford Tesla
[218.52-228.52] 也不必被供一半的
[228.52-230.52] 加強了已經說
[230.52-232.52] 我們 zweiぎ微軟
[232.52-233.52] 買司機的時候
[233.52-234.52] 如果你沒有全部這三個
[234.52-235.48] 一定有一些
[236.52-238.52] 那就不要去買舏輪 Jimoye
[268.52-269.52] 看到聲音嗎
[269.52-270.52] 還有看到畫面嗎
[285.52-287.52] 那我們繼續進行囉
[294.52-296.52] 那我們就是剛剛報告完
[296.52-298.52] 先進的這個營運成果
[299.52-301.52] 那如果先進有問題
[301.52-302.52] 我們最後再進行
[302.52-304.52] 統一的一個回覆
[306.52-308.52] 然後在我們的整個的
[308.52-309.52] 公案的執行情形呢
[309.52-311.52] 可以看到我們目前的
[311.52-312.52] 在建案總共有
[312.52-313.52] 等一下我看一下
[317.52-318.52] 還是斷斷續續
[319.52-320.52] 會很斷斷續續嗎
[320.52-321.52] 因為我們這邊其實
[322.52-323.52] 其實還其他的
[323.52-325.52] 除了這一位馨玉以外
[325.52-326.52] 其他的
[326.52-328.52] 線上的先進
[328.52-330.52] 也是訊息會這樣斷斷續續嗎
[330.52-332.52] 沒有斷斷續續
[337.52-338.52] 我們這邊處理一下
[342.52-343.52] 文系長
[343.52-344.52] 叫你們來
[344.52-346.52] ID 硬體資的
