[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-59.98] 与点点栏目的专家与专家与专家与专家与专家
[60.00-89.98] 专家与专家与专家
[90.00-119.98] 专家与专家与专家
[120.00-149.98] 专家与专家与专家
[150.00-179.98] 专家与专家与专家
[180.00-209.98] 专家与专家与专家与专家
[210.00-211.00] 专家与专家与专家专家
[211.00-213.28] 专家与专家与专家
[213.28-216.40] 专家与专家与专家
[216.40-220.16] 专家与专家专家
[220.16-227.14] 专家与专家专家
[227.14-232.94] 专家与专家专家
[232.94-235.80] 专家与专家专家
[235.80-238.16] 专家与专家专家
[238.16-239.14] 专家专家专家
[239.14-239.84] 专家专家专家专家
[239.84-239.96] 专家专家专家专家
[239.96-239.98] 专家专家专家
[239.98-242.98] 投资三井的部分在林口的outlet
[242.98-244.18] 我们持有30%
[244.74-247.04] 那这个部分我们是希望是说透过
[247.34-248.44] 这样子的投资
[248.44-250.28] 那每年可以贡献元雄建设
[250.28-252.94] 比较稳定的一个固定性的收益
[253.12-253.92] 那
[254.44-255.78] 效果的部分我们在
[255.98-258.14] 看整个三星三井的这个部分
[258.22-258.82] 他每年
[258.88-261.28] 给我们的一个RE的投报率大概6-8%
[261.28-263.22] 是算是很稳定的
[263.28-265.82] 那我们接下来也是对巨蛋的这部分
[265.82-267.74] 我们是希望是也是一样有一个
[267.88-269.62] 同样的一个投资的一个效益
[269.62-271.58] 可以逐渐来去做一个发挥
[273.02-275.22] 那我们可能再看一下我们
[275.22-278.28] 今年度到第一季的一个合并报表
[278.56-280.78] 那因为今年第一季的部分我们
[281.38-283.78] 整个始造的个案大概都落在
[283.86-285.86] 5月份以后才拿到
[285.86-287.78] 除了一个H79都更案的部分
[287.78-289.66] 在木栅是去年年底拿到
[289.96-293.36] 但因为整个公部门疏突离阵的程序
[293.46-294.26] 那大概要
[294.32-296.66] 最快大概要7月才能办法交屋
[296.88-297.96] 所以也因为这样子
[297.96-299.02] 我们上半年的
[299.02-299.42] 始造
[299.42-302.98] 这个案取得了大概从5月份
[303.08-304.38] 4月份开始
[304.38-305.66] 大概整个交屋的时程
[305.66-307.98] 大概都要落到7月之后
[308.16-310.12] 所以会造成我们上半年
[310.18-311.66] 目前看起来的营收
[311.76-314.18] 跟整个损益的状况是比较不理想的
[314.62-315.56] 的一个状况
[315.56-318.62] 那这部分预计到大概到第三季之后
[318.62-321.82] 整个状况的部分就会做一个调整
[321.82-324.22] 那这个部分也跟各位股东
[324.22-326.68] 跟各位投资先进做一个报告
[326.72-328.32] 那我们也是希望是说
[328.58-329.32] 未来
[329.42-332.18] 透过这样子的
[332.18-336.18] 有一些营收部分的一个分配的调节的部分
[336.18-338.48] 我们是希望每年可以维持
[339.38-341.46] 稳定的股利的分配的一个计划
[341.46-344.08] 那我们目前的定调是大概会维持
[344.46-346.58] 大概两年两次的一个
[347.12-348.26] 股利的分配
[348.26-350.42] 那股利分配率我们大概定调
[350.42-353.16] 大概都会维持大概在70%以上
[353.16-355.26] 那我们是希望说这样子的
[355.62-358.96] 股利分配的部分是可以把我们的经营成果
[358.96-359.80] 完全的跟
[360.16-362.12] 我们的股东去做分享
[363.42-366.20] 那我们整个资产负债表的部分
[366.20-368.56] 我们大概比较多的营建业大概
[368.80-372.42] 主要还是维持在开发的营建用地跟在建工程
[372.42-374.30] 这是占比较高的一个比例
