[0.00-1.00] 午安
[1.00-4.80] 核庫金控2025年第一季線上法人說明會
[4.80-7.80] 由本公司蘇卓正總經理主持
[7.80-10.00] 站場集團的主管包括有
[10.00-12.60] 金控發言人陳佑晚副總經理
[12.60-14.90] 資安長陳嘉梅副總經理
[14.90-17.30] 證券子公司歐國良總經理
[17.30-20.20] 仁壽子公司藍蓮申總經理
[20.20-22.20] 核庫金控首席經濟學家
[22.20-24.80] 暨核庫頭顧徐千霆董事長
[24.80-27.50] 以及相關業務部門主管與會
[27.60-30.30] 本次會議將於一分鐘後開始
[30.30-32.30] 法說會正式開始
[32.30-36.10] 感謝各位投資法人媒體朋友們
[36.10-41.50] 參加核庫金控114年度第一季法人說明會
[41.50-44.60] 各位的參與鼓勵我們更加用心經營
[44.60-48.40] 用最好的經營跡象回報股東
[48.40-50.30] 今天在場的集團主管
[50.30-53.60] 包括金控發言人陳佑晚副總
[53.60-55.40] 陳嘉梅副總
[55.50-58.50] 以及我們核庫頭顧徐千霆董事長
[58.50-60.90] 以及相關業務部門主管
[60.90-65.30] 希望能為各位的提問做充分的說明
[65.30-68.60] 本公司114年度第一季的狀況
[68.60-73.80] 今年美國起動新一波關稅政策
[73.80-76.50] 造成國際貿易壁壘加劇
[76.50-81.00] 使全球經濟成長不確定性風險增加
[81.00-83.30] 儘管全球經濟在過去幾年
[83.30-85.30] 遭受嚴重衝擊後
[85.30-87.50] 展現驚人的韌性
[87.50-91.20] 但現今再次面臨重大考驗
[91.20-95.50] 對於新興市場與開發中國家影響甚具
[95.50-98.80] 目前各國已陸續與美國就關稅政策
[98.80-101.60] 及經貿關係展開協商
[101.60-107.20] 為全球經濟前景增添發展變數與觀察焦點
[107.20-111.20] 本公司114年第一季營縮績效
[111.20-113.90] 合併稅後競逸為新台幣
[114.00-116.50] 49.91億元
[116.50-121.40] 較113年同期減少7.28%
[121.40-125.20] 總資產為5兆1691億元
[125.20-130.00] 較113年同期成長5.09%
[130.00-132.40] 每股淫魚0.32元
[132.40-136.00] ROE及ROA分別為7.61%
[136.00-138.80] 及0.39%
[138.80-143.80] 在核心銀行子公司114年度第一季營運狀況
[144.70-146.70] 集團獲利貢獻方面
[146.70-150.20] 主要獲利來自子公司的核潰銀行
[150.20-153.20] 稅後競逸為49.52億元
[153.20-157.70] 全行總放款餘額及總存款餘額分別較
[157.70-160.70] 113年同期成長7.60%
[160.70-162.70] 及2.6%
[162.70-164.70] 成長動能穩健
[164.70-167.70] 因持續優化資產淨值
[167.70-169.70] 預放比例0.1GP
[170.60-173.60] 及背底帶上覆蓋率663.6%
[173.60-175.60] 均優於去年同期
[175.60-182.60] 資本市主力及第一類資本比例達15.62%及13.55%
[182.60-189.60] 符合金管會訂定D-Ships 114年底內部管理目標要求
[191.60-193.60] 在業務拓展部分
[193.60-198.60] 子公司和潰銀行在支持中小企業融資績效著注
[199.50-201.50] 辦理中小企業放款
[201.50-206.50] 節資114年3月底資上款UIV 8400億元
[206.50-210.50] 並容貨中小企業信用保證融資
[210.50-212.50] GU金融機構頒發資
[212.50-214.50] 低碳智慧獎
[214.50-216.50] 易後振興獎
