[0.00-2.60] 法人及媒體朋友午安
[2.60-5.24] 合庫金控2025年第二季
[5.24-6.80] 線上法人說明會
[6.80-9.84] 由本公司蘇佐鎮總經理主持
[9.84-11.32] 在場的集團主管
[11.32-14.44] 包括金控發言人陳佑晚副總經理
[14.44-17.08] 代理發言人房林翠副總經理
[17.08-19.44] 資安長陳嘉梅副總經理
[19.44-22.08] 鄭卷子公司翁國良總經理
[22.08-24.76] 仁壽子公司南妍申總經理
[24.76-26.84] 合庫金控總經濟學家
[26.84-29.20] 及合庫頭顧徐千琴董事長
[29.24-31.64] 以及相關業務部門主管與會
[31.64-34.20] 本次會議交於一分鐘後開始
[35.20-39.12] 感謝各位法人媒體朋友們
[39.12-42.44] 參加合庫金控114年
[43.76-46.28] 第二季法人說明會
[47.08-49.08] 今天在場的集團主管
[49.08-50.84] 包括金控發言人
[50.84-54.20] 李承佑晚副總房林翠副總
[54.80-55.84] 陳嘉梅副總
[55.84-58.44] 以及相關業務部門主管
[59.00-60.92] 希望能為各位的提問
[60.92-62.60] 所充分的說明
[63.32-65.88] 那麼德國司110年度
[65.88-67.68] 上半年的營業狀況
[68.64-69.92] 包括目前
[69.92-73.48] 近期美國與他國間
[73.48-75.80] 是關稅協議逐步開朗
[75.80-78.72] 銀朗主要經濟體質思
[78.72-80.52] 財政寬鬆正設
[81.28-83.00] 國際貨幣基金組織
[83.00-85.04] 在企業最新的發布
[85.04-87.56] 世界經濟早旺報告中
[87.56-90.60] 將114年及115年
[90.60-91.92] 全球經濟生產率
[91.92-95.04] 分別上調至3.0%
[95.04-96.76] 及3.1%
[96.76-99.60] 顯示全球經濟於不確定
[99.60-103.12] 氣象仍持續展現韌性
[103.80-105.96] 令臺灣經濟研究院考量
[105.96-109.00] 上半年外需與民間投資
[109.00-112.84] 表現優於預期為民間消費動能
[114.76-116.24] 相對疲弱
[116.80-120.76] 於7月25日上修114年
[120.76-124.08] 臺灣經濟成長率至3.02%
[124.64-126.92] 那麼本公司114年
[126.92-130.00] 上半年合併稅後淨利為新臺幣
[130.00-131.96] 100.14億元
[131.96-136.60] 較113年同期減少3.63%
[136.60-140.56] 總資產為5兆2731億元
[140.56-145.20] 較113年同期成長7.32%
[145.24-147.84] 每股平於0.6元
[147.84-153.92] ROE及ROA分別為7.73%及0.38%
[155.40-156.72] 接下來我們報告
[156.72-160.36] 核心銀行子公司114年度
[160.36-163.00] 上半年的營運狀況
[163.00-165.08] 集團獲利貢獻方面
[165.08-166.04] 獲利主體
[166.04-168.72] 主體還是在核心子公司
[168.72-170.24] 和庫銀行
[170.24-172.92] 稅後淨利較113年
[172.96-175.28] 同期成長4.53%
[176.12-180.04] 全行總放款餘額及總存款餘額分別較
[180.04-181.56] 113年
[181.56-185.20] 同期成長4.54%及4.32%
[185.20-187.48] 動能穩健成長
[187.48-188.20] 另一方面
[188.20-190.76] 持續優化資產品質
[190.76-194.04] 與113年同期相比
[194.04-196.44] 預放金額及預放比例
[196.44-197.72] 分別下降
[197.72-200.88] 4.4%及0.01%
[200.88-202.24] 那麼
[202.28-204.08] 對比呆帳覆蓋率
[204.08-207.60] 提升96.53%
[207.60-210.00] 資產資本市足率
[210.00-211.84] 及第一類資本比例
[211.84-214.40] 均符合金管會訂定D-SIP
[214.40-218.56] 114年底內部管理標準要求
[220.88-223.00] 在業務推展方面
[223.00-224.20] 子公司和庫銀行
[224.20-226.52] 積極配合政府政策
[226.52-230.68] 或金管會評選為113年度
[230.72-232.40] 績效優良資銀行
[232.40-233.84] 更榮獲
[233.84-238.20] 辦理六大核心戰略產業放款優等銀行等
[238.20-240.00] 四大獎項
[240.00-243.96] 經為響應政府打造亞洲資產管理中心
[243.96-245.20] 子公司和庫銀行
[245.20-249.04] 已於7月進駐高雄資產管理專區
[249.04-251.68] 同時依積極布局全球
[251.68-254.12] 東京芬蘭已於7月31日
[254.12-256.44] 獲日本核准設立
[256.48-260.72] 預計於114年第四季正式營運
[260.72-265.04] 為核庫深耕東北亞的重要關鍵樞紐
[265.04-270.44] 並協助企業在當地建立穩健的金融基礎
[270.44-273.96] 子公司對永續議題相當重視
[273.96-277.48] 將其列為營運政策之首要項目
[277.48-280.68] 落實ESG制日常營運
[280.68-284.28] 除入選美國《Time》雜誌2025年
[284.32-288.08] 全球最永續企業前五大企業外
[288.08-290.24] 氣候相關財務揭露
[290.24-295.48] TCFD已連續三年容破第三方查證單位
[295.48-300.84] 英國標準協會BSI最高等級認證
[300.84-303.92] 子公司和庫銀行自108年起
