[0.00-2.86] 光電股份有限公司法人說明會
[2.86-4.62] 說明會開始
[4.62-8.24] 今天非常高興各位貴賓親臨
[8.24-11.68] 瑞宜光電股份有限公司法人說明會
[11.68-15.60] 首先為大家介紹本公司經營團隊
[15.60-19.42] 第一位我們有請財快管理本部協理
[19.42-21.16] 黃良女士
[21.16-28.06] 接著有請董事長王玉超先生
[30.00-34.50] 現在開始今天的議程
[34.50-39.06] 首先為各位說明今天的議程規劃
[39.06-42.30] 今天的法說會分為三個部分
[42.30-45.84] 第一部分會請黃良財務長
[45.84-48.44] 為各位說明2024年
[48.44-51.20] 以及今年第一季的營運成果
[51.20-54.60] 第二部分則是由王玉超董事長
[54.60-59.32] 向各位陳述本集團未來的佈局和業務展望
[59.32-62.82] 最後我們會接受現場提問
[62.82-66.50] 並由台上的兩位主管為各位答覆
[66.50-70.02] 屆時還請不吝提出問題指教
[70.02-74.38] 首先我們邀請王玉超董事長致辭
[74.38-83.08] 非常感謝各位來到瑞宜光電的法說會
[83.08-85.02] 我想在這個動盪的時機
[85.02-87.58] 最好的事情就是坐下來交流跟溝通
[87.58-89.24] 所以感謝各位花時間
[89.24-89.30] 謝謝
[89.32-90.18] 為什麼要 mim!?
[90.18-91.84] 親愛的中國人
[91.84-93.78] 今天有這個 подарia
[93.78-96.28] 這個是蒙川誰的k oc
[96.28-96.78] 我是憲景
[96.78-107.12] VII也就是Koc
[107.12-110.58] 這個是藍衞的日本王
[110.58-113.26] 好 công二
[113.26-114.86] 什麼事
[114.86-117.36] 因為從地區的versus
[117.36-119.24] 也就是用力
[119.24-122.24] at the end你還是要一個full system
[122.24-124.24] 然後每一個component你缺一不可
[124.24-128.24] 所以我覺得一定會對中體經濟造成很大的影響
[128.24-131.24] 那黑天鵝滿天飛
[131.24-133.24] 每天都要刷手機
[133.24-136.24] 不知道今天早上看的事情晚上會不會改變
[136.24-139.24] 那在這樣子這一個不確定性之下
[139.24-141.24] 所以我們的visibility非常低
[141.24-144.24] 所以你今天問我4月14號
[144.24-146.24] 瑞義光年2025的展望
[146.24-149.24] 我實在沒有什麼樂觀的理由
[149.24-154.24] 那我們只能做最壞的打算跟最好的準備
[154.24-158.24] 但今天也是一個關於超影光學的部分
[158.24-161.24] 好像各位先進非常關心的
[161.24-164.24] 那也會有一些好消息跟大家做一個報告
[164.24-165.24] 我們在今年1月9號
[165.24-168.24] 完成跟丹麥公司Niott的交割
[168.24-171.24] 我們在1月16號就收到了正式的量產訂單
[171.24-173.24] 我們2月就可以開始出貨了
[173.24-176.24] 那比預期我們預計的首批量產出貨
[176.24-178.24] 提早大概三個季度有
[178.24-180.24] 所以這是很興奮的
[180.24-182.24] 但其實我們並不意外
