[0.00-11.30] 各位同志先敬我
[11.30-16.54] 谢谢各位今天特别空空来参与我们同一国法所协办的
[16.54-22.88] 戴浩六一七七表明建设2025年上半年度的法稅会
[22.88-26.92] 我们今天会由首席会长我们的这样发言人
[26.92-29.80] 让我们说一下公司简介
[29.80-33.62] 接着由志明财务经理帮我们说一下公司的财务状况
[33.62-38.52] 接着会由李总经理帮我们说明一下个案以及规划的方向
[38.52-39.84] 然后最后QA
[39.84-41.62] 那我们就开始今天的会议
[41.62-43.70] 要不要一个人
[43.70-51.56] 首先非常感谢李正俊邀请我们公司来参与这次的法税会议
[51.56-56.42] 然后也谢谢各位同志先敬能够来这么踊跃的来参与这场合议
[56.42-56.90] 谢谢各位
[56.90-58.52] 那我先自我介绍
[58.52-60.16] 我是达力建设的发言人
[60.16-61.18] 我姓廖
[61.18-63.44] 那今天的法税会的内容
[63.44-66.46] 首先我会针对公司的一些现行的状况
[66.46-68.54] 跟各位做报告跟说明
[68.54-74.54] 接下来会有我们的那个财务经理跟各位报告一下我们去年度的一些经营经销
[74.54-78.82] 接下来会有我们的那个李总经理跟各位报告一下我们线上一些个案
[78.82-80.36] 跟我们的预估规案
[80.36-83.86] 还有公司未来的一些不必开发的一些策略
[83.86-86.40] 然后最后我们会进行的QA
[86.40-87.36] 给你们报告
[87.36-88.52] 但是这是我们今天的议程
[90.34-92.66] 首先还是要跟各位报告一下你的声明
[92.66-98.28] 就是我们今天报告内容是依据一些现在市民的一些资料所做的说明
[98.28-103.68] 那这个将来可能会因为政策或是一些经济层面的变更
[103.68-104.88] 会有一些
[104.88-109.12] 所以我们公司不保证说今天这个内容将来都会有实现
[109.12-111.78] 这个你的声明的部分都会做一个报告
[113.22-116.26] 那首先先做进行公司检计的部分
[116.26-119.78] 我们公司是那个102年
[119.78-120.82] 比较上
[120.82-123.76] 然后现在的话是在双北
[123.76-128.82] 然后跟台中台南高雄还有美国各社办公司
[128.82-132.90] 那我们公司一些推荐点会有一个推荐在全省跟一个推荐点
[132.90-134.76] 我各位做一个参考
[134.76-138.18] 那公司现在的能力是250人
[138.18-140.38] 那虽然公司是20年
[140.38-141.34] 但是我跟各位报告
[141.34-144.26] 因为我们董事长从20几岁就进入这个行业
[144.26-146.24] 他常常跟我讲说他在公司里面做这个工作
[146.26-148.18] 就是用力烧开水加的
[148.18-151.64] 所以我们公司的经营也受到他这样的经济的影响
[151.64-153.66] 公司是一个很踏实的公司
[153.66-156.40] 就是我们做事情都是
[156.40-157.38] 就是一步一步
[157.38-158.82] 因为我们
[158.82-161.08] 他的一些背景关系
[161.08-162.88] 这是我们公司的一个衔接
[164.46-167.82] 报告像我们公司现在的那个
[167.82-169.82] 港幣建设那是我们那个公司
[169.82-171.82] 那我们在美国有达利美国
[171.82-175.78] 那我们另外还有加百分之百投资的公司叫那个达聚建设
[176.26-179.44] 然后那个营造的部分我们有保释营造
[179.44-181.96] 然后商场的部分我们是达利美国的开发
[181.96-186.50] 所以我们现在整个公司下载了一些公司
[186.50-194.14] 那我们的公司的一些产品设计方面
[194.14-198.34] 我们对于外观跟那个格局
[198.34-200.14] 还有针对于他的光色的部分
[200.14-201.94] 其实我们光色比较有趣
[201.94-203.94] 就是说我们公司在外观设计上
[203.94-206.22] 我们都会找一些比较知名度
[206.26-209.08] 然后的设计师设计我们的外观
[209.08-210.62] 然后他都会比较吸引
[210.62-213.02] 因为我们的目标客群很清楚
[213.02-214.82] 就是手构的年轻人
