[0.00-3.84] 欢迎各位法人朋友参加盛群半导体
[4.10-7.42] 2025年第一季的法人说明会
[8.20-11.78] 那我们现在就开始进行法说 谢谢
[12.54-15.10] 各位法人朋友下午好
[15.36-18.18] 首先我这边先介绍
[18.44-20.22] 第一季盛群的财务状况
[22.02-27.40] 我们可以看到第一季盛群这边的盈额是7.6亿
[27.40-30.48] 整体毛利率的平均是38.3
[31.24-33.54] 税后净利是9000万
[36.36-42.50] 目前盛群的部分没有变动 那所以我们目前第一季的EPS是0.4
[42.76-43.28] 块钱
[46.08-52.24] 鼓励的部分因为113年我们是亏损的 所以在3月初董事会这边也决定
[52.48-55.04] 就不分派鼓励
[55.30-57.36] 那因为第一季是
[57.66-60.72] 有获利那目前的ROE是3%
[61.50-67.64] 那目前的一个每股净值是16.4 每股现金是13块 那随着整体
[67.90-70.72] 的一个营运跟获利慢慢的回温
[71.22-76.34] 那我们在于每股净值跟每股现金也持续在回升
[78.64-84.54] 那以季度的一个营运我们可以看到那整体在这一波下来
[85.04-87.36] 那营收在去年的
[87.66-90.22] 第一季大概是我们的谷底
[90.48-93.80] 那从去年第二季开始我们营收慢慢的拉升
[94.32-96.62] 那今年第一季7.6亿
[97.38-98.92] 那也在
[99.44-103.78] 持续有QOQ大概成长了10%
[104.04-110.18] 那产品毛利的部分基本上这最近一年大概整体毛利率大概维持在4成
[110.44-112.24] 接近4成左右
[112.74-113.52] 那
[113.76-117.36] 获利的部分从去年第一季开始小幅获利到
[117.92-118.68] 这一季
[118.94-120.22] 获利有所成长
[124.06-127.38] 那我们看一下第一季的一个损益状况
[127.64-133.52] 第一季在营业额的部分是7.6亿那YY是成长72%
[134.04-136.34] QOQ是成长10%
[136.60-138.14] 那产品毛利率的部分
[138.64-141.20] 从去年第一季36.5
[141.46-144.02] 那到了去年底37.6
[144.28-146.58] 那今年第一季是38.7
[146.84-151.70] 那主要反映我们一些库存的去化那过去旧库存成本比较高
[152.22-153.50] 那新进的一个
[153.74-156.82] 成本相对比较低那慢慢的反映在我们产品的
[157.08-157.84] 销售组
[158.62-164.24] 那不过因为随着包含我们的代理商的库存也去化的差不多了所以
[164.50-170.64] 过去以实现毛利这边会有一个就是中间会有一个未实现毛利的一个回转
[171.16-175.00] 有比较大的大幅度的回转那现在从去年第四季到
[175.50-176.54] 今年第一季可以看出
[176.84-178.38] 看到相对这一块就比较少
[178.62-179.40] 所以我们
[179.90-180.68] 在
