[0.00-5.00] 各位投資先進大家
[5.00-9.00] 我們歡迎大家精誠資訊股份有限公司法的說明會
[9.00-13.00] 今天代表初期的長官為智群財務長
[13.00-15.00] 以及陳元毅會計主管
[15.00-19.00] 今天將會由財務長跟大家簡報公司的有限狀況
[19.00-23.00] 以及未來展望跟進行Q&A的意見交流時間
[23.00-26.00] 我們現在就先將時間交給財務長
[26.00-29.94] 首先謝謝顧發夢邀請兩位帶來這個訪問
[30.00-36.00] 那也謝謝各位先進的參與
[36.00-41.00] 那我很快的將公司的集團簡介做一篇說明
[41.00-43.00] 接下來再做一些Q&A的部分
[51.00-54.00] OK 我們精誠資訊
[54.00-59.00] 台灣最大資股有限公司員工大概4700人
[59.00-60.00] 那就是
[60.00-65.00] 中國這邊大概在450位左右
[65.00-68.00] 那我們國有各部份在4萬家
[68.00-70.00] 去年已經收到380
[70.00-75.00] 這是我們成長的一個切藍圖
[75.00-79.00] 就是說基本上我們資股業其實非常成熟的產業
[79.00-81.00] 非常健正的產業
[81.00-85.00] 那如果要單靠自己內部有機成長
[85.00-88.00] 速度會比較慢
[88.00-89.00] 所以在
[89.00-91.00] 另外一支成長的策略
[91.00-94.00] 我們都活動在收購兼幣的部分
[94.00-98.00] 所以這張圖裡面
[98.00-100.00] 秀出來是我過去
[100.00-103.00] 從2001年做的
[103.00-109.00] 主要的一些收購兼幣或投資的一些動作
[109.00-111.00] 過去的歷史
[111.00-117.00] 那這個收購兼幣也帶來不錯成長的一個效應
[117.00-120.00] 那基本上這個策略我們是繼續用給此的
[120.00-123.00] 那未來投資的重點我還是在與
[123.00-124.00] 思安
[124.00-125.00] 一些
[125.00-131.00] 這個系統整合或一些VAD相關的核心的事業部分
[131.00-136.00] 那當然也會投資小部分一些新的技術
[136.00-137.00] 應用的部分
[137.00-140.00] 那主要在部分就比較少
[140.00-144.00] 那我投資策略最主要是希望至少能夠取得20%以上的股權
[144.00-147.00] 甚至過半股票被爆掉
[147.00-151.00] 讓我們的這個事業能夠有一個成長的
[151.00-153.00] 加速的一個動力
[153.00-158.00] 那這是我們服務團隊能量給各位參考
[158.00-160.00] 那這是我新的組織
[160.00-163.00] 今年幸福的6DI的Channel
[163.00-165.00] 這個西部我就不特別去講了
[165.00-168.00] 那只是讓各位大家參考一下
[168.00-172.00] 這是我們一個核心能力
[172.00-174.00] 5A6核
[174.00-176.00] 那當然6D
[176.00-178.00] 4C
[178.00-179.00] 滾移用於上一步
[179.00-182.00] 基本上是我們的一個核心能力
[182.00-186.00] 那我們很多跨界運用
[186.00-189.00] 這個我們提供了非常多我們的solution
[189.00-193.00] 那另外我們在國際體系一些合作的伙伴
[193.00-195.00] 我想國際大臺大概都有做
[195.00-197.00] 這也是給各位參考
[197.00-200.00] 那
[200.00-202.00] 這個客戶的部分呢
[202.00-204.00] 金融製造服務
[204.00-205.00] 這邊都有
[205.00-207.00] 這也是給各位參考一下
[207.00-208.00] 那我
[208.00-210.00] 從這一張來講
[210.00-211.00] 可能比較清楚一下
[211.00-213.00] 其實我們現在目前最大比重
[213.00-215.00] 當然是科技業
[215.00-217.00] 綠色部分大概超過30個
[217.00-218.00] 什麼第二大代金融
[218.00-221.00] 其實如果說以延著度來講
[221.00-222.00] 那什麼金融
[222.00-223.00] 就比較大
[223.00-227.00] 因為那裡面比較多一些相關專案或系統整合
[227.00-229.00] 那科技業比較大
[229.00-231.00] 最主要是因為我們VAD的生意
[231.00-233.00] 就是代理經銷生意
[233.00-235.00] 例如微軟或IBM HP這些生意來講
[235.00-237.00] 它量比較大
[237.00-238.00] 成交量比較大
[238.00-240.00] 所以佔的比重比較高
[240.00-244.00] 所以它比重占到30個%
[244.00-247.00] 那最主要當然我們的主力還是在金融業
[247.00-249.00] 那再來就是這個
[249.00-254.00] 這個政府的部分大概超過10個%
[254.00-258.00] 那因為我們金城
[258.00-260.00] 那個交受業態非常波動
[260.00-262.00] 那如果說一個個講
[262.00-265.00] 那真的是很難去講清楚
[265.00-269.00] 那所以我們跟投資人口大概把它分成三個部分
[269.00-271.00] 一個是SI
[271.00-273.00] SI就是系統整合
[273.00-276.00] 系統整合的部分大概占25%
[276.00-281.00] 那這個的毛利率大概在25%-26%
[281.00-285.00] 那VAD是最大塊的部分大概有10%
[285.00-289.00] 那在這邊比較偏向MaskWin在做一些加值
[289.00-292.00] 所以相對來講毛利率比較沒那麼高
[292.00-293.00] 大概是30%
[293.00-294.00] 大概是30%
[294.00-297.00] 那Inbox就是一些特殊行業
[297.00-300.00] 因為就是沒辦法歸類在SI或VAD
[300.00-301.00] 例如說我的報價
[301.00-302.00] 報價系統
[302.00-305.00] 或者說這個上單列印
[305.00-310.00] 或者一些電商或電子票券方面的服務
[310.00-312.00] 所以我們大概用這三塊
[312.00-315.00] 這邊的大概這些毛利率高低差距比較大
[315.00-317.00] 那平均起來大概在35%-36%
[317.00-319.00] 還是在左右
[319.00-321.00] 那所以我大概用這三個部分
[321.00-323.00] 跟各位去溝通
[323.00-325.00] 跟各位去交流
[325.00-330.00] 那VAD來講最近幾年大概是成長比較多的部分
