[0.00-4.52] 各位线上参与我们法说会的投资先进媒体朋友们
[4.52-5.42] 大家午安
[5.42-10.64] 非常欢迎您参与历程科技2025年第一季法人说明会
[10.64-12.90] 现在会议即将开始
[12.90-14.68] 在会议开始之前
[14.68-16.70] 首先提醒各位投资人
[16.70-19.38] 本次法说会所提供之简报内容
[19.38-22.50] 包括对于未来状况之预测及评估
[22.50-25.34] 这些关于未来状况之陈述
[25.34-28.76] 乃基于公司目前可得资料所做的预测
[28.76-31.12] 涉及风险及不确定性
[31.12-36.06] 并可能发生实际结果与预期状况有重大差异的情形
[36.06-39.00] 提醒各位不要过度依赖这些资讯
[39.00-41.28] 另外除非法律要求
[41.28-45.30] 本公司将不负责更新或公告这些预测的结果
[45.30-49.96] 首先为大家介绍今天参与的经营团队
[49.96-53.16] 历程科技董事长蔡笃公先生
[55.24-58.42] 历程科技执行长谢永达先生
[58.42-58.74] 历程科技执行长谢永达先生
[58.74-58.76] 历程科技执行长谢永达先生
[58.76-63.18] 历程科技总经理吕兆祥先生
[63.18-68.80] 历程科技财务长暨发言人沈俊宏先生
[68.80-68.82] 历程科技财务长暨发言人沈俊宏先生
[68.82-73.88] 接下来为大家介绍今天的会议流程
[73.88-75.20] 分为三个部分
[75.20-79.66] 我们将先由财务长就公司的财务状况做说明
[79.66-84.56] 接着由执行长就公司的业务状况及展望做简报
[84.56-88.74] 最后由蔡董事长带领上述经营团队成员
[88.74-91.34] 向大家进行Q&A时间
[91.34-95.74] 首先我们请财务长就财务状况做说明
[95.74-105.48] 各位先生同志先进大家好
[105.48-107.72] 我是PTI的财务长我是哈克
[107.72-111.98] 目前由我来跟各位报告PTI2025年的第一季的
[111.98-114.14] 营运成绩以及经营概况
[114.14-118.16] 首先各位可以看到第一季的合并营收里头
[118.16-118.72] 我们来到PTI的财务状况
[118.72-124.22] 营收到154.94亿比上一季度2024年第四季的190.7亿
[124.22-126.98] 大概微幅的减少大约16亿
[126.98-131.98] 这个减少16亿里头主要的名气只要是NEMFRECH的部分
[131.98-133.50] 大概减少了有11亿
[133.50-137.80] 其次是SSD的部分大概减少了7亿
[137.80-142.30] 这两个主要的产品方面的减少造成营收的下降
[142.30-146.06] 因此毛利率的变化来讲也从上一季的18.3
[146.06-147.92] 微幅减少到17.1
[148.72-150.26] 管销员的营业费用里头
[150.26-156.34] 从上一季的11.4亿减少到这个季度10.9亿
[156.34-159.08] 大概微幅的减少将近不到5000万
[159.08-162.42] 减少的部分主要是因为这一季的获利的营收
[162.42-164.88] 并没有达到体力的奖金的标准
[164.88-168.04] 所以这一季的管销员的费用里头有减少
[168.04-169.78] 比较减少了一部分
[169.78-172.22] 所以营业利益的部分来讲的话
[172.22-174.78] 比上个季度的19.94亿
[174.78-177.26] 微幅减少到15.47亿
[177.26-178.70] 那业外的部分
[178.72-181.50] 这个季度的业外2亿5600里头
[181.50-184.98] 主要是大约是8000万的汇兑利益
[184.98-187.38] 比上个季度的3.35亿里头
[187.38-189.14] 有将近4亿的汇兑利益
[189.14-190.46] 这边来的减少
[190.46-193.50] 因为这一季度的台币的贬值幅度
[193.50-195.40] 比上个季度来的平缓一点
[195.40-197.76] 因此汇兑利益没有上一季的多
[197.76-199.52] 所以整个部分来看
[199.52-201.76] 这一季的net income部分
[201.76-204.02] 从上个季度的19.27亿
[204.02-206.86] 减少到这个季度的15.78亿
[206.86-208.70] EPS的部分来到了1.5亿
