[0.00-10.18] 首先我们来看到我们从今年第一到四月的临终状态
[10.18-15.68] 我们可能都可以直接看到说我们的月份的身体表现是比较不影响的
[15.68-20.12] 我们对YOY的话其实跟去年是有较大的差异
[20.12-23.62] 但是大家可以看到说我们从二月三到四月开始
[23.62-25.20] 其实就有比较大回落
[25.20-29.68] 甚至是呈现一个YOY微幅小成长的状态
[29.68-34.68] 所以我觉得应该是说在今年第一季的一月
[34.68-37.64] 除了是因为季节性不允许之外
[37.64-41.84] 有可能是因为我们EC客户之间的货品不成
[41.84-45.90] 但是的确从二到四月看起来是有点异论
[45.90-52.42] 当然我们现在预期五月份的临收
[52.42-55.90] 应该和跟去年同期不会差太多
[55.90-58.70] 我们发表时期今天或明天就会公告
[58.70-59.66] 大家是多多期待
[59.66-61.02] 我们会先追报现
[61.02-67.64] 那我们快快的看一下我们季度收的状态
[67.64-71.32] 我们季度收第一季跟去年的同期第一季
[71.32-74.82] 大概首先到17.8%的货币衰退
[74.82-78.42] 这个刚刚有说过主要是因为预期的收购
[78.42-85.20] 再来看一下我们毛利的状态
[85.20-88.70] 各位可以看到我们从去年的EQ开始
[89.66-92.90] 现在比较累了满力的税位
[92.90-94.90] 然后有了满的额税上涨
[94.90-97.70] 看到第四季以及今年第一季
[97.70-100.50] 整个毛利率有有加起注意的成长
[100.50-103.36] 这个主要是因为我们的预收组成
[103.36-105.64] 我们的产业组合的预期调整
[105.64-107.66] 双方的多说明
[107.66-112.62] 就看到我们的预收的contribution
[112.62-117.28] 大家可以看到说我们的预收主要两个主要的组成部分
[117.28-119.50] 一个是行动电子的产业组成部分
[119.50-119.52] 一个是行动电子的产业组成部分
[119.52-122.72] 另外一个是周边以及消费性电子
[122.72-125.88] 那这个行动电子就是我们所谓的EC
[125.88-129.14] EC目前是增到大概33%左右
[129.14-133.24] 那我们的周边以及消费性电子就是从
[133.24-135.28] 上个SEO的成本线
[135.28-138.90] 现在已经大概增到62%左右
[138.90-143.60] 那这个其实一路当可以看从分别的一年这样子过来
[143.60-148.56] 就逐渐的调整整个产品收的组合
[148.56-149.50] 但是也是我们整个的
[149.52-151.64] 整体公司策略的方向
[151.64-154.44] 希望的成果
[154.44-157.64] 那当然这个部分我们的EC的毛利率是低
[157.64-159.02] 我们的平均毛利
[159.02-162.78] 我们的SEO的产品线毛利率是高的平均毛利
[162.78-165.98] 所以在这个地方我们也很高兴看到说
[165.98-168.76] EC的产品线比上台会更有成效
[168.76-171.84] 所以希望之后在整体公司的预收结构上
[171.84-173.72] 会是健康的转好
[173.72-179.36] 那我们这期也许顺便总经理帮我说
[179.36-181.48] 公司的内容状况
[181.48-187.52] 好的大家好我是迅杰总经理许书莉
[187.52-189.02] 那我还可以照顾一下
[189.02-192.16] 首先我会针对这个三个部分
[192.16-196.04] 大家看到了这个不同的面向来做个说明
[196.04-198.48] 那针对产品开发的部分
[198.48-201.52] 我们现在除了刚刚
[201.52-206.56] 詹发言所提到的EC和MCU的产品之外
[206.56-207.86] 那我们大概还有
[207.86-211.32] 一个产品线有些进度
[211.32-214.16] 那首先针对EC的部分的话
[214.16-216.32] 我想我们知道戴奥特的一个变化是
[216.32-219.02] 我们在EC的一些高阶机种
[219.02-221.94] 包括AIPC还有我们的电竞机种
[221.94-225.98] 那所搭载的这个比较高规格的EC
[225.98-227.74] 已经被这个客户给采用
[227.74-230.36] 那预计我们在今年的下半年
[230.36-234.66] 开始会有一些就是初级的一些出货
[234.66-236.74] 那另外一个比较重要的部分是
