[0.00-2.60] 各位法人及媒體朋友大家午安
[2.60-4.60] 非常歡迎您參加照風金控
[4.60-6.60] 2025年第二季法人說明會
[6.60-7.80] 在會議的前段呢
[7.80-9.20] 我們會將會報告
[9.20-11.40] 本公司第二季的財務及業務概況
[11.40-13.80] 簡報過後會進入問答時間
[13.80-15.50] 各位投資朋友可以在畫面的
[15.50-17.80] 右下角欄位來輸入您的問題
[17.80-20.70] 我們會整理後來統一進行回覆
[20.70-22.60] 本次法說會的中英文簡報
[22.60-24.60] 也可以在您現在的畫面的
[24.60-26.20] 右下方來進行下載
[26.20-27.90] 那今天的法說會呢
[27.90-29.20] 將由照風金控總經理
[29.20-30.80] 張傳張總經理來主持
[30.80-32.80] 現場除了金控的同仁之外
[32.80-35.00] 包括銀行的陳昭榮副總經理
[35.00-36.20] 陳建宗副總經理
[36.20-38.60] 以及銀行的主要幹部都在現場
[38.60-39.70] 那會議的一開始
[39.70-41.30] 我們就先請我們
[41.30-43.90] 張總經理先就2025年第二季的
[43.90-46.10] 營運概況來向大家做報告
[46.10-48.40] 有請總經理
[48.40-51.20] 各位法人及媒體現金朋友
[51.20-53.20] 大家午安 大家好
[53.20-55.10] 非常感謝各位特別波動
[55.10-58.80] 來參加本公司的現場法說會
[58.80-62.10] 我是照風金控總經理張傳張
[62.10-65.60] 今天我會來向各位簡短的報告
[65.60-69.00] 本季營運成果及未來展望
[69.00-72.10] 面對當前全球銀行貨幣政策分歧
[72.10-74.20] 及地緣政治風險
[74.20-76.60] 升溫等複雜局勢
[76.60-80.60] 照風金控憑藉此深厚的風險管理能力
[80.60-83.20] 以多元化業務布局
[83.20-85.10] 積極把握市場機益
[85.10-87.90] 持續鞏固領先優勢
[88.00-93.30] 今年上半年稅後盡利達181.91億元
[93.30-95.70] 截至7月底零七稅後
[95.70-99.30] 盡利已達224.4億元
[99.30-101.10] 業界排名第四
[101.10-105.00] 持續維持在公股金融機構中的
[105.00-107.00] 絕對領導地位
[107.00-112.30] 銀行子公司上半年稅後盡利達153.69億元
[112.30-116.50] 各項業務指標皆相當亮眼
[116.50-120.00] 換款業務穩健擴張連增5%
[120.00-122.40] 主要受惠於政府機關
[122.40-125.90] 公營事業以及大型企業集團
[125.90-128.90] 受信需求增加首支
[128.90-133.00] 存款業務同樣表現強勁連增3%
