[0.00-3.54] 大家午安,我是APP科技財務長林玉欣。
[4.48-7.94] 歡迎各位投資先進參與APP科技法人說明會。
[8.94-15.84] 在會議的初段,我們將進行本公司2020年第四季及全年度的財務狀況及業務報告。
[17.02-18.98] 簡報過後會進入問答階段。
[19.66-23.62] 現場參與的投資朋友可於畫面右下角欄位輸入您的問題。
[24.32-26.36] 我們將於整理後同一回覆。
[26.36-30.40] 免責聲明部分再請各位留意。
[32.86-37.02] 第三及第四頁是APP科技的簡要資料,提供各位參考。
[38.32-44.00] 本次法說會會先由我來說明2024年第四季及全年度財務數字重點。
[44.56-49.66] 洪志勳總經理將報告營運狀況以及未來展望,之後進行Q&A。
[50.42-55.44] 今日的與會團隊除了洪志勳總經理及我之外,還有陳文良董事長。
[55.74-56.34] 薛澤玉。
[56.70-62.86] 薛澤玉是澳洲貿易委員業務中心副總以及劉宗明產品中心副總也會在線上回覆提問。
[64.04-66.86] 首先由我這邊進行財務狀況報告。
[70.40-73.94] 首先說明2024年第四季的合併審議情形。
[74.42-78.90] APP第四季營收因季節性需求變化而較第三季率為下滑。
[79.52-84.86] 三季合併收金額為新台幣12.3億元,較第三季減少4%。
[84.86-89.98] YY在AI、BHM、Wafer銷售明顯增長之下增加5%。
[90.62-94.92] 毛利金額為6.5億元,QOQ減少2%。
[95.38-97.14] YY增加28%。
[98.22-100.32] 第四季毛利率為53%。
[100.76-105.34] QOQ、YY分別增加1個百分點及9個百分點。
[106.30-113.16] 毛利率的增加主要是IoT事業部產品組合的有力變化及AI事業部營收占比提高,
[113.32-114.52] 使第四季整體毛利率增加.
[114.52-121.74] 本季營業費用為3億元,較上季增加約2200萬元。
[121.74-124.12] QOQ增加8%。
[124.12-128.16] 相較去年同期則增加約7900萬元。
[128.16-130.58] YY增加35%。
[130.58-134.98] 其中研發費用計增2300萬元。
[134.98-137.12] QOQ增加11%。
[137.12-139.32] 年增4800萬元。
[139.32-141.80] YY增加27%。
[141.80-143.80] 研發費用的金額是隨著研發人力的增加,增加2.5%。
[143.80-144.32] 研發費用的金額是隨著研發人力的增加,增加2.5%。
[144.52-146.78] 應該的眼淚的部件及AI各� keyなもの的開展會有所上升。
[146.78-151.64] 应x信心的設施的設施 Ettx東西財或設計
[151.64-157.00] 所 twitter 以為3500元GQG金額減少9set
[157.00-159.74] Wellwell 靈兒真正的趨高
[159.74-162.16] 翻了看負面的看再來字影收集錄衣嘶
[162.18-165.20] 分9月 Leana的 goddamn
[165.22-170.00] 去OhQing abile上升而下降兩個百分點
[170.02-172.76] WiWi是應該立上升增加 exactly
[172.76-173.64] arbeitet
[173.64-173.80] 點
[173.80-175.98] 业外收支部分
[175.98-178.56] 第四季业外收入为3.7亿元
[178.56-180.78] 主要来自于利息收入1亿元
[180.78-184.46] 及兑换利益2.8亿元的净小数
[184.46-188.32] 其中本公司资金中9成为美元部位
[188.32-191.12] 主要来自于GDR募资的资金
[191.12-194.80] 尚未动用的部分主要成做定期存款
[194.80-198.34] 美元利率区间约在4到5%上下
[198.34-202.24] 每季可有9000万至1亿元左右的利息收入
[202.24-204.52] 平衡可能的汇率波动
[204.52-207.16] 兑换利益来自于第四季的
[207.16-210.64] 美元对新台币汇率升值3.6%的影响
[210.64-214.60] 因本公司GDR募资资金除了研发投入之外
[214.60-215.68] 尚未大幅动波
[215.68-217.78] 再加上既有的外币资金
[217.78-220.32] 应收付款等境外币的部位
[220.32-222.64] 持续会受到汇率波动的影响
[222.64-224.82] 再次跟投资先进说明
[224.82-226.38] 美元汇率的变化
[226.38-229.36] 主要是造成本公司账面金额的波动
[229.36-231.88] 对本公司并没有实质的影响
[231.88-234.56] 排除GDR相关兑换选议
[234.56-237.02] 及所得税影响数的拟制算算资料
[237.02-238.78] 会在下一页做说明
[238.78-241.34] 本公司目前没有采用
[241.34-243.12] 外汇主动避险手段
[243.12-246.18] 主要的考量是美元和新台币的利差
[246.18-248.72] 已经提供了一部分自然避险
[248.72-252.64] 第四季税前净利为7.1亿元
[252.64-255.08] 所得税费用为2.1亿元
[255.08-258.86] 所得税有效税率增加至29.7%
[259.20-261.86] 其中包含本公司因2022
[261.86-263.72] 年度所得税核定项目
[263.72-266.48] 所产生增缴所得税的费用
[266.48-268.42] 金额约8000万元
[268.42-270.76] 主要是公司与国税局
[270.76-273.60] 对于子公司清算造成的投资损失
[273.60-275.80] 在税上的认列有起见
[275.80-279.34] 税局否准公司对投资损失的主张
[279.34-282.46] 公司将依程序提请行政救济
[282.46-284.40] 争取合理的税务裁定
[284.40-287.38] 税后净利金额为5亿元
[287.38-291.84] QOQ、YY分别增加49%及36%
[291.86-294.42] 净利率为41%
[294.42-297.36] 单季每股盈余为3.1亿元
[297.36-303.22] 如果排除GDR为使用资金所产生的兑换损益
[303.22-307.34] 2024年第四季业外净收入为1.6亿元
[307.34-309.84] 主要来自于利息收入1亿元
[309.84-312.82] 及既有美元进步为所产生的兑换利益
[312.82-314.04] 7300万元
[314.04-316.76] 排除GDR相关汇率影响后
[316.76-319.70] 第四季净利金额将为3.4亿元
[319.70-320.78] QOQ、YY分别增加3.4亿元
[320.78-321.72] QOQ、YY分别增加3.4亿元
[321.72-324.34] QOQ、YY分别减少26%及44%
[324.34-326.46] 净利率为28%
[326.46-330.10] 拟制调整后每股盈余为2.08元
[330.10-333.44] 在全年度的部分
[333.44-338.02] 2024年度营收在IoT市场竞争激烈的影响下
[338.02-341.26] 较去年略减1%为42亿元
[341.26-344.08] 毛利金额为21.5亿元
[344.08-346.18] 毛利率在51%
[346.18-350.12] 较去年毛利率42%增加9个百分点
[350.86-351.70] 毛利率上
[351.72-354.34] 增加2.5%为12%
[354.34-357.00] 高低毛利产品组合差异影响
[357.00-360.34] 全年营业费用为10.8亿元
[360.34-363.80] 年增1.8亿元增加20%
[363.80-368.68] 其中研发费用在人力及研发专案投入下增加约2亿元
[368.68-370.14] 成长约三成
[370.14-373.22] 预期在新产品线持续的开展下
[373.22-375.62] 研发费用仍然会有所增长
