[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-35.20] 感谢大家百忙之中来参加本公司2025年上半年的一个法说会
[35.20-38.32] 我是公司发言人陈玉峰
[38.32-48.34] 接下来会代表公司跟各位报告本公司2024年以及2025年第一季的一个营运状况
[48.34-53.18] 如果各位先进有问题要提问或者是有任何其他指教的话
[53.18-57.48] 可以在我报告之后来提出
[57.48-59.56] 我这边会尽力的去回答
[59.56-61.94] 再次向各位致谢
[61.94-66.66] 我们这次的报告会包含四个部分
[66.66-70.92] 主要会有营运的成果的说明
[70.92-74.00] 然后还有营运的说明以及产销组合
[74.00-77.62] 以及后续产品的一个发展蓝图
[77.62-81.94] 我们先来看一下营运成果的部分
[84.76-89.44] 我们2024年的一个总营收是9.6亿新台币
[89.44-89.54] 我们2024年的一个总营收是9.6亿新台币
[89.56-94.44] 那么相较于2023年的一个11.7亿的金额的话
[94.44-98.18] 这个衰退是约18%
[98.18-101.42] 那么金额的差距大概在2.15亿
[101.42-105.98] 那么这个主要的差距来源是来自于
[105.98-109.04] 太安能二集体的一个策略性的减工大概2亿
[109.04-114.70] 那太安能这个产业是非常受到政策影响的一个产业
[114.70-117.60] 那特别是在中国大陆
[117.60-119.54] 这个政策调整的福利上来说
[119.56-120.68] 幅度很大
[120.68-125.24] 那就很容易影响企业的一个产销的一个规划
[125.24-127.92] 所以我们弘扬一直在这样的政策环境下
[127.92-133.44] 本来就有这个减产减销的一个计划
[133.44-136.44] 那再加上长期观察下来的话
[136.44-141.48] 这个太安二集体这个系列的产品的获利能力相对就比较低
[141.48-146.04] 而且在供应链在供应链上面的金流跟物流的一个顺畅度呢
[146.04-147.94] 是相对比较不足的
[147.94-149.44] 在这样多重
[149.44-151.24] 因素的考量之下呢
[151.24-152.76] 我们在2024年呢
[152.76-156.78] 有具体去进行策略性的一个减产减销
[156.78-161.26] 那么因此呢就影响了大约2亿的2亿台币的一个营收
[161.26-166.44] 那在营收下调约18%的一个情况下
[166.44-168.54] 那我们2024年的
[168.54-172.86] 整体的毛利大概是落在4%
[172.86-176.36] 那跟去年2023年相比的话
[176.36-177.52] 基本是持平的
[177.52-178.86] 那
[179.44-182.92] 集团在积极的体质调整之下呢
[182.92-185.56] 我们在毛成本的管控
[185.56-188.26] 并没有因为营收的下调
[188.26-189.40] 接近18%
[189.40-191.76] 而有急剧的上升
[191.76-194.12] 反而能够维持在平盘
[194.12-195.12] 这样的状况呢
[195.12-199.12] 我们认为对后续的营收的分歧是做好的准备
[199.12-199.76] 那
[199.76-202.92] 对不起
[202.92-205.16] 对不起
[205.16-207.34] 我找不到我的资料
[207.34-209.30] 嗯
[209.44-210.72] 对不起
[210.72-211.32] 好
[211.32-214.24] 那呃营业费用的部分呢
[214.24-217.48] 我们在2024年大概是2.13亿
[217.48-221.60] 相较于2023年大概减少了3200万左右
[221.60-221.92] 啊
[221.92-226.18] 这样的话大概是减少的幅度是在3.3%
[226.18-227.92] 那费用专辑的力道呢
