[0.00-3.96] 凱奇证券以及Irtrust联合举办的投资论坛
[3.96-8.74] 非常高兴能够邀请东立科技股份有限公司的三位长官
[8.74-10.70] 为我们分享公司的经营情况
[10.70-13.50] 那这边就麻烦姚副总为我们分享
[13.50-15.66] 这边现在交给姚副总了,谢谢
[15.66-19.14] 各位投资先进大家好
[19.14-22.12] 我是东立科技财务长姚春明,加斯汀
[22.12-25.88] 首先谢谢凯奇证券和Irtrust的邀请
[25.88-30.10] 参与此次的2025世界新经济趋势论坛
[30.10-32.44] 那今天东立科技的经营团队
[32.44-35.84] 由我们的研发主管谢老中副总
[35.84-38.72] 还有业务主管蔡武昌协理出席
[38.72-43.66] 那接下来就直接为各位简介本公司2024年度的营运改款
[43.66-49.18] 免责声明,时间的关系请各位直接参与文字的内容
[49.18-51.46] 那就不再逐一叙述
[51.46-53.70] 那简报分为五个项目
[53.94-55.62] 公司简介的经营时机
[55.62-57.62] 竞争优势、市场发展
[57.62-59.62] 还有企业的永续发展
[59.62-63.94] 那最后也会留有提问Q&A的时间
[63.94-65.94] 如果各位投资先进有相关的问题
[65.94-67.94] 那也欢迎提问
[67.94-72.50] 首先是为各位简介本公司的基本资料
[72.50-75.50] 那东立科技是创立于1998年
[75.50-79.70] 由创办人徐董事长成立新能量科技股份有限公司
[79.70-81.70] 那经过多年的发展后
[81.70-84.44] 在2013年进行集团架构的重组
[84.44-85.44] 成立集团后
[85.44-87.44] 创立了全球最大的电竞传播公司
[87.44-89.44] 东立科技股份有限公司
[89.44-91.44] 公司主要产品为低吸直流无刷散热风扇
[91.44-95.44] 那现在也是全球PC电竞散热风扇的供应商
[95.44-99.44] 从设计制造到销售
[99.44-103.44] 那近年来也持续研发各类低吸级的产品
[103.44-105.44] 那至于提供散热的解决方案
[105.44-109.44] 像是饭店镜、车载供控、智能家电
[109.44-113.44] 还有Telcom、新能源医疗设备等相关的领域
[113.44-115.44] 那前面所说的三个项目是什么呢?
[115.44-119.44] 在1998年我们成立了新能量科技
[119.44-121.44] 至今超过27年
[121.44-126.44] 那在2003年也在中国东莞成立东莞动力电子有限公司
[126.44-131.44] 2013年集团重组成立的公司开曼SunMesh
[131.44-135.44] 那经过4年的时间也在2017年12月28号
[135.44-137.44] 与台湾政交所挂牌上市
[137.44-139.44] 那挂牌超过7年的时间
[139.44-145.44] 那考量华南东莞的能力成本还有厂房租金是较高的
[145.44-149.44] 那在2019年与江西政府签订投资协议
[149.44-151.44] 那购入土地以及厂房
