[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-59.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[60.00-65.24] 上下游 供应链等其他各种本公司无法掌控之风险等因素
[65.24-69.74] 以至于与原先本公司对于未来前景的说明有差异
[69.74-72.56] 那未来如果有变更或是调整时
[72.56-76.38] 请以公开资讯观测站公告讯息为依据
[76.38-82.92] 今日的简报将针对公司2024年度财务状况
[82.92-86.86] 新品介绍及永续发展状况进行报告
[88.48-89.98] 首先是2024年度财务状况
[90.00-92.74] 2024年全年度财务状况说明
[92.74-96.70] 2024年总营收25.03亿
[96.70-99.02] 毛利13.01亿
[99.02-101.08] 净利3.86亿
[101.08-102.84] EPS4.93
[102.84-104.96] 较去年的成长很多
[104.96-108.04] 主要是新品环保PP版
[108.04-109.78] 美奈版销售成长
[109.78-112.64] 产能驾动打经济的规模
[112.64-115.88] 更有效的生产流程及供应链的管理
[115.88-117.16] 控制成本
[117.38-118.96] 所以合并毛利呢
[118.96-120.92] 也较去年大幅的上升
[120.92-122.32] 本公司呢
[122.32-123.80] 持续征聘人才
[123.80-125.46] 推广海外市场
[125.46-127.14] 并随时检视呢
[127.14-129.06] 规模扩增后的各项作业
[129.06-131.28] 来达效益的最大化
[131.28-134.38] 本公司积极的开阔环保PP版
[134.38-136.48] 跟美奈版等新品市场
[136.48-138.86] 有望助力营收的成长
[138.86-142.02] 持续关注追踪营运的成果
[142.02-145.42] 并控管相关的成本跟费用的增加
[145.42-148.40] 采用更具有效益的营销方式
[148.40-148.94] 利润的成果和成本的增加
[148.96-150.60] 例如社群媒体行销
[150.60-152.32] 网络宣传等
[152.32-155.20] 来减少一些传统广告的开支
[155.20-157.16] 节约行销费用
[157.16-159.34] 并评估控制与产品
[159.34-162.46] 生产相关的变动成本
[162.46-164.84] 来合理的维持毛利率
[164.84-165.90] 营业利率
[165.90-170.60] 以及EPS等主要的营运指标
[170.60-174.44] 接下来呢
[174.44-175.68] 为各位先进报告
[175.68-178.66] 2024年各项财务比例状况
[178.96-183.60] 累计2024年12月31日负债比为70.65
[183.60-186.52] 较去年重片后上升
[186.52-190.10] 在此说明我们的对策以及应变的计划
[190.10-192.82] 一最佳化的资本结构
[192.82-195.52] 我们积极的评估资本的结构
[195.52-196.56] 计划呢
[196.56-199.06] 透过转换部分的短期负债
[199.06-200.92] 为长期负债
[200.92-203.12] 从而减少短期负债
[203.12-205.00] 偿还的这个压力
[205.00-208.64] 二加强了现金流的管理
[208.64-208.94] 我们的负债比为70.65%
[208.96-212.76] 我们也实施了更严格的现金流管理测试
[212.76-215.86] 包括了最佳化的应收账款
[215.86-217.44] 及存货的管理
[217.44-220.04] 确保资金的快速回流
[220.04-222.50] 减少资金的占用
[222.50-224.80] 来维持良好的流动性
[224.80-225.66] 三
[225.66-228.10] 盈利能力的提升策略
[228.10-231.10] 我们计划多元化的收入来源
[231.10-234.42] 推出新产品新服务
[234.42-236.28] 加强海外市场
[236.28-238.40] 及加盟商的推广策略
[238.96-240.82] 以提高整体的营收
[240.82-243.40] 并省剩管理公司的开支
[243.40-246.24] 来降低营运的成本
[246.24-248.86] 减少对借款的依赖
[248.86-254.34] 以上等等将有助于改善负债比
[254.34-260.60] 接下来是经营能力跟活力能力的报告
[260.60-263.26] 根据这次数据报告
[263.26-268.94] 公司在部分的数据都叫去
[268.96-271.26] 年优化较多
[271.26-274.34] 以营收账款周转天数来看
[274.34-277.26] 较去年头期也微幅的上升
[277.26-279.54] 本公司推动了客户
[279.54-281.66] 预储的款项
[281.66-283.16] 给予适当的折扣
[283.16-286.54] 激励客户及早的支付款项
[286.54-289.88] 并检讨现在的客户的信用风险
[289.88-291.98] 如果有较高风险的客户
[291.98-294.20] 也会去调整信用的额度
[294.20-296.46] 来要求出货前先收款
[296.46-298.94] 提高营收账款的活收
[298.96-300.24] 速度跟效率
[300.24-304.20] 来维护本公司的资金运作顺利
[304.20-306.44] 从统计数据来看
[306.44-310.30] 获利能力比例表都优于去年的成果
[310.30-311.46] 表现亮眼
[311.46-313.30] 累计到去年止
[313.30-316.22] 资产报酬率为5.84
[316.22-319.86] 权益报酬率为5.89%
[319.86-322.44] 存益率为15.41%
[322.44-324.50] 每股盈余为4.93
[324.50-328.94] 接下来是经营能力
[328.96-332.60] 接下来进行市场销售状况分析
[332.60-336.38] 2024年总营收为25.03亿
[336.38-338.94] 较去年成长5.4%
[338.94-342.54] 虽然受到大陆地区景气的影响
