[0.00-4.40] 好,各位博士先進午安,感謝各位今天領域大政見的訪問
[4.40-8.40] 那今天很高興能夠邀請到佳琪科技來這邊會
[8.40-11.60] 那我首先先介紹一下佳琪的團隊
[11.60-15.60] 這位是胡志強,副總編號
[15.60-17.60] 大家好
[17.60-22.20] 然後這一位的話是王珍儀財務長
[22.20-24.20] 大家好
[24.20-26.80] 那我們接下來就把時間交給佳琪這邊
[26.80-35.20] 請大家掌聲歡迎一下,謝謝
[35.20-37.00] 各位博士先進大家好
[37.00-42.40] 我這邊先跟大家稍微簡單的報告一下說
[42.40-56.06] 去年的整個佳琪的培養的概況
[56.80-74.40] 首先我們看一下綜合損益表的部分
[74.40-78.40] 我們在2024年的合併營收是22億4
[78.40-82.40] 那2023年的話是24億5
[82.40-84.40] 年減的話是2億
[84.40-86.40] YYC的付款是29
[86.40-88.40] 那主要的話是因為是
[88.40-92.40] 在電傳輸的部分
[92.40-96.40] 我們這邊因為整個的PC的需求的這邊平緩
[96.40-101.40] 所以我們變成是我們的電傳輸的出貨量
[101.40-103.40] 輸出這邊有稍微下滑一些
[103.40-105.40] 那在光通訊的部分
[105.40-107.40] 又在於伺服器的
[107.40-110.40] 光通訊的傳輸線的部分
[110.40-112.40] 因為伺服器的這個
[112.40-114.40] 我們的客戶這邊的需求增加
[114.40-116.20] 所以在光通訊的部分
[116.40-118.40] 營收的部分是有成長
[118.40-120.40] 大概是雙位數的一個數字
[120.40-122.40] 那營收佔比的話是有到達
[122.40-124.40] 的去年本金值10左右這樣
[124.40-128.40] 那所以整個整體下來的話
[128.40-132.40] 我們在合併營收的部分是有稍微衰退了這個金額
[132.40-136.40] 那在營業毛利的部分
[136.40-138.40] 在2023年的話是36%
[138.40-142.40] 在2024年的話是38%成長2%
[142.40-144.40] 那最主要的部分是因為我們的整個國新傳輸有改變
[146.40-150.40] 那主要是在整個的生產的
[150.40-152.40] 整個製程的有優化
[152.40-154.40] 然後還有一些工藝的改善
[154.40-156.40] 所以我在那個耗材的部分
