[0.00-1.36] 各位同志很晚
[1.36-2.56] 非常高興
[2.56-3.80] 也非常感謝各位同志
[3.80-7.20] 今天參與我們畫內容商春季的論壇
[7.20-9.12] 我們今天進行第三場
[9.12-11.30] 今天這一場是
[11.30-14.08] 世洋公司與各位同志做交流
[14.08-15.28] 在此之前
[15.28-17.24] 我正中的介紹一下
[17.24-19.28] 我們世洋今天來的長官
[19.28-21.48] 我們第一位是世洋的董事長
[21.48-23.00] 李崇儀董事長
[23.00-23.92] 非常感謝他
[23.92-24.96] 請給他掌聲好嗎
[24.96-26.28] 非常感謝
[26.28-27.88] 我們第二位是副總經理
[27.88-29.48] 吳昌松吳副總
[29.48-31.56] 感謝他的來臨
[31.56-33.88] 我們第三位是財務長鄭佩清
[33.88-35.48] 鄭財務長給他掌聲
[35.48-36.56] 好的
[36.56-37.72] 我們時間不多說
[37.72-39.04] 我們就是
[39.04-39.84] 廢話不多說
[39.84-41.52] 我們就時間就正式開始交流
[41.52-42.64] 麻煩請
[44.52-46.24] 各位同志先進
[46.24-47.84] 跟同仁大家午安
[47.84-51.08] 很快2025又到了
[51.08-53.44] 今年利用這個時間
[53.44-55.72] 跟各位報告一下
[55.72-58.48] 2024年的整個營收的結果
[58.48-59.48] 同仁先生的話
[59.48-60.96] 會同時的話
[60.96-62.32] 跟各位交流一下
[62.32-66.20] 2025年的我們這個公司的看法
[66.20-67.96] 所以過程中間
[67.96-70.76] 如果有任何的問題的話
[70.76-72.24] 請隨時不吝視角
[72.24-74.36] 那我們就今天開始今天的會議
[87.56-88.88] 各位同志先進大家好
[88.88-89.44] 我是
[89.48-92.48] 我是西洋的財務主管鄭佩清
[92.48-95.56] 為大家說明財務報表以及因應概況的變動
[95.56-100.88] 而西洋第四季的營收是9.1億
[100.88-108.84] 比上去年第三季是10.4億
[108.84-111.00] 那這部分是減少了12%
[111.00-114.48] 比上去年同期6.9億
[114.48-116.20] 是成長33%
[116.20-117.36] 那西洋在營收幾季持續創高時候呢
[117.36-117.48] 是成長33%
[117.48-118.48] 那西洋在營收幾季持續創高時候呢
[118.48-118.80] 是成長33%
[118.80-119.32] 是成長33%
[119.32-122.12] 在第三季有稍微略微減少
[122.12-126.68] 那這個部分主要是中國地區銷售比較保守的影響
[126.68-129.88] 那後面也會在地區別的部分為大家說明
[129.88-135.92] 那中國地區的影響造成整個銷售是有略微減少
[135.92-139.64] 那採拋的部分在第四季
[139.64-141.76] 整個算是新品比較少
[141.76-143.36] IPO的比較多
[143.36-148.32] 所以整個採拋的占比在第三季的部分是達到了三成
[148.32-148.64] 第四季的部分是達到了三成
[148.64-151.00] 第四季的部分是略降到兩成
[151.00-153.44] 所以採拋的部分有略微減少
[153.44-158.32] 第四季的部分我們有去日本出了閃光片的新品
[158.32-163.28] 那新品的銷售是有搭配了一些樣品去做推廣
[163.28-165.76] 因為這是一個完全新的產品
[165.76-167.36] 那推到市面上之後
[167.36-171.44] 那整個銷售的單價有因為採拋占比的減少
[171.44-174.40] 以及閃光片的推廣的影響
[174.40-177.64] 所以銷售單價有略微減少
[177.64-180.36] 那在產能加動率的部分
[180.36-184.00] 第四季的產能加動率還是有超過九成
[184.00-187.04] 那產量持續的提升
[187.04-191.56] 那在人力的部分我們也是有做一些控制
[191.56-194.96] 那另外在材料的部分
[194.96-197.56] 我們也是有做一些替代料的引進
[197.56-203.16] 所以整體的製造成本比上前一季有大幅的減少
[203.16-207.48] 那第四季的我們主要的生產在馬來西亞的產品是
[207.64-209.56] 馬幣的匯率是有三成的影響
[209.56-213.00] 所以馬幣的匯率其實對於市場的影響是還蠻大的
[213.00-215.64] 那第三季之前的法收會有特別說過
[215.64-220.28] 我們第三季馬幣匯率是成長了4%
[220.28-223.80] 那第四季的時候馬幣的匯率是成長了5%
[223.80-228.00] 所以其實在匯率的部分對於成本是會有一些不利的影響
[228.00-231.72] 但是整體因為我們的製造
[231.72-235.64] 剛剛有講到三個因素是有相關的貢獻
[235.64-237.64] 所以製造成本還是有一定一大幅的影響
[237.64-241.08] 所以看到第四季的毛利
[241.08-243.64] 營收減少銷售單價減少
[243.64-246.04] 但是因為我製造成本減少的更多
[246.04-250.60] 所以我的銷售毛利是成長到38%
[250.60-253.16] 比上前一季36%
[253.16-254.76] 還有成長的2%
[254.76-260.28] 在營業費用的部分是接近1.7億
[260.28-263.16] 比上前一季是略微減少
[263.16-267.56] 那這個部分主要是獲利有減少了一些人事獎酬的費用
[267.56-274.28] 在營業外收支的部分是有支出1800萬
[274.28-278.92] 那這個部分比上前一季是有多增加支出
[278.92-281.48] 那這個部分主要是日幣的貶值
[281.48-287.48] 那日幣對台幣在第四季的部分是貶值了6%
[287.48-290.52] 從0.222貶到0.21
[290.52-293.72] 所以這個部分日幣的貶值會造成一些匯兌的損失
[293.72-295.56] 但是今天我們看到的這個數字是有一點點的差異
[295.56-296.20] 因為我們看到的這個數字是有一點點的差異
[296.20-296.68] 但是今天我們看到的這個數字是有一點點的差異
[296.68-302.44] 但是今年看到到第3月看到日幣已經是有整個回升上來了
[302.44-304.60] 那已經有回升到0.22的水準
[304.60-309.40] 在所得稅費用這邊是3500萬
[309.40-312.04] 比上前一季是略微增加
[312.04-316.04] 所得稅費用部分主要會變動比較大的是
[316.04-318.20] 馬來西亞當地有一些投資抵減
[318.20-320.84] 那如果投資抵減認得比較多
[320.84-322.28] 所得稅費用就會比較少
[322.28-325.80] 那這一季的部分剛好所得稅費用認得是比較少一些
[325.80-326.52] 那所得稅費用認得比較少
[326.52-329.08] 那所以整體的所得稅費用就有比較高
[329.08-331.00] 那如果以綜合稅率算起來
[331.00-335.00] 第4季的綜合稅率是22%
[335.00-338.52] 本季淨利歸屬於母公司業主是1億2400萬
[338.52-344.12] 每股營運是1096元
[344.12-348.28] 那看到2024年整體的一個營運情況
[348.28-351.08] 2024的營收是36.7億
[351.08-356.36] 比上前一年24億是成長了53%
[356.52-360.36] 那銷售變動比較大的部分還是彩拋的部分
[360.36-364.20] 那彩拋整個在去年銷售的情況良好
[364.20-369.32] 銷售的出貨金額比上前一年成長超過一倍
[369.32-373.80] 那這個部分銷售的部分主要是
[373.80-377.00] 去年的彩拋在上半年因應客戶的需求
[377.00-379.56] 以及我們彩拋產能的上來
[379.56-383.40] 所以在去年上半年有比較多的彩拋出貨
[383.40-386.36] 那下半年的部分就是repair等比較多
[386.52-389.08] 所以會比較趨緩一點點
[389.08-392.92] 所以彩拋佔比在2023年是20%
[392.92-395.48] 然後2020年這邊是30%
[395.48-399.32] 所以彩拋佔比是成長比較多的一個部分
[399.32-400.60] 那在產量的部分
[400.60-405.72] 2024年的產量比2023年是成長了三成
[405.72-408.28] 那整體在規模經濟效應的部分下
[408.28-410.84] 我的製造成本還是有效的減低
[410.84-415.96] 所以我的營業毛利是到39%
[416.52-419.08] 比上36%是成長的3%
[419.08-424.20] 在營業費用的部分是6億3600萬
[424.20-426.76] 比上前一年是增加了1.1億
[426.76-430.60] 那這個部分主要是因為獲利增加
[430.60-434.44] 那人事獎酬薪資的這個費用會跟著增加
[434.44-442.12] 另外在去年我們日本子公司有去用了一個韓國女團espac
[442.12-444.68] 那去推一個AI的新品牌
[444.68-446.22] 那是
[446.52-449.08] 賣吸血膠彩砲的新品
[449.08-452.40] 那這個部分目前在唐奇科德賣得還不錯
[452.40-454.96] 它的文釘是有持續的銷售上來
[454.96-457.28] 那因為我們要去請這個韓國
[457.28-460.34] 有名知名的一個女團來做代言
[460.34-463.68] 所以代言費用是廣告行銷支出是比較多一些
[463.68-467.52] 那另外在去年我們在中國地區也開始
[467.52-471.10] 用我們自有的reflare這個新品牌
[471.10-474.68] 在中國地區有做線上的銷售
[474.68-476.48] 那所以整體的廣告行銷支出
[476.52-478.56] 比上前一年是有增加
[478.56-484.96] 那廣告投入的比較多也是希望能夠提升我們品牌的知名度
[484.96-491.62] 那另外事仰在去年也投入了一些眼用製劑的一些開發
[491.62-493.68] 那事仰除了隱形眼鏡之外
[493.68-495.72] 我們希望能夠有
[495.72-498.28] 其他的新產品去做後續
[498.28-501.36] 我們整個眼睛健康相關的產業
[501.36-503.14] 能夠有其他的產品出來
[503.14-506.48] 所以在眼用製劑這邊有一些開發的支出
[506.52-511.12] 那這個就是整個營業費用的部分
[511.12-515.48] 那我們看到的營業費用率是17%
[515.48-518.30] 比上前一年22%降了5%
[518.30-521.36] 營業利率是提升到22%
[521.36-527.00] 在營業外收支的部分是支出了5000萬
[527.00-529.82] 那比上前一年是增加了1400萬
[529.82-533.66] 那這個主要也是剛剛還提過的日幣貶值的關係
[533.66-536.48] 所得所得的收支是
[536.52-540.36] 稅費用在2024年是110100萬
[540.36-544.96] 那這個部分的綜合稅率是14%
[544.96-548.56] 本期建立歸屬於母公司業主是63600萬
[548.56-550.60] 每股營業是10.10元
[550.60-552.64] 比上前一年4.79元
[552.64-558.28] 是成長超過一倍
[558.28-560.58] 那再看到整個營收的還有
[560.58-562.38] 還有營收的變動
[562.38-564.68] 在各地區別的部分
[564.68-566.48] 2024年的
[566.52-569.08] 第四季的營收是9.1億
[569.08-573.18] 比上第三季10.4億是減少了1.2億
[573.18-575.74] 那裡面變動比較大的是
[575.74-576.76] 亞洲地區
[576.76-579.32] 亞洲地區是6.3億
[579.32-581.36] 第三季是7.6億
[581.36-583.42] 那這個部分是減少了1.3億
[583.42-587.00] 那這個部分的減少主要就是剛剛有提到
[587.00-589.04] 中國地區消費的低迷
[589.04-591.10] 有影響中國地區
[591.10-594.42] 以及台灣收到中國地區的銷售
[594.42-596.22] 台灣以及
[596.52-597.54] 中國地區
[597.54-601.12] 在飼養的銷售佔比是2.3成
[601.12-607.02] 那這兩個地區在第四季比上第三季的銷售是衰退了4成
[607.02-611.36] 那這個是我們第四季銷售的主要的原因
