[0.00-5.86] 永业科技股份有限公司
[5.86-8.78] 法人说明会会议开始
[8.78-11.28] 欢迎各位投资先进
[11.28-14.90] 参加永业科技线上法人说明会
[14.90-18.70] 今天很荣幸邀请公司经营团队
[18.70-20.64] 张明柱总经理
[20.64-22.66] 李瑞龙策略长
[22.66-25.28] 郑士伟财务处长
[25.28-28.58] 参加本次线上法说会
[28.58-32.88] 请经营团队与线上投资先进打招呼
[32.88-40.80] 现在正式开始今天的议程
[40.80-43.68] 我们请张明柱总经理
[43.68-45.42] 李瑞龙策略长
[45.42-47.64] 郑士伟财务处长
[47.64-51.44] 就公司营运状况等内容为各位做报告
[51.44-52.98] 欢迎经营团队
[52.98-57.10] 各位
[57.10-58.56] 谢谢
[58.56-60.28] 线上投资先进大家好
[60.28-63.88] 我是永业科技的财务长
[63.88-66.96] 首先今天的说明会谢谢大家参加
[66.96-69.32] 前面部分的话是
[69.32-70.74] 大概先由我这边来
[70.74-76.16] 去年度的财报部分跟大家做一个简要的说明
[76.16-86.98] 首先这边先看113年度第四季
[86.98-88.54] 跟全年度的一个营运成本
[88.56-96.76] 113年第四季的部分
[96.76-101.36] 我们的营业收入是2亿8996万9千元
[101.36-106.22] 营业费用部分有1亿354万4千元
[106.22-111.08] 业外的收支跟损益的进来是6449万元
[111.08-114.92] 归属母公司净利的部分是3583万元
[114.92-117.48] 单季的EPS是0.76
[117.48-118.52] 那
[118.56-124.20] 本季的营业收入对比前一季113年的第三季
[124.20-126.24] 3亿2709万4千元
[126.24-128.28] 这边是减少10%
[128.28-130.08] 那对比去年同期
[130.08-135.72] 112年的第四季2亿9635万7千元的营业额
[135.72-138.78] 这边是减少大概2%
[138.78-140.06] 那
[140.06-141.86] 整个的
[141.86-145.70] 全年度的部分的话113年度
[145.70-148.52] 整年度这边的营业收入的进来是12亿
[148.56-153.94] 12亿2994万7千元
[153.94-158.04] 那营业毛利的部分是3亿5千万零58万5千元
[158.04-162.12] 营业净利的部分是2889万
[162.12-167.24] 税前净利是1亿052万元
[167.24-171.08] 归属母公司净利的部分是9863万2千元
[171.08-174.16] 合计整年度的基本每股盈余是2.1
[174.16-176.98] 那对比去年
[176.98-178.52] 112年的全年度
[178.56-182.66] 在营业额的部分的话我们是全年度减少11%
[182.66-185.98] 那获利的部分是减少50%
[185.98-188.80] 那主要这边大概
[188.80-193.92] 整体来讲的话就是因为113年度全年的因为订单量减少
[193.92-196.74] 成品组合这边也有一点影响所以
[196.74-201.34] 整个在Q4还有全年度的部分的话获利是比去年表现的
[201.34-203.90] 稍微比较不理想一点
[203.90-204.68] OK
[204.68-205.44] 那
[205.44-207.74] 接下来这个部分的话大概
[207.74-208.52] 用一个图
[208.56-210.36] 图表的方式大概跟
[210.36-211.38] 各位这边
[211.38-212.40] 说明一下
[212.40-214.70] 整个财务的这个状况
[214.70-216.24] 那在
[216.24-219.06] 既营收的部分那我们还是
[219.06-222.64] 会有这个努力的空间我们Q4的部分的话
[222.64-226.74] 这边还是对比前一季这边是衰退了11%
[226.74-227.50] 那
[227.50-228.78] 在产品
[228.78-231.08] 产品的
[231.08-232.88] 一个
[232.88-235.96] 组合的一个营收比例来看的话
[235.96-238.52] 这个比例的部分没有变化太大
[238.56-239.84] 大概就是在
[239.84-242.40] 电子陶瓷元件这边大概有六成的
[242.40-243.42] 营业额
[243.42-247.00] 那模组跟系统部分大概是约占30%
[247.00-251.88] 剩下其他电子零组件还是大概占我们营业额是10%
[251.88-257.24] 那以季获利趋势这边来看的话我们Q4这边是因为有业外的这个
[257.24-260.32] 处分房地产的收入这边进来所以
[260.32-266.72] 以季的获利的部分的话是有往上提升啦不过这全年度的部分的话我们还有
[266.72-268.00] 努力的空间啦
[268.00-268.52] 那所以
[268.52-278.00] 第四季这边0.76的EPS那换成全年度这边是2.1
[278.00-282.08] 那整年度的营业营收的状况来讲的话我们跟
[282.08-285.92] 去年同期的年度的营收也是
[285.92-287.72] 减少了11%
[287.72-290.80] 那EPS的部分的话也从
[290.80-295.40] 今年是2.1去年是10.18
[295.40-298.48] 那主要这边还是看一下我们目前的一个
[298.48-306.16] 一个资产负债表在财务结构的部分那主要目前我们的113年年底的流动资产的
[306.42-310.26] 余额还有15亿6660万8千元
[310.52-315.88] 那其中这边在现金及约当现金的部分有5亿7358万4千元
[316.40-322.04] 那透过那个其他重点损益衡量的金融资产这边有2亿7632万3千元
[322.80-327.16] 在存货的部分是2亿6685万9千元
[328.48-334.36] 在非流动资产的部分那主要还是以不动产厂房设备这边的金额是比较高
[334.62-338.46] 那是3亿1408万3千元
[338.72-344.60] 那对比去年同期这边是有减少原因就是在Q4的时候有处分我们土城的那个房地产
[344.86-348.20] 所以在不动产厂房设备的金额就有下降
[348.70-352.80] 那总计非流动资产部分有4亿8198万9千元
[353.32-358.44] 流动负债的部分那流动负债的部分主要短期借款我们在年底的
[358.74-361.04] 预额有2301万8千元
[361.56-365.14] 应付票据及账款的部分有1亿2668万2千元
[365.90-370.00] 那非流动负债部分总额是4790万5千元
[370.52-376.40] 那我们的权益目前的总额是15亿9048万7千元
[376.66-380.24] 总资产的部分是20亿4859万7千元
[380.50-384.08] 每股净值约34元
[388.48-393.08] 那接下来在现金流量的部分的话113年我们的营业
[393.34-397.44] 活动净现金流入是2亿3918万5千元
[397.96-403.08] 投资活动是净现金流入是1亿2121万元
[403.84-409.48] 投资活动的现金流出的部分是1亿7122万元
[410.76-416.90] 那我们的本期的现金及月量现金净增加数是1亿91028万元
[416.90-418.44] 1亿91028万元
[418.74-423.86] 那所以期末的现金月量现金是5亿7358万4千元
[424.62-428.72] 那主要投资活动的现金增加还是因为处分不动产这边
[428.98-431.80] 带入的那个现金流入
[432.30-435.64] 那筹资活动的现金流出有减少是因为
[435.88-442.04] 113年度发放的股利的金额也比112年度这边来的少然后再加上
[442.28-446.12] 我们的短期借款有一点部位增加量
[446.64-447.16] 所以
[447.40-448.44] 筹资活动的那个进行
[448.74-449.76] 现金流出的
[450.02-451.04] 数量是减少的
[453.86-455.14] 再看一下
[455.40-457.70] 几个财务比例的部分
[457.96-460.76] 那负债占资产比率我们目前是22%
[461.28-464.60] 长期资金占固定资产比率是522%
[464.86-467.94] 流动比的部分目前是382%
[468.20-469.72] 资产报酬率5%
[469.98-471.78] 那股东权益报酬率6%
[472.04-473.32] 存益率8%
[473.56-478.44] 那流动比率的部分看起来是没有太大问题啊目前来讲公司的这个流动流动
[478.74-479.24] 这边
[479.50-480.52] 来看这边
[480.78-482.58] 还算相对健全
[482.84-489.24] 那在股东权益报酬率的部分还有权益率但因为今年度的获利是有下降所以
[489.74-492.30] 比例上是有往下
[493.58-495.12] 一个一个一个一个
[495.38-496.40] 一个现象
[500.24-501.78] 那接下来是因为
[504.34-504.84] 让我们
[508.74-511.56] 现在是因为早上我们开了
[512.06-513.08] 114年
[513.86-514.62] 第一次
[530.24-531.52] 是先有我们
