[0.00-2.12] 从生医科技部分有限公司
[2.12-3.82] 线上法案说明会
[3.82-7.88] 接下来为各位介绍今天在线上的经营团队
[7.88-10.70] 我们欢迎董事长蔡亦文女士
[10.70-11.84] 大家好
[11.84-14.68] 总经理洪亦佩女士
[14.68-15.38] 大家好
[15.38-18.00] 集合主管刘瑞宇经理
[18.56-19.06] 大家好
[19.06-22.06] 会计主管刘梦婷经理
[22.06-23.04] 大家好
[23.04-25.32] 那现在开始今天的议程
[25.32-27.04] 首先我们请洪总经理
[27.04-30.40] 就公司未来的经营策略及愿景做简报
[30.40-31.76] 大家好
[31.76-34.20] 接下来为各位简介
[34.20-37.04] 向荣生技的经营与发展方向
[37.04-40.12] 以下是免责声明
[40.12-42.72] 今天的简报呢
[42.72-44.50] 简单分为四大方向
[44.50-45.46] 公司简介
[45.46-47.30] 新药开发跟临床的验证
[47.30-50.28] 还有我们的财务与业务的概况
[50.28-52.52] 那向荣生技呢
[52.52-55.72] 我们从2011年研发团队成立到现在
[55.72-57.02] 已经14年了
[57.02-60.48] 在2018年分割成立向荣公司
[60.48-62.90] 目前资本额是6.6亿
[62.90-64.36] 6.06亿
[64.36-65.74] 那我们呢
[65.74-69.44] 在去年2024年5月21日创新版上市
[69.44-71.64] 目前员工人数39位
[71.64-72.34] 主要呢
[72.34-74.30] 是我们硕博士的研发人员
[74.30-77.80] 来进行我们干细胞的技术与开发应用
[77.80-79.06] 向荣生技呢
[79.06-81.08] 从2011年成立到现在
[81.08-83.26] 我们的研发主轴方向
[83.26-87.00] 就是在进行干细胞的新药开发与应用
[87.02-88.30] 所以呢
[88.30-92.86] 我们历年来从临床新药的一期二期
[92.86-95.56] 现在已经进入了三期临床试验
[95.56-100.94] 我们的开发新药主要注重在于退化性的疾病
[100.94-103.30] 第一个进入临床新药的
[103.30-105.74] 是我们的退化性膝骨关节炎
[105.74-109.06] 目前已经获得美国FDA
[109.06-114.56] TFDA台湾一起同时合可进入了三期临床试验
[114.56-116.88] 正在世代医学中心招募病人
[116.88-120.72] 而第二个进入干细胞新药开发的项目呢
[120.72-122.52] 是慢性肾脏病
[122.52-128.14] 已经在2022年完成了我们的病人招募
[128.14-129.02] 并且呢
[129.02-130.70] 在2024年呢
[130.70-132.24] 完成了所有
[132.24-135.56] 一二期的慢性肾脏病病人的结案报告
[135.56-138.38] 提交FDA跟TFDA审查完备
[138.38-140.18] 同时呢很开心
[140.18-142.48] 我们的新药研发的历程中呢
[142.48-146.06] 也得到了许多的奖项跟国际资格的认可
[146.06-146.84] 第一个呢
[146.84-148.64] 跟大家分享的是
[148.64-150.42] 我们的干细胞新药
[150.42-152.98] 无论是用在退化性膝骨关节炎
[152.98-154.52] 还是慢性肾脏病
[154.52-156.56] 相容干细胞aloxy
[156.56-160.92] 在2021年得到了台湾唯一国家级奖项
[160.92-164.24] 药科奖的药品类金牌的认定
[164.24-167.32] 这个是药科奖20年来
[167.32-171.16] 第一个得到金牌肯定的细胞新药
[171.16-173.98] 而且呢我们在今年也很开心
[173.98-175.76] 我们的一体干细胞
[175.76-176.80] 也就是来自于
[176.84-180.16] 别人的健康年轻的干细胞
[180.16-183.50] 用于慢性肾上病治疗的新药呢
[183.50-185.54] 得到了美国FDA
[185.54-188.62] 快速审查的资格认可
[188.62-190.16] 这个资格认可呢
[190.16-192.96] 可以加速我们新药研发的历程
[192.96-194.50] 在临床试验的审查
[194.50-196.80] 可以加速新药的上市
[196.80-199.88] 而且我们也取得了PISGMP
[199.88-202.18] 细胞先导工厂的认可
[202.18-205.26] 同时我们不仅有临床试验的
[205.26-206.54] 资质认可
[206.54-209.36] 有药品的药科奖的肯定之外
[209.36-210.64] 我们还有
[210.64-214.98] 日本后生省对于细胞制剂厂的审查合可
[214.98-217.54] 所以向荣在国际的资格
[217.54-219.86] 国际的要求上面
[219.86-222.92] 我们的品质系统都是以国内外的
[222.92-228.04] 把关为最大的原则来确保我们所有开发的无菌制剂
[228.04-231.12] 的品质
[231.12-234.44] 那向荣为什么以干细胞为出发点
[234.44-236.50] 因为全球面临了
[236.54-240.12] 老年社会的状况越来越严重
[240.12-244.48] 当老化的问题出现的许多的医疗需求是过往
[244.48-245.76] 许多新药开发
[245.76-248.82] 没有面临而且没有办法解决的
[248.82-252.16] 所以我们希望随着寿命的延长
[252.16-256.26] 但是我们的生活跟生命品质可以得到很好的改善
[256.26-258.30] 不用因为寿命的延长
[258.30-259.32] 可是
[259.32-262.14] 而确实依赖设备为生而有
[262.14-264.44] 不良于行或者仰赖设备的
[264.44-266.24] 低生活品质的状况
[266.24-272.12] 而干细胞刚好可以迎合这样子的高龄社会的医疗需求
[272.12-275.20] 目前向荣已经投入的两个
[275.20-281.34] 干细胞新药的研发呢都是全球高龄社会很重要的需求
[281.34-282.36] 第一个
[282.36-286.72] 退化性的吸骨关节炎在全球年增率10%
[286.72-291.32] 而在台湾光就健保历年来的支出我们可以看到
[291.32-294.92] 平均一年是60亿新台币的需求
[294.92-296.20] 全台湾
[296.20-300.30] 吸骨关节炎大概有350万的人口
[300.30-303.12] 而第二个肾脏病的部分呢
[303.12-307.20] 在全球老龄社会也是相当严重的问题
[307.20-311.56] 光是台湾的部分每年的健保支出平均在
[311.56-314.12] 560几亿的新台币
[314.12-319.76] 而且呢我们的这一个每年的患病人数或者是血症人口
[319.76-322.56] 也是在逐年的成长与增加
[322.56-325.90] 台湾目前的慢性肾脏病患病人口有
[326.20-327.48] 43万人
[327.48-333.36] 所以如果说干细胞的新药对于慢性肾脏病有很好的
[333.36-336.70] 突破与有别于现行的疗效
[336.70-339.26] 避免病人进入新生
[339.26-342.84] 不仅可以为病人带来一个很好的治疗方向
[342.84-346.94] 同时也可以减轻我们国家的财政负担
[346.94-353.34] 以下来分析解释还有说明一下向荣新药干细胞为什么在退化性
